Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
09:04,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
09:04,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
09:04,,,,,"SUB IN by HEERY,SAM",,,"SUB IN by HEERY,SAM",1
09:04,,,,,"SUB OUT by GORDON,JIM",,,"SUB OUT by GORDON,JIM",1
09:04,,,,,"SUB OUT by COLES,JONATHAN",,,"SUB OUT by COLES,JONATHAN",1
08:39,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
08:38,,,,,"STEAL  by GIGAX,ADAM",,,"STEAL  by GIGAX,ADAM",1
08:32,,16,,25 (+9),"GOOD 3PTR by RAO,DAVIS",EUM 16-25 (-9),,"GOOD 3PTR by RAO,DAVIS",1
--,,,,,"ASSIST  by HEERY,SAM",,,"ASSIST  by HEERY,SAM",1
08:10,"GOOD 3PTR by THOM,IAN",19,,25 (+6),,BSCM 19-25 (-6),,"GOOD 3PTR by THOM,IAN",1
--,"ASSIST  by RUDAK,MATTY",,,,,,,"ASSIST  by RUDAK,MATTY",1
08:01,,,,,"TURNOVER  by RAO,DAVIS",,,"TURNOVER  by RAO,DAVIS",1
08:01,"SUB IN by REBIC,ANTE",,,,,,,"SUB IN by REBIC,ANTE",1
08:01,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
08:01,,,,,"SUB IN by GORDON,JIM",,,"SUB IN by GORDON,JIM",1
08:01,,,,,"SUB OUT by RAO,DAVIS",,,"SUB OUT by RAO,DAVIS",1
07:35,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by GIGAX,ADAM",,,"REBOUND DEF by GIGAX,ADAM",1
07:25,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
07:24,,,,,"MISS 3PTR by GORDON,JIM",,,"MISS 3PTR by GORDON,JIM",1
--,"REBOUND DEF by REBIC,ANTE",,,,,,,"REBOUND DEF by REBIC,ANTE",1
07:04,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by GIGAX,ADAM",,,"REBOUND DEF by GIGAX,ADAM",1
06:46,,,,,"MISS 3PTR by TRAWICK,WILL",,,"MISS 3PTR by TRAWICK,WILL",1
