Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
05:02,"GOOD JUMPER by ROBERTSON,MARC",34 (+4),,30,,MILLMBB 34-30 (-4),,"GOOD JUMPER by ROBERTSON,MARC",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
04:45,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
04:28,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
04:27,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
04:27,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
04:03,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
03:36,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
03:36,"GOOD FT by MARKWITH,TRENT",35 (+5),,30,,MILLMBB 35-30 (-5),,"GOOD FT by MARKWITH,TRENT",1
03:36,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
03:36,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
03:36,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
03:36,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
03:36,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:36,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
03:36,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
03:22,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:20,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
03:20,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
03:20,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
03:05,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
03:04,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
02:54,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
02:54,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
02:54,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
02:54,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
02:54,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
02:31,,35 (+2),,33,"GOOD 3PTR by CRAIN,JOHN",BSC 35-33 (-2),,"GOOD 3PTR by CRAIN,JOHN",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
02:06,"GOOD JUMPER by MCSWAIN,JOSHUA",37 (+4),,33,,MILLMBB 37-33 (-4),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,"ASSIST  by MASON,ROBERT WADE",,,,,,,"ASSIST  by MASON,ROBERT WADE",1
01:44,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:31,,37 (+2),,35,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",BSC 37-35 (-2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
01:11,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
00:56,"FOUL  by MASON,ROBERT WADE",,,,,,,"FOUL  by MASON,ROBERT WADE",1
00:56,,37 (+1),,36,"GOOD FT by DENEKA,HARRISON",BSC 37-36 (-1),,"GOOD FT by DENEKA,HARRISON",1
00:56,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
00:56,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
00:56,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
00:56,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
00:56,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
00:56,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
00:56,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
00:37,"GOOD 3PTR by ATKINSON,QUINN",40 (+4),,36,,MILLMBB 40-36 (-4),,"GOOD 3PTR by ATKINSON,QUINN",1
00:09,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
00:01,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:38,,40 (+2),,38,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 40-38 (-2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
19:22,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
19:14,,40,,41 (+1),"GOOD 3PTR by WELCH,ROSS",BSC 40-41 (+1),,"GOOD 3PTR by WELCH,ROSS",2
18:52,"GOOD 3PTR by JONES,BLAKE",43 (+2),,41,,MILLMBB 43-41 (-2),,"GOOD 3PTR by JONES,BLAKE",2
18:28,,43,,44 (+1),"GOOD 3PTR by WELCH,ROSS",BSC 43-44 (+1),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",2
18:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:57,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
17:44,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
17:44,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
17:44,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",2
17:44,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
17:28,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",45 (+1),,44,,MILLMBB 45-44 (-1),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
17:11,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
16:57,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
16:48,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",2
16:48,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
16:48,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
16:48,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
16:48,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
16:31,,45,,47 (+2),"GOOD 3PTR by DENEKA,HARRISON",BSC 45-47 (+2),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
16:19,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",2
