Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
05:42,"GOOD LAYUP by CARTER,KESHONN(in the paint)",11,,24 (+13),,SEWANEE 11-24 (-13),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",1
05:30,,,,,"TURNOVER  by LEWIS,GREG",,,"TURNOVER  by LEWIS,GREG",1
05:29,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
05:25,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by CHASE,NICK",,,"REBOUND DEF by CHASE,NICK",1
05:21,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
05:18,,,,,"MISS FT by MURRAY,MIKE",,,"MISS FT by MURRAY,MIKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:18,,11,,25 (+14),"GOOD FT by MURRAY,MIKE",HSC 11-25 (-14),,"GOOD FT by MURRAY,MIKE",1
05:03,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
04:33,,,,,"FOUL  by CHASE,NICK",,,"FOUL  by CHASE,NICK",1
04:33,,,,,"TURNOVER  by CHASE,NICK",,,"TURNOVER  by CHASE,NICK",1
04:13,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:10,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
04:10,,,,,"SUB IN by SMITH,ALEX",,,"SUB IN by SMITH,ALEX",1
04:10,,,,,"SUB IN by HARGROVE,LEON",,,"SUB IN by HARGROVE,LEON",1
04:10,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",1
04:10,,,,,"SUB OUT by LEWIS,GREG",,,"SUB OUT by LEWIS,GREG",1
04:04,,,,,"MISS FT by GUIMARAES,GUILHERME",,,"MISS FT by GUIMARAES,GUILHERME",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
04:03,,,,,"FOUL  by CHASE,NICK",,,"FOUL  by CHASE,NICK",1
04:03,"GOOD FT by CARTER,KESHONN",12,,25 (+13),,SEWANEE 12-25 (-13),,"GOOD FT by CARTER,KESHONN",1
04:03,"GOOD FT by CARTER,KESHONN",13,,25 (+12),,SEWANEE 13-25 (-12),,"GOOD FT by CARTER,KESHONN",1
04:03,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
04:03,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
03:50,,,,,"TURNOVER  by GUIMARAES,GUILHERME",,,"TURNOVER  by GUIMARAES,GUILHERME",1
03:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:32,"GOOD JUMPER by CARTER,KESHONN",15,,25 (+10),,SEWANEE 15-25 (-10),,"GOOD JUMPER by CARTER,KESHONN",1
03:08,,,,,"FOUL  by HARGROVE,LEON",,,"FOUL  by HARGROVE,LEON",1
03:08,,,,,"TURNOVER  by HARGROVE,LEON",,,"TURNOVER  by HARGROVE,LEON",1
02:49,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",1
02:47,,,,,"STEAL  by HARGROVE,LEON",,,"STEAL  by HARGROVE,LEON",1
02:46,,,,,"TURNOVER  by HARGROVE,LEON",,,"TURNOVER  by HARGROVE,LEON",1
02:44,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
