Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,VU,Game Score,Team Indicator,Play,Period
16:27,,14,,39 (+25),"GOOD FT by MITCHELL,SHELTON",VU 14-39 (-25),,"GOOD FT by MITCHELL,SHELTON",2
16:27,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
16:27,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
16:27,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",2
16:27,,,,,"SUB OUT by ROBERSON,JEFF",,,"SUB OUT by ROBERSON,JEFF",2
16:10,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
16:06,"GOOD LAYUP by BROWN,SETH(in the paint)",16,,39 (+23),,SEWANEE 16-39 (-23),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
16:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:40,,,,,"MISS JUMPER by BALDWIN IV,WADE",,,"MISS JUMPER by BALDWIN IV,WADE",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
15:17,,,,,"FOUL  by LACHANCE,RILEY",,,"FOUL  by LACHANCE,RILEY",2
15:17,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:17,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
15:17,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
15:12,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",18,,39 (+21),,SEWANEE 18-39 (-21),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2
14:48,,,,,"FOUL  by JONES,DAMIAN",,,"FOUL  by JONES,DAMIAN",2
14:48,,,,,"TURNOVER  by JONES,DAMIAN",,,"TURNOVER  by JONES,DAMIAN",2
14:37,"MISS 3PTR by MCCULLOUGH,JACOB",,,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
14:24,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
14:24,,,,,"SUB IN by ROBERSON,JEFF",,,"SUB IN by ROBERSON,JEFF",2
14:24,,,,,"SUB IN by KORNET,LUKE",,,"SUB IN by KORNET,LUKE",2
14:24,,,,,"SUB OUT by MOATS,SHELBY",,,"SUB OUT by MOATS,SHELBY",2
14:24,,,,,"SUB OUT by BALDWIN IV,WADE",,,"SUB OUT by BALDWIN IV,WADE",2
14:08,,,,,"MISS 3PTR by LACHANCE,RILEY",,,"MISS 3PTR by LACHANCE,RILEY",2
--,,,,,"REBOUND OFF by ROBERSON,JEFF",,,"REBOUND OFF by ROBERSON,JEFF",2
14:04,,,,,"MISS LAYUP by ROBERSON,JEFF",,,"MISS LAYUP by ROBERSON,JEFF",2
--,,,,,"REBOUND OFF by ROBERSON,JEFF",,,"REBOUND OFF by ROBERSON,JEFF",2
14:01,,18,,41 (+23),"GOOD LAYUP by ROBERSON,JEFF(in the paint)",VU 18-41 (-23),,"GOOD LAYUP by ROBERSON,JEFF(in the paint)",2
13:49,"GOOD JUMPER by CARTER,KESHONN(in the paint)",20,,41 (+21),,SEWANEE 20-41 (-21),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
13:35,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
13:35,,,,,"MISS FT by JONES,DAMIAN",,,"MISS FT by JONES,DAMIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:35,,20,,42 (+22),"GOOD FT by JONES,DAMIAN",VU 20-42 (-22),,"GOOD FT by JONES,DAMIAN",2
13:35,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
13:35,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
13:35,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
13:35,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
13:35,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
13:35,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
13:11,"GOOD 3PTR by TOME,MATT",23,,42 (+19),,SEWANEE 23-42 (-19),,"GOOD 3PTR by TOME,MATT",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
12:48,,23,,44 (+21),"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",VU 23-44 (-21),,"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",2
12:22,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",2
12:08,,23,,46 (+23),"GOOD LAYUP by KORNET,LUKE(in the paint)",VU 23-46 (-23),,"GOOD LAYUP by KORNET,LUKE(in the paint)",2
--,,,,,"ASSIST  by ROBERSON,JEFF",,,"ASSIST  by ROBERSON,JEFF",2
12:08,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
12:08,,23,,47 (+24),"GOOD FT by KORNET,LUKE",VU 23-47 (-24),,"GOOD FT by KORNET,LUKE",2
12:08,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
12:08,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
12:08,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
12:08,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
12:08,,,,,"SUB IN by HENDERSON,JOSH",,,"SUB IN by HENDERSON,JOSH",2
12:08,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",2
12:08,,,,,"SUB OUT by JONES,DAMIAN",,,"SUB OUT by JONES,DAMIAN",2
12:08,,,,,"SUB OUT by MITCHELL,SHELTON",,,"SUB OUT by MITCHELL,SHELTON",2
11:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:39,"GOOD 3PTR by STONE,BRODY",26,,47 (+21),,SEWANEE 26-47 (-21),,"GOOD 3PTR by STONE,BRODY",2
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",2
11:19,,26,,49 (+23),"GOOD LAYUP by BALDWIN IV,WADE(in the paint)",VU 26-49 (-23),,"GOOD LAYUP by BALDWIN IV,WADE(in the paint)",2
11:08,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
11:04,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",2
11:04,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
11:04,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
11:04,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
11:04,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
10:49,,26,,52 (+26),"GOOD 3PTR by BALDWIN IV,WADE",VU 26-52 (-26),,"GOOD 3PTR by BALDWIN IV,WADE",2
10:26,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
10:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:21,,,,,"SUB IN by MITCHELL,SHELTON",,,"SUB IN by MITCHELL,SHELTON",2
10:21,,,,,"SUB OUT by LACHANCE,RILEY",,,"SUB OUT by LACHANCE,RILEY",2
10:01,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
10:01,,,,,"STEAL  by ROBERSON,JEFF",,,"STEAL  by ROBERSON,JEFF",2
10:01,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
10:01,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
09:51,,26,,54 (+28),"GOOD LAYUP by ROBERSON,JEFF(in the paint)",VU 26-54 (-28),,"GOOD LAYUP by ROBERSON,JEFF(in the paint)",2
--,,,,,"ASSIST  by HENDERSON,JOSH",,,"ASSIST  by HENDERSON,JOSH",2
09:33,,,,,"FOUL  by ROBERSON,JEFF",,,"FOUL  by ROBERSON,JEFF",2
09:31,"MISS LAYUP by BORN,LEO",,,,,,,"MISS LAYUP by BORN,LEO",2
--,,,,,"REBOUND DEF by HENDERSON,JOSH",,,"REBOUND DEF by HENDERSON,JOSH",2
09:30,,,,,"TURNOVER  by BALDWIN IV,WADE",,,"TURNOVER  by BALDWIN IV,WADE",2
09:13,"GOOD 3PTR by BORN,LEO",29,,54 (+25),,SEWANEE 29-54 (-25),,"GOOD 3PTR by BORN,LEO",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
09:04,,29,,56 (+27),"GOOD LAYUP by HENDERSON,JOSH(in the paint)",VU 29-56 (-27),,"GOOD LAYUP by HENDERSON,JOSH(in the paint)",2
--,,,,,"ASSIST  by BALDWIN IV,WADE",,,"ASSIST  by BALDWIN IV,WADE",2
08:49,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by BALDWIN IV,WADE",,,"REBOUND DEF by BALDWIN IV,WADE",2
08:37,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
08:37,,,,,"MISS FT by KORNET,LUKE",,,"MISS FT by KORNET,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:37,,29,,57 (+28),"GOOD FT by KORNET,LUKE",VU 29-57 (-28),,"GOOD FT by KORNET,LUKE",2
08:37,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
08:37,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
08:37,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
08:37,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
08:24,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by ROBERSON,JEFF",,,"REBOUND DEF by ROBERSON,JEFF",2
07:54,,,,,"TURNOVER  by HENDERSON,JOSH",,,"TURNOVER  by HENDERSON,JOSH",2
07:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:54,,,,,"SUB IN by JONES,DAMIAN",,,"SUB IN by JONES,DAMIAN",2
07:54,,,,,"SUB OUT by HENDERSON,JOSH",,,"SUB OUT by HENDERSON,JOSH",2
07:39,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
07:32,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
07:20,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by KORNET,LUKE",,,"REBOUND DEF by KORNET,LUKE",2
07:11,,,,,"TURNOVER  by BALDWIN IV,WADE",,,"TURNOVER  by BALDWIN IV,WADE",2
07:09,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",2
07:06,"MISS 3PTR by MCCULLOUGH,JACOB",,,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",2
06:59,,,,,"MISS 3PTR by ROBERSON,JEFF",,,"MISS 3PTR by ROBERSON,JEFF",2
--,,,,,"REBOUND OFF by KORNET,LUKE",,,"REBOUND OFF by KORNET,LUKE",2
06:56,,29,,59 (+30),"GOOD LAYUP by KORNET,LUKE(in the paint)",VU 29-59 (-30),,"GOOD LAYUP by KORNET,LUKE(in the paint)",2
06:56,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
06:56,,,,,"MISS FT by KORNET,LUKE",,,"MISS FT by KORNET,LUKE",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
06:56,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",2
06:56,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
06:56,,,,,"SUB IN by LACHANCE,RILEY",,,"SUB IN by LACHANCE,RILEY",2
06:56,,,,,"SUB OUT by BALDWIN IV,WADE",,,"SUB OUT by BALDWIN IV,WADE",2
06:44,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by ROBERSON,JEFF",,,"REBOUND DEF by ROBERSON,JEFF",2
06:24,,,,,"TURNOVER  by ROBERSON,JEFF",,,"TURNOVER  by ROBERSON,JEFF",2
06:24,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
06:24,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
06:24,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
06:24,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
06:24,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
06:24,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
06:08,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,"REBOUND OFF by TURNER,BYRON",,,,,,,"REBOUND OFF by TURNER,BYRON",2
06:02,"GOOD 3PTR by TURNER,BYRON",32,,59 (+27),,SEWANEE 32-59 (-27),,"GOOD 3PTR by TURNER,BYRON",2
05:46,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
05:46,,32,,60 (+28),"GOOD FT by JONES,DAMIAN",VU 32-60 (-28),,"GOOD FT by JONES,DAMIAN",2
05:46,,32,,61 (+29),"GOOD FT by JONES,DAMIAN",VU 32-61 (-29),,"GOOD FT by JONES,DAMIAN",2
05:35,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
05:34,,,,,"STEAL  by JONES,DAMIAN",,,"STEAL  by JONES,DAMIAN",2
05:34,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
05:34,,,,,"MISS FT by JONES,DAMIAN",,,"MISS FT by JONES,DAMIAN",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
05:15,"GOOD JUMPER by CARTER,KESHONN(in the paint)",34,,61 (+27),,SEWANEE 34-61 (-27),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
04:56,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
04:41,,,,,"FOUL  by ROBERSON,JEFF",,,"FOUL  by ROBERSON,JEFF",2
04:41,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
04:41,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
04:41,,,,,"SUB IN by HENDERSON,JOSH",,,"SUB IN by HENDERSON,JOSH",2
04:41,,,,,"SUB IN by MOATS,SHELBY",,,"SUB IN by MOATS,SHELBY",2
04:41,,,,,"SUB OUT by JONES,DAMIAN",,,"SUB OUT by JONES,DAMIAN",2
04:41,,,,,"SUB OUT by KORNET,LUKE",,,"SUB OUT by KORNET,LUKE",2
04:24,"GOOD JUMPER by CARTER,KESHONN",36,,61 (+25),,SEWANEE 36-61 (-25),,"GOOD JUMPER by CARTER,KESHONN",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
04:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:11,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",2
04:11,,36,,62 (+26),"GOOD FT by LACHANCE,RILEY",VU 36-62 (-26),,"GOOD FT by LACHANCE,RILEY",2
04:11,,36,,63 (+27),"GOOD FT by LACHANCE,RILEY",VU 36-63 (-27),,"GOOD FT by LACHANCE,RILEY",2
04:11,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
04:11,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
03:55,"TURNOVER  by TURNER,BYRON",,,,,,,"TURNOVER  by TURNER,BYRON",2
03:54,,,,,"STEAL  by ROBERSON,JEFF",,,"STEAL  by ROBERSON,JEFF",2
03:51,,,,,"MISS LAYUP by LACHANCE,RILEY",,,"MISS LAYUP by LACHANCE,RILEY",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
03:39,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by HENDERSON,JOSH",,,"REBOUND DEF by HENDERSON,JOSH",2
03:26,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
03:26,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:26,,,,,"MISS FT by MOATS,SHELBY",,,"MISS FT by MOATS,SHELBY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:26,,36,,64 (+28),"GOOD FT by MOATS,SHELBY",VU 36-64 (-28),,"GOOD FT by MOATS,SHELBY",2
03:26,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
03:26,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
03:26,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",2
03:26,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
03:26,,,,,"SUB IN by JOSEPHS,CARTER",,,"SUB IN by JOSEPHS,CARTER",2
03:26,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",2
03:26,,,,,"SUB OUT by LACHANCE,RILEY",,,"SUB OUT by LACHANCE,RILEY",2
03:26,,,,,"SUB OUT by MITCHELL,SHELTON",,,"SUB OUT by MITCHELL,SHELTON",2
03:17,,,,,"FOUL  by BALDWIN IV,WADE",,,"FOUL  by BALDWIN IV,WADE",2
03:04,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by MOATS,SHELBY",,,"REBOUND DEF by MOATS,SHELBY",2
02:48,,,,,"MISS 3PTR by MOATS,SHELBY",,,"MISS 3PTR by MOATS,SHELBY",2
--,,,,,"REBOUND OFF by ROBERSON,JEFF",,,"REBOUND OFF by ROBERSON,JEFF",2
02:41,,,,,"TURNOVER  by BALDWIN IV,WADE",,,"TURNOVER  by BALDWIN IV,WADE",2
02:41,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
02:41,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
02:41,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
02:41,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
02:28,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
02:28,,,,,"BLOCK  by MOATS,SHELBY",,,"BLOCK  by MOATS,SHELBY",2
--,,,,,"REBOUND DEF by HENDERSON,JOSH",,,"REBOUND DEF by HENDERSON,JOSH",2
02:19,,,,,"MISS JUMPER by BALDWIN IV,WADE",,,"MISS JUMPER by BALDWIN IV,WADE",2
--,,,,,"REBOUND OFF by ROBERSON,JEFF",,,"REBOUND OFF by ROBERSON,JEFF",2
02:13,,,,,"MISS 3PTR by ROBERSON,JEFF",,,"MISS 3PTR by ROBERSON,JEFF",2
--,,,,,"REBOUND OFF by MOATS,SHELBY",,,"REBOUND OFF by MOATS,SHELBY",2
01:58,,36,,66 (+30),"GOOD LAYUP by BALDWIN IV,WADE(in the paint)",VU 36-66 (-30),,"GOOD LAYUP by BALDWIN IV,WADE(in the paint)",2
01:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:58,,,,,"SUB IN by MCGLOIN,PHILIP",,,"SUB IN by MCGLOIN,PHILIP",2
01:58,,,,,"SUB IN by WATKINS,NATHAN",,,"SUB IN by WATKINS,NATHAN",2
01:58,,,,,"SUB OUT by ROBERSON,JEFF",,,"SUB OUT by ROBERSON,JEFF",2
01:58,,,,,"SUB OUT by BALDWIN IV,WADE",,,"SUB OUT by BALDWIN IV,WADE",2
01:27,"GOOD JUMPER by CALDWELL,MARCELLUS",38,,66 (+28),,SEWANEE 38-66 (-28),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
01:00,,,,,"MISS JUMPER by HENDERSON,JOSH",,,"MISS JUMPER by HENDERSON,JOSH",2
--,,,,,"REBOUND OFF by MOATS,SHELBY",,,"REBOUND OFF by MOATS,SHELBY",2
00:57,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
00:57,,,,,"MISS FT by MOATS,SHELBY",,,"MISS FT by MOATS,SHELBY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:57,,38,,67 (+29),"GOOD FT by MOATS,SHELBY",VU 38-67 (-29),,"GOOD FT by MOATS,SHELBY",2
00:57,"SUB IN by CLENDENEN,MATT",,,,,,,"SUB IN by CLENDENEN,MATT",2
00:57,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
00:57,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
00:57,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
00:37,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by HENDERSON,JOSH",,,"REBOUND DEF by HENDERSON,JOSH",2
00:20,,,,,"MISS 3PTR by MOATS,SHELBY",,,"MISS 3PTR by MOATS,SHELBY",2
--,,,,,"REBOUND OFF by JOSEPHS,CARTER",,,"REBOUND OFF by JOSEPHS,CARTER",2
00:05,,,,,"MISS JUMPER by HENDERSON,JOSH",,,"MISS JUMPER by HENDERSON,JOSH",2
00:05,"BLOCK  by CLENDENEN,MATT",,,,,,,"BLOCK  by CLENDENEN,MATT",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
