Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
07:49,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by TURNER,BYRON",,,,,,,"REBOUND DEF by TURNER,BYRON",1
07:41,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
07:39,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
07:39,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
07:05,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
07:05,,9,,17 (+8),"GOOD FT by HOECK,RYAN VAN",RHODES 9-17 (-8),,"GOOD FT by HOECK,RYAN VAN",1
07:05,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
07:05,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
07:05,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
07:05,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
07:05,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
06:42,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
06:24,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND OFF by MCCULLOUGH,JACOB",,,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",1
06:18,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",11,,17 (+6),,SEWANEE 11-17 (-6),,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",1
05:48,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
05:11,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
05:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
05:10,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
05:10,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
05:10,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
05:10,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
04:57,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
04:36,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
04:35,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
04:35,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
04:35,,11,,18 (+7),"GOOD FT by SULLIVAN,BRENNAN",RHODES 11-18 (-7),,"GOOD FT by SULLIVAN,BRENNAN",1
04:35,,11,,19 (+8),"GOOD FT by SULLIVAN,BRENNAN",RHODES 11-19 (-8),,"GOOD FT by SULLIVAN,BRENNAN",1
04:35,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
04:35,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
04:35,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
04:35,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
04:35,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:35,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
04:22,"GOOD JUMPER by BROWN,SETH(in the paint)",13,,19 (+6),,SEWANEE 13-19 (-6),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
04:22,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
04:22,"MISS FT by BROWN,SETH",,,,,,,"MISS FT by BROWN,SETH",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
04:22,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:22,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
04:10,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
03:48,"GOOD LAYUP by BROWN,SETH(in the paint)",15,,19 (+4),,SEWANEE 15-19 (-4),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",1
03:34,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
03:18,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
03:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:02,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
03:02,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
03:02,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
03:02,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
02:51,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
02:51,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
02:41,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
02:13,,15,,21 (+6),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RHODES 15-21 (-6),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
