Time Remaining,OGLETHOR,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
03:20,,22,,34 (+12),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 22-34 (+12),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",1
03:08,"GOOD 3PTR by SMITH,CONNOR",25,,34 (+9),,OGLETHOR 25-34 (+9),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",1
02:43,,25,,37 (+12),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 25-37 (+12),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",1
02:18,"GOOD LAYUP by BATES,ROMELLO(in the paint)",27,,37 (+10),,OGLETHOR 27-37 (+10),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",1
02:18,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
02:18,"GOOD FT by BATES,ROMELLO",28,,37 (+9),,OGLETHOR 28-37 (+9),,"GOOD FT by BATES,ROMELLO",1
02:18,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
02:18,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
02:18,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
02:18,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
02:17,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
02:17,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
01:54,,,,,"MISS JUMPER by TURNER,BYRON",,,"MISS JUMPER by TURNER,BYRON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:43,,28,,40 (+12),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 28-40 (+12),,"GOOD 3PTR by WILLIAMS,JORDEN",1
01:30,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
01:17,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",1
01:07,,,,,"FOUL  by TURNER,BYRON",,,"FOUL  by TURNER,BYRON",1
01:07,"MISS FT by WARDLAW,CHASE",,,,,,,"MISS FT by WARDLAW,CHASE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
