Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
15:41,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",2
15:41,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",2
15:38,,,,,"TURNOVER  by KELL,RYAN",,,"TURNOVER  by KELL,RYAN",2
15:36,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",2
15:35,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",32 (+4),,28,,BSC-M 32-28 (+4),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
15:05,,32 (+2),,30,"GOOD JUMPER by MAYO-SMITH,CHRIS(in the paint)",CCM 32-30 (+2),,"GOOD JUMPER by MAYO-SMITH,CHRIS(in the paint)",2
--,,,,,"ASSIST  by WEBB,DANIEL",,,"ASSIST  by WEBB,DANIEL",2
14:48,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
14:47,,,,,"STEAL  by REWOLDT,IAN",,,"STEAL  by REWOLDT,IAN",2
14:22,,,,,"TURNOVER  by MAYO-SMITH,CHRIS",,,"TURNOVER  by MAYO-SMITH,CHRIS",2
14:21,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",2
14:19,,,,,"FOUL  by MAYO-SMITH,CHRIS",,,"FOUL  by MAYO-SMITH,CHRIS",2
14:19,,,,,"FOUL TECH by MAYO-SMITH,CHRIS",,,"FOUL TECH by MAYO-SMITH,CHRIS",2
14:19,"GOOD FT by KEGARISE,KEVIN",33 (+3),,30,,BSC-M 33-30 (+3),,"GOOD FT by KEGARISE,KEVIN",2
14:19,"GOOD FT by KEGARISE,KEVIN",34 (+4),,30,,BSC-M 34-30 (+4),,"GOOD FT by KEGARISE,KEVIN",2
14:16,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
14:16,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
14:16,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
14:16,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
14:16,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
14:16,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
14:16,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
14:16,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
14:16,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
14:16,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
14:08,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",2
14:08,,34 (+3),,31,"GOOD FT by LESNANSKY,CHRIS",CCM 34-31 (+3),,"GOOD FT by LESNANSKY,CHRIS",2
14:08,,,,,"MISS FT by LESNANSKY,CHRIS",,,"MISS FT by LESNANSKY,CHRIS",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
14:08,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
14:08,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
14:08,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",2
14:08,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
13:47,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
13:43,"GOOD LAYUP by THOMAS,LARRY(in the paint)",36 (+5),,31,,BSC-M 36-31 (+5),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
13:28,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
13:06,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,,,,,"REBOUND DEF by WEBB,DANIEL",,,"REBOUND DEF by WEBB,DANIEL",2
12:41,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
12:23,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
12:23,,36 (+4),,32,"GOOD FT by WEBB,DANIEL",CCM 36-32 (+4),,"GOOD FT by WEBB,DANIEL",2
12:23,,,,,"MISS FT by WEBB,DANIEL",,,"MISS FT by WEBB,DANIEL",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
11:49,"GOOD LAYUP by HENRY,COLIN(in the paint)",38 (+6),,32,,BSC-M 38-32 (+6),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
11:40,,,,,"TURNOVER  by KELL,RYAN",,,"TURNOVER  by KELL,RYAN",2
11:38,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
11:37,"GOOD LAYUP by HOLLAND,JASON(in the paint)",40 (+8),,32,,BSC-M 40-32 (+8),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",2
11:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:24,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
11:24,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
11:24,,,,,"SUB IN by HOWARD,JOE",,,"SUB IN by HOWARD,JOE",2
11:24,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",2
11:13,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
11:04,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",2
11:04,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",2
11:04,,,,,"SUB OUT by HOWARD,JOE",,,"SUB OUT by HOWARD,JOE",2
10:40,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,,,,,"REBOUND DEF by MAYO-SMITH,CHRIS",,,"REBOUND DEF by MAYO-SMITH,CHRIS",2
10:06,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",2
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",2
09:59,,40 (+6),,34,"GOOD LAYUP by REWOLDT,IAN(in the paint)",CCM 40-34 (+6),,"GOOD LAYUP by REWOLDT,IAN(in the paint)",2
09:52,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",2
09:52,"GOOD FT by THOMAS,LARRY",41 (+7),,34,,BSC-M 41-34 (+7),,"GOOD FT by THOMAS,LARRY",2
09:52,"GOOD FT by THOMAS,LARRY",42 (+8),,34,,BSC-M 42-34 (+8),,"GOOD FT by THOMAS,LARRY",2
09:52,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
09:52,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
09:52,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
09:52,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
09:52,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
09:52,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
09:52,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
09:52,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
09:52,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",2
09:52,,,,,"SUB OUT by KELL,RYAN",,,"SUB OUT by KELL,RYAN",2
09:32,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
09:22,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
09:11,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by TRAMUTOLO,JAKE",,,"REBOUND DEF by TRAMUTOLO,JAKE",2
08:50,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",2
--,,,,,"REBOUND OFF by LESNANSKY,CHRIS",,,"REBOUND OFF by LESNANSKY,CHRIS",2
08:47,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
08:38,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",2
--,,,,,"REBOUND OFF by MAYO-SMITH,CHRIS",,,"REBOUND OFF by MAYO-SMITH,CHRIS",2
08:18,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",2
--,,,,,"REBOUND OFF by MAYO-SMITH,CHRIS",,,"REBOUND OFF by MAYO-SMITH,CHRIS",2
08:08,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
08:06,,,,,"FOUL  by MAYO-SMITH,CHRIS",,,"FOUL  by MAYO-SMITH,CHRIS",2
08:06,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
08:06,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
08:06,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
08:06,,,,,"SUB IN by HOWARD,JOE",,,"SUB IN by HOWARD,JOE",2
08:06,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
08:02,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",2
07:42,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
07:42,,,,,"MISS FT by HOWARD,JOE",,,"MISS FT by HOWARD,JOE",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
07:42,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
07:42,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
07:42,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",2
07:42,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",2
07:19,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
07:12,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",44 (+10),,34,,BSC-M 44-34 (+10),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
07:12,,,,,"FOUL  by HOWARD,JOE",,,"FOUL  by HOWARD,JOE",2
07:12,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by WEBB,DANIEL",,,"REBOUND DEF by WEBB,DANIEL",2
07:12,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",2
07:12,,,,,"SUB OUT by HOWARD,JOE",,,"SUB OUT by HOWARD,JOE",2
06:51,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
06:51,,44 (+9),,35,"GOOD FT by REWOLDT,IAN",CCM 44-35 (+9),,"GOOD FT by REWOLDT,IAN",2
06:51,,,,,"MISS FT by REWOLDT,IAN",,,"MISS FT by REWOLDT,IAN",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
06:51,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
06:51,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
06:51,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
06:51,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
06:51,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
06:51,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
06:51,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",2
06:51,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
06:37,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
06:19,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",2
06:19,,,,,"BLOCK  by WEBB,DANIEL",,,"BLOCK  by WEBB,DANIEL",2
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",2
06:14,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
06:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:08,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
06:08,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
06:08,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",2
06:08,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",2
05:54,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",2
05:54,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:54,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",2
05:54,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",2
05:54,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
05:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:25,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
04:53,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:29,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
04:07,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
04:07,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
04:07,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
04:07,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
04:07,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
04:07,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
04:07,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
04:07,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
04:07,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
04:07,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
04:07,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
04:07,,,,,"SUB IN by HOWARD,JOE",,,"SUB IN by HOWARD,JOE",2
04:07,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",2
03:53,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:45,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
03:45,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
03:36,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",2
03:36,,,,,"SUB OUT by HOWARD,JOE",,,"SUB OUT by HOWARD,JOE",2
03:21,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
03:21,,44 (+8),,36,"GOOD FT by REWOLDT,IAN",CCM 44-36 (+8),,"GOOD FT by REWOLDT,IAN",2
03:21,,44 (+7),,37,"GOOD FT by REWOLDT,IAN",CCM 44-37 (+7),,"GOOD FT by REWOLDT,IAN",2
03:21,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
03:21,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
03:21,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",2
03:21,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",2
03:02,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",46 (+9),,37,,BSC-M 46-37 (+9),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
02:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:58,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
02:58,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
02:58,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
02:58,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
02:58,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
02:58,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
02:58,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",2
02:58,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
02:43,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",2
02:43,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
02:43,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
02:43,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
02:43,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
02:43,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
02:43,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
02:43,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",2
02:43,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",2
02:27,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",48 (+11),,37,,BSC-M 48-37 (+11),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
02:07,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
02:07,,48 (+10),,38,"GOOD FT by REWOLDT,IAN",CCM 48-38 (+10),,"GOOD FT by REWOLDT,IAN",2
02:07,,48 (+9),,39,"GOOD FT by REWOLDT,IAN",CCM 48-39 (+9),,"GOOD FT by REWOLDT,IAN",2
02:07,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",2
02:07,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",2
01:32,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:28,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
01:28,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
01:28,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
01:28,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
01:28,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
01:28,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
01:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:03,,,,,"MISS 3PTR by WEBB,DANIEL",,,"MISS 3PTR by WEBB,DANIEL",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
01:00,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
01:00,,,,,"MISS FT by LESNANSKY,CHRIS",,,"MISS FT by LESNANSKY,CHRIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:00,,48 (+8),,40,"GOOD FT by LESNANSKY,CHRIS",CCM 48-40 (+8),,"GOOD FT by LESNANSKY,CHRIS",2
01:00,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
01:00,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:00,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
01:00,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:00,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
01:00,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:55,,,,,"FOUL  by WEBB,DANIEL",,,"FOUL  by WEBB,DANIEL",2
00:55,"GOOD FT by KEGARISE,KEVIN",49 (+9),,40,,BSC-M 49-40 (+9),,"GOOD FT by KEGARISE,KEVIN",2
00:55,"GOOD FT by KEGARISE,KEVIN",50 (+10),,40,,BSC-M 50-40 (+10),,"GOOD FT by KEGARISE,KEVIN",2
00:55,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:55,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:55,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:55,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:55,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:55,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
00:55,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",2
00:55,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",2
00:49,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
00:45,,,,,"FOUL  by REWOLDT,IAN",,,"FOUL  by REWOLDT,IAN",2
00:45,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:45,"GOOD FT by WHITE,BLAISE",51 (+11),,40,,BSC-M 51-40 (+11),,"GOOD FT by WHITE,BLAISE",2
00:33,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",2
--,,,,,"REBOUND OFF by KELL,RYAN",,,"REBOUND OFF by KELL,RYAN",2
00:24,,51 (+9),,42,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 51-42 (+9),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",2
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",2
00:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
00:21,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
00:21,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
00:21,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
00:21,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:21,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:20,,,,,"FOUL  by TRAMUTOLO,JAKE",,,"FOUL  by TRAMUTOLO,JAKE",2
00:20,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
