Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SMMB,Game Score,Team Indicator,Play,Period
00:33,"GOOD FT by SHELTON,MIGUEL",84 (+16),,68,,BSC 84-68 (+16),,"GOOD FT by SHELTON,MIGUEL",2
00:33,"GOOD FT by SHELTON,MIGUEL",85 (+17),,68,,BSC 85-68 (+17),,"GOOD FT by SHELTON,MIGUEL",2
00:18,,,,,"TURNOVER  by MORTIMER,GEORGE",,,"TURNOVER  by MORTIMER,GEORGE",2
00:17,"STEAL  by GALFSKY,ANDER",,,,,,,"STEAL  by GALFSKY,ANDER",2
00:13,"MISS LAYUP by GALFSKY,ANDER",,,,,,,"MISS LAYUP by GALFSKY,ANDER",2
--,,,,,"REBOUND DEF by STOREY,TANNER",,,"REBOUND DEF by STOREY,TANNER",2
00:08,"FOUL  by OLAFSSON,ODDUR",,,,,,,"FOUL  by OLAFSSON,ODDUR",2
00:08,,85 (+16),,69,"GOOD FT by MORTIMER,GEORGE",SMMB 85-69 (+16),,"GOOD FT by MORTIMER,GEORGE",2
00:08,,85 (+15),,70,"GOOD FT by MORTIMER,GEORGE",SMMB 85-70 (+15),,"GOOD FT by MORTIMER,GEORGE",2
00:02,"TURNOVER  by OLAFSSON,ODDUR",,,,,,,"TURNOVER  by OLAFSSON,ODDUR",2
00:01,,,,,"STEAL  by ALEXANDER,BRIAN",,,"STEAL  by ALEXANDER,BRIAN",2
00:00,,85 (+13),,72,"GOOD LAYUP by ALEXANDER,BRIAN(fastbreak)(in the paint)",SMMB 85-72 (+13),,"GOOD LAYUP by ALEXANDER,BRIAN(fastbreak)(in the paint)",2
00:00,"FOUL  by OLAFSSON,ODDUR",,,,,,,"FOUL  by OLAFSSON,ODDUR",2
00:00,,85 (+12),,73,"GOOD FT by ALEXANDER,BRIAN",SMMB 85-73 (+12),,"GOOD FT by ALEXANDER,BRIAN",2
