Time Remaining,UDMB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
11:19,"MISS FT by STEPHENS,JOE",,,,,,,"MISS FT by STEPHENS,JOE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:19,"GOOD FT by STEPHENS,JOE",34,,65 (+31),,UDMB 34-65 (+31),,"GOOD FT by STEPHENS,JOE",2
11:06,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
11:03,"STEAL  by ASSINESI,DREW",,,,,,,"STEAL  by ASSINESI,DREW",2
10:55,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",2
10:53,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
10:49,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
10:40,"TURNOVER  by ASSINESI,DREW",,,,,,,"TURNOVER  by ASSINESI,DREW",2
10:38,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
10:33,,34,,67 (+33),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 34-67 (+33),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
10:17,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
10:07,"FOUL  by STEPHENS,JOE",,,,,,,"FOUL  by STEPHENS,JOE",2
10:07,,34,,68 (+34),"GOOD FT by HENRY,COLIN",BSC 34-68 (+34),,"GOOD FT by HENRY,COLIN",2
10:07,,34,,69 (+35),"GOOD FT by HENRY,COLIN",BSC 34-69 (+35),,"GOOD FT by HENRY,COLIN",2
09:54,"GOOD 3PTR by STEPHENS,JOE",37,,69 (+32),,UDMB 37-69 (+32),,"GOOD 3PTR by STEPHENS,JOE",2
--,"ASSIST  by ASSINESI,DREW",,,,,,,"ASSIST  by ASSINESI,DREW",2
09:36,,37,,72 (+35),"GOOD 3PTR by WHITE,BLAISE",BSC 37-72 (+35),,"GOOD 3PTR by WHITE,BLAISE",2
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",2
09:15,"GOOD 3PTR by SMITH,DECKER",40,,72 (+32),,UDMB 40-72 (+32),,"GOOD 3PTR by SMITH,DECKER",2
--,"ASSIST  by STEPHENS,JOE",,,,,,,"ASSIST  by STEPHENS,JOE",2
08:58,,40,,74 (+34),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 40-74 (+34),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
08:40,"MISS JUMPER by SMITH,DECKER",,,,,,,"MISS JUMPER by SMITH,DECKER",2
--,"REBOUND OFF by BRUFFEY,TANNER",,,,,,,"REBOUND OFF by BRUFFEY,TANNER",2
08:28,"GOOD LAYUP by HIGHTOWER,BRAETON(in the paint)",42,,74 (+32),,UDMB 42-74 (+32),,"GOOD LAYUP by HIGHTOWER,BRAETON(in the paint)",2
--,"ASSIST  by BRUFFEY,TANNER",,,,,,,"ASSIST  by BRUFFEY,TANNER",2
08:20,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",2
08:19,"STEAL  by SMITH,DECKER",,,,,,,"STEAL  by SMITH,DECKER",2
08:13,"MISS 3PTR by ASSINESI,DREW",,,,,,,"MISS 3PTR by ASSINESI,DREW",2
--,"REBOUND OFF by BRUFFEY,TANNER",,,,,,,"REBOUND OFF by BRUFFEY,TANNER",2
08:09,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",2
08:09,"MISS FT by BRUFFEY,TANNER",,,,,,,"MISS FT by BRUFFEY,TANNER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:09,"GOOD FT by BRUFFEY,TANNER",43,,74 (+31),,UDMB 43-74 (+31),,"GOOD FT by BRUFFEY,TANNER",2
07:46,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
07:37,"MISS LAYUP by WYATT,AARON",,,,,,,"MISS LAYUP by WYATT,AARON",2
07:37,,,,,"BLOCK  by MURPHY,NICK",,,"BLOCK  by MURPHY,NICK",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
07:25,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
07:14,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",2
07:14,"MISS FT by ASSINESI,DREW",,,,,,,"MISS FT by ASSINESI,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:14,"MISS FT by ASSINESI,DREW",,,,,,,"MISS FT by ASSINESI,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:14,"GOOD FT by ASSINESI,DREW",44,,74 (+30),,UDMB 44-74 (+30),,"GOOD FT by ASSINESI,DREW",2
06:51,,44,,77 (+33),"GOOD 3PTR by SCHAMP,GRIFFIN",BSC 44-77 (+33),,"GOOD 3PTR by SCHAMP,GRIFFIN",2
--,,,,,"ASSIST  by OLAFSSON,ODDUR",,,"ASSIST  by OLAFSSON,ODDUR",2
06:34,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",2
06:34,"GOOD FT by STEPHENS,JOE",45,,77 (+32),,UDMB 45-77 (+32),,"GOOD FT by STEPHENS,JOE",2
06:34,"GOOD FT by STEPHENS,JOE",46,,77 (+31),,UDMB 46-77 (+31),,"GOOD FT by STEPHENS,JOE",2
06:17,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",,,"MISS JUMPER by FREEMAN,SCHYLAR",2
06:17,"BLOCK  by WYATT,AARON",,,,,,,"BLOCK  by WYATT,AARON",2
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",2
06:08,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",2
06:08,,,,,"BLOCK  by FREEMAN,SCHYLAR",,,"BLOCK  by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
05:49,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND OFF by OLAFSSON,ODDUR",,,"REBOUND OFF by OLAFSSON,ODDUR",2
05:18,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
05:10,"TURNOVER  by ASSINESI,DREW",,,,,,,"TURNOVER  by ASSINESI,DREW",2
05:08,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",2
05:05,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
05:04,"STEAL  by HIGHTOWER,BRAETON",,,,,,,"STEAL  by HIGHTOWER,BRAETON",2
04:58,"MISS 3PTR by ASSINESI,DREW",,,,,,,"MISS 3PTR by ASSINESI,DREW",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
04:58,"FOUL  by WYATT,AARON",,,,,,,"FOUL  by WYATT,AARON",2
04:34,,46,,79 (+33),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 46-79 (+33),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by OLAFSSON,ODDUR",,,"ASSIST  by OLAFSSON,ODDUR",2
04:18,"MISS 3PTR by HIGHTOWER,BRAETON",,,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
03:49,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
03:47,"STEAL  by HIGHTOWER,BRAETON",,,,,,,"STEAL  by HIGHTOWER,BRAETON",2
03:43,"GOOD 3PTR by BRUFFEY,TANNER",49,,79 (+30),,UDMB 49-79 (+30),,"GOOD 3PTR by BRUFFEY,TANNER",2
03:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:18,,49,,81 (+32),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 49-81 (+32),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by NEINER,JOSEPH",,,"ASSIST  by NEINER,JOSEPH",2
03:04,"MISS 3PTR by ALDAZ,STEVEN",,,,,,,"MISS 3PTR by ALDAZ,STEVEN",2
--,"REBOUND OFF by GUSTAFSON,GARRETT",,,,,,,"REBOUND OFF by GUSTAFSON,GARRETT",2
02:58,"MISS LAYUP by KELLY,DONOVAN",,,,,,,"MISS LAYUP by KELLY,DONOVAN",2
--,,,,,"REBOUND DEF by NEINER,JOSEPH",,,"REBOUND DEF by NEINER,JOSEPH",2
02:41,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
02:38,"STEAL  by ALDAZ,STEVEN",,,,,,,"STEAL  by ALDAZ,STEVEN",2
02:33,"GOOD LAYUP by KELLY,DONOVAN(in the paint)",51,,81 (+30),,UDMB 51-81 (+30),,"GOOD LAYUP by KELLY,DONOVAN(in the paint)",2
--,"ASSIST  by GUSTAFSON,GARRETT",,,,,,,"ASSIST  by GUSTAFSON,GARRETT",2
02:08,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,"REBOUND DEF by ALDAZ,STEVEN",,,,,,,"REBOUND DEF by ALDAZ,STEVEN",2
01:58,"MISS JUMPER by BLACKBURN,BLAINE",,,,,,,"MISS JUMPER by BLACKBURN,BLAINE",2
--,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",,,"REBOUND DEF by MARSCHNER,BRENDAN",2
01:45,,,,,"TURNOVER  by MARSCHNER,BRENDAN",,,"TURNOVER  by MARSCHNER,BRENDAN",2
01:44,"STEAL  by ALDAZ,STEVEN",,,,,,,"STEAL  by ALDAZ,STEVEN",2
01:40,"GOOD LAYUP by KELLY,DONOVAN(in the paint)",53,,81 (+28),,UDMB 53-81 (+28),,"GOOD LAYUP by KELLY,DONOVAN(in the paint)",2
--,"ASSIST  by ALDAZ,STEVEN",,,,,,,"ASSIST  by ALDAZ,STEVEN",2
01:28,,,,,"MISS 3PTR by NEINER,JOSEPH",,,"MISS 3PTR by NEINER,JOSEPH",2
--,"REBOUND DEF by KELLY,DONOVAN",,,,,,,"REBOUND DEF by KELLY,DONOVAN",2
01:14,"GOOD JUMPER by GUSTAFSON,GARRETT",55,,81 (+26),,UDMB 55-81 (+26),,"GOOD JUMPER by GUSTAFSON,GARRETT",2
00:57,"FOUL  by KELLY,DONOVAN",,,,,,,"FOUL  by KELLY,DONOVAN",2
00:57,,55,,82 (+27),"GOOD FT by GALFSKY,ANDER",BSC 55-82 (+27),,"GOOD FT by GALFSKY,ANDER",2
00:57,,,,,"MISS FT by GALFSKY,ANDER",,,"MISS FT by GALFSKY,ANDER",2
--,"REBOUND DEF by BLACKBURN,BLAINE",,,,,,,"REBOUND DEF by BLACKBURN,BLAINE",2
00:51,"TURNOVER  by BAMBACE,SEAN",,,,,,,"TURNOVER  by BAMBACE,SEAN",2
00:37,,,,,"TURNOVER  by NEINER,JOSEPH",,,"TURNOVER  by NEINER,JOSEPH",2
00:34,"STEAL  by GUSTAFSON,GARRETT",,,,,,,"STEAL  by GUSTAFSON,GARRETT",2
00:31,"GOOD LAYUP by GUSTAFSON,GARRETT(in the paint)",57,,82 (+25),,UDMB 57-82 (+25),,"GOOD LAYUP by GUSTAFSON,GARRETT(in the paint)",2
00:28,,,,,"TURNOVER  by GALFSKY,ANDER",,,"TURNOVER  by GALFSKY,ANDER",2
00:28,"STEAL  by BAMBACE,SEAN",,,,,,,"STEAL  by BAMBACE,SEAN",2
00:26,"GOOD JUMPER by BAMBACE,SEAN",59,,82 (+23),,UDMB 59-82 (+23),,"GOOD JUMPER by BAMBACE,SEAN",2
00:23,"FOUL  by BLACKBURN,BLAINE",,,,,,,"FOUL  by BLACKBURN,BLAINE",2
00:08,,,,,"TURNOVER  by OLAFSSON,ODDUR",,,"TURNOVER  by OLAFSSON,ODDUR",2
00:06,"STEAL  by GUSTAFSON,GARRETT",,,,,,,"STEAL  by GUSTAFSON,GARRETT",2
00:02,"TURNOVER  by BAMBACE,SEAN",,,,,,,"TURNOVER  by BAMBACE,SEAN",2
