Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
10:17,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
10:17,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
10:17,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
10:17,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
10:17,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:17,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
10:17,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:17,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
10:17,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
10:17,,,,,"SUB IN by MARTIN,AMMON",,,"SUB IN by MARTIN,AMMON",1
10:17,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",1
10:17,,,,,"SUB OUT by GOODMAN,CHRIS",,,"SUB OUT by GOODMAN,CHRIS",1
10:17,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
10:10,"GOOD LAYUP by WHITE,BLAISE(in the paint)",19 (+5),,14,,BSC-M 19-14 (+5),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
10:05,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
09:56,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:23,,19 (+3),,16,"GOOD JUMPER by MARTIN,AMMON",HC 19-16 (+3),,"GOOD JUMPER by MARTIN,AMMON",1
08:54,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
08:54,"GOOD FT by RICHARDS,ZAC",20 (+4),,16,,BSC-M 20-16 (+4),,"GOOD FT by RICHARDS,ZAC",1
08:54,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by SHERIDAN,DAYTON",,,"REBOUND DEF by SHERIDAN,DAYTON",1
08:54,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",1
08:54,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
08:46,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
08:46,,,,,"SUB IN by GRAHAM,JOSH",,,"SUB IN by GRAHAM,JOSH",1
08:46,,,,,"SUB OUT by MAINER,ZACH",,,"SUB OUT by MAINER,ZACH",1
08:30,,20 (+1),,19,"GOOD 3PTR by MARTIN,AMMON",HC 20-19 (+1),,"GOOD 3PTR by MARTIN,AMMON",1
--,,,,,"ASSIST  by GRAHAM,JOSH",,,"ASSIST  by GRAHAM,JOSH",1
08:17,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",1
08:07,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
07:36,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",,,"MISS 3PTR by MCCUBBIN,NATHAN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
07:29,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",22 (+3),,19,,BSC-M 22-19 (+3),,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
06:56,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
06:41,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by SHERIDAN,DAYTON",,,"REBOUND DEF by SHERIDAN,DAYTON",1
06:33,,,,,"MISS LAYUP by MARTIN,AMMON",,,"MISS LAYUP by MARTIN,AMMON",1
--,,,,,"REBOUND OFF by GRAHAM,JOSH",,,"REBOUND OFF by GRAHAM,JOSH",1
06:25,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:25,,,,,"MISS FT by MARTIN,AMMON",,,"MISS FT by MARTIN,AMMON",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
06:25,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
