Time Remaining,CLK,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
00:05,"BLOCK  by RENSHAW,MITCH",,,,,,,"BLOCK  by RENSHAW,MITCH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:00,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",1
--,"REBOUND DEF by CURLEY,TRAVIS",,,,,,,"REBOUND DEF by CURLEY,TRAVIS",1
19:41,"FOUL  by CURLEY,TRAVIS",,,,,,,"FOUL  by CURLEY,TRAVIS",2
19:32,,33,,36 (+3),"GOOD 3PTR by WHITE,BLAISE",BSC 33-36 (+3),,"GOOD 3PTR by WHITE,BLAISE",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
19:05,"GOOD JUMPER by CURLEY,TRAVIS",35,,36 (+1),,CLK 35-36 (+1),,"GOOD JUMPER by CURLEY,TRAVIS",2
18:52,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",2
--,"REBOUND DEF by DESAUTELS,TOM",,,,,,,"REBOUND DEF by DESAUTELS,TOM",2
18:41,"TURNOVER  by ESBORN,TUCKER",,,,,,,"TURNOVER  by ESBORN,TUCKER",2
18:25,,35,,38 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 35-38 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
18:01,"MISS 3PTR by ARMSTRONG,MARCUS",,,,,,,"MISS 3PTR by ARMSTRONG,MARCUS",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
17:51,"FOUL  by BILLINGTON,DREW",,,,,,,"FOUL  by BILLINGTON,DREW",2
17:51,,35,,39 (+4),"GOOD FT by WHITE,BLAISE",BSC 35-39 (+4),,"GOOD FT by WHITE,BLAISE",2
17:51,,,,,"MISS FT by WHITE,BLAISE",,,"MISS FT by WHITE,BLAISE",2
--,"REBOUND DEF by RENSHAW,MITCH",,,,,,,"REBOUND DEF by RENSHAW,MITCH",2
17:51,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",2
17:51,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",2
17:51,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",2
17:51,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",2
17:51,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",2
17:51,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",2
17:30,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",2
17:20,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",2
17:20,"MISS FT by CURLEY,TRAVIS",,,,,,,"MISS FT by CURLEY,TRAVIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:20,"GOOD FT by CURLEY,TRAVIS",36,,39 (+3),,CLK 36-39 (+3),,"GOOD FT by CURLEY,TRAVIS",2
17:20,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",2
17:20,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",2
17:01,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",2
--,"REBOUND DEF by GUBITOSE,JAKE",,,,,,,"REBOUND DEF by GUBITOSE,JAKE",2
16:40,"MISS 3PTR by GUBITOSE,JAKE",,,,,,,"MISS 3PTR by GUBITOSE,JAKE",2
--,"REBOUND OFF by GUBITOSE,JAKE",,,,,,,"REBOUND OFF by GUBITOSE,JAKE",2
16:32,"TURNOVER  by GUBITOSE,JAKE",,,,,,,"TURNOVER  by GUBITOSE,JAKE",2
16:32,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
16:29,"SUB IN by BILLINGTON,DREW",,,,,,,"SUB IN by BILLINGTON,DREW",2
16:29,"SUB IN by ARMSTRONG,MARCUS",,,,,,,"SUB IN by ARMSTRONG,MARCUS",2
16:29,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",2
16:29,"SUB OUT by CURLEY,TRAVIS",,,,,,,"SUB OUT by CURLEY,TRAVIS",2
16:17,"FOUL  by BILLINGTON,DREW",,,,,,,"FOUL  by BILLINGTON,DREW",2
16:17,,36,,40 (+4),"GOOD FT by HENRY,COLIN",BSC 36-40 (+4),,"GOOD FT by HENRY,COLIN",2
16:17,,36,,41 (+5),"GOOD FT by HENRY,COLIN",BSC 36-41 (+5),,"GOOD FT by HENRY,COLIN",2
15:37,"GOOD JUMPER by KARAS,JOHN",38,,41 (+3),,CLK 38-41 (+3),,"GOOD JUMPER by KARAS,JOHN",2
15:35,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",2
15:34,"STEAL  by BILLINGTON,DREW",,,,,,,"STEAL  by BILLINGTON,DREW",2
15:32,"GOOD LAYUP by BILLINGTON,DREW(fastbreak)(in the paint)",40,,41 (+1),,CLK 40-41 (+1),,"GOOD LAYUP by BILLINGTON,DREW(fastbreak)(in the paint)",2
15:28,"SUB IN by CURLEY,TRAVIS",,,,,,,"SUB IN by CURLEY,TRAVIS",2
15:28,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",2
15:28,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",2
15:28,"SUB OUT by KARAS,JOHN",,,,,,,"SUB OUT by KARAS,JOHN",2
15:28,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
15:28,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
15:28,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
15:28,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",2
15:28,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
15:28,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
15:28,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
15:28,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
15:28,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
15:28,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
15:25,"GOOD JUMPER by RENSHAW,MITCH",42 (+1),,41,,CLK 42-41 (-1),,"GOOD JUMPER by RENSHAW,MITCH",2
--,"ASSIST  by CURLEY,TRAVIS",,,,,,,"ASSIST  by CURLEY,TRAVIS",2
15:11,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
15:09,"STEAL  by RENSHAW,MITCH",,,,,,,"STEAL  by RENSHAW,MITCH",2
14:56,"TURNOVER  by ARMSTRONG,MARCUS",,,,,,,"TURNOVER  by ARMSTRONG,MARCUS",2
14:54,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",2
14:52,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",2
--,"REBOUND DEF by CURLEY,TRAVIS",,,,,,,"REBOUND DEF by CURLEY,TRAVIS",2
14:47,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",2
14:47,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",2
14:47,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",2
14:47,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",2
14:31,"MISS 3PTR by BILLINGTON,DREW",,,,,,,"MISS 3PTR by BILLINGTON,DREW",2
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",2
14:17,"FOUL  by ESBORN,TUCKER",,,,,,,"FOUL  by ESBORN,TUCKER",2
14:05,,42,,43 (+1),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 42-43 (+1),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
13:34,"MISS JUMPER by GUBITOSE,JAKE",,,,,,,"MISS JUMPER by GUBITOSE,JAKE",2
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",2
13:28,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND DEF by BILLINGTON,DREW",,,,,,,"REBOUND DEF by BILLINGTON,DREW",2
13:21,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
13:21,"GOOD FT by CURLEY,TRAVIS",43,,43,,CLK 43-43 (0),,"GOOD FT by CURLEY,TRAVIS",2
13:21,"MISS FT by CURLEY,TRAVIS",,,,,,,"MISS FT by CURLEY,TRAVIS",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
13:21,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",2
13:21,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",2
13:21,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",2
13:21,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",2
13:21,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",2
13:21,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",2
12:56,"SUB IN by ARMSTRONG,MARCUS",,,,,,,"SUB IN by ARMSTRONG,MARCUS",2
12:56,"SUB OUT by CURLEY,TRAVIS",,,,,,,"SUB OUT by CURLEY,TRAVIS",2
12:56,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",2
12:56,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
12:48,"FOUL  by KARAS,JOHN",,,,,,,"FOUL  by KARAS,JOHN",2
12:48,,43,,44 (+1),"GOOD FT by THOMAS,LARRY",BSC 43-44 (+1),,"GOOD FT by THOMAS,LARRY",2
12:48,,43,,45 (+2),"GOOD FT by THOMAS,LARRY",BSC 43-45 (+2),,"GOOD FT by THOMAS,LARRY",2
12:48,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",2
12:48,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",2
12:11,"MISS JUMPER by ARMSTRONG,MARCUS",,,,,,,"MISS JUMPER by ARMSTRONG,MARCUS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:49,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",2
--,"REBOUND DEF by RENSHAW,MITCH",,,,,,,"REBOUND DEF by RENSHAW,MITCH",2
11:26,"GOOD LAYUP by KARAS,JOHN(in the paint)",45,,45,,CLK 45-45 (0),,"GOOD LAYUP by KARAS,JOHN(in the paint)",2
11:26,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",2
11:26,"GOOD FT by KARAS,JOHN",46 (+1),,45,,CLK 46-45 (-1),,"GOOD FT by KARAS,JOHN",2
11:26,"SUB IN by CURLEY,TRAVIS",,,,,,,"SUB IN by CURLEY,TRAVIS",2
11:26,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",2
11:26,"SUB OUT by KARAS,JOHN",,,,,,,"SUB OUT by KARAS,JOHN",2
11:26,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",2
11:26,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",2
11:26,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",2
11:26,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
11:26,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
11:26,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
11:26,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
11:26,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
11:26,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
11:18,"MISS JUMPER by GUBITOSE,JAKE",,,,,,,"MISS JUMPER by GUBITOSE,JAKE",2
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",2
10:57,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",2
10:57,"MISS 3PTR by CURLEY,TRAVIS",,,,,,,"MISS 3PTR by CURLEY,TRAVIS",2
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",2
10:57,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",2
10:57,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",2
10:44,"FOUL  by DESAUTELS,TOM",,,,,,,"FOUL  by DESAUTELS,TOM",2
10:37,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",2
10:37,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",2
10:37,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",2
10:37,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",2
10:21,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",2
10:21,,46,,47 (+1),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 46-47 (+1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
09:25,"MISS JUMPER by ARMSTRONG,MARCUS",,,,,,,"MISS JUMPER by ARMSTRONG,MARCUS",2
--,"REBOUND OFF by ARMSTRONG,MARCUS",,,,,,,"REBOUND OFF by ARMSTRONG,MARCUS",2
09:21,"GOOD JUMPER by RENSHAW,MITCH",48 (+1),,47,,CLK 48-47 (-1),,"GOOD JUMPER by RENSHAW,MITCH",2
09:05,,48,,49 (+1),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 48-49 (+1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
08:33,"GOOD 3PTR by ARMSTRONG,MARCUS",51 (+2),,49,,CLK 51-49 (-2),,"GOOD 3PTR by ARMSTRONG,MARCUS",2
08:03,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND OFF by GALFSKY,ANDER",,,"REBOUND OFF by GALFSKY,ANDER",2
08:02,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",2
08:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:02,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",2
08:02,"SUB IN by BILLINGTON,DREW",,,,,,,"SUB IN by BILLINGTON,DREW",2
08:02,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",2
08:02,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",2
08:02,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
08:02,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
07:42,"TURNOVER  by BILLINGTON,DREW",,,,,,,"TURNOVER  by BILLINGTON,DREW",2
07:41,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
07:29,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",2
07:28,"STEAL  by BAILEY,DJ",,,,,,,"STEAL  by BAILEY,DJ",2
06:55,"MISS JUMPER by CURLEY,TRAVIS",,,,,,,"MISS JUMPER by CURLEY,TRAVIS",2
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",2
06:44,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
06:15,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",2
06:15,"MISS FT by ESBORN,TUCKER",,,,,,,"MISS FT by ESBORN,TUCKER",2
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",2
06:15,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
06:15,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
06:04,,51,,51,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 51-51 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by ESBORN,TUCKER",,,,,,,"ASSIST  by ESBORN,TUCKER",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
06:04,,51,,52 (+1),"GOOD FT by RICHARDS,ZAC",BSC 51-52 (+1),,"GOOD FT by RICHARDS,ZAC",2
06:04,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",2
06:04,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",2
06:04,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",2
06:04,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",2
05:39,"MISS JUMPER by KARAS,JOHN",,,,,,,"MISS JUMPER by KARAS,JOHN",2
--,"REBOUND OFF by RENSHAW,MITCH",,,,,,,"REBOUND OFF by RENSHAW,MITCH",2
05:36,"MISS 3PTR by KARAS,JOHN",,,,,,,"MISS 3PTR by KARAS,JOHN",2
--,"REBOUND OFF by KARAS,JOHN",,,,,,,"REBOUND OFF by KARAS,JOHN",2
05:16,"TURNOVER  by BAILEY,DJ",,,,,,,"TURNOVER  by BAILEY,DJ",2
05:16,"FOUL  by BAILEY,DJ",,,,,,,"FOUL  by BAILEY,DJ",2
05:16,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",2
05:16,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",2
04:56,,51,,54 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 51-54 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
04:29,"GOOD JUMPER by CURLEY,TRAVIS",53,,54 (+1),,CLK 53-54 (+1),,"GOOD JUMPER by CURLEY,TRAVIS",2
--,"ASSIST  by KARAS,JOHN",,,,,,,"ASSIST  by KARAS,JOHN",2
03:57,,53,,56 (+3),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 53-56 (+3),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",2
03:13,"STEAL  by KARAS,JOHN",,,,,,,"STEAL  by KARAS,JOHN",2
03:10,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
03:04,"MISS LAYUP by RENSHAW,MITCH",,,,,,,"MISS LAYUP by RENSHAW,MITCH",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
02:45,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",2
02:45,"SUB IN by ARMSTRONG,MARCUS",,,,,,,"SUB IN by ARMSTRONG,MARCUS",2
02:45,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",2
02:45,"SUB OUT by KARAS,JOHN",,,,,,,"SUB OUT by KARAS,JOHN",2
02:45,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",2
02:45,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",2
02:45,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",2
02:45,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
02:42,,53,,58 (+5),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 53-58 (+5),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
02:16,"TURNOVER  by BAILEY,DJ",,,,,,,"TURNOVER  by BAILEY,DJ",2
02:15,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
01:48,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND DEF by BAILEY,DJ",,,,,,,"REBOUND DEF by BAILEY,DJ",2
01:45,"SUB IN by BILLINGTON,DREW",,,,,,,"SUB IN by BILLINGTON,DREW",2
01:45,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",2
01:45,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",2
01:45,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",2
01:45,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
01:45,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
01:45,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
01:45,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
01:45,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
01:45,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
01:31,"MISS LAYUP by BAILEY,DJ",,,,,,,"MISS LAYUP by BAILEY,DJ",2
--,"REBOUND OFF by RENSHAW,MITCH",,,,,,,"REBOUND OFF by RENSHAW,MITCH",2
01:29,"GOOD LAYUP by RENSHAW,MITCH(in the paint)",55,,58 (+3),,CLK 55-58 (+3),,"GOOD LAYUP by RENSHAW,MITCH(in the paint)",2
01:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:28,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
01:28,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",2
01:28,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
01:28,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
01:28,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
01:28,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
01:01,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
01:00,"STEAL  by BILLINGTON,DREW",,,,,,,"STEAL  by BILLINGTON,DREW",2
00:58,"GOOD LAYUP by BILLINGTON,DREW(fastbreak)(in the paint)",57,,58 (+1),,CLK 57-58 (+1),,"GOOD LAYUP by BILLINGTON,DREW(fastbreak)(in the paint)",2
00:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",2
00:21,"BLOCK  by BAILEY,DJ",,,,,,,"BLOCK  by BAILEY,DJ",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:18,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:17,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
00:17,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
00:17,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
00:17,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
00:17,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
00:17,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
00:16,,,,,"TURNOVER  by KEGARISE,KEVIN",,,"TURNOVER  by KEGARISE,KEVIN",2
00:16,"STEAL  by BILLINGTON,DREW",,,,,,,"STEAL  by BILLINGTON,DREW",2
00:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"MISS JUMPER by RENSHAW,MITCH",,,,,,,"MISS JUMPER by RENSHAW,MITCH",2
--,"REBOUND OFF by ARMSTRONG,MARCUS",,,,,,,"REBOUND OFF by ARMSTRONG,MARCUS",2
00:00,"MISS JUMPER by ARMSTRONG,MARCUS",,,,,,,"MISS JUMPER by ARMSTRONG,MARCUS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
