Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
03:49,"GOOD 3PTR by JONUS,JASEN(fastbreak)",24,,26 (+2),,BSC-M 24-26 (-2),,"GOOD 3PTR by JONUS,JASEN(fastbreak)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
03:25,,,,,"TURNOVER  by ATIEE,NICK",,,"TURNOVER  by ATIEE,NICK",1
03:24,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
03:16,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",26,,26,,BSC-M 26-26 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
03:00,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
03:00,,,,,"MISS FT by ATIEE,NICK",,,"MISS FT by ATIEE,NICK",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
03:00,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
03:00,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
03:00,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
03:00,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
03:00,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
03:00,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",1
03:00,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",1
03:00,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
03:00,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",1
03:00,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
02:51,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
02:51,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
02:51,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
02:51,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
02:50,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",28 (+2),,26,,BSC-M 28-26 (+2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
02:50,,,,,"FOUL  by SPEARMAN,DEMETRICE",,,"FOUL  by SPEARMAN,DEMETRICE",1
02:50,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by KURTZ,TRAVIS",,,"REBOUND DEF by KURTZ,TRAVIS",1
02:33,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
02:33,,28 (+1),,27,"GOOD FT by MYERS,SEAN",SUM 28-27 (+1),,"GOOD FT by MYERS,SEAN",1
02:33,,28,,28,"GOOD FT by MYERS,SEAN",SUM 28-28 (0),,"GOOD FT by MYERS,SEAN",1
02:12,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
02:12,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
02:06,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
02:03,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
02:03,,,,,"MISS FT by MYERS,SEAN",,,"MISS FT by MYERS,SEAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:03,,,,,"MISS FT by MYERS,SEAN",,,"MISS FT by MYERS,SEAN",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
02:03,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",1
02:03,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
02:03,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
02:03,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
02:03,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
02:03,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
02:03,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
02:03,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
01:44,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:41,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
01:41,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
01:41,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
01:41,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
01:29,,,,,"TURNOVER  by KOCHER,CHASE",,,"TURNOVER  by KOCHER,CHASE",1
01:27,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
00:54,,,,,"MISS JUMPER by BROOKS,KENNETH",,,"MISS JUMPER by BROOKS,KENNETH",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
00:37,,,,,"FOUL  by BROOKS,KENNETH",,,"FOUL  by BROOKS,KENNETH",1
00:37,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:37,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:37,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:37,"SUB IN by OLAFSSON,ODDUR",,,,,,,"SUB IN by OLAFSSON,ODDUR",1
00:37,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
00:37,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:30,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
00:30,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
00:30,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
00:30,"SUB OUT by OLAFSSON,ODDUR",,,,,,,"SUB OUT by OLAFSSON,ODDUR",1
00:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:27,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
00:27,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
00:04,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
00:04,,,,,"STEAL  by BROOKS,KENNETH",,,"STEAL  by BROOKS,KENNETH",1
00:00,,,,,"MISS LAYUP by JOHNSON,ADRIAN",,,"MISS LAYUP by JOHNSON,ADRIAN",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
20:00,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",2
20:00,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
20:00,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
20:00,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
20:00,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",2
20:00,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
20:00,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
20:00,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
20:00,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
20:00,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
19:50,,,,,"FOUL  by TATES,JOSHUA",,,"FOUL  by TATES,JOSHUA",2
19:50,"GOOD FT by HENRY,COLIN",29 (+1),,28,,BSC-M 29-28 (+1),,"GOOD FT by HENRY,COLIN",2
19:50,"GOOD FT by HENRY,COLIN",30 (+2),,28,,BSC-M 30-28 (+2),,"GOOD FT by HENRY,COLIN",2
19:50,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
19:50,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
19:50,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
19:50,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",2
19:50,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
19:50,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",2
19:50,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
19:50,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",2
19:50,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
19:50,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",2
19:44,,,,,"MISS 3PTR by KURTZ,TRAVIS",,,"MISS 3PTR by KURTZ,TRAVIS",2
--,,,,,"REBOUND OFF by CANTU,MICHAEL",,,"REBOUND OFF by CANTU,MICHAEL",2
19:38,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
19:31,,,,,"MISS 3PTR by KURTZ,TRAVIS",,,"MISS 3PTR by KURTZ,TRAVIS",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
19:24,,,,,"FOUL  by MYERS,SEAN",,,"FOUL  by MYERS,SEAN",2
19:24,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:24,"GOOD FT by RICHARDS,ZAC",31 (+3),,28,,BSC-M 31-28 (+3),,"GOOD FT by RICHARDS,ZAC",2
19:24,,,,,"SUB IN by SEVERSON,CARSON",,,"SUB IN by SEVERSON,CARSON",2
19:24,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
19:12,,,,,"TURNOVER  by MYERS,SEAN",,,"TURNOVER  by MYERS,SEAN",2
18:56,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by SEVERSON,CARSON",,,"REBOUND DEF by SEVERSON,CARSON",2
18:56,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
18:40,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",,,"MISS 3PTR by SPEARMAN,DEMETRICE",2
--,,,,,"REBOUND OFF by DAVENPORT,JAMES",,,"REBOUND OFF by DAVENPORT,JAMES",2
18:36,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
18:36,,31 (+2),,29,"GOOD FT by DAVENPORT,JAMES",SUM 31-29 (+2),,"GOOD FT by DAVENPORT,JAMES",2
18:36,,,,,"MISS FT by DAVENPORT,JAMES",,,"MISS FT by DAVENPORT,JAMES",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
18:24,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
18:17,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",2
18:16,,,,,"STEAL  by MYERS,SEAN",,,"STEAL  by MYERS,SEAN",2
18:16,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
18:16,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
18:16,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
18:16,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
18:16,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",2
18:16,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
18:16,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
18:16,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",2
18:16,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
18:16,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
18:16,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
18:16,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
18:16,,,,,"SUB OUT by SEVERSON,CARSON",,,"SUB OUT by SEVERSON,CARSON",2
18:02,,31,,31,"GOOD LAYUP by ATIEE,NICK(in the paint)",SUM 31-31 (0),,"GOOD LAYUP by ATIEE,NICK(in the paint)",2
18:02,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
18:02,,,,,"MISS FT by ATIEE,NICK",,,"MISS FT by ATIEE,NICK",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
17:51,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by KOCHER,CHASE",,,"REBOUND DEF by KOCHER,CHASE",2
17:25,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
17:24,,31,,33 (+2),"GOOD JUMPER by KOCHER,CHASE",SUM 31-33 (-2),,"GOOD JUMPER by KOCHER,CHASE",2
--,,,,,"ASSIST  by MATAYA,DANIEL",,,"ASSIST  by MATAYA,DANIEL",2
17:08,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
17:07,,,,,"STEAL  by BROOKS,KENNETH",,,"STEAL  by BROOKS,KENNETH",2
16:59,,31,,36 (+5),"GOOD 3PTR by BROOKS,KENNETH",SUM 31-36 (-5),,"GOOD 3PTR by BROOKS,KENNETH",2
--,,,,,"ASSIST  by MATAYA,DANIEL",,,"ASSIST  by MATAYA,DANIEL",2
16:47,"GOOD 3PTR by KEGARISE,KEVIN",34,,36 (+2),,BSC-M 34-36 (-2),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
16:29,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
16:29,,,,,"MISS FT by KOCHER,CHASE",,,"MISS FT by KOCHER,CHASE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:29,,,,,"MISS FT by KOCHER,CHASE",,,"MISS FT by KOCHER,CHASE",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
16:29,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
16:29,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
16:29,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
16:29,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
16:29,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
16:29,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
16:29,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
16:29,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
16:29,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",2
16:29,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
16:13,,,,,"FOUL  by MYERS,SEAN",,,"FOUL  by MYERS,SEAN",2
16:13,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
16:13,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
16:13,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
16:13,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",2
16:12,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
16:11,,,,,"STEAL  by CANTU,MICHAEL",,,"STEAL  by CANTU,MICHAEL",2
16:07,,,,,"TURNOVER  by CANTU,MICHAEL",,,"TURNOVER  by CANTU,MICHAEL",2
16:06,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
16:02,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
16:02,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
16:02,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:51,,34,,38 (+4),"GOOD JUMPER by SPEARMAN,DEMETRICE",SUM 34-38 (-4),,"GOOD JUMPER by SPEARMAN,DEMETRICE",2
15:38,"GOOD 3PTR by KEGARISE,KEVIN",37,,38 (+1),,BSC-M 37-38 (-1),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
15:28,,37,,40 (+3),"GOOD LAYUP by CANTU,MICHAEL(fastbreak)(in the paint)",SUM 37-40 (-3),,"GOOD LAYUP by CANTU,MICHAEL(fastbreak)(in the paint)",2
15:12,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by MYERS,SEAN",,,"REBOUND DEF by MYERS,SEAN",2
15:04,,,,,"MISS LAYUP by SPEARMAN,DEMETRICE",,,"MISS LAYUP by SPEARMAN,DEMETRICE",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
14:51,"GOOD 3PTR by KEGARISE,KEVIN",40,,40,,BSC-M 40-40 (0),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by LEE,CALEB",,,,,,,"ASSIST  by LEE,CALEB",2
14:38,,,,,"MISS LAYUP by DAVENPORT,JAMES",,,"MISS LAYUP by DAVENPORT,JAMES",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
14:33,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
14:31,,,,,"STEAL  by KURTZ,TRAVIS",,,"STEAL  by KURTZ,TRAVIS",2
14:25,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",,,"MISS 3PTR by SPEARMAN,DEMETRICE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:23,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",2
14:23,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
14:23,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",2
14:23,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
14:23,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
14:23,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
14:23,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
14:23,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
14:22,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
14:22,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
14:22,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
14:10,,,,,"MISS LAYUP by JOHNSON,ADRIAN",,,"MISS LAYUP by JOHNSON,ADRIAN",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
13:50,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
13:41,,,,,"TURNOVER  by TATES,JOSHUA",,,"TURNOVER  by TATES,JOSHUA",2
13:23,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
13:15,,,,,"TURNOVER  by BROOKS,KENNETH",,,"TURNOVER  by BROOKS,KENNETH",2
13:07,,,,,"FOUL  by MATAYA,DANIEL",,,"FOUL  by MATAYA,DANIEL",2
13:07,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
13:07,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
12:55,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
12:54,,,,,"STEAL  by TATES,JOSHUA",,,"STEAL  by TATES,JOSHUA",2
12:38,,,,,"MISS LAYUP by MATAYA,DANIEL",,,"MISS LAYUP by MATAYA,DANIEL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:37,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",2
12:37,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
12:37,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
12:37,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
12:37,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
12:37,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",2
12:37,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
12:37,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",2
12:37,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",2
12:37,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
12:35,,40,,42 (+2),"GOOD LAYUP by CANTU,MICHAEL(in the paint)",SUM 40-42 (-2),,"GOOD LAYUP by CANTU,MICHAEL(in the paint)",2
12:35,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
12:35,,40,,43 (+3),"GOOD FT by CANTU,MICHAEL",SUM 40-43 (-3),,"GOOD FT by CANTU,MICHAEL",2
12:35,"GOOD 3PTR by MURPHY,NICK",43,,43,,BSC-M 43-43 (0),,"GOOD 3PTR by MURPHY,NICK",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
12:35,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
12:35,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
12:35,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
12:35,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
12:35,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
12:35,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
12:32,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
12:13,,43,,44 (+1),"GOOD FT by CANTU,MICHAEL",SUM 43-44 (-1),,"GOOD FT by CANTU,MICHAEL",2
12:01,,43,,45 (+2),"GOOD FT by CANTU,MICHAEL",SUM 43-45 (-2),,"GOOD FT by CANTU,MICHAEL",2
11:46,"GOOD 3PTR by KEGARISE,KEVIN",46 (+1),,45,,BSC-M 46-45 (+1),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
11:42,,,,,"MISS LAYUP by KURTZ,TRAVIS",,,"MISS LAYUP by KURTZ,TRAVIS",2
--,,,,,"REBOUND OFF by CANTU,MICHAEL",,,"REBOUND OFF by CANTU,MICHAEL",2
11:37,,,,,"MISS JUMPER by CANTU,MICHAEL",,,"MISS JUMPER by CANTU,MICHAEL",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
11:18,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",48 (+3),,45,,BSC-M 48-45 (+3),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
11:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:51,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",,,"MISS 3PTR by SPEARMAN,DEMETRICE",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
10:44,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",50 (+5),,45,,BSC-M 50-45 (+5),,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
10:16,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",2
10:16,,50 (+4),,46,"GOOD FT by SPEARMAN,DEMETRICE",SUM 50-46 (+4),,"GOOD FT by SPEARMAN,DEMETRICE",2
10:16,,50 (+3),,47,"GOOD FT by SPEARMAN,DEMETRICE",SUM 50-47 (+3),,"GOOD FT by SPEARMAN,DEMETRICE",2
