Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
00:03,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by POWER,AARON",,,,,,,"REBOUND DEF by POWER,AARON",1
19:28,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",2
19:16,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND DEF by ANDERKAVICH,JOEY",,,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",2
18:58,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",2
18:58,"GOOD FT by POWER,AARON",29,,48 (+19),,LAGRANGE 29-48 (+19),,"GOOD FT by POWER,AARON",2
18:58,"GOOD FT by POWER,AARON",30,,48 (+18),,LAGRANGE 30-48 (+18),,"GOOD FT by POWER,AARON",2
18:42,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",2
18:28,,30,,50 (+20),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 30-50 (+20),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
18:16,"MISS LAYUP by CRAFT,BLAKE",,,,,,,"MISS LAYUP by CRAFT,BLAKE",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
18:11,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND DEF by CRAFT,BLAKE",,,,,,,"REBOUND DEF by CRAFT,BLAKE",2
17:46,"TURNOVER  by POWER,AARON",,,,,,,"TURNOVER  by POWER,AARON",2
17:42,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",2
17:34,,30,,52 (+22),"GOOD JUMPER by HENRY,COLIN(in the paint)",BSC 30-52 (+22),,"GOOD JUMPER by HENRY,COLIN(in the paint)",2
17:08,"MISS JUMPER by ANDERKAVICH,JOEY",,,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",2
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",2
17:01,"FOUL  by CRAFT,BLAKE",,,,,,,"FOUL  by CRAFT,BLAKE",2
17:01,,30,,53 (+23),"GOOD FT by JONUS,JASEN",BSC 30-53 (+23),,"GOOD FT by JONUS,JASEN",2
17:01,,30,,54 (+24),"GOOD FT by JONUS,JASEN",BSC 30-54 (+24),,"GOOD FT by JONUS,JASEN",2
17:01,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
17:01,"SUB IN by MILLER,TYLER",,,,,,,"SUB IN by MILLER,TYLER",2
17:01,"SUB OUT by CRAFT,BLAKE",,,,,,,"SUB OUT by CRAFT,BLAKE",2
17:01,"SUB OUT by VAUGHN,MARCUS",,,,,,,"SUB OUT by VAUGHN,MARCUS",2
16:49,"TURNOVER  by ANDERKAVICH,JOEY",,,,,,,"TURNOVER  by ANDERKAVICH,JOEY",2
16:48,,,,,"STEAL  by RICHARDS,ZAC",,,"STEAL  by RICHARDS,ZAC",2
16:42,,30,,56 (+26),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 30-56 (+26),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",2
16:42,"FOUL  by MILLER,TYLER",,,,,,,"FOUL  by MILLER,TYLER",2
16:42,,30,,57 (+27),"GOOD FT by RICHARDS,ZAC",BSC 30-57 (+27),,"GOOD FT by RICHARDS,ZAC",2
16:33,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",2
16:33,"GOOD FT by ANDERKAVICH,JOEY",31,,57 (+26),,LAGRANGE 31-57 (+26),,"GOOD FT by ANDERKAVICH,JOEY",2
16:33,"MISS FT by ANDERKAVICH,JOEY",,,,,,,"MISS FT by ANDERKAVICH,JOEY",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
16:15,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",2
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",2
16:03,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",2
15:57,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",2
15:45,"GOOD JUMPER by ANDERKAVICH,JOEY(in the paint)",33,,57 (+24),,LAGRANGE 33-57 (+24),,"GOOD JUMPER by ANDERKAVICH,JOEY(in the paint)",2
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",2
15:45,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",2
15:45,"GOOD FT by ANDERKAVICH,JOEY",34,,57 (+23),,LAGRANGE 34-57 (+23),,"GOOD FT by ANDERKAVICH,JOEY",2
15:45,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
15:45,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
15:45,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
15:45,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",2
15:45,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
15:45,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
15:45,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
15:45,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
15:45,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
15:45,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
15:24,,,,,"TURNOVER  by MURPHY,NICK",,,"TURNOVER  by MURPHY,NICK",2
15:23,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
15:16,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
15:16,"MISS FT by ANDERKAVICH,JOEY",,,,,,,"MISS FT by ANDERKAVICH,JOEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:16,"MISS FT by ANDERKAVICH,JOEY",,,,,,,"MISS FT by ANDERKAVICH,JOEY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:13,"GOOD JUMPER by MITCHELL,NICK",36,,57 (+21),,LAGRANGE 36-57 (+21),,"GOOD JUMPER by MITCHELL,NICK",2
14:45,"FOUL  by MILLER,TYLER",,,,,,,"FOUL  by MILLER,TYLER",2
14:40,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
14:32,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",38,,57 (+19),,LAGRANGE 38-57 (+19),,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",2
--,"ASSIST  by MITCHELL,NICK",,,,,,,"ASSIST  by MITCHELL,NICK",2
14:21,,,,,"TURNOVER  by MURPHY,NICK",,,"TURNOVER  by MURPHY,NICK",2
14:19,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
14:17,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",2
14:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:17,"GOOD FT by ROBINSON,DENZEL",39,,57 (+18),,LAGRANGE 39-57 (+18),,"GOOD FT by ROBINSON,DENZEL",2
14:17,"MISS FT by ROBINSON,DENZEL",,,,,,,"MISS FT by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
14:17,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",2
14:17,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
14:17,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",2
14:17,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",2
14:17,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
14:17,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
14:17,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
14:17,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
14:17,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
14:17,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
13:54,,39,,59 (+20),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 39-59 (+20),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
13:44,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",2
--,"REBOUND OFF by MITCHELL,NICK",,,,,,,"REBOUND OFF by MITCHELL,NICK",2
13:32,"TURNOVER  by POWER,AARON",,,,,,,"TURNOVER  by POWER,AARON",2
13:31,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
13:26,"FOUL  by MILLER,TYLER",,,,,,,"FOUL  by MILLER,TYLER",2
13:26,,39,,60 (+21),"GOOD FT by JONUS,JASEN",BSC 39-60 (+21),,"GOOD FT by JONUS,JASEN",2
13:26,,39,,61 (+22),"GOOD FT by JONUS,JASEN",BSC 39-61 (+22),,"GOOD FT by JONUS,JASEN",2
13:26,,39,,62 (+23),"GOOD FT by JONUS,JASEN",BSC 39-62 (+23),,"GOOD FT by JONUS,JASEN",2
13:26,"SUB IN by SHERMAN,XAVIER",,,,,,,"SUB IN by SHERMAN,XAVIER",2
13:26,"SUB OUT by ANDERKAVICH,JOEY",,,,,,,"SUB OUT by ANDERKAVICH,JOEY",2
13:23,"TURNOVER  by POWER,AARON",,,,,,,"TURNOVER  by POWER,AARON",2
13:15,,39,,64 (+25),"GOOD JUMPER by JONUS,JASEN",BSC 39-64 (+25),,"GOOD JUMPER by JONUS,JASEN",2
13:08,"TURNOVER  by POWER,AARON",,,,,,,"TURNOVER  by POWER,AARON",2
13:06,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",2
13:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:53,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",2
12:41,"FOUL  by MACLIN,CATRELL",,,,,,,"FOUL  by MACLIN,CATRELL",2
12:41,"SUB IN by CRAFT,BLAKE",,,,,,,"SUB IN by CRAFT,BLAKE",2
12:41,"SUB IN by MACLIN,CATRELL",,,,,,,"SUB IN by MACLIN,CATRELL",2
12:41,"SUB OUT by POWER,AARON",,,,,,,"SUB OUT by POWER,AARON",2
12:41,"SUB OUT by MILLER,TYLER",,,,,,,"SUB OUT by MILLER,TYLER",2
12:37,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
12:34,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
12:34,,39,,65 (+26),"GOOD FT by HENRY,COLIN",BSC 39-65 (+26),,"GOOD FT by HENRY,COLIN",2
12:34,,39,,66 (+27),"GOOD FT by HENRY,COLIN",BSC 39-66 (+27),,"GOOD FT by HENRY,COLIN",2
12:34,"SUB IN by MUNCH,PETER",,,,,,,"SUB IN by MUNCH,PETER",2
12:34,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
12:25,"TURNOVER  by SHERMAN,XAVIER",,,,,,,"TURNOVER  by SHERMAN,XAVIER",2
12:24,,,,,"STEAL  by JONUS,JASEN",,,"STEAL  by JONUS,JASEN",2
12:16,,39,,68 (+29),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 39-68 (+29),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
12:00,"MISS LAYUP by SHERMAN,XAVIER",,,,,,,"MISS LAYUP by SHERMAN,XAVIER",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
11:44,,39,,70 (+31),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 39-70 (+31),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",2
11:44,"FOUL  by SHERMAN,XAVIER",,,,,,,"FOUL  by SHERMAN,XAVIER",2
11:44,,39,,71 (+32),"GOOD FT by RICHARDS,ZAC",BSC 39-71 (+32),,"GOOD FT by RICHARDS,ZAC",2
11:44,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
11:44,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
11:44,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
11:44,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",2
11:44,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
11:44,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
11:44,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
11:44,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
11:44,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
11:44,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
11:31,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",2
11:31,"GOOD FT by CRAFT,BLAKE",40,,71 (+31),,LAGRANGE 40-71 (+31),,"GOOD FT by CRAFT,BLAKE",2
11:31,"GOOD FT by CRAFT,BLAKE",41,,71 (+30),,LAGRANGE 41-71 (+30),,"GOOD FT by CRAFT,BLAKE",2
11:20,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:11,,41,,73 (+32),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 41-73 (+32),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
10:57,"GOOD LAYUP by MACLIN,CATRELL(in the paint)",43,,73 (+30),,LAGRANGE 43-73 (+30),,"GOOD LAYUP by MACLIN,CATRELL(in the paint)",2
10:41,,43,,76 (+33),"GOOD 3PTR by MURPHY,NICK",BSC 43-76 (+33),,"GOOD 3PTR by MURPHY,NICK",2
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",2
10:31,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",2
10:30,,,,,"STEAL  by LEE,CALEB",,,"STEAL  by LEE,CALEB",2
10:13,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
10:12,"STEAL  by MITCHELL,NICK",,,,,,,"STEAL  by MITCHELL,NICK",2
10:12,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
10:12,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
10:12,,,,,"MISS FT by MURPHY,NICK",,,"MISS FT by MURPHY,NICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:12,,43,,77 (+34),"GOOD FT by MURPHY,NICK",BSC 43-77 (+34),,"GOOD FT by MURPHY,NICK",2
10:12,"GOOD FT by MITCHELL,NICK",44,,77 (+33),,LAGRANGE 44-77 (+33),,"GOOD FT by MITCHELL,NICK",2
10:12,"GOOD FT by MITCHELL,NICK",45,,77 (+32),,LAGRANGE 45-77 (+32),,"GOOD FT by MITCHELL,NICK",2
10:12,"SUB IN by SANDERS,DOROUGH",,,,,,,"SUB IN by SANDERS,DOROUGH",2
10:12,"SUB OUT by SHERMAN,XAVIER",,,,,,,"SUB OUT by SHERMAN,XAVIER",2
10:12,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",2
10:12,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",2
10:12,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
10:12,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
10:07,"FOUL  by MACLIN,CATRELL",,,,,,,"FOUL  by MACLIN,CATRELL",2
10:07,,,,,"MISS FT by FREEMAN,SCHYLAR",,,"MISS FT by FREEMAN,SCHYLAR",2
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",2
09:52,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",2
09:50,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",2
09:48,,45,,79 (+34),"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",BSC 45-79 (+34),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",2
09:29,"MISS 3PTR by MACLIN,CATRELL",,,,,,,"MISS 3PTR by MACLIN,CATRELL",2
--,"REBOUND OFF by MACLIN,CATRELL",,,,,,,"REBOUND OFF by MACLIN,CATRELL",2
09:24,"MISS LAYUP by MACLIN,CATRELL",,,,,,,"MISS LAYUP by MACLIN,CATRELL",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
09:17,,45,,81 (+36),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 45-81 (+36),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
09:06,"MISS JUMPER by SANDERS,DOROUGH",,,,,,,"MISS JUMPER by SANDERS,DOROUGH",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
08:56,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND OFF by MURPHY,NICK",,,"REBOUND OFF by MURPHY,NICK",2
08:53,,45,,83 (+38),"GOOD TIPIN by MURPHY,NICK(in the paint)",BSC 45-83 (+38),,"GOOD TIPIN by MURPHY,NICK(in the paint)",2
08:39,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
08:21,,,,,"MISS 3PTR by OLAFSSON,ODDUR",,,"MISS 3PTR by OLAFSSON,ODDUR",2
--,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",,,"REBOUND OFF by FREEMAN,SCHYLAR",2
08:17,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:16,"SUB IN by VAUGHN,MARCUS",,,,,,,"SUB IN by VAUGHN,MARCUS",2
08:16,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",2
08:16,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
08:16,"SUB IN by POWER,AARON",,,,,,,"SUB IN by POWER,AARON",2
08:16,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
08:16,"SUB OUT by SANDERS,DOROUGH",,,,,,,"SUB OUT by SANDERS,DOROUGH",2
08:16,"SUB OUT by CRAFT,BLAKE",,,,,,,"SUB OUT by CRAFT,BLAKE",2
08:16,"SUB OUT by MACLIN,CATRELL",,,,,,,"SUB OUT by MACLIN,CATRELL",2
08:14,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
--,"REBOUND OFF by ROBINSON,DENZEL",,,,,,,"REBOUND OFF by ROBINSON,DENZEL",2
08:11,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
08:01,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",2
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",2
08:00,,,,,"FOUL  by FREEMAN,SCHYLAR",,,"FOUL  by FREEMAN,SCHYLAR",2
08:00,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
07:48,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
07:47,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
07:45,,,,,"FOUL  by FREEMAN,SCHYLAR",,,"FOUL  by FREEMAN,SCHYLAR",2
07:45,"GOOD FT by ROBINSON,DENZEL",46,,83 (+37),,LAGRANGE 46-83 (+37),,"GOOD FT by ROBINSON,DENZEL",2
07:45,"GOOD FT by ROBINSON,DENZEL",47,,83 (+36),,LAGRANGE 47-83 (+36),,"GOOD FT by ROBINSON,DENZEL",2
07:33,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
07:32,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
07:26,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
07:12,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:10,"SUB IN by CRAFT,BLAKE",,,,,,,"SUB IN by CRAFT,BLAKE",2
07:10,"SUB IN by ANDERKAVICH,JOEY",,,,,,,"SUB IN by ANDERKAVICH,JOEY",2
07:10,"SUB OUT by VAUGHN,MARCUS",,,,,,,"SUB OUT by VAUGHN,MARCUS",2
07:10,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
07:02,"GOOD 3PTR by HOWARD,JEROD",50,,83 (+33),,LAGRANGE 50-83 (+33),,"GOOD 3PTR by HOWARD,JEROD",2
--,"ASSIST  by MUNCH,PETER",,,,,,,"ASSIST  by MUNCH,PETER",2
06:52,,,,,"TURNOVER  by MURPHY,NICK",,,"TURNOVER  by MURPHY,NICK",2
06:51,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
06:46,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:31,,50,,85 (+35),"GOOD JUMPER by FREEMAN,SCHYLAR",BSC 50-85 (+35),,"GOOD JUMPER by FREEMAN,SCHYLAR",2
06:11,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by OLAFSSON,ODDUR",,,"REBOUND DEF by OLAFSSON,ODDUR",2
05:57,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",2
05:53,,,,,"MISS TIPIN by LEE,CALEB",,,"MISS TIPIN by LEE,CALEB",2
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",2
05:43,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",52,,85 (+33),,LAGRANGE 52-85 (+33),,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",2
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",2
05:25,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
05:25,,,,,"SUB IN by SHELTON,MIGUEL",,,"SUB IN by SHELTON,MIGUEL",2
05:25,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
05:15,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",2
--,,,,,"REBOUND DEF by OLAFSSON,ODDUR",,,"REBOUND DEF by OLAFSSON,ODDUR",2
05:07,,,,,"TURNOVER  by OLAFSSON,ODDUR",,,"TURNOVER  by OLAFSSON,ODDUR",2
05:06,"STEAL  by HOWARD,JEROD",,,,,,,"STEAL  by HOWARD,JEROD",2
05:02,"GOOD LAYUP by HOWARD,JEROD(fastbreak)(in the paint)",54,,85 (+31),,LAGRANGE 54-85 (+31),,"GOOD LAYUP by HOWARD,JEROD(fastbreak)(in the paint)",2
04:50,,,,,"MISS LAYUP by MURPHY,NICK",,,"MISS LAYUP by MURPHY,NICK",2
--,,,,,"REBOUND OFF by SHELTON,MIGUEL",,,"REBOUND OFF by SHELTON,MIGUEL",2
04:45,,54,,87 (+33),"GOOD LAYUP by SHELTON,MIGUEL(in the paint)",BSC 54-87 (+33),,"GOOD LAYUP by SHELTON,MIGUEL(in the paint)",2
04:37,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
04:27,,54,,89 (+35),"GOOD JUMPER by SHELTON,MIGUEL(in the paint)",BSC 54-89 (+35),,"GOOD JUMPER by SHELTON,MIGUEL(in the paint)",2
--,,,,,"ASSIST  by MURPHY,NICK",,,"ASSIST  by MURPHY,NICK",2
04:03,"MISS JUMPER by ANDERKAVICH,JOEY",,,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",2
