Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
00:53,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
00:53,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
00:53,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",2
00:53,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",2
00:53,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
00:53,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",2
00:53,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
00:53,,,,,"SUB IN by HARTER,J MORGAN",,,"SUB IN by HARTER,J MORGAN",2
00:53,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
00:53,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
00:53,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
00:53,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
00:53,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
00:53,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
00:25,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",2
00:10,"MISS JUMPER by MANNING,JOHNATHAN",,,,,,,"MISS JUMPER by MANNING,JOHNATHAN",2
--,"REBOUND OFF by COLEMAN,DANIEL",,,,,,,"REBOUND OFF by COLEMAN,DANIEL",2
00:01,"MISS 3PTR by COLEMAN,DANIEL",,,,,,,"MISS 3PTR by COLEMAN,DANIEL",2
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",2
