Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
09:08,"MISS 3PTR by MATTHEWS,TREYLAN",,,,,,,"MISS 3PTR by MATTHEWS,TREYLAN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
08:52,,20 (+1),,19,"GOOD 3PTR by GAGEN,BRENNAN",MMB 20-19 (-1),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
08:31,"TURNOVER  by WEAVER,DYLLON",,,,,,,"TURNOVER  by WEAVER,DYLLON",1
08:31,"FOUL  by WEAVER,DYLLON",,,,,,,"FOUL  by WEAVER,DYLLON",1
08:27,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",1
08:27,"SUB OUT by WEAVER,DYLLON",,,,,,,"SUB OUT by WEAVER,DYLLON",1
07:51,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
07:35,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:34,"MISS LAYUP by SAPP,JAMES",,,,,,,"MISS LAYUP by SAPP,JAMES",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
07:25,,20,,22 (+2),"GOOD 3PTR by KOHNKE,SAM",MMB 20-22 (+2),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
07:18,"MISS 3PTR by GRAY,JERICHO",,,,,,,"MISS 3PTR by GRAY,JERICHO",1
--,"REBOUND OFF by SAPP,JAMES",,,,,,,"REBOUND OFF by SAPP,JAMES",1
07:12,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",1
07:11,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",1
07:04,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
06:52,"GOOD JUMPER by KIRKENDOLL,TRAVION(in the paint)",22,,22,,CENTMB 22-22 (0),,"GOOD JUMPER by KIRKENDOLL,TRAVION(in the paint)",1
06:43,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
06:38,,,,,"MISS LAYUP by TULLOS,ZACHARY",,,"MISS LAYUP by TULLOS,ZACHARY",1
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",1
06:31,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
06:31,"GOOD FT by SAPP,JAMES",23 (+1),,22,,CENTMB 23-22 (-1),,"GOOD FT by SAPP,JAMES",1
06:31,"GOOD FT by SAPP,JAMES",24 (+2),,22,,CENTMB 24-22 (-2),,"GOOD FT by SAPP,JAMES",1
06:31,"SUB IN by HARRIS,CEDRIC",,,,,,,"SUB IN by HARRIS,CEDRIC",1
06:31,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",1
06:31,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
06:31,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
05:59,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
05:59,"BLOCK  by KIRKENDOLL,TRAVION",,,,,,,"BLOCK  by KIRKENDOLL,TRAVION",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
