Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",2
04:36,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
04:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:29,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
04:29,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
04:29,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",2
04:29,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
04:29,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",2
04:15,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
04:11,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:11,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
04:11,,,,,"MISS FT by KOHNKE,SAM",,,"MISS FT by KOHNKE,SAM",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
03:51,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
03:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:51,"GOOD FT by MCLEAN,JAMES",54 (+3),,51,,16BSC-M 54-51 (-3),,"GOOD FT by MCLEAN,JAMES",2
03:51,"GOOD FT by MCLEAN,JAMES",55 (+4),,51,,16BSC-M 55-51 (-4),,"GOOD FT by MCLEAN,JAMES",2
03:51,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
03:51,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",2
03:51,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
03:51,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
03:30,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
03:30,,55 (+3),,52,"GOOD FT by BLANZ,BUCK",MMB 55-52 (-3),,"GOOD FT by BLANZ,BUCK",2
03:30,,55 (+2),,53,"GOOD FT by BLANZ,BUCK",MMB 55-53 (-2),,"GOOD FT by BLANZ,BUCK",2
03:15,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:50,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
02:26,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
02:19,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
02:18,,,,,"STEAL  by GARDNER,ROBERT",,,"STEAL  by GARDNER,ROBERT",2
02:15,,55,,56 (+1),"GOOD 3PTR by KOHNKE,SAM",MMB 55-56 (+1),,"GOOD 3PTR by KOHNKE,SAM",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
02:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:59,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
01:59,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:59,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",2
01:43,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:34,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
01:34,,55,,57 (+2),"GOOD FT by BLANZ,BUCK",MMB 55-57 (+2),,"GOOD FT by BLANZ,BUCK",2
01:34,,55,,58 (+3),"GOOD FT by BLANZ,BUCK",MMB 55-58 (+3),,"GOOD FT by BLANZ,BUCK",2
01:34,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
01:34,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
01:18,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",57,,58 (+1),,16BSC-M 57-58 (+1),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
00:59,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
00:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:33,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
00:27,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
00:27,,57,,59 (+2),"GOOD FT by BLANZ,BUCK",MMB 57-59 (+2),,"GOOD FT by BLANZ,BUCK",2
00:27,,57,,60 (+3),"GOOD FT by BLANZ,BUCK",MMB 57-60 (+3),,"GOOD FT by BLANZ,BUCK",2
00:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:27,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
00:27,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
00:15,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",2
00:15,"GOOD FT by LEWIS,EVAN",58,,60 (+2),,16BSC-M 58-60 (+2),,"GOOD FT by LEWIS,EVAN",2
00:15,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
00:13,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
00:13,,58,,61 (+3),"GOOD FT by KOHNKE,SAM",MMB 58-61 (+3),,"GOOD FT by KOHNKE,SAM",2
00:13,,58,,62 (+4),"GOOD FT by KOHNKE,SAM",MMB 58-62 (+4),,"GOOD FT by KOHNKE,SAM",2
00:13,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
00:13,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
00:08,"GOOD LAYUP by LEWIS,EVAN(in the paint)",60,,62 (+2),,16BSC-M 60-62 (+2),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
00:08,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
00:08,"GOOD FT by LEWIS,EVAN",61,,62 (+1),,16BSC-M 61-62 (+1),,"GOOD FT by LEWIS,EVAN",2
00:08,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
00:08,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:08,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
00:08,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
00:05,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
00:05,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
00:05,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:05,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",2
00:04,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
00:03,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
00:03,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
00:03,"GOOD FT by THOM,IAN",62,,62,,16BSC-M 62-62 (0),,"GOOD FT by THOM,IAN",2
00:03,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:03,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",2
00:03,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
05:00,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",3
05:00,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",3
05:00,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",3
05:00,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",3
05:00,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",3
04:48,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",3
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",3
04:47,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",3
04:47,,62,,63 (+1),"GOOD FT by BECKER,SAXTON",MMB 62-63 (+1),,"GOOD FT by BECKER,SAXTON",3
04:47,,,,,"MISS FT by BECKER,SAXTON",,,"MISS FT by BECKER,SAXTON",3
--,"REBOUND DEF by PERKINS,ALEX",,,,,,,"REBOUND DEF by PERKINS,ALEX",3
04:35,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",3
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",3
04:24,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",3
04:24,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",3
04:14,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",3
04:13,"STEAL  by GRAHAM,CHRIS",,,,,,,"STEAL  by GRAHAM,CHRIS",3
03:57,"GOOD 3PTR by LEWIS,EVAN",65 (+2),,63,,16BSC-M 65-63 (-2),,"GOOD 3PTR by LEWIS,EVAN",3
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",3
03:35,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",3
--,"REBOUND DEF by PERKINS,ALEX",,,,,,,"REBOUND DEF by PERKINS,ALEX",3
03:09,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",3
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",3
02:55,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",3
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",3
02:37,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",3
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",3
02:35,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",3
02:35,,65 (+1),,64,"GOOD FT by MASON,WADE",MMB 65-64 (-1),,"GOOD FT by MASON,WADE",3
02:35,,,,,"MISS FT by MASON,WADE",,,"MISS FT by MASON,WADE",3
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",3
02:17,"MISS 3PTR by PERKINS,ALEX",,,,,,,"MISS 3PTR by PERKINS,ALEX",3
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",3
02:10,"TURNOVER  by GRAHAM,CHRIS",,,,,,,"TURNOVER  by GRAHAM,CHRIS",3
02:10,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",3
01:55,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",3
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",3
01:32,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",3
01:32,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
01:32,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",3
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",3
01:15,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",3
01:15,,65,,65,"GOOD FT by KOHNKE,SAM",MMB 65-65 (0),,"GOOD FT by KOHNKE,SAM",3
01:15,,65,,66 (+1),"GOOD FT by KOHNKE,SAM",MMB 65-66 (+1),,"GOOD FT by KOHNKE,SAM",3
01:15,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",3
01:15,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",3
01:15,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",3
01:06,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",3
01:06,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",3
00:58,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",3
00:50,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",3
00:50,"GOOD FT by MCLEAN,JAMES",66,,66,,16BSC-M 66-66 (0),,"GOOD FT by MCLEAN,JAMES",3
00:50,"GOOD FT by MCLEAN,JAMES",67 (+1),,66,,16BSC-M 67-66 (-1),,"GOOD FT by MCLEAN,JAMES",3
00:37,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",3
00:37,,67,,67,"GOOD FT by BECKER,SAXTON",MMB 67-67 (0),,"GOOD FT by BECKER,SAXTON",3
00:37,,67,,68 (+1),"GOOD FT by BECKER,SAXTON",MMB 67-68 (+1),,"GOOD FT by BECKER,SAXTON",3
00:37,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",3
00:37,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",3
00:26,"MISS LAYUP by HARDIMAN,BEN",,,,,,,"MISS LAYUP by HARDIMAN,BEN",3
00:26,,,,,"BLOCK  by MANCUSO,LOGAN",,,"BLOCK  by MANCUSO,LOGAN",3
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",3
00:23,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",3
00:23,,,,,"MISS FT by MANCUSO,LOGAN",,,"MISS FT by MANCUSO,LOGAN",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:23,,,,,"MISS FT by MANCUSO,LOGAN",,,"MISS FT by MANCUSO,LOGAN",3
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",3
00:10,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",3
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",3
00:03,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",3
00:03,"GOOD FT by HARDIMAN,BEN",68,,68,,16BSC-M 68-68 (0),,"GOOD FT by HARDIMAN,BEN",3
00:03,"GOOD FT by HARDIMAN,BEN",69 (+1),,68,,16BSC-M 69-68 (-1),,"GOOD FT by HARDIMAN,BEN",3
00:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:03,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",3
00:03,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",3
00:03,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",3
00:03,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",3
00:02,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
