Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by PRICE,VICTOR",,,,,,,"REBOUND OFF by PRICE,VICTOR",2
16:44,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
16:44,"SUB IN by DURHAM,JONATHAN",,,,,,,"SUB IN by DURHAM,JONATHAN",2
16:44,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",2
16:44,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",2
16:44,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",2
16:44,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",2
16:44,"SUB OUT by RICHARDSON,TERIK",,,,,,,"SUB OUT by RICHARDSON,TERIK",2
16:44,"SUB OUT by LORIS,JOHN",,,,,,,"SUB OUT by LORIS,JOHN",2
16:44,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",2
16:27,"TURNOVER  by HEERINGEN,GIAN VAN",,,,,,,"TURNOVER  by HEERINGEN,GIAN VAN",2
16:26,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",2
16:22,,23,,25 (+2),"GOOD JUMPER by GAGEN,BRENNAN",MMB 23-25 (+2),,"GOOD JUMPER by GAGEN,BRENNAN",2
16:02,"MISS 3PTR by ANDERSON,DYRON",,,,,,,"MISS 3PTR by ANDERSON,DYRON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:58,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",2
15:58,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
15:58,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",2
15:58,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
15:38,,23,,28 (+5),"GOOD 3PTR by KOHNKE,SAM",MMB 23-28 (+5),,"GOOD 3PTR by KOHNKE,SAM",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
15:10,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
15:10,"GOOD FT by ANDERSON,DYRON",24,,28 (+4),,BU 24-28 (+4),,"GOOD FT by ANDERSON,DYRON",2
15:10,"GOOD FT by ANDERSON,DYRON",25,,28 (+3),,BU 25-28 (+3),,"GOOD FT by ANDERSON,DYRON",2
15:10,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
15:10,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
15:04,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
15:00,,25,,30 (+5),"GOOD LAYUP by MASON,WADE(in the paint)",MMB 25-30 (+5),,"GOOD LAYUP by MASON,WADE(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
14:34,"MISS 3PTR by YOUNG-BEASLEY,DJ",,,,,,,"MISS 3PTR by YOUNG-BEASLEY,DJ",2
14:34,,,,,"BLOCK  by KOHNKE,SAM",,,"BLOCK  by KOHNKE,SAM",2
--,"REBOUND OFF by DURHAM,JONATHAN",,,,,,,"REBOUND OFF by DURHAM,JONATHAN",2
14:23,"TURNOVER  by JONES,JUSTIN",,,,,,,"TURNOVER  by JONES,JUSTIN",2
14:21,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
14:17,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",2
--,"REBOUND DEF by YOUNG-BEASLEY,DJ",,,,,,,"REBOUND DEF by YOUNG-BEASLEY,DJ",2
