Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
17:23,"BLOCK  by GARDNER,ROBERT",,,,,,,"BLOCK  by GARDNER,ROBERT",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
17:13,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",2
17:07,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
17:00,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
16:43,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",2
16:43,,,,,"BLOCK  by IGBINOSA,STEPHEN",,,"BLOCK  by IGBINOSA,STEPHEN",2
--,,,,,"REBOUND DEF by WELLS,AUSTIN",,,"REBOUND DEF by WELLS,AUSTIN",2
16:34,,,,,"MISS LAYUP by WELLS,AUSTIN",,,"MISS LAYUP by WELLS,AUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:34,,,,,"FOUL  by IGBINOSA,STEPHEN",,,"FOUL  by IGBINOSA,STEPHEN",2
16:34,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",2
16:34,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",2
16:34,,,,,"SUB OUT by IGBINOSA,STEPHEN",,,"SUB OUT by IGBINOSA,STEPHEN",2
16:34,,,,,"SUB OUT by WELLS,AUSTIN",,,"SUB OUT by WELLS,AUSTIN",2
16:24,"GOOD LAYUP by BLANZ,BUCK(in the paint)",39,,48 (+9),,MMB 39-48 (-9),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
16:08,,,,,"TURNOVER  by BAEHL,BRIAN",,,"TURNOVER  by BAEHL,BRIAN",2
16:08,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
16:08,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",2
16:08,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
16:08,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
15:45,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",2
--,,,,,"REBOUND DEF by SWISHER,JEREMY",,,"REBOUND DEF by SWISHER,JEREMY",2
15:34,,,,,"MISS 3PTR by FREET,AUSTIN",,,"MISS 3PTR by FREET,AUSTIN",2
--,,,,,"REBOUND OFF by BAEHL,BRIAN",,,"REBOUND OFF by BAEHL,BRIAN",2
15:27,,39,,51 (+12),"GOOD 3PTR by QUINN,JOSH",ACM 39-51 (-12),,"GOOD 3PTR by QUINN,JOSH",2
--,,,,,"ASSIST ASSIST by FREET,AUSTIN",,,"ASSIST ASSIST by FREET,AUSTIN",2
15:12,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by FEIDER,JP",,,"REBOUND DEF by FEIDER,JP",2
15:01,,,,,"MISS 3PTR by SWISHER,JEREMY",,,"MISS 3PTR by SWISHER,JEREMY",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
14:47,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",2
--,,,,,"REBOUND DEF by FEIDER,JP",,,"REBOUND DEF by FEIDER,JP",2
14:32,,,,,"TURNOVER  by BAEHL,BRIAN",,,"TURNOVER  by BAEHL,BRIAN",2
14:32,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
14:32,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
14:32,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",2
14:32,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
14:32,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",2
14:32,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
14:32,,,,,"SUB IN by JOHNSON,PATRICK",,,"SUB IN by JOHNSON,PATRICK",2
14:32,,,,,"SUB IN by PASS,JOHN",,,"SUB IN by PASS,JOHN",2
14:32,,,,,"SUB OUT by BAEHL,BRIAN",,,"SUB OUT by BAEHL,BRIAN",2
14:32,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",2
14:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
14:27,,,,,"MISS 3PTR by QUINN,JOSH",,,"MISS 3PTR by QUINN,JOSH",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
14:15,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by PASS,JOHN",,,"REBOUND DEF by PASS,JOHN",2
14:12,"FOUL  by MASON,WADE",,,,,,,"FOUL  by MASON,WADE",2
14:04,,,,,"SUB IN by RIVERA,ANDRES",,,"SUB IN by RIVERA,ANDRES",2
14:04,,,,,"SUB OUT by FREET,AUSTIN",,,"SUB OUT by FREET,AUSTIN",2
13:50,,,,,"FOUL  by PASS,JOHN",,,"FOUL  by PASS,JOHN",2
13:50,,,,,"TURNOVER  by PASS,JOHN",,,"TURNOVER  by PASS,JOHN",2
13:43,"TURNOVER  by MASON,WADE",,,,,,,"TURNOVER  by MASON,WADE",2
13:41,,,,,"STEAL  by QUINN,JOSH",,,"STEAL  by QUINN,JOSH",2
13:41,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
13:38,,39,,52 (+13),"GOOD FT by JOHNSON,PATRICK",ACM 39-52 (-13),,"GOOD FT by JOHNSON,PATRICK",2
13:38,,,,,"MISS FT by JOHNSON,PATRICK",,,"MISS FT by JOHNSON,PATRICK",2
--,"REBOUND DEF by MASON,WADE",,,,,,,"REBOUND DEF by MASON,WADE",2
13:38,,,,,"SUB IN by WADE,JUSTIN",,,"SUB IN by WADE,JUSTIN",2
13:38,,,,,"SUB OUT by FEIDER,JP",,,"SUB OUT by FEIDER,JP",2
13:23,,,,,"FOUL  by RIVERA,ANDRES",,,"FOUL  by RIVERA,ANDRES",2
13:23,"GOOD FT by GAGEN,BRENNAN",40,,52 (+12),,MMB 40-52 (-12),,"GOOD FT by GAGEN,BRENNAN",2
13:23,"GOOD FT by GAGEN,BRENNAN",41,,52 (+11),,MMB 41-52 (-11),,"GOOD FT by GAGEN,BRENNAN",2
13:04,,,,,"MISS 3PTR by RIVERA,ANDRES",,,"MISS 3PTR by RIVERA,ANDRES",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
12:45,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",2
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",2
12:32,"MISS JUMPER by TURNER,JAMES",,,,,,,"MISS JUMPER by TURNER,JAMES",2
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",2
12:28,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",2
12:26,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",43,,52 (+9),,MMB 43-52 (-9),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",2
12:11,,,,,"TURNOVER  by PASS,JOHN",,,"TURNOVER  by PASS,JOHN",2
12:11,,,,,"SUB IN by BAEHL,BRIAN",,,"SUB IN by BAEHL,BRIAN",2
12:11,,,,,"SUB IN by DICKERMAN,JOSH",,,"SUB IN by DICKERMAN,JOSH",2
12:11,,,,,"SUB IN by FREET,AUSTIN",,,"SUB IN by FREET,AUSTIN",2
12:11,,,,,"SUB OUT by JOHNSON,PATRICK",,,"SUB OUT by JOHNSON,PATRICK",2
12:11,,,,,"SUB OUT by QUINN,JOSH",,,"SUB OUT by QUINN,JOSH",2
12:11,,,,,"SUB OUT by RIVERA,ANDRES",,,"SUB OUT by RIVERA,ANDRES",2
11:53,"GOOD JUMPER by MASON,WADE",45,,52 (+7),,MMB 45-52 (-7),,"GOOD JUMPER by MASON,WADE",2
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",2
11:29,,,,,"MISS LAYUP by WADE,JUSTIN",,,"MISS LAYUP by WADE,JUSTIN",2
--,,,,,"REBOUND OFF by WADE,JUSTIN",,,"REBOUND OFF by WADE,JUSTIN",2
11:25,,,,,"MISS LAYUP by WADE,JUSTIN",,,"MISS LAYUP by WADE,JUSTIN",2
--,"REBOUND DEF by MASON,WADE",,,,,,,"REBOUND DEF by MASON,WADE",2
11:14,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by DICKERMAN,JOSH",,,"REBOUND DEF by DICKERMAN,JOSH",2
10:54,,,,,"MISS JUMPER by WADE,JUSTIN",,,"MISS JUMPER by WADE,JUSTIN",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
10:46,"GOOD JUMPER by MASON,WADE",47,,52 (+5),,MMB 47-52 (-5),,"GOOD JUMPER by MASON,WADE",2
--,"ASSIST ASSIST by MANCUSO,LOGAN",,,,,,,"ASSIST ASSIST by MANCUSO,LOGAN",2
10:26,,,,,"FOUL  by WADE,JUSTIN",,,"FOUL  by WADE,JUSTIN",2
10:26,,,,,"TURNOVER  by WADE,JUSTIN",,,"TURNOVER  by WADE,JUSTIN",2
10:26,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
10:26,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
10:26,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
10:26,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
10:26,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",2
10:26,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
10:26,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
10:26,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
10:26,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",2
10:26,,,,,"SUB IN by IGBINOSA,STEPHEN",,,"SUB IN by IGBINOSA,STEPHEN",2
10:26,,,,,"SUB IN by SWISHER,JEREMY",,,"SUB IN by SWISHER,JEREMY",2
10:26,,,,,"SUB OUT by PASS,JOHN",,,"SUB OUT by PASS,JOHN",2
10:26,,,,,"SUB OUT by WADE,JUSTIN",,,"SUB OUT by WADE,JUSTIN",2
10:08,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:59,,,,,"FOUL  by FREET,AUSTIN",,,"FOUL  by FREET,AUSTIN",2
09:59,"MISS FT by BLANZ,BUCK",,,,,,,"MISS FT by BLANZ,BUCK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:59,"GOOD FT by BLANZ,BUCK",48,,52 (+4),,MMB 48-52 (-4),,"GOOD FT by BLANZ,BUCK",2
09:46,,,,,"MISS 3PTR by DICKERMAN,JOSH",,,"MISS 3PTR by DICKERMAN,JOSH",2
09:46,"BLOCK  by MARKWITH,TRENT",,,,,,,"BLOCK  by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",,,"REBOUND OFF by IGBINOSA,STEPHEN",2
09:43,,,,,"MISS LAYUP by IGBINOSA,STEPHEN",,,"MISS LAYUP by IGBINOSA,STEPHEN",2
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",2
09:21,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",2
09:21,,,,,"STEAL  by FREET,AUSTIN",,,"STEAL  by FREET,AUSTIN",2
09:11,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",2
--,,,,,"REBOUND OFF by DICKERMAN,JOSH",,,"REBOUND OFF by DICKERMAN,JOSH",2
08:57,,,,,"MISS 3PTR by FREET,AUSTIN",,,"MISS 3PTR by FREET,AUSTIN",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
08:51,,,,,"FOUL  by DICKERMAN,JOSH",,,"FOUL  by DICKERMAN,JOSH",2
08:51,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
08:51,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
08:48,"GOOD JUMPER by BLANZ,BUCK(in the paint)",50,,52 (+2),,MMB 50-52 (-2),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",2
08:27,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",2
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",2
08:19,"MISS 3PTR by GARDNER,ROBERT",,,,,,,"MISS 3PTR by GARDNER,ROBERT",2
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",2
08:16,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
08:16,,,,,"SUB IN by WELLS,AUSTIN",,,"SUB IN by WELLS,AUSTIN",2
08:16,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",2
08:16,,,,,"SUB OUT by DICKERMAN,JOSH",,,"SUB OUT by DICKERMAN,JOSH",2
08:16,,,,,"SUB OUT by IGBINOSA,STEPHEN",,,"SUB OUT by IGBINOSA,STEPHEN",2
07:54,,,,,"MISS LAYUP by FREET,AUSTIN",,,"MISS LAYUP by FREET,AUSTIN",2
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",2
07:49,,50,,54 (+4),"GOOD LAYUP by FEIDER,JP(in the paint)",ACM 50-54 (-4),,"GOOD LAYUP by FEIDER,JP(in the paint)",2
07:37,"GOOD 3PTR by GAGEN,BRENNAN",53,,54 (+1),,MMB 53-54 (-1),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,"ASSIST ASSIST by GARDNER,ROBERT",,,,,,,"ASSIST ASSIST by GARDNER,ROBERT",2
07:21,,53,,57 (+4),"GOOD 3PTR by SWISHER,JEREMY",ACM 53-57 (-4),,"GOOD 3PTR by SWISHER,JEREMY",2
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",2
07:04,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",2
06:59,,,,,"STEAL  by FEIDER,JP",,,"STEAL  by FEIDER,JP",2
06:53,,,,,"FOUL  by SWISHER,JEREMY",,,"FOUL  by SWISHER,JEREMY",2
06:53,,,,,"TURNOVER  by SWISHER,JEREMY",,,"TURNOVER  by SWISHER,JEREMY",2
06:53,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",2
06:53,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",2
06:27,"MISS JUMPER by TULLOS,ZACHARY",,,,,,,"MISS JUMPER by TULLOS,ZACHARY",2
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",2
06:18,,53,,59 (+6),"GOOD LAYUP by FEIDER,JP(in the paint)",ACM 53-59 (-6),,"GOOD LAYUP by FEIDER,JP(in the paint)",2
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",2
06:18,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",2
06:18,,,,,"MISS FT by FEIDER,JP",,,"MISS FT by FEIDER,JP",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
05:52,"GOOD JUMPER by KOHNKE,SAM(in the paint)",55,,59 (+4),,MMB 55-59 (-4),,"GOOD JUMPER by KOHNKE,SAM(in the paint)",2
--,"ASSIST ASSIST by MARKWITH,TRENT",,,,,,,"ASSIST ASSIST by MARKWITH,TRENT",2
05:48,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,2
05:48,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",2
05:48,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
05:36,,55,,61 (+6),"GOOD JUMPER by BAEHL,BRIAN",ACM 55-61 (-6),,"GOOD JUMPER by BAEHL,BRIAN",2
05:15,,,,,"FOUL  by FREET,AUSTIN",,,"FOUL  by FREET,AUSTIN",2
05:15,"GOOD FT by GAGEN,BRENNAN",56,,61 (+5),,MMB 56-61 (-5),,"GOOD FT by GAGEN,BRENNAN",2
05:15,"GOOD FT by GAGEN,BRENNAN",57,,61 (+4),,MMB 57-61 (-4),,"GOOD FT by GAGEN,BRENNAN",2
05:15,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",2
05:15,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",2
05:02,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",2
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",2
04:54,,,,,"FOUL  by WELLS,AUSTIN",,,"FOUL  by WELLS,AUSTIN",2
04:54,"MISS FT by MASON,WADE",,,,,,,"MISS FT by MASON,WADE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:54,"GOOD FT by MASON,WADE",58,,61 (+3),,MMB 58-61 (-3),,"GOOD FT by MASON,WADE",2
04:54,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
04:54,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",2
04:54,,,,,"SUB IN by SWISHER,JEREMY",,,"SUB IN by SWISHER,JEREMY",2
04:54,,,,,"SUB OUT by WELLS,AUSTIN",,,"SUB OUT by WELLS,AUSTIN",2
04:26,,,,,"MISS 3PTR by QUINN,JOSH",,,"MISS 3PTR by QUINN,JOSH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:00,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
03:56,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",2
03:27,,,,,"MISS JUMPER by BAEHL,BRIAN",,,"MISS JUMPER by BAEHL,BRIAN",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
03:09,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",2
03:09,,,,,"STEAL  by FEIDER,JP",,,"STEAL  by FEIDER,JP",2
02:51,,,,,"MISS LAYUP by FREET,AUSTIN",,,"MISS LAYUP by FREET,AUSTIN",2
02:51,"BLOCK  by TULLOS,ZACHARY",,,,,,,"BLOCK  by TULLOS,ZACHARY",2
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",2
02:45,,,,,"FOUL  by QUINN,JOSH",,,"FOUL  by QUINN,JOSH",2
02:45,"GOOD FT by TULLOS,ZACHARY",59,,61 (+2),,MMB 59-61 (-2),,"GOOD FT by TULLOS,ZACHARY",2
02:45,"MISS FT by TULLOS,ZACHARY",,,,,,,"MISS FT by TULLOS,ZACHARY",2
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",2
02:19,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
02:19,,59,,62 (+3),"GOOD FT by BAEHL,BRIAN",ACM 59-62 (-3),,"GOOD FT by BAEHL,BRIAN",2
02:19,,,,,"MISS FT by BAEHL,BRIAN",,,"MISS FT by BAEHL,BRIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:19,,59,,63 (+4),"GOOD FT by BAEHL,BRIAN",ACM 59-63 (-4),,"GOOD FT by BAEHL,BRIAN",2
02:07,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",2
02:03,,,,,"FOUL  by FEIDER,JP",,,"FOUL  by FEIDER,JP",2
02:03,"GOOD FT by BLANZ,BUCK",60,,63 (+3),,MMB 60-63 (-3),,"GOOD FT by BLANZ,BUCK",2
02:02,"GOOD FT by BLANZ,BUCK",61,,63 (+2),,MMB 61-63 (-2),,"GOOD FT by BLANZ,BUCK",2
01:34,,,,,"MISS LAYUP by FREET,AUSTIN",,,"MISS LAYUP by FREET,AUSTIN",2
01:34,"BLOCK  by TULLOS,ZACHARY",,,,,,,"BLOCK  by TULLOS,ZACHARY",2
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",2
01:29,,,,,"MISS LAYUP by FEIDER,JP",,,"MISS LAYUP by FEIDER,JP",2
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",2
01:29,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
01:29,,,,,"MISS FT by FEIDER,JP",,,"MISS FT by FEIDER,JP",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:29,,61,,64 (+3),"GOOD FT by FEIDER,JP",ACM 61-64 (-3),,"GOOD FT by FEIDER,JP",2
01:24,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:02,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",2
00:37,,,,,"MISS JUMPER by BAEHL,BRIAN",,,"MISS JUMPER by BAEHL,BRIAN",2
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",2
00:20,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",2
00:17,,,,,"STEAL  by BAEHL,BRIAN",,,"STEAL  by BAEHL,BRIAN",2
00:16,,61,,66 (+5),"GOOD LAYUP by SWISHER,JEREMY(in the paint)",ACM 61-66 (-5),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",2
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",2
00:10,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",2
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",2
00:02,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",2
