Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
08:19,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
08:19,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
08:19,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
08:03,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
08:03,"GOOD FT by RICHARDS,ZAC",25 (+2),,23,,BSC 25-23 (-2),,"GOOD FT by RICHARDS,ZAC",1
08:03,"GOOD FT by RICHARDS,ZAC",26 (+3),,23,,BSC 26-23 (-3),,"GOOD FT by RICHARDS,ZAC",1
08:02,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
08:02,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
08:02,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
08:02,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
08:02,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
08:02,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
08:02,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
08:02,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
08:02,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
08:02,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
07:57,,,,,"MISS LAYUP by MILLER,JOEY",,,"MISS LAYUP by MILLER,JOEY",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
07:47,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
07:45,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,,,,,"REBOUND OFF by MILLER,JOEY",,,"REBOUND OFF by MILLER,JOEY",1
07:20,,26 (+1),,25,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 26-25 (-1),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
07:12,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
07:10,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
07:06,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
07:02,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",1
06:58,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
06:58,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
06:58,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
06:57,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
06:22,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",28 (+3),,25,,BSC 28-25 (-3),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
06:22,,,,,"FOUL  by MILLER,JOEY",,,"FOUL  by MILLER,JOEY",1
06:22,"GOOD FT by SCHAMP,GRIFFIN",29 (+4),,25,,BSC 29-25 (-4),,"GOOD FT by SCHAMP,GRIFFIN",1
06:06,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
05:55,"GOOD LAYUP by JONUS,JASEN(in the paint)",31 (+6),,25,,BSC 31-25 (-6),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
05:41,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
05:41,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
05:41,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:41,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
05:41,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
05:41,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
05:41,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
05:41,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
