Time Remaining,RCB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
17:09,,31,,42 (+11),"GOOD FT by KILPATRICK,KORY",RCMBB12 31-42 (+11),,"GOOD FT by KILPATRICK,KORY",2
17:09,"SUB IN by CLARK,JUSTYCZE",,,,,,,"SUB IN by CLARK,JUSTYCZE",2
17:09,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",2
17:04,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:04,"GOOD FT by MONTGOMERY,WILLIAM",32,,42 (+10),,RCB 32-42 (+10),,"GOOD FT by MONTGOMERY,WILLIAM",2
17:04,"GOOD FT by MONTGOMERY,WILLIAM",33,,42 (+9),,RCB 33-42 (+9),,"GOOD FT by MONTGOMERY,WILLIAM",2
17:04,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
17:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
16:43,,33,,44 (+11),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 33-44 (+11),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
16:34,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",35,,44 (+9),,RCB 35-44 (+9),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",2
16:27,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
16:27,"MISS FT by MCPHERSON,FABIAN",,,,,,,"MISS FT by MCPHERSON,FABIAN",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
16:12,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND OFF by MILLER,JOEY",,,"REBOUND OFF by MILLER,JOEY",2
16:07,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",2
15:50,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",2
15:32,"FOUL  by STOKES,PATRICK",,,,,,,"FOUL  by STOKES,PATRICK",2
15:32,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:32,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,"REBOUND DEF by MCPHERSON,FABIAN",,,,,,,"REBOUND DEF by MCPHERSON,FABIAN",2
15:32,"MISS JUMPER by WILSON,MARKEITH",,,,,,,"MISS JUMPER by WILSON,MARKEITH",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
15:32,,35,,47 (+12),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 35-47 (+12),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
15:22,"MISS JUMPER by MONTGOMERY,WILLIAM",,,,,,,"MISS JUMPER by MONTGOMERY,WILLIAM",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
15:07,,,,,"MISS LAYUP by MILLER,JOEY",,,"MISS LAYUP by MILLER,JOEY",2
--,"REBOUND DEF by MCPHERSON,FABIAN",,,,,,,"REBOUND DEF by MCPHERSON,FABIAN",2
14:54,"TURNOVER  by CLARK,JUSTYCZE",,,,,,,"TURNOVER  by CLARK,JUSTYCZE",2
14:52,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",2
14:41,,35,,50 (+15),"GOOD 3PTR by KILPATRICK,KORY",RCMBB12 35-50 (+15),,"GOOD 3PTR by KILPATRICK,KORY",2
14:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:34,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",2
14:34,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
14:33,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,"REBOUND OFF by SEALS,JORDAN",,,,,,,"REBOUND OFF by SEALS,JORDAN",2
14:25,"GOOD LAYUP by SEALS,JORDAN(in the paint)",37,,50 (+13),,RCB 37-50 (+13),,"GOOD LAYUP by SEALS,JORDAN(in the paint)",2
14:20,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",2
14:20,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",2
14:20,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",2
14:20,"SUB OUT by STOKES,PATRICK",,,,,,,"SUB OUT by STOKES,PATRICK",2
14:12,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",2
13:59,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
13:37,,37,,53 (+16),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 37-53 (+16),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
13:21,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",39,,53 (+14),,RCB 39-53 (+14),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2
13:02,,,,,"MISS LAYUP by ZOGG,ALDEN",,,"MISS LAYUP by ZOGG,ALDEN",2
--,"REBOUND DEF by BIRKS,ANDREW",,,,,,,"REBOUND DEF by BIRKS,ANDREW",2
12:52,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:45,"SUB IN by THOMPSON,SHUNN",,,,,,,"SUB IN by THOMPSON,SHUNN",2
12:45,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",2
12:45,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
12:45,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",2
12:25,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
12:21,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by CLARK,JUSTYCZE",,,,,,,"REBOUND DEF by CLARK,JUSTYCZE",2
12:13,"GOOD LAYUP by THOMPSON,SHUNN(in the paint)",41,,53 (+12),,RCB 41-53 (+12),,"GOOD LAYUP by THOMPSON,SHUNN(in the paint)",2
11:53,,41,,55 (+14),"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",RCMBB12 41-55 (+14),,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
11:53,"FOUL  by BIRKS,ANDREW",,,,,,,"FOUL  by BIRKS,ANDREW",2
11:53,,41,,56 (+15),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 41-56 (+15),,"GOOD FT by GALLAGHER,MICHAEL",2
11:53,"SUB IN by MCPHERSON,FABIAN",,,,,,,"SUB IN by MCPHERSON,FABIAN",2
11:53,"SUB OUT by MONTGOMERY,WILLIAM",,,,,,,"SUB OUT by MONTGOMERY,WILLIAM",2
11:46,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
11:46,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
11:43,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
11:43,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
11:43,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
11:39,"TURNOVER  by THOMPSON,SHUNN",,,,,,,"TURNOVER  by THOMPSON,SHUNN",2
11:02,,41,,59 (+18),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 41-59 (+18),,"GOOD 3PTR by GALOW,ANDREW",2
10:46,"GOOD JUMPER by BIRKS,ANDREW",43,,59 (+16),,RCB 43-59 (+16),,"GOOD JUMPER by BIRKS,ANDREW",2
10:20,,43,,62 (+19),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 43-62 (+19),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by MILLER,JOEY",,,"ASSIST  by MILLER,JOEY",2
10:11,"MISS LAYUP by MCPHERSON,FABIAN",,,,,,,"MISS LAYUP by MCPHERSON,FABIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:05,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
10:05,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
10:05,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
09:49,,43,,64 (+21),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 43-64 (+21),,"GOOD LAYUP by MILLER,JOEY(in the paint)",2
09:38,"MISS LAYUP by THOMPSON,SHUNN",,,,,,,"MISS LAYUP by THOMPSON,SHUNN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:31,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",45,,64 (+19),,RCB 45-64 (+19),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",2
09:16,,45,,67 (+22),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 45-67 (+22),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
08:59,"MISS 3PTR by MCPHERSON,FABIAN",,,,,,,"MISS 3PTR by MCPHERSON,FABIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:55,"SUB IN by STOKES,PATRICK",,,,,,,"SUB IN by STOKES,PATRICK",2
08:55,"SUB OUT by CLARK,JUSTYCZE",,,,,,,"SUB OUT by CLARK,JUSTYCZE",2
08:42,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",2
--,"REBOUND DEF by STOKES,PATRICK",,,,,,,"REBOUND DEF by STOKES,PATRICK",2
08:17,,45,,69 (+24),"GOOD JUMPER by CHIEN,KEVIN",RCMBB12 45-69 (+24),,"GOOD JUMPER by CHIEN,KEVIN",2
07:56,"GOOD 3PTR by BIRKS,ANDREW",48,,69 (+21),,RCB 48-69 (+21),,"GOOD 3PTR by BIRKS,ANDREW",2
--,"ASSIST  by SEALS,JORDAN",,,,,,,"ASSIST  by SEALS,JORDAN",2
07:38,,48,,72 (+24),"GOOD 3PTR by CHIEN,KEVIN",RCMBB12 48-72 (+24),,"GOOD 3PTR by CHIEN,KEVIN",2
07:25,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
06:57,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",2
06:53,,48,,74 (+26),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 48-74 (+26),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
06:44,"MISS LAYUP by SEALS,JORDAN",,,,,,,"MISS LAYUP by SEALS,JORDAN",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
06:20,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",2
06:18,"STEAL  by THOMPSON,SHUNN",,,,,,,"STEAL  by THOMPSON,SHUNN",2
06:16,"GOOD LAYUP by THOMPSON,SHUNN(in the paint)",50,,74 (+24),,RCB 50-74 (+24),,"GOOD LAYUP by THOMPSON,SHUNN(in the paint)",2
06:10,"FOUL  by THOMPSON,SHUNN",,,,,,,"FOUL  by THOMPSON,SHUNN",2
06:10,,50,,75 (+25),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 50-75 (+25),,"GOOD FT by GALLAGHER,MICHAEL",2
06:10,,50,,76 (+26),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 50-76 (+26),,"GOOD FT by GALLAGHER,MICHAEL",2
06:10,,50,,77 (+27),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 50-77 (+27),,"GOOD FT by GALLAGHER,MICHAEL",2
06:10,,50,,78 (+28),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 50-78 (+28),,"GOOD FT by GALLAGHER,MICHAEL",2
06:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:10,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
06:10,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
06:10,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
06:10,,,,,"SUB IN by ROGAN,BRANDON",,,"SUB IN by ROGAN,BRANDON",2
06:10,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
06:10,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
06:10,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
05:23,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",2
05:23,"SUB IN by WILSON,MARKEITH",,,,,,,"SUB IN by WILSON,MARKEITH",2
05:23,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",2
05:23,"SUB OUT by THOMPSON,SHUNN",,,,,,,"SUB OUT by THOMPSON,SHUNN",2
04:53,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",2
--,"REBOUND DEF by STOKES,PATRICK",,,,,,,"REBOUND DEF by STOKES,PATRICK",2
04:47,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",52,,78 (+26),,RCB 52-78 (+26),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2
04:09,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
04:07,"STEAL  by STOKES,PATRICK",,,,,,,"STEAL  by STOKES,PATRICK",2
04:04,"MISS LAYUP by BIRKS,ANDREW",,,,,,,"MISS LAYUP by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
03:49,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
03:47,"STEAL  by STOKES,PATRICK",,,,,,,"STEAL  by STOKES,PATRICK",2
03:45,"MISS LAYUP by BIRKS,ANDREW",,,,,,,"MISS LAYUP by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by ROGAN,BRANDON",,,"REBOUND DEF by ROGAN,BRANDON",2
03:34,"FOUL  by SEALS,JORDAN",,,,,,,"FOUL  by SEALS,JORDAN",2
03:34,,,,,"MISS FT by WATSON,SHANE",,,"MISS FT by WATSON,SHANE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:34,,,,,"MISS FT by WATSON,SHANE",,,"MISS FT by WATSON,SHANE",2
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",2
03:34,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",54,,78 (+24),,RCB 54-78 (+24),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2
03:34,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",2
03:34,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
03:34,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
03:34,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
03:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:33,"SUB IN by MCPHERSON,FABIAN",,,,,,,"SUB IN by MCPHERSON,FABIAN",2
03:33,"SUB IN by VEASLEY,LARRY",,,,,,,"SUB IN by VEASLEY,LARRY",2
03:33,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",2
03:33,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",2
03:12,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by STOKES,PATRICK",,,,,,,"REBOUND DEF by STOKES,PATRICK",2
03:04,,,,,"FOUL  by DRUMMOND,TRIPP",,,"FOUL  by DRUMMOND,TRIPP",2
03:04,"GOOD FT by STOKES,PATRICK",55,,78 (+23),,RCB 55-78 (+23),,"GOOD FT by STOKES,PATRICK",2
03:04,"MISS FT by STOKES,PATRICK",,,,,,,"MISS FT by STOKES,PATRICK",2
--,"REBOUND OFF by WILSON,MARKEITH",,,,,,,"REBOUND OFF by WILSON,MARKEITH",2
03:04,"MISS 3PTR by MONTGOMERY,WILLIAM",,,,,,,"MISS 3PTR by MONTGOMERY,WILLIAM",2
--,,,,,"REBOUND DEF by DRUMMOND,TRIPP",,,"REBOUND DEF by DRUMMOND,TRIPP",2
03:04,,,,,"TURNOVER  by DRUMMOND,TRIPP",,,"TURNOVER  by DRUMMOND,TRIPP",2
03:04,"STEAL  by MONTGOMERY,WILLIAM",,,,,,,"STEAL  by MONTGOMERY,WILLIAM",2
03:04,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",57,,78 (+21),,RCB 57-78 (+21),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2
03:04,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
03:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
03:02,"FOUL  by STOKES,PATRICK",,,,,,,"FOUL  by STOKES,PATRICK",2
03:02,,57,,79 (+22),"GOOD FT by DRUMMOND,TRIPP",RCMBB12 57-79 (+22),,"GOOD FT by DRUMMOND,TRIPP",2
03:02,,,,,"MISS FT by DRUMMOND,TRIPP",,,"MISS FT by DRUMMOND,TRIPP",2
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",2
03:02,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",2
03:02,,,,,"SUB IN by HADE,ALEX",,,"SUB IN by HADE,ALEX",2
03:02,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",2
03:02,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
03:02,,,,,"SUB OUT by ROGAN,BRANDON",,,"SUB OUT by ROGAN,BRANDON",2
03:01,"TURNOVER  by VEASLEY,LARRY",,,,,,,"TURNOVER  by VEASLEY,LARRY",2
02:42,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
02:39,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",59,,79 (+20),,RCB 59-79 (+20),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",2
02:34,"STEAL  by MONTGOMERY,WILLIAM",,,,,,,"STEAL  by MONTGOMERY,WILLIAM",2
02:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:55,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
01:55,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",2
01:37,,,,,"MISS LAYUP by HADE,ALEX",,,"MISS LAYUP by HADE,ALEX",2
01:26,"MISS LAYUP by VEASLEY,LARRY",,,,,,,"MISS LAYUP by VEASLEY,LARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:26,"FOUL  by MONTGOMERY,WILLIAM",,,,,,,"FOUL  by MONTGOMERY,WILLIAM",2
01:26,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:26,,59,,80 (+21),"GOOD FT by COLLINS,LUKE",RCMBB12 59-80 (+21),,"GOOD FT by COLLINS,LUKE",2
01:26,,59,,81 (+22),"GOOD FT by DAVIS,MAX",RCMBB12 59-81 (+22),,"GOOD FT by DAVIS,MAX",2
01:26,,59,,82 (+23),"GOOD FT by DAVIS,MAX",RCMBB12 59-82 (+23),,"GOOD FT by DAVIS,MAX",2
01:26,"SUB IN by LEWIS,MARIO",,,,,,,"SUB IN by LEWIS,MARIO",2
01:26,"SUB IN by LEWIS,CORDARIUS",,,,,,,"SUB IN by LEWIS,CORDARIUS",2
01:26,"SUB IN by AUSTIN,ANTHONY",,,,,,,"SUB IN by AUSTIN,ANTHONY",2
01:26,"SUB IN by JOHNSON,GREGORY",,,,,,,"SUB IN by JOHNSON,GREGORY",2
01:26,"SUB IN by JENKINS,REGINALD",,,,,,,"SUB IN by JENKINS,REGINALD",2
01:26,"SUB OUT by MONTGOMERY,WILLIAM",,,,,,,"SUB OUT by MONTGOMERY,WILLIAM",2
01:26,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",2
01:26,"SUB OUT by STOKES,PATRICK",,,,,,,"SUB OUT by STOKES,PATRICK",2
01:26,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",2
01:26,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",2
01:19,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by BEASLEY,KARL",,,,,,,"REBOUND DEF by BEASLEY,KARL",2
01:10,,,,,"FOUL  by DAVIS,MAX",,,"FOUL  by DAVIS,MAX",2
01:10,"GOOD FT by LEWIS,MARIO",60,,82 (+22),,RCB 60-82 (+22),,"GOOD FT by LEWIS,MARIO",2
01:10,"MISS FT by LEWIS,MARIO",,,,,,,"MISS FT by LEWIS,MARIO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:10,,60,,84 (+24),"GOOD JUMPER by HOECK,RYAN VAN",RCMBB12 60-84 (+24),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,,,,,"ASSIST  by HADE,ALEX",,,"ASSIST  by HADE,ALEX",2
01:07,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
01:06,"MISS FT by LEWIS,CORDARIUS",,,,,,,"MISS FT by LEWIS,CORDARIUS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:06,"MISS FT by LEWIS,CORDARIUS",,,,,,,"MISS FT by LEWIS,CORDARIUS",2
--,"REBOUND OFF by AUSTIN,ANTHONY",,,,,,,"REBOUND OFF by AUSTIN,ANTHONY",2
01:06,"GOOD LAYUP by AUSTIN,ANTHONY(in the paint)",62,,84 (+22),,RCB 62-84 (+22),,"GOOD LAYUP by AUSTIN,ANTHONY(in the paint)",2
00:56,,62,,86 (+24),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RCMBB12 62-86 (+24),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
00:36,"MISS JUMPER by LEWIS,CORDARIUS",,,,,,,"MISS JUMPER by LEWIS,CORDARIUS",2
00:36,,,,,"BLOCK  by MILLER,DREW",,,"BLOCK  by MILLER,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:20,"MISS 3PTR by LEWIS,MARIO",,,,,,,"MISS 3PTR by LEWIS,MARIO",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
