Time Remaining,PCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by JONE,MATT",,,,,,,"REBOUND DEF by JONE,MATT",2
13:57,"GOOD JUMPER by SYDNESS,KENNY",26,,54 (+28),,PCMB 26-54 (+28),,"GOOD JUMPER by SYDNESS,KENNY",2
--,"ASSIST  by ANGLE,COLIN",,,,,,,"ASSIST  by ANGLE,COLIN",2
13:48,,,,,"MISS JUMPER by ZOGG,ALDEN",,,"MISS JUMPER by ZOGG,ALDEN",2
13:48,"BLOCK  by SYDNESS,KENNY",,,,,,,"BLOCK  by SYDNESS,KENNY",2
--,"REBOUND DEF by ANGLE,COLIN",,,,,,,"REBOUND DEF by ANGLE,COLIN",2
13:31,"TURNOVER  by ANGLE,COLIN",,,,,,,"TURNOVER  by ANGLE,COLIN",2
13:27,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
13:24,"MISS 3PTR by ANGLE,COLIN",,,,,,,"MISS 3PTR by ANGLE,COLIN",2
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",2
13:08,,26,,57 (+31),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 26-57 (+31),,"GOOD 3PTR by MCGRAIL,PATRICK",2
12:41,,,,,"FOUL  by ZOGG,ALDEN",,,"FOUL  by ZOGG,ALDEN",2
12:41,"GOOD FT by SYDNESS,KENNY",27,,57 (+30),,PCMB 27-57 (+30),,"GOOD FT by SYDNESS,KENNY",2
12:41,"GOOD FT by SYDNESS,KENNY",28,,57 (+29),,PCMB 28-57 (+29),,"GOOD FT by SYDNESS,KENNY",2
12:41,"SUB IN by SEBRING,TOMMY",,,,,,,"SUB IN by SEBRING,TOMMY",2
12:41,"SUB OUT by ANGLE,COLIN",,,,,,,"SUB OUT by ANGLE,COLIN",2
12:37,"MISS JUMPER by HENINGER,TOMMY",,,,,,,"MISS JUMPER by HENINGER,TOMMY",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
12:21,,28,,60 (+32),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 28-60 (+32),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
12:03,"MISS JUMPER by HENINGER,TOMMY",,,,,,,"MISS JUMPER by HENINGER,TOMMY",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
11:55,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
11:55,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
11:55,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
11:55,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
11:55,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",2
11:55,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
11:55,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",2
11:55,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:55,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
11:55,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",2
11:33,,,,,"MISS JUMPER by COLLINS,LUKE",,,"MISS JUMPER by COLLINS,LUKE",2
--,"REBOUND DEF by HENINGER,TOMMY",,,,,,,"REBOUND DEF by HENINGER,TOMMY",2
11:24,"MISS 3PTR by SYDNESS,KENNY",,,,,,,"MISS 3PTR by SYDNESS,KENNY",2
--,,,,,"REBOUND DEF by DAVIS,MAX",,,"REBOUND DEF by DAVIS,MAX",2
11:13,,,,,"MISS JUMPER by MILLER,JOEY",,,"MISS JUMPER by MILLER,JOEY",2
11:13,"BLOCK  by SYDNESS,KENNY",,,,,,,"BLOCK  by SYDNESS,KENNY",2
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",2
10:57,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
10:52,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
10:52,"STEAL  by JONE,MATT",,,,,,,"STEAL  by JONE,MATT",2
10:50,"GOOD JUMPER by JONE,MATT",30,,60 (+30),,PCMB 30-60 (+30),,"GOOD JUMPER by JONE,MATT",2
10:25,,,,,"TURNOVER  by DAVIS,MAX",,,"TURNOVER  by DAVIS,MAX",2
10:19,"STEAL  by MACDONALD,JUSTIN",,,,,,,"STEAL  by MACDONALD,JUSTIN",2
10:15,"SUB IN by ANGLE,COLIN",,,,,,,"SUB IN by ANGLE,COLIN",2
10:15,"SUB OUT by JONE,MATT",,,,,,,"SUB OUT by JONE,MATT",2
09:51,"MISS 3PTR by SEBRING,TOMMY",,,,,,,"MISS 3PTR by SEBRING,TOMMY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:15,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
09:15,"SUB IN by JONE,MATT",,,,,,,"SUB IN by JONE,MATT",2
09:15,"SUB OUT by MACDONALD,JUSTIN",,,,,,,"SUB OUT by MACDONALD,JUSTIN",2
09:04,"TURNOVER  by ANGLE,COLIN",,,,,,,"TURNOVER  by ANGLE,COLIN",2
09:02,,,,,"STEAL  by HOECK,RYAN VAN",,,"STEAL  by HOECK,RYAN VAN",2
08:53,"FOUL  by HENINGER,TOMMY",,,,,,,"FOUL  by HENINGER,TOMMY",2
08:53,,30,,61 (+31),"GOOD FT by DAVIS,MAX",RCMBB12 30-61 (+31),,"GOOD FT by DAVIS,MAX",2
08:53,,30,,62 (+32),"GOOD FT by DAVIS,MAX",RCMBB12 30-62 (+32),,"GOOD FT by DAVIS,MAX",2
08:53,"SUB IN by MACDONALD,JUSTIN",,,,,,,"SUB IN by MACDONALD,JUSTIN",2
08:53,"SUB OUT by ANGLE,COLIN",,,,,,,"SUB OUT by ANGLE,COLIN",2
08:33,"TURNOVER  by HENINGER,TOMMY",,,,,,,"TURNOVER  by HENINGER,TOMMY",2
08:26,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
08:16,"TURNOVER  by SEBRING,TOMMY",,,,,,,"TURNOVER  by SEBRING,TOMMY",2
08:15,,,,,"STEAL  by WATSON,SHANE",,,"STEAL  by WATSON,SHANE",2
08:11,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:07,"SUB IN by ELMORE,JAKE",,,,,,,"SUB IN by ELMORE,JAKE",2
08:07,"SUB OUT by HENINGER,TOMMY",,,,,,,"SUB OUT by HENINGER,TOMMY",2
07:44,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
07:17,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by ELMORE,JAKE",,,,,,,"REBOUND DEF by ELMORE,JAKE",2
07:11,"MISS JUMPER by MACDONALD,JUSTIN",,,,,,,"MISS JUMPER by MACDONALD,JUSTIN",2
--,"REBOUND OFF by SYDNESS,KENNY",,,,,,,"REBOUND OFF by SYDNESS,KENNY",2
07:08,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
07:00,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",2
06:58,"STEAL  by MACDONALD,JUSTIN",,,,,,,"STEAL  by MACDONALD,JUSTIN",2
06:56,"GOOD JUMPER by MACDONALD,JUSTIN",32,,62 (+30),,PCMB 32-62 (+30),,"GOOD JUMPER by MACDONALD,JUSTIN",2
06:53,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
06:53,"MISS FT by MACDONALD,JUSTIN",,,,,,,"MISS FT by MACDONALD,JUSTIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
06:53,"SUB IN by HENINGER,TOMMY",,,,,,,"SUB IN by HENINGER,TOMMY",2
06:53,"SUB OUT by SEBRING,TOMMY",,,,,,,"SUB OUT by SEBRING,TOMMY",2
06:53,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
06:53,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
06:53,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
06:53,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",2
06:53,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",2
06:53,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
06:53,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
06:53,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
06:53,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
06:53,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",2
06:48,,,,,"MISS JUMPER by DRUMMOND,TRIPP",,,"MISS JUMPER by DRUMMOND,TRIPP",2
--,"REBOUND DEF by MACDONALD,JUSTIN",,,,,,,"REBOUND DEF by MACDONALD,JUSTIN",2
06:40,"GOOD 3PTR by MACDONALD,JUSTIN",35,,62 (+27),,PCMB 35-62 (+27),,"GOOD 3PTR by MACDONALD,JUSTIN",2
06:20,,35,,65 (+30),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 35-65 (+30),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
06:03,,,,,"FOUL  by ZOGG,ALDEN",,,"FOUL  by ZOGG,ALDEN",2
06:03,"MISS FT by HENINGER,TOMMY",,,,,,,"MISS FT by HENINGER,TOMMY",2
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",2
05:46,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",2
05:40,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:37,"FOUL  by JONE,MATT",,,,,,,"FOUL  by JONE,MATT",2
05:30,,35,,67 (+32),"GOOD JUMPER by GALLAGHER,MICHAEL",RCMBB12 35-67 (+32),,"GOOD JUMPER by GALLAGHER,MICHAEL",2
05:19,"TURNOVER  by JONE,MATT",,,,,,,"TURNOVER  by JONE,MATT",2
05:17,,,,,"STEAL  by DRUMMOND,TRIPP",,,"STEAL  by DRUMMOND,TRIPP",2
05:11,"FOUL  by JONE,MATT",,,,,,,"FOUL  by JONE,MATT",2
05:11,FOUL  by TEAM,,,,,,,FOUL  by TEAM,2
05:11,,,,,"MISS FT by DRUMMOND,TRIPP",,,"MISS FT by DRUMMOND,TRIPP",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:11,,35,,68 (+33),"GOOD FT by DRUMMOND,TRIPP",RCMBB12 35-68 (+33),,"GOOD FT by DRUMMOND,TRIPP",2
04:48,"GOOD JUMPER by MACDONALD,JUSTIN",37,,68 (+31),,PCMB 37-68 (+31),,"GOOD JUMPER by MACDONALD,JUSTIN",2
04:28,,37,,70 (+33),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB12 37-70 (+33),,"GOOD JUMPER by LIVSEY,GEOFF",2
04:13,"TURNOVER  by JONE,MATT",,,,,,,"TURNOVER  by JONE,MATT",2
04:12,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
04:09,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by JONE,MATT",,,,,,,"REBOUND DEF by JONE,MATT",2
03:58,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",2
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",2
03:52,,,,,"TURNOVER  by ZOGG,ALDEN",,,"TURNOVER  by ZOGG,ALDEN",2
03:51,"GOOD JUMPER by SYDNESS,KENNY",39,,70 (+31),,PCMB 39-70 (+31),,"GOOD JUMPER by SYDNESS,KENNY",2
03:51,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
03:51,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
03:51,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",2
03:51,,,,,"SUB IN by CATES,REID",,,"SUB IN by CATES,REID",2
03:51,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
03:51,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
03:51,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
03:51,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
03:51,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",2
03:51,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",2
03:16,,39,,73 (+34),"GOOD 3PTR by WATSON,SHANE",RCMBB12 39-73 (+34),,"GOOD 3PTR by WATSON,SHANE",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
02:59,"GOOD JUMPER by HENINGER,TOMMY",41,,73 (+32),,PCMB 41-73 (+32),,"GOOD JUMPER by HENINGER,TOMMY",2
02:36,,41,,75 (+34),"GOOD JUMPER by WATSON,SHANE",RCMBB12 41-75 (+34),,"GOOD JUMPER by WATSON,SHANE",2
02:26,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",2
--,"REBOUND OFF by HENINGER,TOMMY",,,,,,,"REBOUND OFF by HENINGER,TOMMY",2
02:21,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
01:56,,,,,"MISS 3PTR by DAVIS,MAX",,,"MISS 3PTR by DAVIS,MAX",2
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",2
01:40,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
01:22,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by MACDONALD,JUSTIN",,,,,,,"REBOUND DEF by MACDONALD,JUSTIN",2
01:12,"GOOD JUMPER by MACDONALD,JUSTIN",43,,75 (+32),,PCMB 43-75 (+32),,"GOOD JUMPER by MACDONALD,JUSTIN",2
00:57,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:53,"SUB IN by SEBRING,TOMMY",,,,,,,"SUB IN by SEBRING,TOMMY",2
00:53,"SUB OUT by ELMORE,JAKE",,,,,,,"SUB OUT by ELMORE,JAKE",2
00:46,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
00:46,"MISS FT by SYDNESS,KENNY",,,,,,,"MISS FT by SYDNESS,KENNY",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
00:12,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",2
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",2
00:10,,43,,77 (+34),"GOOD JUMPER by WATSON,SHANE",RCMBB12 43-77 (+34),,"GOOD JUMPER by WATSON,SHANE",2
00:01,"MISS 3PTR by JONE,MATT",,,,,,,"MISS 3PTR by JONE,MATT",2
--,,,,,"REBOUND DEF by DAVIS,MAX",,,"REBOUND DEF by DAVIS,MAX",2
