Time Remaining,OWUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
16:31,"TURNOVER  by SPAULDING,VAUGHN",,,,,,,"TURNOVER  by SPAULDING,VAUGHN",2
16:30,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
15:53,,36,,40 (+4),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 36-40 (+4),,"GOOD JUMPER by GALOW,ANDREW",2
15:21,"MISS JUMPER by MORRIS,MARSHALL",,,,,,,"MISS JUMPER by MORRIS,MARSHALL",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
15:08,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",2
15:07,"STEAL  by BRADY,TIM",,,,,,,"STEAL  by BRADY,TIM",2
15:05,"GOOD DUNK by BRADY,TIM(in the paint)",38,,40 (+2),,OWUM 38-40 (+2),,"GOOD DUNK by BRADY,TIM(in the paint)",2
14:37,,38,,42 (+4),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 38-42 (+4),,"GOOD JUMPER by HARTWELL,THEO",2
14:05,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
14:05,"MISS FT by ROGERS,REUEL",,,,,,,"MISS FT by ROGERS,REUEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:05,"GOOD FT by ROGERS,REUEL",39,,42 (+3),,OWUM 39-42 (+3),,"GOOD FT by ROGERS,REUEL",2
14:05,"SUB IN by REILICH,BILLY",,,,,,,"SUB IN by REILICH,BILLY",2
14:05,"SUB OUT by ROGERS,REUEL",,,,,,,"SUB OUT by ROGERS,REUEL",2
14:05,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
14:05,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
14:05,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
14:05,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
13:42,,39,,44 (+5),"GOOD JUMPER by GALLAGHER,MICHAEL",RCMBB12 39-44 (+5),,"GOOD JUMPER by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
13:31,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",2
13:29,"MISS JUMPER by MORRIS,MARSHALL",,,,,,,"MISS JUMPER by MORRIS,MARSHALL",2
--,"REBOUND OFF by MORRIS,MARSHALL",,,,,,,"REBOUND OFF by MORRIS,MARSHALL",2
13:26,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
13:26,"GOOD FT by MORRIS,MARSHALL",40,,44 (+4),,OWUM 40-44 (+4),,"GOOD FT by MORRIS,MARSHALL",2
13:26,"MISS FT by MORRIS,MARSHALL",,,,,,,"MISS FT by MORRIS,MARSHALL",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
13:11,,40,,47 (+7),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 40-47 (+7),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
13:00,"MISS 3PTR by WINTERS,ANDY",,,,,,,"MISS 3PTR by WINTERS,ANDY",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
12:34,,40,,50 (+10),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 40-50 (+10),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",2
12:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:31,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",2
12:31,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
12:31,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
12:31,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
12:31,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
12:19,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
12:19,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
12:19,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
12:19,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
12:19,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",2
12:19,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
12:19,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
12:11,"GOOD 3PTR by BRADY,TIM",43,,50 (+7),,OWUM 43-50 (+7),,"GOOD 3PTR by BRADY,TIM",2
--,"ASSIST  by WINTERS,ANDY",,,,,,,"ASSIST  by WINTERS,ANDY",2
11:56,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",2
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",2
11:31,"GOOD JUMPER by REILICH,BILLY",45,,50 (+5),,OWUM 45-50 (+5),,"GOOD JUMPER by REILICH,BILLY",2
11:13,,45,,53 (+8),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 45-53 (+8),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
10:51,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
10:41,,45,,55 (+10),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 45-55 (+10),,"GOOD JUMPER by GALOW,ANDREW",2
10:29,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
10:29,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
10:29,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
10:28,"GOOD JUMPER by BRADY,TIM",47,,55 (+8),,OWUM 47-55 (+8),,"GOOD JUMPER by BRADY,TIM",2
--,"ASSIST  by WINTERS,ANDY",,,,,,,"ASSIST  by WINTERS,ANDY",2
09:54,"FOUL  by REILICH,BILLY",,,,,,,"FOUL  by REILICH,BILLY",2
09:53,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
09:53,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
09:39,"FOUL  by REILICH,BILLY",,,,,,,"FOUL  by REILICH,BILLY",2
09:39,"TURNOVER  by REILICH,BILLY",,,,,,,"TURNOVER  by REILICH,BILLY",2
09:34,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",2
09:20,"MISS 3PTR by BRADY,TIM",,,,,,,"MISS 3PTR by BRADY,TIM",2
--,"REBOUND OFF by SPENCE,ANJUWON",,,,,,,"REBOUND OFF by SPENCE,ANJUWON",2
09:16,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
09:16,"GOOD FT by SPENCE,ANJUWON",48,,55 (+7),,OWUM 48-55 (+7),,"GOOD FT by SPENCE,ANJUWON",2
09:16,"MISS FT by SPENCE,ANJUWON",,,,,,,"MISS FT by SPENCE,ANJUWON",2
--,"REBOUND OFF by MORRIS,MARSHALL",,,,,,,"REBOUND OFF by MORRIS,MARSHALL",2
09:16,"SUB IN by FELHABER,NICK",,,,,,,"SUB IN by FELHABER,NICK",2
09:16,"SUB IN by WHITE,GREG",,,,,,,"SUB IN by WHITE,GREG",2
09:16,"SUB IN by SPENCE,ANJUWON",,,,,,,"SUB IN by SPENCE,ANJUWON",2
09:16,"SUB OUT by BRADY,TIM",,,,,,,"SUB OUT by BRADY,TIM",2
09:16,"SUB OUT by SPAULDING,VAUGHN",,,,,,,"SUB OUT by SPAULDING,VAUGHN",2
09:16,"SUB OUT by REILICH,BILLY",,,,,,,"SUB OUT by REILICH,BILLY",2
09:16,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
09:16,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
09:09,"GOOD JUMPER by MORRIS,MARSHALL",50,,55 (+5),,OWUM 50-55 (+5),,"GOOD JUMPER by MORRIS,MARSHALL",2
08:59,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",2
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",2
08:51,"GOOD JUMPER by MORRIS,MARSHALL",52,,55 (+3),,OWUM 52-55 (+3),,"GOOD JUMPER by MORRIS,MARSHALL",2
--,"ASSIST  by WINTERS,ANDY",,,,,,,"ASSIST  by WINTERS,ANDY",2
08:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:42,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
08:42,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
08:22,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
08:22,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
08:22,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
07:59,"MISS JUMPER by MORRIS,MARSHALL",,,,,,,"MISS JUMPER by MORRIS,MARSHALL",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
07:31,,52,,57 (+5),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 52-57 (+5),,"GOOD JUMPER by HARTWELL,THEO",2
07:13,"MISS JUMPER by MORRIS,MARSHALL",,,,,,,"MISS JUMPER by MORRIS,MARSHALL",2
--,"REBOUND OFF by MORRIS,MARSHALL",,,,,,,"REBOUND OFF by MORRIS,MARSHALL",2
07:09,"MISS JUMPER by MORRIS,MARSHALL",,,,,,,"MISS JUMPER by MORRIS,MARSHALL",2
07:09,,,,,"BLOCK  by HARTWELL,THEO",,,"BLOCK  by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
07:01,,52,,59 (+7),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 52-59 (+7),,"GOOD JUMPER by HARTWELL,THEO",2
06:25,"MISS 3PTR by FELHABER,NICK",,,,,,,"MISS 3PTR by FELHABER,NICK",2
--,"REBOUND OFF by SPENCE,ANJUWON",,,,,,,"REBOUND OFF by SPENCE,ANJUWON",2
06:17,"GOOD JUMPER by WHITE,GREG",54,,59 (+5),,OWUM 54-59 (+5),,"GOOD JUMPER by WHITE,GREG",2
05:59,,54,,61 (+7),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 54-61 (+7),,"GOOD JUMPER by DUNAVANT,JOHN",2
05:39,"MISS 3PTR by WHITE,GREG",,,,,,,"MISS 3PTR by WHITE,GREG",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
05:23,"FOUL  by FELHABER,NICK",,,,,,,"FOUL  by FELHABER,NICK",2
05:23,"SUB IN by BRADY,TIM",,,,,,,"SUB IN by BRADY,TIM",2
05:23,"SUB OUT by SPENCE,ANJUWON",,,,,,,"SUB OUT by SPENCE,ANJUWON",2
05:23,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
05:23,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
05:12,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",2
05:11,"STEAL  by WINTERS,ANDY",,,,,,,"STEAL  by WINTERS,ANDY",2
05:08,"GOOD JUMPER by WINTERS,ANDY",56,,61 (+5),,OWUM 56-61 (+5),,"GOOD JUMPER by WINTERS,ANDY",2
04:55,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
04:47,"MISS 3PTR by WHITE,GREG",,,,,,,"MISS 3PTR by WHITE,GREG",2
--,"REBOUND OFF by MORRIS,MARSHALL",,,,,,,"REBOUND OFF by MORRIS,MARSHALL",2
04:39,"GOOD JUMPER by BRADY,TIM",58,,61 (+3),,OWUM 58-61 (+3),,"GOOD JUMPER by BRADY,TIM",2
04:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:37,"SUB IN by ROGERS,REUEL",,,,,,,"SUB IN by ROGERS,REUEL",2
04:37,"SUB OUT by WHITE,GREG",,,,,,,"SUB OUT by WHITE,GREG",2
04:37,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
04:37,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
04:32,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by ROGERS,REUEL",,,,,,,"REBOUND DEF by ROGERS,REUEL",2
04:17,"GOOD 3PTR by FELHABER,NICK",61,,61,,OWUM 61-61 (0),,"GOOD 3PTR by FELHABER,NICK",2
--,"ASSIST  by BRADY,TIM",,,,,,,"ASSIST  by BRADY,TIM",2
04:04,,61,,63 (+2),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 61-63 (+2),,"GOOD JUMPER by HARTWELL,THEO",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
03:47,"TURNOVER  by BRADY,TIM",,,,,,,"TURNOVER  by BRADY,TIM",2
03:47,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
03:47,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
03:47,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
03:47,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
03:25,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",2
--,"REBOUND DEF by ROGERS,REUEL",,,,,,,"REBOUND DEF by ROGERS,REUEL",2
03:15,"GOOD JUMPER by WINTERS,ANDY",63,,63,,OWUM 63-63 (0),,"GOOD JUMPER by WINTERS,ANDY",2
02:53,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
02:31,,63,,65 (+2),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 63-65 (+2),,"GOOD JUMPER by GALOW,ANDREW",2
02:11,"MISS 3PTR by WINTERS,ANDY",,,,,,,"MISS 3PTR by WINTERS,ANDY",2
--,"REBOUND OFF by ROGERS,REUEL",,,,,,,"REBOUND OFF by ROGERS,REUEL",2
02:08,"GOOD JUMPER by ROGERS,REUEL",65,,65,,OWUM 65-65 (0),,"GOOD JUMPER by ROGERS,REUEL",2
01:52,"FOUL  by BRADY,TIM",,,,,,,"FOUL  by BRADY,TIM",2
01:52,"SUB IN by SPAULDING,VAUGHN",,,,,,,"SUB IN by SPAULDING,VAUGHN",2
01:52,"SUB OUT by FELHABER,NICK",,,,,,,"SUB OUT by FELHABER,NICK",2
01:35,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",2
01:34,"SUB IN by FELHABER,NICK",,,,,,,"SUB IN by FELHABER,NICK",2
01:34,"SUB OUT by SPAULDING,VAUGHN",,,,,,,"SUB OUT by SPAULDING,VAUGHN",2
01:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:13,"GOOD JUMPER by WINTERS,ANDY",67 (+2),,65,,OWUM 67-65 (-2),,"GOOD JUMPER by WINTERS,ANDY",2
00:54,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",2
00:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:30,"GOOD 3PTR by FELHABER,NICK",70 (+5),,65,,OWUM 70-65 (-5),,"GOOD 3PTR by FELHABER,NICK",2
00:30,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:18,"SUB IN by SPAULDING,VAUGHN",,,,,,,"SUB IN by SPAULDING,VAUGHN",2
00:18,"SUB OUT by FELHABER,NICK",,,,,,,"SUB OUT by FELHABER,NICK",2
00:18,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
00:18,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
00:18,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
00:18,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
00:14,"SUB IN by FELHABER,NICK",,,,,,,"SUB IN by FELHABER,NICK",2
00:14,"SUB OUT by SPAULDING,VAUGHN",,,,,,,"SUB OUT by SPAULDING,VAUGHN",2
00:14,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
00:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
00:14,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
00:14,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
00:13,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
00:18,"GOOD FT by BRADY,TIM",71 (+6),,65,,OWUM 71-65 (-6),,"GOOD FT by BRADY,TIM",2
00:18,"GOOD FT by BRADY,TIM",72 (+7),,65,,OWUM 72-65 (-7),,"GOOD FT by BRADY,TIM",2
00:14,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
00:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:11,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
00:10,"GOOD FT by MORRIS,MARSHALL",73 (+8),,65,,OWUM 73-65 (-8),,"GOOD FT by MORRIS,MARSHALL",2
00:10,"GOOD FT by MORRIS,MARSHALL",74 (+9),,65,,OWUM 74-65 (-9),,"GOOD FT by MORRIS,MARSHALL",2
00:10,"SUB IN by SPAULDING,VAUGHN",,,,,,,"SUB IN by SPAULDING,VAUGHN",2
00:10,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
00:10,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
00:01,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",2
