Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
04:03,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
03:37,,24 (+3),,21,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 24-21 (+3),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",1
03:16,"GOOD LAYUP by CARTER,KESHONN(in the paint)",26 (+5),,21,,SEWANEE 26-21 (+5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
02:58,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
02:58,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
02:58,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
02:58,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
02:58,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
02:58,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
02:58,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",1
02:58,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
02:40,,26 (+3),,23,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 26-23 (+3),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
02:15,"GOOD JUMPER by BOULDIN,BRETT",28 (+5),,23,,SEWANEE 28-23 (+5),,"GOOD JUMPER by BOULDIN,BRETT",1
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",1
01:55,,,,,"MISS 3PTR by TAULTON,JORDAN",,,"MISS 3PTR by TAULTON,JORDAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
01:31,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",1
01:20,,28 (+2),,26,"GOOD 3PTR by RILEY,JAREN",HC 28-26 (+2),,"GOOD 3PTR by RILEY,JAREN",1
01:19,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
01:19,,28 (+1),,27,"GOOD FT by RILEY,JAREN",HC 28-27 (+1),,"GOOD FT by RILEY,JAREN",1
01:19,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
01:19,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
00:55,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",1
00:55,"GOOD FT by VEAL,ROBERT",29 (+2),,27,,SEWANEE 29-27 (+2),,"GOOD FT by VEAL,ROBERT",1
00:55,"GOOD FT by VEAL,ROBERT",30 (+3),,27,,SEWANEE 30-27 (+3),,"GOOD FT by VEAL,ROBERT",1
00:55,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
00:55,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
00:46,,30 (+1),,29,"GOOD JUMPER by RILEY,JAREN",HC 30-29 (+1),,"GOOD JUMPER by RILEY,JAREN",1
00:24,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
00:21,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
00:21,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
00:18,"GOOD 3PTR by HODGE,NILAN",33 (+4),,29,,SEWANEE 33-29 (+4),,"GOOD 3PTR by HODGE,NILAN",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
00:04,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",1
00:04,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",1
00:04,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
00:04,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
00:04,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
00:01,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",35 (+6),,29,,SEWANEE 35-29 (+6),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
20:00,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
20:00,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",2
20:00,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",2
20:00,,,,,"SUB OUT by GRAM,ANDY",,,"SUB OUT by GRAM,ANDY",2
19:26,,35 (+4),,31,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 35-31 (+4),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by TAULTON,JORDAN",,,"ASSIST  by TAULTON,JORDAN",2
19:05,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by TAULTON,JORDAN",,,"REBOUND DEF by TAULTON,JORDAN",2
18:57,,,,,"MISS LAYUP by CONARD,ALEC",,,"MISS LAYUP by CONARD,ALEC",2
18:57,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
18:54,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",2
18:53,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
18:47,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",2
18:46,"GOOD JUMPER by AFFRONTI,LEWIS",37 (+6),,31,,SEWANEE 37-31 (+6),,"GOOD JUMPER by AFFRONTI,LEWIS",2
