Time Remaining,TOCCOA,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
8:48,"TURNOVER  by HARRELL,FREDDIE",,,,,,,"TURNOVER  by HARRELL,FREDDIE",2
8:46,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
8:41,"FOUL  by ELLIS,LAVARGIO",,,,,,,"FOUL  by ELLIS,LAVARGIO",2
8:38,,34,,57 (+23),"GOOD FT by BRYANT,VALENTINO",SEWANEE 34-57 (+23),,"GOOD FT by BRYANT,VALENTINO",2
8:38,,34,,58 (+24),"GOOD FT by BRYANT,VALENTINO",SEWANEE 34-58 (+24),,"GOOD FT by BRYANT,VALENTINO",2
8:07,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",2
--,"REBOUND OFF by JOHNSON,JOSH",,,,,,,"REBOUND OFF by JOHNSON,JOSH",2
8:04,"GOOD 3PTR by SINCLAIR,JOHN",37,,58 (+21),,TOCCOA 37-58 (+21),,"GOOD 3PTR by SINCLAIR,JOHN",2
--,"ASSIST  by JOHNSON,JOSH",,,,,,,"ASSIST  by JOHNSON,JOSH",2
7:50,,37,,60 (+23),"GOOD DUNK by CARTER,KESHONN(in the paint)",SEWANEE 37-60 (+23),,"GOOD DUNK by CARTER,KESHONN(in the paint)",2
7:22,"MISS JUMPER by HAMLETT,CARLOS",,,,,,,"MISS JUMPER by HAMLETT,CARLOS",2
7:22,,,,,"BLOCK  by BRYANT,VALENTINO",,,"BLOCK  by BRYANT,VALENTINO",2
--,"REBOUND OFF by HAMLETT,CARLOS",,,,,,,"REBOUND OFF by HAMLETT,CARLOS",2
7:18,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
7:18,MISS FT by TEAM,,,,,,,MISS FT by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
7:18,"GOOD FT by HITEN,ADAM",38,,60 (+22),,TOCCOA 38-60 (+22),,"GOOD FT by HITEN,ADAM",2
6:53,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by WESTFALL,DEREK",,,,,,,"REBOUND DEF by WESTFALL,DEREK",2
6:45,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",2
6:45,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
6:41,"TURNOVER  by SINCLAIR,JOHN",,,,,,,"TURNOVER  by SINCLAIR,JOHN",2
6:39,,,,,"STEAL  by VEAL,ROBERT",,,"STEAL  by VEAL,ROBERT",2
6:36,,,,,"TURNOVER  by HODGE,NILAN",,,"TURNOVER  by HODGE,NILAN",2
6:31,"STEAL  by JOHNSON,JOSH",,,,,,,"STEAL  by JOHNSON,JOSH",2
6:29,"GOOD LAYUP by HAMLETT,CARLOS(fastbreak)(in the paint)",40,,60 (+20),,TOCCOA 40-60 (+20),,"GOOD LAYUP by HAMLETT,CARLOS(fastbreak)(in the paint)",2
--,"ASSIST  by JOHNSON,JOSH",,,,,,,"ASSIST  by JOHNSON,JOSH",2
6:15,"FOUL  by WESTFALL,DEREK",,,,,,,"FOUL  by WESTFALL,DEREK",2
6:14,,40,,61 (+21),"GOOD FT by BROWN,SETH",SEWANEE 40-61 (+21),,"GOOD FT by BROWN,SETH",2
6:14,,40,,62 (+22),"GOOD FT by BROWN,SETH",SEWANEE 40-62 (+22),,"GOOD FT by BROWN,SETH",2
5:51,"GOOD JUMPER by HAMLETT,CARLOS",42,,62 (+20),,TOCCOA 42-62 (+20),,"GOOD JUMPER by HAMLETT,CARLOS",2
5:22,"FOUL  by HITEN,ADAM",,,,,,,"FOUL  by HITEN,ADAM",2
5:22,,,,,MISS FT by TEAM,,,MISS FT by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
5:22,,42,,63 (+21),"GOOD FT by BORN,LEO",SEWANEE 42-63 (+21),,"GOOD FT by BORN,LEO",2
4:59,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",44,,63 (+19),,TOCCOA 44-63 (+19),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",2
4:52,,,,,"TURNOVER  by ARNOLD,ALEX",,,"TURNOVER  by ARNOLD,ALEX",2
4:49,"STEAL  by WESTFALL,DEREK",,,,,,,"STEAL  by WESTFALL,DEREK",2
4:48,"TURNOVER  by WESTFALL,DEREK",,,,,,,"TURNOVER  by WESTFALL,DEREK",2
4:37,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",2
--,"REBOUND DEF by JOHNSON,JOSH",,,,,,,"REBOUND DEF by JOHNSON,JOSH",2
4:32,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",46,,63 (+17),,TOCCOA 46-63 (+17),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",2
4:32,,,,,"FOUL  by ARNOLD,ALEX",,,"FOUL  by ARNOLD,ALEX",2
4:22,"GOOD FT by WESTFALL,DEREK",47,,63 (+16),,TOCCOA 47-63 (+16),,"GOOD FT by WESTFALL,DEREK",2
4:18,,,,,"TURNOVER  by ARNOLD,ALEX",,,"TURNOVER  by ARNOLD,ALEX",2
4:16,"STEAL  by SINCLAIR,JOHN",,,,,,,"STEAL  by SINCLAIR,JOHN",2
4:13,"GOOD LAYUP by BARRETT,JOSH(in the paint)",49,,63 (+14),,TOCCOA 49-63 (+14),,"GOOD LAYUP by BARRETT,JOSH(in the paint)",2
3:58,,49,,66 (+17),"GOOD 3PTR by ARNOLD,ALEX",SEWANEE 49-66 (+17),,"GOOD 3PTR by ARNOLD,ALEX",2
--,,,,,"ASSIST  by DOWNEY,WILL",,,"ASSIST  by DOWNEY,WILL",2
3:44,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",2
3:41,,,,,"STEAL  by BROWN,SETH",,,"STEAL  by BROWN,SETH",2
3:34,"FOUL  by SINCLAIR,JOHN",,,,,,,"FOUL  by SINCLAIR,JOHN",2
3:34,,49,,67 (+18),"GOOD FT by DOWNEY,WILL",SEWANEE 49-67 (+18),,"GOOD FT by DOWNEY,WILL",2
3:34,,49,,68 (+19),"GOOD FT by DOWNEY,WILL",SEWANEE 49-68 (+19),,"GOOD FT by DOWNEY,WILL",2
3:30,,,,,"FOUL  by HEATHERLY,GARRETT",,,"FOUL  by HEATHERLY,GARRETT",2
3:29,"GOOD FT by WESTFALL,DEREK",50,,68 (+18),,TOCCOA 50-68 (+18),,"GOOD FT by WESTFALL,DEREK",2
3:29,MISS FT by TEAM,,,,,,,MISS FT by TEAM,2
--,,,,,"REBOUND DEF by TURNER,BYRON",,,"REBOUND DEF by TURNER,BYRON",2
2:53,,50,,71 (+21),"GOOD 3PTR by DOWNEY,WILL",SEWANEE 50-71 (+21),,"GOOD 3PTR by DOWNEY,WILL",2
--,,,,,"ASSIST  by MCKENZIE,JOHN",,,"ASSIST  by MCKENZIE,JOHN",2
2:29,"TURNOVER  by WESTFALL,DEREK",,,,,,,"TURNOVER  by WESTFALL,DEREK",2
2:26,,,,,"STEAL  by BEVIACQUA,BRYAN",,,"STEAL  by BEVIACQUA,BRYAN",2
2:18,,50,,73 (+23),"GOOD LAYUP by DOWNEY,WILL(in the paint)",SEWANEE 50-73 (+23),,"GOOD LAYUP by DOWNEY,WILL(in the paint)",2
2:15,"FOUL  by BARRETT,JOSH",,,,,,,"FOUL  by BARRETT,JOSH",2
2:11,,50,,74 (+24),"GOOD FT by DOWNEY,WILL",SEWANEE 50-74 (+24),,"GOOD FT by DOWNEY,WILL",2
2:05,,,,,"FOUL  by HITCHCOCK,SHELDON",,,"FOUL  by HITCHCOCK,SHELDON",2
2:05,"GOOD FT by HARRELL,FREDDIE",51,,74 (+23),,TOCCOA 51-74 (+23),,"GOOD FT by HARRELL,FREDDIE",2
2:05,MISS FT by TEAM,,,,,,,MISS FT by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
1:59,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
1:41,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",2
--,"REBOUND OFF by WESTFALL,DEREK",,,,,,,"REBOUND OFF by WESTFALL,DEREK",2
1:35,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",53,,74 (+21),,TOCCOA 53-74 (+21),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",2
1:21,,53,,76 (+23),"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",SEWANEE 53-76 (+23),,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",2
1:11,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
1:11,MISS FT by TEAM,,,,,,,MISS FT by TEAM,2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
1:11,"GOOD FT by BARRETT,JOSH",54,,76 (+22),,TOCCOA 54-76 (+22),,"GOOD FT by BARRETT,JOSH",2
0:57,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
0:42,,,,,"MISS 3PTR by HITCHCOCK,SHELDON",,,"MISS 3PTR by HITCHCOCK,SHELDON",2
--,"REBOUND DEF by WESTFALL,DEREK",,,,,,,"REBOUND DEF by WESTFALL,DEREK",2
0:36,"MISS 3PTR by BARRETT,JOSH",,,,,,,"MISS 3PTR by BARRETT,JOSH",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
0:23,,,,,"MISS LAYUP by HEATHERLY,GARRETT",,,"MISS LAYUP by HEATHERLY,GARRETT",2
--,,,,,"REBOUND OFF by HEATHERLY,GARRETT",,,"REBOUND OFF by HEATHERLY,GARRETT",2
0:19,,54,,78 (+24),"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",SEWANEE 54-78 (+24),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",2
0:05,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",56,,78 (+22),,TOCCOA 56-78 (+22),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",2
