Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MER,Game Score,Team Indicator,Play,Period
16:42,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:38,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",2
16:38,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",2
16:38,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",2
16:38,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",2
16:38,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",2
16:38,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
16:38,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",2
16:38,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",2
16:33,,,,,"FOUL  by GOLLON,JAKOB",,,"FOUL  by GOLLON,JAKOB",2
16:21,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
16:05,,,,,"MISS 3PTR by CANEVARI,KEVIN",,,"MISS 3PTR by CANEVARI,KEVIN",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
15:56,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
15:55,,,,,"STEAL  by BRYAN,JIBRI",,,"STEAL  by BRYAN,JIBRI",2
15:50,,,,,"MISS JUMPER by WHITE,ANTHONY JR",,,"MISS JUMPER by WHITE,ANTHONY JR",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
15:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:28,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by HALLICE,TJ",,,"REBOUND DEF by HALLICE,TJ",2
15:16,,,,,"TURNOVER  by WHITE,ANTHONY JR",,,"TURNOVER  by WHITE,ANTHONY JR",2
15:15,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",2
15:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:38,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
14:38,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
14:38,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",2
14:38,,,,,"SUB IN by SMITH,TRAVIS",,,"SUB IN by SMITH,TRAVIS",2
14:38,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",2
14:38,,,,,"SUB IN by THOMAS,BUD",,,"SUB IN by THOMAS,BUD",2
14:38,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",2
14:38,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",2
14:38,,,,,"SUB OUT by BRYAN,JIBRI",,,"SUB OUT by BRYAN,JIBRI",2
14:38,,,,,"SUB OUT by WHITE,ANTHONY JR",,,"SUB OUT by WHITE,ANTHONY JR",2
14:26,,20,,40 (+20),"GOOD 3PTR by GOLLON,JAKOB",MER 20-40 (-20),,"GOOD 3PTR by GOLLON,JAKOB",2
--,,,,,"ASSIST  by SMITH,TRAVIS",,,"ASSIST  by SMITH,TRAVIS",2
14:10,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by THOMAS,BUD",,,"REBOUND DEF by THOMAS,BUD",2
13:53,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
13:53,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
13:53,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
13:53,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
13:53,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
13:53,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
13:49,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",2
13:42,,,,,"FOUL  by SMITH,TRAVIS",,,"FOUL  by SMITH,TRAVIS",2
13:42,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
13:42,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
13:19,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
12:46,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
12:46,,,,,"BLOCK  by BROWN,MONTY",,,"BLOCK  by BROWN,MONTY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:42,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by SMITH,TRAVIS",,,"REBOUND DEF by SMITH,TRAVIS",2
12:35,,20,,42 (+22),"GOOD LAYUP by THOMAS,BUD(fastbreak)(in the paint)",MER 20-42 (-22),,"GOOD LAYUP by THOMAS,BUD(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GOLLON,JAKOB",,,"ASSIST  by GOLLON,JAKOB",2
12:21,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",2
12:21,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
12:21,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
12:21,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
12:21,,,,,"SUB IN by MOTEN,DARIOUS",,,"SUB IN by MOTEN,DARIOUS",2
12:21,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",2
12:21,,,,,"SUB OUT by GOLLON,JAKOB",,,"SUB OUT by GOLLON,JAKOB",2
12:21,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",2
12:00,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
12:00,,20,,43 (+23),"GOOD FT by SMITH,TRAVIS",MER 20-43 (-23),,"GOOD FT by SMITH,TRAVIS",2
12:00,,20,,44 (+24),"GOOD FT by SMITH,TRAVIS",MER 20-44 (-24),,"GOOD FT by SMITH,TRAVIS",2
12:00,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",2
12:00,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",2
12:00,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",2
12:00,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
12:00,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",2
12:00,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",2
11:38,"GOOD 3PTR by BROWN,SETH",23,,44 (+21),,SEWANEE 23-44 (-21),,"GOOD 3PTR by BROWN,SETH",2
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",2
11:28,,23,,47 (+24),"GOOD 3PTR by WHITE,ANTHONY JR",MER 23-47 (-24),,"GOOD 3PTR by WHITE,ANTHONY JR",2
--,,,,,"ASSIST  by BRYAN,JIBRI",,,"ASSIST  by BRYAN,JIBRI",2
11:11,"GOOD 3PTR by HODGE,NILAN",26,,47 (+21),,SEWANEE 26-47 (-21),,"GOOD 3PTR by HODGE,NILAN",2
11:03,,26,,49 (+23),"GOOD LAYUP by BRYAN,JIBRI(fastbreak)(in the paint)",MER 26-49 (-23),,"GOOD LAYUP by BRYAN,JIBRI(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MOTEN,DARIOUS",,,"ASSIST  by MOTEN,DARIOUS",2
10:32,,,,,"FOUL  by BRYAN,JIBRI",,,"FOUL  by BRYAN,JIBRI",2
10:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:32,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
10:32,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
10:32,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
10:32,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
10:32,,,,,"SUB IN by GOLLON,JAKOB",,,"SUB IN by GOLLON,JAKOB",2
10:32,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",2
10:32,,,,,"SUB IN by SMITH,TRAVIS",,,"SUB IN by SMITH,TRAVIS",2
10:32,,,,,"SUB IN by THOMAS,BUD",,,"SUB IN by THOMAS,BUD",2
10:32,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",2
10:32,,,,,"SUB OUT by MOTEN,DARIOUS",,,"SUB OUT by MOTEN,DARIOUS",2
10:32,,,,,"SUB OUT by BRYAN,JIBRI",,,"SUB OUT by BRYAN,JIBRI",2
10:32,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",2
10:32,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",2
10:32,,,,,"SUB OUT by WHITE,ANTHONY JR",,,"SUB OUT by WHITE,ANTHONY JR",2
10:12,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
10:11,,,,,"STEAL  by BROWN,MONTY",,,"STEAL  by BROWN,MONTY",2
09:56,,26,,51 (+25),"GOOD JUMPER by SMITH,TRAVIS",MER 26-51 (-25),,"GOOD JUMPER by SMITH,TRAVIS",2
09:36,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",2
09:36,,,,,"STEAL  by SMITH,CHRIS",,,"STEAL  by SMITH,CHRIS",2
09:30,,,,,"MISS 3PTR by THOMAS,BUD",,,"MISS 3PTR by THOMAS,BUD",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
09:11,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
09:11,,,,,"STEAL  by GOLLON,JAKOB",,,"STEAL  by GOLLON,JAKOB",2
09:08,,26,,53 (+27),"GOOD LAYUP by GOLLON,JAKOB(fastbreak)(in the paint)",MER 26-53 (-27),,"GOOD LAYUP by GOLLON,JAKOB(fastbreak)(in the paint)",2
09:06,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
09:06,,26,,54 (+28),"GOOD FT by GOLLON,JAKOB",MER 26-54 (-28),,"GOOD FT by GOLLON,JAKOB",2
09:06,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
09:06,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
09:06,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
09:06,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
09:06,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
09:06,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
09:06,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
09:06,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
09:06,,,,,"SUB IN by BROWN,LAWRENCE",,,"SUB IN by BROWN,LAWRENCE",2
09:06,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",2
09:06,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",2
09:06,,,,,"SUB IN by POSTON,DYLAN",,,"SUB IN by POSTON,DYLAN",2
09:06,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",2
09:06,,,,,"SUB OUT by GOLLON,JAKOB",,,"SUB OUT by GOLLON,JAKOB",2
09:06,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
09:06,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",2
09:06,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",2
09:06,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",2
08:43,,,,,"FOUL  by POSTON,DYLAN",,,"FOUL  by POSTON,DYLAN",2
08:43,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:43,"GOOD FT by BROWN,TYLER",27,,54 (+27),,SEWANEE 27-54 (-27),,"GOOD FT by BROWN,TYLER",2
08:24,,27,,56 (+29),"GOOD DUNK by HALLICE,TJ(in the paint)",MER 27-56 (-29),,"GOOD DUNK by HALLICE,TJ(in the paint)",2
--,,,,,"ASSIST  by CANEVARI,KEVIN",,,"ASSIST  by CANEVARI,KEVIN",2
08:12,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
08:04,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
08:04,,,,,"STEAL  by CANEVARI,KEVIN",,,"STEAL  by CANEVARI,KEVIN",2
07:57,,,,,"TURNOVER  by CANEVARI,KEVIN",,,"TURNOVER  by CANEVARI,KEVIN",2
07:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:33,"GOOD 3PTR by AFFRONTI,LEWIS",30,,56 (+26),,SEWANEE 30-56 (-26),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
07:13,,,,,"MISS 3PTR by POSTON,DYLAN",,,"MISS 3PTR by POSTON,DYLAN",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
06:48,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
06:48,,,,,"BLOCK  by BROWN,LAWRENCE",,,"BLOCK  by BROWN,LAWRENCE",2
--,,,,,"REBOUND DEF by BROWN,LAWRENCE",,,"REBOUND DEF by BROWN,LAWRENCE",2
06:39,,,,,"MISS LAYUP by BROWN,LAWRENCE",,,"MISS LAYUP by BROWN,LAWRENCE",2
--,,,,,"REBOUND OFF by WHITE,ANTHONY JR",,,"REBOUND OFF by WHITE,ANTHONY JR",2
06:37,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
06:37,,,,,"MISS FT by WHITE,ANTHONY JR",,,"MISS FT by WHITE,ANTHONY JR",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:37,,,,,"SUB IN by MOTEN,DARIOUS",,,"SUB IN by MOTEN,DARIOUS",2
06:37,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",2
06:37,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",2
06:37,,,,,"SUB OUT by POSTON,DYLAN",,,"SUB OUT by POSTON,DYLAN",2
06:21,,,,,"FOUL  by BRYAN,JIBRI",,,"FOUL  by BRYAN,JIBRI",2
06:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:21,"GOOD FT by BRYANT,VALENTINO",31,,56 (+25),,SEWANEE 31-56 (-25),,"GOOD FT by BRYANT,VALENTINO",2
06:21,"GOOD FT by BRYANT,VALENTINO",32,,56 (+24),,SEWANEE 32-56 (-24),,"GOOD FT by BRYANT,VALENTINO",2
06:21,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
06:21,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
05:57,,,,,"MISS LAYUP by BRYAN,JIBRI",,,"MISS LAYUP by BRYAN,JIBRI",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
05:42,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
05:42,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
05:42,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",2
05:42,,,,,"SUB OUT by BROWN,LAWRENCE",,,"SUB OUT by BROWN,LAWRENCE",2
05:23,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
05:23,,,,,"BLOCK  by HALLICE,TJ",,,"BLOCK  by HALLICE,TJ",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
05:20,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:19,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
05:19,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
05:06,"SUB IN by DOWNEY,WILL",,,,,,,"SUB IN by DOWNEY,WILL",2
05:06,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
04:59,,,,,"TURNOVER  by HALLICE,TJ",,,"TURNOVER  by HALLICE,TJ",2
04:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:39,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by BRYAN,JIBRI",,,"REBOUND DEF by BRYAN,JIBRI",2
04:34,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
04:30,"FOUL  by HODGE,NILAN",,,,,,,"FOUL  by HODGE,NILAN",2
04:15,,,,,"MISS 3PTR by BRYAN,JIBRI",,,"MISS 3PTR by BRYAN,JIBRI",2
--,,,,,"REBOUND OFF by HALLICE,TJ",,,"REBOUND OFF by HALLICE,TJ",2
04:13,,32,,58 (+26),"GOOD LAYUP by HALLICE,TJ(in the paint)",MER 32-58 (-26),,"GOOD LAYUP by HALLICE,TJ(in the paint)",2
04:00,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:55,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
03:55,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
03:55,,,,,"SUB IN by POSTON,DYLAN",,,"SUB IN by POSTON,DYLAN",2
03:55,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",2
03:32,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",2
03:21,,,,,"MISS 3PTR by POSTON,DYLAN",,,"MISS 3PTR by POSTON,DYLAN",2
--,,,,,"REBOUND OFF by MOTEN,DARIOUS",,,"REBOUND OFF by MOTEN,DARIOUS",2
03:17,,,,,"TURNOVER  by MOTEN,DARIOUS",,,"TURNOVER  by MOTEN,DARIOUS",2
03:07,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",2
03:07,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
03:07,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
03:07,,,,,"SUB IN by BROWN,LAWRENCE",,,"SUB IN by BROWN,LAWRENCE",2
03:07,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",2
02:45,,,,,"MISS LAYUP by BRYAN,JIBRI",,,"MISS LAYUP by BRYAN,JIBRI",2
--,,,,,"REBOUND OFF by BRYAN,JIBRI",,,"REBOUND OFF by BRYAN,JIBRI",2
02:44,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
02:44,,32,,59 (+27),"GOOD FT by BRYAN,JIBRI",MER 32-59 (-27),,"GOOD FT by BRYAN,JIBRI",2
02:44,,32,,60 (+28),"GOOD FT by BRYAN,JIBRI",MER 32-60 (-28),,"GOOD FT by BRYAN,JIBRI",2
02:23,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,,,,,"REBOUND DEF by WHITE,ANTHONY JR",,,"REBOUND DEF by WHITE,ANTHONY JR",2
02:14,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
02:14,,32,,61 (+29),"GOOD FT by BRYAN,JIBRI",MER 32-61 (-29),,"GOOD FT by BRYAN,JIBRI",2
02:14,,,,,"MISS FT by BRYAN,JIBRI",,,"MISS FT by BRYAN,JIBRI",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
01:59,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,,,,,"REBOUND DEF by MOTEN,DARIOUS",,,"REBOUND DEF by MOTEN,DARIOUS",2
01:32,,32,,63 (+31),"GOOD LAYUP by POSTON,DYLAN(in the paint)",MER 32-63 (-31),,"GOOD LAYUP by POSTON,DYLAN(in the paint)",2
01:10,"TURNOVER  by DOWNEY,WILL",,,,,,,"TURNOVER  by DOWNEY,WILL",2
01:08,,,,,"STEAL  by BROWN,LAWRENCE",,,"STEAL  by BROWN,LAWRENCE",2
01:00,,,,,"TURNOVER  by BRYAN,JIBRI",,,"TURNOVER  by BRYAN,JIBRI",2
00:44,"GOOD LAYUP by BROWN,SETH(in the paint)",34,,63 (+29),,SEWANEE 34-63 (-29),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
00:43,,,,,"FOUL  by WHITE,ANTHONY JR",,,"FOUL  by WHITE,ANTHONY JR",2
00:43,"GOOD FT by BROWN,SETH",35,,63 (+28),,SEWANEE 35-63 (-28),,"GOOD FT by BROWN,SETH",2
00:43,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",2
00:43,,,,,"SUB OUT by MOTEN,DARIOUS",,,"SUB OUT by MOTEN,DARIOUS",2
00:29,,35,,65 (+30),"GOOD DUNK by HALLICE,TJ(in the paint)",MER 35-65 (-30),,"GOOD DUNK by HALLICE,TJ(in the paint)",2
--,,,,,"ASSIST  by WHITE,ANTHONY JR",,,"ASSIST  by WHITE,ANTHONY JR",2
00:14,,,,,"FOUL  by WHITE,ANTHONY JR",,,"FOUL  by WHITE,ANTHONY JR",2
00:14,"GOOD FT by VEAL,ROBERT",36,,65 (+29),,SEWANEE 36-65 (-29),,"GOOD FT by VEAL,ROBERT",2
00:14,"MISS FT by VEAL,ROBERT",,,,,,,"MISS FT by VEAL,ROBERT",2
00:14,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",2
00:14,,,,,"SUB OUT by BRYAN,JIBRI",,,"SUB OUT by BRYAN,JIBRI",2
--,,,,,"REBOUND DEF by HALLICE,TJ",,,"REBOUND DEF by HALLICE,TJ",2
