Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MCMB,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WHITLOCK, CLAYTON",,,"REBOUND DEF by WHITLOCK, CLAYTON",2
14:15,,42 (+3),,39,"GOOD 3PTR by GUTHRIE, DYLAN",MCMB 42-39 (+3),,"GOOD 3PTR by GUTHRIE, DYLAN",2
--,,,,,"ASSIST  by PRATT, SPENCER",,,"ASSIST  by PRATT, SPENCER",2
13:46,"GOOD JUMPER by BROWN,SETH",44 (+5),,39,,SEWANEE 44-39 (+5),,"GOOD JUMPER by BROWN,SETH",2
--,"ASSIST  by HODGE,NILAN",,,,,,,"ASSIST  by HODGE,NILAN",2
13:32,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
13:32,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
13:32,,44 (+4),,40,"GOOD FT by PRATT, SPENCER",MCMB 44-40 (+4),,"GOOD FT by PRATT, SPENCER",2
13:32,,44 (+3),,41,"GOOD FT by PRATT, SPENCER",MCMB 44-41 (+3),,"GOOD FT by PRATT, SPENCER",2
13:32,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
13:32,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
13:32,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
13:32,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
13:32,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
13:32,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
13:32,,,,,"SUB IN by SUTTON, HUNTER",,,"SUB IN by SUTTON, HUNTER",2
13:32,,,,,"SUB OUT by WHITLOCK, CLAYTON",,,"SUB OUT by WHITLOCK, CLAYTON",2
13:06,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
12:57,"GOOD JUMPER by BROWN,TYLER",46 (+5),,41,,SEWANEE 46-41 (+5),,"GOOD JUMPER by BROWN,TYLER",2
12:28,,46 (+3),,43,"GOOD JUMPER by PRATT, SPENCER",MCMB 46-43 (+3),,"GOOD JUMPER by PRATT, SPENCER",2
12:01,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
12:00,"GOOD JUMPER by BROWN,TYLER",48 (+5),,43,,SEWANEE 48-43 (+5),,"GOOD JUMPER by BROWN,TYLER",2
11:46,,48 (+3),,45,"GOOD JUMPER by PRATT, SPENCER",MCMB 48-45 (+3),,"GOOD JUMPER by PRATT, SPENCER",2
--,,,,,"ASSIST  by SUTTON, HUNTER",,,"ASSIST  by SUTTON, HUNTER",2
11:31,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",2
--,,,,,"REBOUND DEF by BISHOP, LUKE",,,"REBOUND DEF by BISHOP, LUKE",2
11:26,"FOUL  by HODGE,NILAN",,,,,,,"FOUL  by HODGE,NILAN",2
11:26,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
11:26,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
11:26,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
11:26,,,,,"SUB IN by BUSCH, COLE",,,"SUB IN by BUSCH, COLE",2
11:26,,,,,"SUB OUT by SLAGLE, BRADY",,,"SUB OUT by SLAGLE, BRADY",2
11:10,"GOOD 3PTR by BOULDIN,BRETT",51 (+6),,45,,SEWANEE 51-45 (+6),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
10:52,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
10:52,,51 (+5),,46,"GOOD FT by SUTTON, HUNTER",MCMB 51-46 (+5),,"GOOD FT by SUTTON, HUNTER",2
10:52,,,,,"MISS FT by SUTTON, HUNTER",,,"MISS FT by SUTTON, HUNTER",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
10:52,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
10:52,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
10:37,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
10:34,"GOOD JUMPER by CALDWELL,MARCELLUS",53 (+7),,46,,SEWANEE 53-46 (+7),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
10:32,,,,,"FOUL  by PRATT, SPENCER",,,"FOUL  by PRATT, SPENCER",2
10:32,"MISS FT by CALDWELL,MARCELLUS",,,,,,,"MISS FT by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by BUSCH, COLE",,,"REBOUND DEF by BUSCH, COLE",2
10:32,,,,,"SUB IN by SLAGLE, BRADY",,,"SUB IN by SLAGLE, BRADY",2
10:32,,,,,"SUB OUT by BISHOP, LUKE",,,"SUB OUT by BISHOP, LUKE",2
10:22,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
10:22,,53 (+6),,47,"GOOD FT by PRATT, SPENCER",MCMB 53-47 (+6),,"GOOD FT by PRATT, SPENCER",2
10:22,,53 (+5),,48,"GOOD FT by PRATT, SPENCER",MCMB 53-48 (+5),,"GOOD FT by PRATT, SPENCER",2
10:14,,,,,"FOUL  by GUTHRIE, DYLAN",,,"FOUL  by GUTHRIE, DYLAN",2
09:50,"MISS JUMPER by AFFRONTI,LEWIS",,,,,,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by GUTHRIE, DYLAN",,,"REBOUND DEF by GUTHRIE, DYLAN",2
09:42,,,,,"TURNOVER  by BUSCH, COLE",,,"TURNOVER  by BUSCH, COLE",2
09:24,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:24,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
09:24,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
09:24,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
09:24,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
08:57,,53 (+3),,50,"GOOD JUMPER by SLAGLE, BRADY",MCMB 53-50 (+3),,"GOOD JUMPER by SLAGLE, BRADY",2
08:35,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
08:35,,,,,"BLOCK  by SUTTON, HUNTER",,,"BLOCK  by SUTTON, HUNTER",2
--,,,,,"REBOUND DEF by SUTTON, HUNTER",,,"REBOUND DEF by SUTTON, HUNTER",2
08:20,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
08:20,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
08:20,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
08:20,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
08:20,,,,,"SUB IN by BEST, CODY",,,"SUB IN by BEST, CODY",2
08:20,,,,,"SUB OUT by GUTHRIE, DYLAN",,,"SUB OUT by GUTHRIE, DYLAN",2
08:15,"FOUL  by HODGE,NILAN",,,,,,,"FOUL  by HODGE,NILAN",2
08:15,,53 (+2),,51,"GOOD FT by PRATT, SPENCER",MCMB 53-51 (+2),,"GOOD FT by PRATT, SPENCER",2
08:15,,53 (+1),,52,"GOOD FT by PRATT, SPENCER",MCMB 53-52 (+1),,"GOOD FT by PRATT, SPENCER",2
08:12,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
08:12,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
07:42,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
07:42,,,,,"MISS FT by PRATT, SPENCER",,,"MISS FT by PRATT, SPENCER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:42,,,,,"MISS FT by PRATT, SPENCER",,,"MISS FT by PRATT, SPENCER",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
07:23,,,,,"FOUL  by SUTTON, HUNTER",,,"FOUL  by SUTTON, HUNTER",2
07:23,"GOOD FT by AFFRONTI,LEWIS",54 (+2),,52,,SEWANEE 54-52 (+2),,"GOOD FT by AFFRONTI,LEWIS",2
07:23,"GOOD FT by AFFRONTI,LEWIS",55 (+3),,52,,SEWANEE 55-52 (+3),,"GOOD FT by AFFRONTI,LEWIS",2
07:23,,,,,"SUB IN by WHITLOCK, CLAYTON",,,"SUB IN by WHITLOCK, CLAYTON",2
07:23,,,,,"SUB OUT by BUSCH, COLE",,,"SUB OUT by BUSCH, COLE",2
07:03,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
06:50,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
06:49,,,,,"STEAL  by BEST, CODY",,,"STEAL  by BEST, CODY",2
06:45,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
06:45,,,,,"MISS FT by BEST, CODY",,,"MISS FT by BEST, CODY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:45,,55 (+2),,53,"GOOD FT by BEST, CODY",MCMB 55-53 (+2),,"GOOD FT by BEST, CODY",2
06:45,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
06:45,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
06:29,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by WHITLOCK, CLAYTON",,,"REBOUND DEF by WHITLOCK, CLAYTON",2
06:10,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
06:10,,55 (+1),,54,"GOOD FT by PRATT, SPENCER",MCMB 55-54 (+1),,"GOOD FT by PRATT, SPENCER",2
06:10,,55,,55,"GOOD FT by PRATT, SPENCER",MCMB 55-55 (0),,"GOOD FT by PRATT, SPENCER",2
06:10,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
06:10,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
06:10,,,,,"SUB IN by GUTHRIE, DYLAN",,,"SUB IN by GUTHRIE, DYLAN",2
06:10,,,,,"SUB OUT by SUTTON, HUNTER",,,"SUB OUT by SUTTON, HUNTER",2
05:38,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",2
--,,,,,"REBOUND DEF by GUTHRIE, DYLAN",,,"REBOUND DEF by GUTHRIE, DYLAN",2
05:21,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
05:21,,,,,"MISS FT by WHITLOCK, CLAYTON",,,"MISS FT by WHITLOCK, CLAYTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:21,,,,,"MISS FT by WHITLOCK, CLAYTON",,,"MISS FT by WHITLOCK, CLAYTON",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
05:21,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
05:21,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
05:21,,,,,"SUB IN by BISHOP, LUKE",,,"SUB IN by BISHOP, LUKE",2
05:21,,,,,"SUB OUT by PRATT, SPENCER",,,"SUB OUT by PRATT, SPENCER",2
05:09,"GOOD 3PTR by AFFRONTI,LEWIS",58 (+3),,55,,SEWANEE 58-55 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",2
04:54,,,,,"TURNOVER  by WHITLOCK, CLAYTON",,,"TURNOVER  by WHITLOCK, CLAYTON",2
04:23,"GOOD JUMPER by CARTER,KESHONN",60 (+5),,55,,SEWANEE 60-55 (+5),,"GOOD JUMPER by CARTER,KESHONN",2
04:23,,,,,"FOUL  by WHITLOCK, CLAYTON",,,"FOUL  by WHITLOCK, CLAYTON",2
04:23,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by BISHOP, LUKE",,,"REBOUND DEF by BISHOP, LUKE",2
04:23,,,,,"SUB IN by PRATT, SPENCER",,,"SUB IN by PRATT, SPENCER",2
04:23,,,,,"SUB OUT by BEST, CODY",,,"SUB OUT by BEST, CODY",2
04:03,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
04:03,,60 (+4),,56,"GOOD FT by SLAGLE, BRADY",MCMB 60-56 (+4),,"GOOD FT by SLAGLE, BRADY",2
04:03,,,,,"MISS FT by SLAGLE, BRADY",,,"MISS FT by SLAGLE, BRADY",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
04:03,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
04:03,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
03:52,"GOOD 3PTR by HODGE,NILAN",63 (+7),,56,,SEWANEE 63-56 (+7),,"GOOD 3PTR by HODGE,NILAN",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
03:36,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
03:36,,63 (+6),,57,"GOOD FT by WHITLOCK, CLAYTON",MCMB 63-57 (+6),,"GOOD FT by WHITLOCK, CLAYTON",2
03:36,,63 (+5),,58,"GOOD FT by WHITLOCK, CLAYTON",MCMB 63-58 (+5),,"GOOD FT by WHITLOCK, CLAYTON",2
03:36,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
03:36,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
03:36,,,,,"SUB IN by BEST, CODY",,,"SUB IN by BEST, CODY",2
03:36,,,,,"SUB OUT by BISHOP, LUKE",,,"SUB OUT by BISHOP, LUKE",2
02:58,,,,,"FOUL  by GUTHRIE, DYLAN",,,"FOUL  by GUTHRIE, DYLAN",2
02:58,"GOOD FT by BOULDIN,BRETT",64 (+6),,58,,SEWANEE 64-58 (+6),,"GOOD FT by BOULDIN,BRETT",2
02:58,"GOOD FT by BOULDIN,BRETT",65 (+7),,58,,SEWANEE 65-58 (+7),,"GOOD FT by BOULDIN,BRETT",2
02:43,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",2
02:43,"BLOCK  by BROWN,SETH",,,,,,,"BLOCK  by BROWN,SETH",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
02:15,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",2
01:58,,,,,"SUB IN by SUTTON, HUNTER",,,"SUB IN by SUTTON, HUNTER",2
01:58,,,,,"SUB OUT by GUTHRIE, DYLAN",,,"SUB OUT by GUTHRIE, DYLAN",2
01:40,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by SLAGLE, BRADY",,,"REBOUND DEF by SLAGLE, BRADY",2
01:33,,,,,"MISS JUMPER by PRATT, SPENCER",,,"MISS JUMPER by PRATT, SPENCER",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
01:24,,,,,"FOUL  by PRATT, SPENCER",,,"FOUL  by PRATT, SPENCER",2
01:24,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by SLAGLE, BRADY",,,"REBOUND DEF by SLAGLE, BRADY",2
01:08,,65 (+5),,60,"GOOD JUMPER by BEST, CODY",MCMB 65-60 (+5),,"GOOD JUMPER by BEST, CODY",2
01:06,,,,,"SUB IN by BISHOP, LUKE",,,"SUB IN by BISHOP, LUKE",2
01:06,,,,,"SUB OUT by SUTTON, HUNTER",,,"SUB OUT by SUTTON, HUNTER",2
00:58,,,,,"FOUL  by BEST, CODY",,,"FOUL  by BEST, CODY",2
00:58,"GOOD FT by BOULDIN,BRETT",66 (+6),,60,,SEWANEE 66-60 (+6),,"GOOD FT by BOULDIN,BRETT",2
00:58,"GOOD FT by BOULDIN,BRETT",67 (+7),,60,,SEWANEE 67-60 (+7),,"GOOD FT by BOULDIN,BRETT",2
00:58,,,,,"SUB IN by COLUMBIA, JAKE",,,"SUB IN by COLUMBIA, JAKE",2
00:58,,,,,"SUB IN by GUTHRIE, DYLAN",,,"SUB IN by GUTHRIE, DYLAN",2
00:58,,,,,"SUB OUT by WHITLOCK, CLAYTON",,,"SUB OUT by WHITLOCK, CLAYTON",2
00:58,,,,,"SUB OUT by BEST, CODY",,,"SUB OUT by BEST, CODY",2
00:41,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
00:41,,,,,"FOUL  by BISHOP, LUKE",,,"FOUL  by BISHOP, LUKE",2
00:41,"GOOD FT by BRYANT,VALENTINO",68 (+8),,60,,SEWANEE 68-60 (+8),,"GOOD FT by BRYANT,VALENTINO",2
00:41,"GOOD FT by BRYANT,VALENTINO",69 (+9),,60,,SEWANEE 69-60 (+9),,"GOOD FT by BRYANT,VALENTINO",2
00:28,,69 (+7),,62,"GOOD JUMPER by PRATT, SPENCER",MCMB 69-62 (+7),,"GOOD JUMPER by PRATT, SPENCER",2
00:28,,,,,"FOUL  by PRATT, SPENCER",,,"FOUL  by PRATT, SPENCER",2
00:28,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:28,"GOOD FT by BRYANT,VALENTINO",70 (+8),,62,,SEWANEE 70-62 (+8),,"GOOD FT by BRYANT,VALENTINO",2
00:28,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
00:28,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
00:28,,,,,"SUB IN by BEST, CODY",,,"SUB IN by BEST, CODY",2
00:28,,,,,"SUB OUT by PRATT, SPENCER",,,"SUB OUT by PRATT, SPENCER",2
00:22,,70 (+6),,64,"GOOD JUMPER by SLAGLE, BRADY",MCMB 70-64 (+6),,"GOOD JUMPER by SLAGLE, BRADY",2
00:15,,,,,"FOUL  by BISHOP, LUKE",,,"FOUL  by BISHOP, LUKE",2
00:12,"GOOD FT by BRYANT,VALENTINO",71 (+7),,64,,SEWANEE 71-64 (+7),,"GOOD FT by BRYANT,VALENTINO",2
00:00,"GOOD FT by BRYANT,VALENTINO",72 (+8),,64,,SEWANEE 72-64 (+8),,"GOOD FT by BRYANT,VALENTINO",2
00:00,,,,,"MISS 3PTR by COLUMBIA, JAKE",,,"MISS 3PTR by COLUMBIA, JAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
