Time Remaining,MUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:02,,25,,26 (+1),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 25-26 (+1),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
18:36,"MISS LAYUP by MARTINEZ,ZACH",,,,,,,"MISS LAYUP by MARTINEZ,ZACH",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
18:14,,25,,29 (+4),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 25-29 (+4),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
17:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:44,"MISS 3PTR by MARTINEZ,ZACH",,,,,,,"MISS 3PTR by MARTINEZ,ZACH",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:21,,25,,31 (+6),"GOOD LAYUP by ELLIS,BRYON(in the paint)",CENTRE_M 25-31 (+6),,"GOOD LAYUP by ELLIS,BRYON(in the paint)",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
17:03,"MISS JUMPER by ANTONIO FERRELL,JR",,,,,,,"MISS JUMPER by ANTONIO FERRELL,JR",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
16:54,,25,,34 (+9),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 25-34 (+9),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
16:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:27,"MISS 3PTR by ANTONIO FERRELL,JR",,,,,,,"MISS 3PTR by ANTONIO FERRELL,JR",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:14,,25,,36 (+11),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 25-36 (+11),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
16:14,"FOUL  by ANTONIO FERRELL,JR",,,,,,,"FOUL  by ANTONIO FERRELL,JR",2
16:14,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",2
16:10,,25,,38 (+13),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 25-38 (+13),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
15:59,"MISS LAYUP by WOODS,JEFF",,,,,,,"MISS LAYUP by WOODS,JEFF",2
15:59,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
15:52,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
15:49,,25,,40 (+15),"GOOD TIPIN by WESLEY,TYLER(in the paint)",CENTRE_M 25-40 (+15),,"GOOD TIPIN by WESLEY,TYLER(in the paint)",2
15:43,"GOOD 3PTR by ZUKOWITZ,MAX",28,,40 (+12),,MUM 28-40 (+12),,"GOOD 3PTR by ZUKOWITZ,MAX",2
15:22,,28,,42 (+14),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 28-42 (+14),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
15:09,"GOOD LAYUP by ZUKOWITZ,MAX(in the paint)",30,,42 (+12),,MUM 30-42 (+12),,"GOOD LAYUP by ZUKOWITZ,MAX(in the paint)",2
--,"ASSIST  by MARTIN,DEWAYNE",,,,,,,"ASSIST  by MARTIN,DEWAYNE",2
14:33,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",2
14:23,"TURNOVER  by MARTIN,DEWAYNE",,,,,,,"TURNOVER  by MARTIN,DEWAYNE",2
14:23,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
14:23,"SUB IN by HILL,ERIC",,,,,,,"SUB IN by HILL,ERIC",2
14:23,"SUB IN by MONTGOMERY,VERNON",,,,,,,"SUB IN by MONTGOMERY,VERNON",2
14:23,"SUB OUT by WOODS,JEFF",,,,,,,"SUB OUT by WOODS,JEFF",2
14:23,"SUB OUT by MARTIN,DEWAYNE",,,,,,,"SUB OUT by MARTIN,DEWAYNE",2
14:23,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
14:23,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",2
14:23,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
14:23,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",2
14:23,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
14:23,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
14:23,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
14:23,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:03,,,,,"MISS 3PTR by SAGRAVES,AUSTIN",,,"MISS 3PTR by SAGRAVES,AUSTIN",2
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",2
13:59,,,,,"FOUL  by HERTZEL,HOLDEN",,,"FOUL  by HERTZEL,HOLDEN",2
13:51,"MISS 3PTR by MARTINEZ,ZACH",,,,,,,"MISS 3PTR by MARTINEZ,ZACH",2
--,,,,,"REBOUND DEF by SAGRAVES,AUSTIN",,,"REBOUND DEF by SAGRAVES,AUSTIN",2
13:39,,,,,"MISS 3PTR by SAGRAVES,AUSTIN",,,"MISS 3PTR by SAGRAVES,AUSTIN",2
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",2
13:28,"MISS 3PTR by MONTGOMERY,VERNON",,,,,,,"MISS 3PTR by MONTGOMERY,VERNON",2
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",2
13:21,,30,,44 (+14),"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",CENTRE_M 30-44 (+14),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
13:05,"MISS 3PTR by MARTINEZ,ZACH",,,,,,,"MISS 3PTR by MARTINEZ,ZACH",2
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",2
12:58,,30,,46 (+16),"GOOD LAYUP by NEWSOME,TAYLOR(fastbreak)(in the paint)",CENTRE_M 30-46 (+16),,"GOOD LAYUP by NEWSOME,TAYLOR(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
12:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:53,"SUB IN by TAYLOR,CJ",,,,,,,"SUB IN by TAYLOR,CJ",2
12:53,"SUB OUT by MARTINEZ,ZACH",,,,,,,"SUB OUT by MARTINEZ,ZACH",2
12:53,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",2
12:53,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",2
12:42,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",2
12:42,"GOOD FT by MONTGOMERY,VERNON",31,,46 (+15),,MUM 31-46 (+15),,"GOOD FT by MONTGOMERY,VERNON",2
12:42,"GOOD FT by MONTGOMERY,VERNON",32,,46 (+14),,MUM 32-46 (+14),,"GOOD FT by MONTGOMERY,VERNON",2
12:42,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
12:42,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
12:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:23,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
12:23,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
12:23,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",2
12:23,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",2
12:08,,32,,49 (+17),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 32-49 (+17),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",2
11:43,"GOOD JUMPER by TAYLOR,CJ(in the paint)",34,,49 (+15),,MUM 34-49 (+15),,"GOOD JUMPER by TAYLOR,CJ(in the paint)",2
11:23,,34,,51 (+17),"GOOD JUMPER by TAYLOR,CHRIS(in the paint)",CENTRE_M 34-51 (+17),,"GOOD JUMPER by TAYLOR,CHRIS(in the paint)",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
11:12,"MISS JUMPER by TAYLOR,CJ",,,,,,,"MISS JUMPER by TAYLOR,CJ",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
10:57,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
10:57,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
10:57,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
10:57,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
10:48,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by HILL,ERIC",,,,,,,"REBOUND DEF by HILL,ERIC",2
10:40,"MISS LAYUP by ANTONIO FERRELL,JR",,,,,,,"MISS LAYUP by ANTONIO FERRELL,JR",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
10:28,,34,,54 (+20),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 34-54 (+20),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
10:19,"MISS 3PTR by ZUKOWITZ,MAX",,,,,,,"MISS 3PTR by ZUKOWITZ,MAX",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
10:05,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",2
10:05,"SUB IN by MARTIN,DEWAYNE",,,,,,,"SUB IN by MARTIN,DEWAYNE",2
10:05,"SUB OUT by ANTONIO FERRELL,JR",,,,,,,"SUB OUT by ANTONIO FERRELL,JR",2
10:05,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",2
10:05,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
09:53,"MISS LAYUP by MONTGOMERY,VERNON",,,,,,,"MISS LAYUP by MONTGOMERY,VERNON",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
09:44,,34,,57 (+23),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 34-57 (+23),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
09:28,"TURNOVER  by ZUKOWITZ,MAX",,,,,,,"TURNOVER  by ZUKOWITZ,MAX",2
09:26,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",2
09:22,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",2
--,"REBOUND DEF by ZUKOWITZ,MAX",,,,,,,"REBOUND DEF by ZUKOWITZ,MAX",2
09:16,"GOOD LAYUP by MONTGOMERY,VERNON(in the paint)",36,,57 (+21),,MUM 36-57 (+21),,"GOOD LAYUP by MONTGOMERY,VERNON(in the paint)",2
--,"ASSIST  by ZUKOWITZ,MAX",,,,,,,"ASSIST  by ZUKOWITZ,MAX",2
08:54,,,,,"MISS JUMPER by HERTZEL,HOLDEN",,,"MISS JUMPER by HERTZEL,HOLDEN",2
--,"REBOUND DEF by MARTIN,DEWAYNE",,,,,,,"REBOUND DEF by MARTIN,DEWAYNE",2
08:46,"MISS LAYUP by ZUKOWITZ,MAX",,,,,,,"MISS LAYUP by ZUKOWITZ,MAX",2
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",2
08:25,,36,,59 (+23),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 36-59 (+23),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
08:05,"MISS JUMPER by HILL,ERIC",,,,,,,"MISS JUMPER by HILL,ERIC",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
07:56,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",2
07:56,"SUB IN by JOHNSON,DONNELLE",,,,,,,"SUB IN by JOHNSON,DONNELLE",2
07:56,"SUB IN by MARTINEZ,ZACH",,,,,,,"SUB IN by MARTINEZ,ZACH",2
07:56,"SUB IN by WOODS,JEFF",,,,,,,"SUB IN by WOODS,JEFF",2
07:56,"SUB OUT by TAYLOR,CJ",,,,,,,"SUB OUT by TAYLOR,CJ",2
07:56,"SUB OUT by HILL,ERIC",,,,,,,"SUB OUT by HILL,ERIC",2
07:56,"SUB OUT by MONTGOMERY,VERNON",,,,,,,"SUB OUT by MONTGOMERY,VERNON",2
07:56,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
07:56,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",2
07:56,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
07:56,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
07:51,"GOOD LAYUP by MARTIN,DEWAYNE(in the paint)",38,,59 (+21),,MUM 38-59 (+21),,"GOOD LAYUP by MARTIN,DEWAYNE(in the paint)",2
07:17,,38,,61 (+23),"GOOD JUMPER by NEWSOME,TAYLOR(in the paint)",CENTRE_M 38-61 (+23),,"GOOD JUMPER by NEWSOME,TAYLOR(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
07:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:11,"MISS JUMPER by ANTONIO FERRELL,JR",,,,,,,"MISS JUMPER by ANTONIO FERRELL,JR",2
--,"REBOUND OFF by WOODS,JEFF",,,,,,,"REBOUND OFF by WOODS,JEFF",2
06:44,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
06:44,"GOOD FT by ANTONIO FERRELL,JR",39,,61 (+22),,MUM 39-61 (+22),,"GOOD FT by ANTONIO FERRELL,JR",2
06:44,"GOOD FT by ANTONIO FERRELL,JR",40,,61 (+21),,MUM 40-61 (+21),,"GOOD FT by ANTONIO FERRELL,JR",2
06:44,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
06:44,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
06:44,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
06:44,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",2
06:27,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",2
06:27,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",2
06:27,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
06:27,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
06:17,"TURNOVER  by ANTONIO FERRELL,JR",,,,,,,"TURNOVER  by ANTONIO FERRELL,JR",2
06:15,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
05:57,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
05:54,"STEAL  by MARTINEZ,ZACH",,,,,,,"STEAL  by MARTINEZ,ZACH",2
05:51,"GOOD LAYUP by ANTONIO FERRELL,JR(in the paint)",42,,61 (+19),,MUM 42-61 (+19),,"GOOD LAYUP by ANTONIO FERRELL,JR(in the paint)",2
--,"ASSIST  by MARTINEZ,ZACH",,,,,,,"ASSIST  by MARTINEZ,ZACH",2
05:42,,42,,63 (+21),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 42-63 (+21),,"GOOD JUMPER by KARSNER,JOSH",2
--,,,,,"ASSIST  by SAGRAVES,AUSTIN",,,"ASSIST  by SAGRAVES,AUSTIN",2
05:24,"MISS 3PTR by MARTINEZ,ZACH",,,,,,,"MISS 3PTR by MARTINEZ,ZACH",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
04:50,,42,,65 (+23),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 42-65 (+23),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
04:39,"FOUL  by WOODS,JEFF",,,,,,,"FOUL  by WOODS,JEFF",2
04:39,"TURNOVER  by WOODS,JEFF",,,,,,,"TURNOVER  by WOODS,JEFF",2
04:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:39,"SUB IN by ANTONIO FERRELL,JR",,,,,,,"SUB IN by ANTONIO FERRELL,JR",2
04:39,"SUB IN by GIBSON,JALEEL",,,,,,,"SUB IN by GIBSON,JALEEL",2
04:39,"SUB OUT by JOHNSON,DONNELLE",,,,,,,"SUB OUT by JOHNSON,DONNELLE",2
04:39,"SUB OUT by MARTINEZ,ZACH",,,,,,,"SUB OUT by MARTINEZ,ZACH",2
04:39,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",2
04:39,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
04:17,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",2
04:13,"TURNOVER  by ANTONIO FERRELL,JR",,,,,,,"TURNOVER  by ANTONIO FERRELL,JR",2
04:11,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
04:00,,42,,67 (+25),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 42-67 (+25),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
03:41,"GOOD JUMPER by WOODS,JEFF",44,,67 (+23),,MUM 44-67 (+23),,"GOOD JUMPER by WOODS,JEFF",2
--,"ASSIST  by MARTIN,DEWAYNE",,,,,,,"ASSIST  by MARTIN,DEWAYNE",2
03:12,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND OFF by HERTZEL,HOLDEN",,,"REBOUND OFF by HERTZEL,HOLDEN",2
02:43,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND OFF by HERTZEL,HOLDEN",,,"REBOUND OFF by HERTZEL,HOLDEN",2
02:39,,,,,"MISS LAYUP by HERTZEL,HOLDEN",,,"MISS LAYUP by HERTZEL,HOLDEN",2
--,,,,,"REBOUND OFF by TAYLOR,CHRIS",,,"REBOUND OFF by TAYLOR,CHRIS",2
02:10,,44,,69 (+25),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 44-69 (+25),,"GOOD JUMPER by KARSNER,JOSH",2
02:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:07,"SUB IN by HILL,ERIC",,,,,,,"SUB IN by HILL,ERIC",2
02:07,"SUB IN by MONTGOMERY,VERNON",,,,,,,"SUB IN by MONTGOMERY,VERNON",2
02:07,"SUB IN by FRAZIER,MICHAEL",,,,,,,"SUB IN by FRAZIER,MICHAEL",2
02:07,"SUB IN by TAYLOR,CJ",,,,,,,"SUB IN by TAYLOR,CJ",2
02:07,"SUB OUT by MARTIN,DEWAYNE",,,,,,,"SUB OUT by MARTIN,DEWAYNE",2
02:07,"SUB OUT by ANTONIO FERRELL,JR",,,,,,,"SUB OUT by ANTONIO FERRELL,JR",2
02:07,"SUB OUT by GIBSON,JALEEL",,,,,,,"SUB OUT by GIBSON,JALEEL",2
02:07,"SUB OUT by WOODS,JEFF",,,,,,,"SUB OUT by WOODS,JEFF",2
02:07,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
02:07,,,,,"SUB IN by CAHALL,CALVIN",,,"SUB IN by CAHALL,CALVIN",2
02:07,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
02:07,,,,,"SUB IN by WRIGHT,SPENCER",,,"SUB IN by WRIGHT,SPENCER",2
02:07,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",2
02:07,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
02:07,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
02:07,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",2
02:07,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",2
02:07,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
01:47,"MISS 3PTR by TAYLOR,CJ",,,,,,,"MISS 3PTR by TAYLOR,CJ",2
--,"REBOUND OFF by TAYLOR,CJ",,,,,,,"REBOUND OFF by TAYLOR,CJ",2
01:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:37,,,,,"FOUL  by LOHR,MATT",,,"FOUL  by LOHR,MATT",2
01:37,"MISS FT by MONTGOMERY,VERNON",,,,,,,"MISS FT by MONTGOMERY,VERNON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:37,"MISS FT by MONTGOMERY,VERNON",,,,,,,"MISS FT by MONTGOMERY,VERNON",2
--,,,,,"REBOUND DEF by WRIGHT,SPENCER",,,"REBOUND DEF by WRIGHT,SPENCER",2
01:10,,,,,"TURNOVER  by WRIGHT,SPENCER",,,"TURNOVER  by WRIGHT,SPENCER",2
01:08,"STEAL  by MONTGOMERY,VERNON",,,,,,,"STEAL  by MONTGOMERY,VERNON",2
01:06,"GOOD LAYUP by MONTGOMERY,VERNON(fastbreak)(in the paint)",46,,69 (+23),,MUM 46-69 (+23),,"GOOD LAYUP by MONTGOMERY,VERNON(fastbreak)(in the paint)",2
00:51,,46,,71 (+25),"GOOD LAYUP by LOHR,MATT(in the paint)",CENTRE_M 46-71 (+25),,"GOOD LAYUP by LOHR,MATT(in the paint)",2
00:41,"MISS 3PTR by FRAZIER,MICHAEL",,,,,,,"MISS 3PTR by FRAZIER,MICHAEL",2
--,,,,,"REBOUND DEF by CAHALL,CALVIN",,,"REBOUND DEF by CAHALL,CALVIN",2
00:34,,,,,"TURNOVER  by CAHALL,CALVIN",,,"TURNOVER  by CAHALL,CALVIN",2
00:33,"STEAL  by HILL,ERIC",,,,,,,"STEAL  by HILL,ERIC",2
00:31,"GOOD LAYUP by HILL,ERIC(in the paint)",48,,71 (+23),,MUM 48-71 (+23),,"GOOD LAYUP by HILL,ERIC(in the paint)",2
00:26,,48,,73 (+25),"GOOD LAYUP by WRIGHT,SPENCER(in the paint)",CENTRE_M 48-73 (+25),,"GOOD LAYUP by WRIGHT,SPENCER(in the paint)",2
00:18,"MISS JUMPER by TAYLOR,CJ",,,,,,,"MISS JUMPER by TAYLOR,CJ",2
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",2
00:07,"FOUL  by TAYLOR,CJ",,,,,,,"FOUL  by TAYLOR,CJ",2
