Time Remaining,BRESCIA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
08:22,"GOOD LAYUP by LANGLEY,JERMAIN(in the paint)",10,,12 (+2),,BRESCIA 10-12 (+2),,"GOOD LAYUP by LANGLEY,JERMAIN(in the paint)",1
07:58,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,"REBOUND DEF by MORRIS,AUSTIN",,,,,,,"REBOUND DEF by MORRIS,AUSTIN",1
07:44,"GOOD JUMPER by WILGUS,KYLE",12,,12,,BRESCIA 12-12 (0),,"GOOD JUMPER by WILGUS,KYLE",1
--,"ASSIST  by LANGLEY,JERMAIN",,,,,,,"ASSIST  by LANGLEY,JERMAIN",1
07:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:13,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by WILGUS,KYLE",,,,,,,"REBOUND DEF by WILGUS,KYLE",1
07:01,"TURNOVER  by MORRIS,AUSTIN",,,,,,,"TURNOVER  by MORRIS,AUSTIN",1
07:01,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
07:01,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
07:01,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
07:01,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
06:33,,,,,"MISS JUMPER by LOHR,MATT",,,"MISS JUMPER by LOHR,MATT",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
06:30,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by MORRIS,AUSTIN",,,,,,,"REBOUND DEF by MORRIS,AUSTIN",1
06:13,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
06:13,"GOOD FT by MORRIS,AUSTIN",13 (+1),,12,,BRESCIA 13-12 (-1),,"GOOD FT by MORRIS,AUSTIN",1
06:13,"GOOD FT by MORRIS,AUSTIN",14 (+2),,12,,BRESCIA 14-12 (-2),,"GOOD FT by MORRIS,AUSTIN",1
06:13,"SUB IN by JACKSON,BRETT",,,,,,,"SUB IN by JACKSON,BRETT",1
06:13,"SUB OUT by MORRIS,AUSTIN",,,,,,,"SUB OUT by MORRIS,AUSTIN",1
06:13,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
06:13,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
06:13,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
06:13,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
05:59,,14,,14,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 14-14 (0),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
05:40,"MISS JUMPER by ROWE,HUNTER",,,,,,,"MISS JUMPER by ROWE,HUNTER",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
05:27,"FOUL  by LANGLEY,JERMAIN",,,,,,,"FOUL  by LANGLEY,JERMAIN",1
05:27,,14,,15 (+1),"GOOD FT by TAYLOR,CHRIS",CENTRE_M 14-15 (+1),,"GOOD FT by TAYLOR,CHRIS",1
