Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
06:36,,,,,"MISS 3PTR by OETJEN,NOAH",,,"MISS 3PTR by OETJEN,NOAH",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
06:23,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by HOLLIS,MITCHELL",,,"REBOUND DEF by HOLLIS,MITCHELL",1
06:13,,20 (+1),,19,"GOOD LAYUP by JAUCH,JARED(in the paint)",CCM 20-19 (+1),,"GOOD LAYUP by JAUCH,JARED(in the paint)",1
05:47,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
05:46,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",1
05:44,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
05:44,,20,,20,"GOOD FT by SPRAGG,BAILEY",CCM 20-20 (0),,"GOOD FT by SPRAGG,BAILEY",1
05:44,,20,,21 (+1),"GOOD FT by SPRAGG,BAILEY",CCM 20-21 (-1),,"GOOD FT by SPRAGG,BAILEY",1
05:44,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
05:44,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
05:44,,,,,"SUB IN by HENRY,GAGE",,,"SUB IN by HENRY,GAGE",1
05:44,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",1
05:23,"GOOD LAYUP by SINE,TUCKER(in the paint)",22 (+1),,21,,CENTRE-M 22-21 (+1),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
05:08,,,,,"TURNOVER  by HOLLIS,MITCHELL",,,"TURNOVER  by HOLLIS,MITCHELL",1
04:55,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
04:55,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
