Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,WLU,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:33,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
00:33,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:11,"MISS LAYUP by AYERS,PERRY(in the paint)",,,,,,,"MISS LAYUP by AYERS,PERRY(in the paint)",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
00:09,,,,,"FOUL  by LEWIS,TREY(in the paint)",,,"FOUL  by LEWIS,TREY(in the paint)",1
00:09,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:09,,,,,"SUB OUT by LEWIS,TREY",,,"SUB OUT by LEWIS,TREY",1
00:09,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",1
00:09,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:09,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
00:09,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",1
00:02,,,,,"TURNOVER  by KEARNS,DEVIN(in the paint)",,,"TURNOVER  by KEARNS,DEVIN(in the paint)",1
00:02,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",1
00:00,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
20:00,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
20:00,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
20:00,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
20:00,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
20:00,,,,,"MISS FT by KEARNS,DEVIN",,,"MISS FT by KEARNS,DEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
20:00,,50 (+10),,40,"GOOD FT by KEARNS,DEVIN",WLU 50-40 (+10),,"GOOD FT by KEARNS,DEVIN",2
19:55,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:37,"GOOD  by BATES,JACOB(in the paint)",52 (+12),,40,,CEN 52-40 (+12),,"GOOD  by BATES,JACOB(in the paint)",2
19:19,,,,,"FOUL  by MITCHELL,CURTIS(in the paint)",,,"FOUL  by MITCHELL,CURTIS(in the paint)",2
19:19,,,,,"TURNOVER  by MITCHELL,CURTIS(in the paint)",,,"TURNOVER  by MITCHELL,CURTIS(in the paint)",2
19:08,"GOOD 3PTR by WALKER,ART",55 (+15),,40,,CEN 55-40 (+15),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
18:56,,,,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
18:47,"TURNOVER  by AYERS,PERRY(in the paint)",,,,,,,"TURNOVER  by AYERS,PERRY(in the paint)",2
18:38,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
18:38,,55 (+14),,41,"GOOD FT by BRUEGGEMAN,WILLIAM",WLU 55-41 (+14),,"GOOD FT by BRUEGGEMAN,WILLIAM",2
18:38,,55 (+13),,42,"GOOD FT by BRUEGGEMAN,WILLIAM",WLU 55-42 (+13),,"GOOD FT by BRUEGGEMAN,WILLIAM",2
18:23,"GOOD LAYUP by BATES,JACOB",57 (+15),,42,,CEN 57-42 (+15),,"GOOD LAYUP by BATES,JACOB",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
18:13,,,,,"FOUL  by BRUEGGEMAN,WILLIAM",,,"FOUL  by BRUEGGEMAN,WILLIAM",2
18:13,,,,,"TURNOVER  by BRUEGGEMAN,WILLIAM",,,"TURNOVER  by BRUEGGEMAN,WILLIAM",2
18:13,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",2
18:13,,,,,"SUB IN by DENNIN,KEVIN",,,"SUB IN by DENNIN,KEVIN",2
18:00,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
18:00,,,,,"BLOCK  by MITCHELL,CURTIS",,,"BLOCK  by MITCHELL,CURTIS",2
--,,,,,"REBOUND DEF by LAMENDOLA,MARK",,,"REBOUND DEF by LAMENDOLA,MARK",2
17:54,,,,,"FOUL  by LAMENDOLA,MARK",,,"FOUL  by LAMENDOLA,MARK",2
17:54,,,,,"TURNOVER  by LAMENDOLA,MARK",,,"TURNOVER  by LAMENDOLA,MARK",2
17:43,"GOOD LAYUP by BATES,JACOB",59 (+17),,42,,CEN 59-42 (+17),,"GOOD LAYUP by BATES,JACOB",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
17:29,,,,,"SUB OUT by MITCHELL,CURTIS",,,"SUB OUT by MITCHELL,CURTIS",2
17:29,,,,,"SUB IN by CROUGHAN,MARK",,,"SUB IN by CROUGHAN,MARK",2
17:17,,59 (+15),,44,"GOOD JUMPER by KEARNS,DEVIN(in the paint)",WLU 59-44 (+15),,"GOOD JUMPER by KEARNS,DEVIN(in the paint)",2
16:57,"GOOD DUNK by BATES,JACOB",61 (+17),,44,,CEN 61-44 (+17),,"GOOD DUNK by BATES,JACOB",2
16:57,,,,,"FOUL  by CROUGHAN,MARK",,,"FOUL  by CROUGHAN,MARK",2
16:57,"GOOD FT by BATES,JACOB",62 (+18),,44,,CEN 62-44 (+18),,"GOOD FT by BATES,JACOB",2
16:40,,,,,"MISS 3PTR by LAMENDOLA,MARK",,,"MISS 3PTR by LAMENDOLA,MARK",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
16:32,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
16:17,,,,,"MISS JUMPER by KEARNS,DEVIN",,,"MISS JUMPER by KEARNS,DEVIN",2
--,,,,,"REBOUND OFF by LAMENDOLA,MARK",,,"REBOUND OFF by LAMENDOLA,MARK",2
16:10,,62 (+16),,46,"GOOD LAYUP by LAMENDOLA,MARK",WLU 62-46 (+16),,"GOOD LAYUP by LAMENDOLA,MARK",2
16:10,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
16:10,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
15:49,"GOOD LAYUP by RAKES,BAILEY",64 (+18),,46,,CEN 64-46 (+18),,"GOOD LAYUP by RAKES,BAILEY",2
15:37,,,,,"MISS 3PTR by LAMENDOLA,MARK",,,"MISS 3PTR by LAMENDOLA,MARK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:35,,,,,"SUB OUT by LAMENDOLA,MARK",,,"SUB OUT by LAMENDOLA,MARK",2
15:35,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",2
15:15,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
15:08,,64 (+16),,48,"GOOD LAYUP by KEARNS,DEVIN(fastbreak)",WLU 64-48 (+16),,"GOOD LAYUP by KEARNS,DEVIN(fastbreak)",2
15:01,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",2
15:01,,,,,"STEAL  by STARR,ALEX",,,"STEAL  by STARR,ALEX",2
15:01,"FOUL  by GRIFFIN,JAROD(in the paint)",,,,,,,"FOUL  by GRIFFIN,JAROD(in the paint)",2
15:01,,64 (+15),,49,"GOOD FT by MCMILLAN,ROY",WLU 64-49 (+15),,"GOOD FT by MCMILLAN,ROY",2
15:01,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
15:01,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
15:01,,64 (+14),,50,"GOOD FT by MCMILLAN,ROY",WLU 64-50 (+14),,"GOOD FT by MCMILLAN,ROY",2
15:01,,,,,"SUB OUT by MCMILLAN,ROY",,,"SUB OUT by MCMILLAN,ROY",2
15:01,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",2
14:42,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
14:42,,,,,"STEAL  by DENNIN,KEVIN",,,"STEAL  by DENNIN,KEVIN",2
14:35,,64 (+11),,53,"GOOD 3PTR by BRUEGGEMAN,WILLIAM",WLU 64-53 (+11),,"GOOD 3PTR by BRUEGGEMAN,WILLIAM",2
--,,,,,"ASSIST  by STARR,ALEX",,,"ASSIST  by STARR,ALEX",2
14:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:33,,,,,"SUB OUT by KEARNS,DEVIN",,,"SUB OUT by KEARNS,DEVIN",2
14:33,,,,,"SUB IN by MITCHELL,CURTIS",,,"SUB IN by MITCHELL,CURTIS",2
14:33,,,,,"SUB OUT by CROUGHAN,MARK",,,"SUB OUT by CROUGHAN,MARK",2
14:33,,,,,"SUB IN by PANCHAL,TEVIN",,,"SUB IN by PANCHAL,TEVIN",2
14:15,"GOOD LAYUP by WALKER,ART",66 (+13),,53,,CEN 66-53 (+13),,"GOOD LAYUP by WALKER,ART",2
14:15,,,,,"FOUL  by DENNIN,KEVIN",,,"FOUL  by DENNIN,KEVIN",2
14:15,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
14:15,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:15,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
14:15,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
14:15,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
--,,,,,"REBOUND DEF by BRUEGGEMAN,WILLIAM",,,"REBOUND DEF by BRUEGGEMAN,WILLIAM",2
14:06,,,,,"FOUL  by BRUEGGEMAN,WILLIAM",,,"FOUL  by BRUEGGEMAN,WILLIAM",2
14:06,,,,,"TURNOVER  by BRUEGGEMAN,WILLIAM",,,"TURNOVER  by BRUEGGEMAN,WILLIAM",2
14:06,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",2
14:06,,,,,"SUB IN by LAMENDOLA,MARK",,,"SUB IN by LAMENDOLA,MARK",2
13:43,"GOOD LAYUP by CRUMP,DAWSON",68 (+15),,53,,CEN 68-53 (+15),,"GOOD LAYUP by CRUMP,DAWSON",2
13:24,,68 (+12),,56,"GOOD 3PTR by DENNIN,KEVIN",WLU 68-56 (+12),,"GOOD 3PTR by DENNIN,KEVIN",2
--,,,,,"ASSIST  by MITCHELL,CURTIS",,,"ASSIST  by MITCHELL,CURTIS",2
12:51,"MISS LAYUP by WALKER,ART(in the paint)",,,,,,,"MISS LAYUP by WALKER,ART(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:50,,,,,"FOUL  by MITCHELL,CURTIS",,,"FOUL  by MITCHELL,CURTIS",2
12:50,,,,,"SUB OUT by PANCHAL,TEVIN",,,"SUB OUT by PANCHAL,TEVIN",2
12:50,,,,,"SUB IN by KEARNS,DEVIN",,,"SUB IN by KEARNS,DEVIN",2
12:50,,,,,"SUB OUT by STARR,ALEX",,,"SUB OUT by STARR,ALEX",2
12:50,,,,,"SUB IN by MCMILLAN,ROY",,,"SUB IN by MCMILLAN,ROY",2
12:50,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
12:50,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
12:50,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
12:29,,68 (+9),,59,"GOOD 3PTR by DENNIN,KEVIN",WLU 68-59 (+9),,"GOOD 3PTR by DENNIN,KEVIN",2
--,,,,,"ASSIST  by LAMENDOLA,MARK",,,"ASSIST  by LAMENDOLA,MARK",2
12:08,,,,,"FOUL  by DENNIN,KEVIN(in the paint)",,,"FOUL  by DENNIN,KEVIN(in the paint)",2
12:08,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:08,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
12:08,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
12:08,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
11:49,,68 (+7),,61,"GOOD JUMPER by MCMILLAN,ROY",WLU 68-61 (+7),,"GOOD JUMPER by MCMILLAN,ROY",2
11:21,"MISS LAYUP by AYERS,PERRY(in the paint)",,,,,,,"MISS LAYUP by AYERS,PERRY(in the paint)",2
11:21,,,,,"BLOCK  by MITCHELL,CURTIS",,,"BLOCK  by MITCHELL,CURTIS",2
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",2
11:18,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
11:18,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
11:13,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
11:13,,,,,"BLOCK  by MITCHELL,CURTIS",,,"BLOCK  by MITCHELL,CURTIS",2
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",2
11:00,,68 (+5),,63,"GOOD LAYUP by MCMILLAN,ROY(in the paint)",WLU 68-63 (+5),,"GOOD LAYUP by MCMILLAN,ROY(in the paint)",2
10:53,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",2
10:53,,,,,"STEAL  by LAMENDOLA,MARK",,,"STEAL  by LAMENDOLA,MARK",2
10:48,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
10:48,,,,,"FOUL  by LAMENDOLA,MARK",,,"FOUL  by LAMENDOLA,MARK",2
10:48,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
10:48,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
10:48,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",2
--,,,,,"REBOUND DEF by MITCHELL,CURTIS",,,"REBOUND DEF by MITCHELL,CURTIS",2
10:44,,68 (+2),,66,"GOOD 3PTR by MITCHELL,CURTIS",WLU 68-66 (+2),,"GOOD 3PTR by MITCHELL,CURTIS",2
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",2
10:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:41,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
10:41,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
10:32,,,,,"FOUL  by LAMENDOLA,MARK",,,"FOUL  by LAMENDOLA,MARK",2
10:32,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:32,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
10:18,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
10:18,,68 (+1),,67,"GOOD FT by MCMILLAN,ROY",WLU 68-67 (+1),,"GOOD FT by MCMILLAN,ROY",2
10:18,,,,,"SUB OUT by DENNIN,KEVIN",,,"SUB OUT by DENNIN,KEVIN",2
10:18,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",2
10:18,,,,,"SUB OUT by LAMENDOLA,MARK",,,"SUB OUT by LAMENDOLA,MARK",2
10:18,,,,,"SUB IN by LEWIS,TREY",,,"SUB IN by LEWIS,TREY",2
10:18,,68,,68,"GOOD FT by MCMILLAN,ROY",WLU 68-68 (0),,"GOOD FT by MCMILLAN,ROY",2
09:54,"TURNOVER  by WALKER,ART(in the paint)",,,,,,,"TURNOVER  by WALKER,ART(in the paint)",2
09:54,,,,,"STEAL  by LEWIS,TREY",,,"STEAL  by LEWIS,TREY",2
09:47,,,,,"MISS 3PTR by MCMILLAN,ROY",,,"MISS 3PTR by MCMILLAN,ROY",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
09:38,,,,,"FOUL  by MITCHELL,CURTIS",,,"FOUL  by MITCHELL,CURTIS",2
09:38,"GOOD FT by AYERS,PERRY(fastbreak)",69 (+1),,68,,CEN 69-68 (+1),,"GOOD FT by AYERS,PERRY(fastbreak)",2
09:38,,,,,"SUB OUT by MITCHELL,CURTIS",,,"SUB OUT by MITCHELL,CURTIS",2
09:38,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",2
09:38,"GOOD FT by AYERS,PERRY(fastbreak)",70 (+2),,68,,CEN 70-68 (+2),,"GOOD FT by AYERS,PERRY(fastbreak)",2
09:17,,,,,"MISS LAYUP by LEWIS,TREY",,,"MISS LAYUP by LEWIS,TREY",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
08:48,"MISS LAYUP by WALKER,ART(in the paint)",,,,,,,"MISS LAYUP by WALKER,ART(in the paint)",2
08:48,,,,,"BLOCK  by MCMILLAN,ROY",,,"BLOCK  by MCMILLAN,ROY",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
08:38,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
08:32,,,,,"MISS JUMPER by BRUEGGEMAN,WILLIAM(in the paint)",,,"MISS JUMPER by BRUEGGEMAN,WILLIAM(in the paint)",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
08:24,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
08:18,"GOOD LAYUP by AYERS,PERRY",72 (+4),,68,,CEN 72-68 (+4),,"GOOD LAYUP by AYERS,PERRY",2
08:07,,72 (+2),,70,"GOOD LAYUP by MCMILLAN,ROY",WLU 72-70 (+2),,"GOOD LAYUP by MCMILLAN,ROY",2
08:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:07,,,,,"SUB OUT by LEWIS,TREY",,,"SUB OUT by LEWIS,TREY",2
08:07,,,,,"SUB IN by DENNIN,KEVIN",,,"SUB IN by DENNIN,KEVIN",2
08:07,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",2
08:07,,,,,"SUB IN by LAMENDOLA,MARK",,,"SUB IN by LAMENDOLA,MARK",2
08:07,,,,,"SUB OUT by STARR,ALEX",,,"SUB OUT by STARR,ALEX",2
08:07,,,,,"SUB IN by MITCHELL,CURTIS",,,"SUB IN by MITCHELL,CURTIS",2
08:07,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
08:07,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
07:37,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
07:28,"MISS LAYUP by RAKES,BAILEY(in the paint)",,,,,,,"MISS LAYUP by RAKES,BAILEY(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:28,,,,,"FOUL  by MITCHELL,CURTIS",,,"FOUL  by MITCHELL,CURTIS",2
07:28,,,,,"SUB OUT by MITCHELL,CURTIS",,,"SUB OUT by MITCHELL,CURTIS",2
07:28,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",2
07:28,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:28,"GOOD FT by AYERS,PERRY",73 (+3),,70,,CEN 73-70 (+3),,"GOOD FT by AYERS,PERRY",2
07:20,,,,,"MISS LAYUP by MCMILLAN,ROY(in the paint)",,,"MISS LAYUP by MCMILLAN,ROY(in the paint)",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
07:20,,,,,"FOUL  by BRUEGGEMAN,WILLIAM",,,"FOUL  by BRUEGGEMAN,WILLIAM",2
07:20,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",2
07:20,,,,,"SUB IN by CROUGHAN,MARK",,,"SUB IN by CROUGHAN,MARK",2
07:20,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:20,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
07:03,,73 (+1),,72,"GOOD JUMPER by LAMENDOLA,MARK(in the paint)",WLU 73-72 (+1),,"GOOD JUMPER by LAMENDOLA,MARK(in the paint)",2
06:35,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",2
--,,,,,"REBOUND DEF by CROUGHAN,MARK",,,"REBOUND DEF by CROUGHAN,MARK",2
06:32,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
06:32,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:32,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
06:32,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
06:32,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
06:22,"FOUL  by PURVIS,KC(in the paint)",,,,,,,"FOUL  by PURVIS,KC(in the paint)",2
06:22,,,,,"MISS FT by KEARNS,DEVIN",,,"MISS FT by KEARNS,DEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:22,,,,,"MISS FT by KEARNS,DEVIN",,,"MISS FT by KEARNS,DEVIN",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
05:58,"GOOD 3PTR by SINE,TUCKER",76 (+4),,72,,CEN 76-72 (+4),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
05:43,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
05:43,,,,,"MISS FT by MCMILLAN,ROY",,,"MISS FT by MCMILLAN,ROY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:43,,76 (+3),,73,"GOOD FT by MCMILLAN,ROY",WLU 76-73 (+3),,"GOOD FT by MCMILLAN,ROY",2
05:43,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
05:43,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
05:43,,76 (+2),,74,"GOOD FT by MCMILLAN,ROY",WLU 76-74 (+2),,"GOOD FT by MCMILLAN,ROY",2
05:21,,,,,"FOUL  by LAMENDOLA,MARK",,,"FOUL  by LAMENDOLA,MARK",2
05:21,"GOOD FT by BATES,JACOB",77 (+3),,74,,CEN 77-74 (+3),,"GOOD FT by BATES,JACOB",2
05:21,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,,,,,"REBOUND DEF by DENNIN,KEVIN",,,"REBOUND DEF by DENNIN,KEVIN",2
05:11,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
05:11,,,,,"MISS FT by LAMENDOLA,MARK",,,"MISS FT by LAMENDOLA,MARK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:11,,,,,"MISS FT by LAMENDOLA,MARK",,,"MISS FT by LAMENDOLA,MARK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:11,,,,,"MISS FT by LAMENDOLA,MARK",,,"MISS FT by LAMENDOLA,MARK",2
--,,,,,"REBOUND OFF by CROUGHAN,MARK",,,"REBOUND OFF by CROUGHAN,MARK",2
04:57,,77 (+1),,76,"GOOD JUMPER by KEARNS,DEVIN",WLU 77-76 (+1),,"GOOD JUMPER by KEARNS,DEVIN",2
04:28,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",2
04:23,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
04:23,,,,,"MISS FT by KEARNS,DEVIN(fastbreak)",,,"MISS FT by KEARNS,DEVIN(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:23,,77,,77,"GOOD FT by KEARNS,DEVIN(fastbreak)",WLU 77-77 (0),,"GOOD FT by KEARNS,DEVIN(fastbreak)",2
03:56,"GOOD LAYUP by BATES,JACOB",79 (+2),,77,,CEN 79-77 (+2),,"GOOD LAYUP by BATES,JACOB",2
