Time Remaining,OU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
03:54,,18,,34 (+16),"GOOD FT by WALKER,ART",CENTRE-M 18-34 (+16),,"GOOD FT by WALKER,ART",1
03:54,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
03:54,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
03:27,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
03:14,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
03:01,"MISS JUMPER by KOCH,WILL",,,,,,,"MISS JUMPER by KOCH,WILL",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
02:39,,18,,37 (+19),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 18-37 (+19),,"GOOD 3PTR by GRIFFIN,JAROD",1
02:07,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
02:07,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
02:07,"SUB IN by BREATHWAITE,ZACH",,,,,,,"SUB IN by BREATHWAITE,ZACH",1
02:07,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
02:07,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",1
02:07,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
02:07,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
02:07,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
02:07,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
02:07,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
01:50,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
01:50,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
01:50,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
01:50,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
01:50,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
01:50,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
01:36,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
01:08,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
01:08,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
01:08,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
01:08,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
01:07,,18,,40 (+22),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 18-40 (+22),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
01:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:54,"GOOD LAYUP by JENEI,RYAN(in the paint)",20,,40 (+20),,OU-M 20-40 (+20),,"GOOD LAYUP by JENEI,RYAN(in the paint)",1
00:24,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
00:16,"MISS LAYUP by JENEI,RYAN",,,,,,,"MISS LAYUP by JENEI,RYAN",1
00:16,,,,,"BLOCK  by PURVIS,KC",,,"BLOCK  by PURVIS,KC",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
20:00,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
20:00,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
19:41,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",2
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",2
19:29,"GOOD LAYUP by INUNGU,TOM(in the paint)",22,,40 (+18),,OU-M 22-40 (+18),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
19:07,,22,,43 (+21),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 22-43 (+21),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
18:44,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
18:44,"GOOD FT by FOSTER,LANE",23,,43 (+20),,OU-M 23-43 (+20),,"GOOD FT by FOSTER,LANE",2
18:44,"GOOD FT by FOSTER,LANE",24,,43 (+19),,OU-M 24-43 (+19),,"GOOD FT by FOSTER,LANE",2
18:44,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
18:44,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
18:30,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",2
18:18,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",2
18:18,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:03,"MISS LAYUP by KOCH,WILL",,,,,,,"MISS LAYUP by KOCH,WILL",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
17:55,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
17:55,"STEAL  by SONE,CARLOS",,,,,,,"STEAL  by SONE,CARLOS",2
17:55,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",2
17:45,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",2
17:45,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",2
17:34,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
17:32,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",2
17:27,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
17:18,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
16:51,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",2
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",2
16:40,"GOOD LAYUP by INUNGU,TOM(in the paint)",26,,43 (+17),,OU-M 26-43 (+17),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
16:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:34,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
16:34,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
16:12,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",2
15:54,"GOOD 3PTR by KOCH,WILL",29,,43 (+14),,OU-M 29-43 (+14),,"GOOD 3PTR by KOCH,WILL",2
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",2
15:34,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",2
15:30,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",2
15:22,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",2
