Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,OUMBB,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
02:30,"GOOD 3PTR by GLOVER,CAMERON",61,,78 (+17),,BSC 61-78 (-17),,"GOOD 3PTR by GLOVER,CAMERON",2
02:20,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",2
02:15,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",2
02:13,"MISS LAYUP by WILLIAMS,JU'QUAN",,,,,,,"MISS LAYUP by WILLIAMS,JU'QUAN",2
--,"REBOUND OFF by GLOVER,CAMERON",,,,,,,"REBOUND OFF by GLOVER,CAMERON",2
02:10,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
02:08,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
02:08,"GOOD FT by STEWART,CHRISTIAN",62,,78 (+16),,BSC 62-78 (-16),,"GOOD FT by STEWART,CHRISTIAN",2
02:08,"GOOD FT by STEWART,CHRISTIAN",63,,78 (+15),,BSC 63-78 (-15),,"GOOD FT by STEWART,CHRISTIAN",2
02:08,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
02:08,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
02:08,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
02:08,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
02:02,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
02:00,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",2
01:55,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND OFF by SIGLER,EVAN",,,,,,,"REBOUND OFF by SIGLER,EVAN",2
01:46,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND OFF by SIGLER,EVAN",,,,,,,"REBOUND OFF by SIGLER,EVAN",2
01:41,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",65,,78 (+13),,BSC 65-78 (-13),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
01:32,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",2
01:24,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
01:24,,,,,"BLOCK  by CHAMBERS,DIMETRI",,,"BLOCK  by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
01:19,,65,,80 (+15),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 65-80 (-15),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
01:08,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",2
01:07,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",2
01:07,,65,,81 (+16),"GOOD FT by MURRAH,JACK",OUMBB 65-81 (-16),,"GOOD FT by MURRAH,JACK",2
01:07,,65,,82 (+17),"GOOD FT by MURRAH,JACK",OUMBB 65-82 (-17),,"GOOD FT by MURRAH,JACK",2
01:07,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
01:07,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
01:07,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
01:07,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
01:07,,,,,"SUB IN by REISMAN,ROBERT",,,"SUB IN by REISMAN,ROBERT",2
01:07,,,,,"SUB IN by JAMES,JORDAN",,,"SUB IN by JAMES,JORDAN",2
01:07,,,,,"SUB IN by EZE,STANLEY",,,"SUB IN by EZE,STANLEY",2
01:07,,,,,"SUB IN by BAILEY,FRANKLIN",,,"SUB IN by BAILEY,FRANKLIN",2
01:07,,,,,"SUB IN by FISCHER,DAVID",,,"SUB IN by FISCHER,DAVID",2
01:07,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
01:07,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
01:07,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
01:07,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
01:07,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
01:03,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,"REBOUND OFF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND OFF by WILLIAMS,JU'QUAN",2
00:57,,,,,"FOUL  by EZE,STANLEY",,,"FOUL  by EZE,STANLEY",2
00:57,"GOOD FT by WILLIAMS,JU'QUAN",66,,82 (+16),,BSC 66-82 (-16),,"GOOD FT by WILLIAMS,JU'QUAN",2
00:57,"GOOD FT by WILLIAMS,JU'QUAN",67,,82 (+15),,BSC 67-82 (-15),,"GOOD FT by WILLIAMS,JU'QUAN",2
00:57,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
00:57,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
00:57,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",2
00:57,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
00:57,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
00:57,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
00:47,"FOUL  by SPENCE,SAM",,,,,,,"FOUL  by SPENCE,SAM",2
00:47,,,,,"MISS FT by JAMES,JORDAN",,,"MISS FT by JAMES,JORDAN",2
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",2
00:47,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
00:47,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
00:38,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by FISCHER,DAVID",,,"REBOUND DEF by FISCHER,DAVID",2
00:29,,67,,85 (+18),"GOOD 3PTR by BAILEY,FRANKLIN",OUMBB 67-85 (-18),,"GOOD 3PTR by BAILEY,FRANKLIN",2
--,,,,,"ASSIST  by JAMES,JORDAN",,,"ASSIST  by JAMES,JORDAN",2
00:21,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
00:18,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",69,,85 (+16),,BSC 69-85 (-16),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
