Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
04:31,,,,,"STEAL  by JONES,JOSH",,,"STEAL  by JONES,JOSH",2
04:31,,,,,"SUB OUT by LACY,SAM",,,"SUB OUT by LACY,SAM",2
04:31,,,,,"SUB OUT by HANNAH,PRESTON",,,"SUB OUT by HANNAH,PRESTON",2
04:31,,,,,"SUB IN by HESTER,JACOB",,,"SUB IN by HESTER,JACOB",2
04:31,,,,,"SUB IN by POERSCHKE,KYLE",,,"SUB IN by POERSCHKE,KYLE",2
04:08,,,,,"TURNOVER  by SMITH,CHRIS",,,"TURNOVER  by SMITH,CHRIS",2
04:08,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",2
04:01,"MISS LAYUP by SIGLER,EVAN(in the paint)",,,,,,,"MISS LAYUP by SIGLER,EVAN(in the paint)",2
04:01,,,,,"BLOCK  by POERSCHKE,KYLE",,,"BLOCK  by POERSCHKE,KYLE",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
03:55,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",65,,70 (+5),,BSC 65-70 (-5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
03:35,,,,,"TURNOVER  by JONES,JOSH",,,"TURNOVER  by JONES,JOSH",2
03:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:06,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",2
03:01,"GOOD JUMPER by SIGLER,EVAN",65,,72 (+7),,BSC 65-72 (-7),,"GOOD JUMPER by SIGLER,EVAN",2
02:42,,67,,72 (+5),"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",SU 67-72 (-5),,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",2
02:34,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",2
02:34,,,,,"MISS FT by HESTER,JACOB",,,"MISS FT by HESTER,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:34,,68,,72 (+4),"GOOD FT by HESTER,JACOB",SU 68-72 (-4),,"GOOD FT by HESTER,JACOB",2
02:34,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
02:34,,,,,"SUB IN by HANNAH,PRESTON",,,"SUB IN by HANNAH,PRESTON",2
02:19,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by POERSCHKE,KYLE",,,"REBOUND DEF by POERSCHKE,KYLE",2
01:58,,71,,72 (+1),"GOOD 3PTR by HESTER,JACOB",SU 71-72 (-1),,"GOOD 3PTR by HESTER,JACOB",2
--,,,,,"ASSIST  by POERSCHKE,KYLE",,,"ASSIST  by POERSCHKE,KYLE",2
01:48,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",2
01:48,,,,,"STEAL  by JONES,JOSH",,,"STEAL  by JONES,JOSH",2
01:43,,73 (+1),,72,"GOOD LAYUP by POERSCHKE,KYLE(fastbreak)(in the paint)",SU 73-72 (+1),,"GOOD LAYUP by POERSCHKE,KYLE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HESTER,JACOB",,,"ASSIST  by HESTER,JACOB",2
01:35,,,,,"FOUL  by JONES,JOSH",,,"FOUL  by JONES,JOSH",2
01:35,"MISS FT by FITZGERALD,PAUL(fastbreak)",,,,,,,"MISS FT by FITZGERALD,PAUL(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:35,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
01:35,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
01:35,"GOOD FT by FITZGERALD,PAUL(fastbreak)",73,,73,,BSC 73-73 (0),,"GOOD FT by FITZGERALD,PAUL(fastbreak)",2
01:05,,,,,"TURNOVER  by POERSCHKE,KYLE",,,"TURNOVER  by POERSCHKE,KYLE",2
01:05,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",2
00:55,,,,,"FOUL  by LUECHTEFELD,BROCK",,,"FOUL  by LUECHTEFELD,BROCK",2
00:55,"GOOD FT by GILLISPIE,JAY",73,,74 (+1),,BSC 73-74 (-1),,"GOOD FT by GILLISPIE,JAY",2
00:55,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:53,,,,,"SUB OUT by LUECHTEFELD,BROCK",,,"SUB OUT by LUECHTEFELD,BROCK",2
00:53,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",2
00:43,,,,,"MISS LAYUP by POERSCHKE,KYLE(in the paint)",,,"MISS LAYUP by POERSCHKE,KYLE(in the paint)",2
00:43,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",2
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",2
00:17,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",73,,76 (+3),,BSC 73-76 (-3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
00:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:07,,76,,76,"GOOD 3PTR by HESTER,JACOB",SU 76-76 (0),,"GOOD 3PTR by HESTER,JACOB",2
00:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:05,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
00:05,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
00:05,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
00:05,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
00:05,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
00:05,,,,,"SUB IN by LACY,SAM",,,"SUB IN by LACY,SAM",2
00:02,"FOUL  by TOULIATOS,LUKE",,,,,,,"FOUL  by TOULIATOS,LUKE",2
00:02,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",2
00:02,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
00:02,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
00:02,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
00:02,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
00:00,,78 (+2),,76,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",SU 78-76 (+2),,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",2
--,,,,,"ASSIST  by JONES,JOSH",,,"ASSIST  by JONES,JOSH",2
