Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
07:46,,18,,24 (+6),"GOOD FT by STUCK,NICK",EU 18-24 (-6),,"GOOD FT by STUCK,NICK",1
07:46,,,,,"SUB OUT by MARTENS,CALE",,,"SUB OUT by MARTENS,CALE",1
07:46,,,,,"SUB IN by JOHNSON,MASON",,,"SUB IN by JOHNSON,MASON",1
07:26,"MISS JUMPER by GLOVER,CAMERON(in the paint)",,,,,,,"MISS JUMPER by GLOVER,CAMERON(in the paint)",1
--,,,,,"REBOUND DEF by JOHNSON,MASON",,,"REBOUND DEF by JOHNSON,MASON",1
07:13,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
07:13,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
07:01,,18,,26 (+8),"GOOD JUMPER by JOHNSON,MASON(in the paint)",EU 18-26 (-8),,"GOOD JUMPER by JOHNSON,MASON(in the paint)",1
07:01,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
07:01,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
07:01,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
07:01,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
07:01,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
07:01,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
06:43,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",20,,26 (+6),,BSC 20-26 (-6),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",1
06:34,,,,,"MISS 3PTR by JOHNSON,MASON",,,"MISS 3PTR by JOHNSON,MASON",1
--,,,,,"REBOUND OFF by FALLAS,ALBERT",,,"REBOUND OFF by FALLAS,ALBERT",1
06:19,,,,,"TURNOVER  by STUCK,NICK",,,"TURNOVER  by STUCK,NICK",1
06:19,"STEAL  by FITZGERALD,PAUL",,,,,,,"STEAL  by FITZGERALD,PAUL",1
06:08,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",22,,26 (+4),,BSC 22-26 (-4),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by TOULIATOS,LUKE",,,,,,,"ASSIST  by TOULIATOS,LUKE",1
05:50,,22,,29 (+7),"GOOD 3PTR by SCHNER,MATTHEW",EU 22-29 (-7),,"GOOD 3PTR by SCHNER,MATTHEW",1
--,,,,,"ASSIST  by JOHNSON,MASON",,,"ASSIST  by JOHNSON,MASON",1
05:38,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,,,,,"REBOUND DEF by STUCK,NICK",,,"REBOUND DEF by STUCK,NICK",1
05:30,"FOUL  by TOULIATOS,LUKE",,,,,,,"FOUL  by TOULIATOS,LUKE",1
05:30,,,,,"SUB OUT by BARBER,JAXSON",,,"SUB OUT by BARBER,JAXSON",1
