Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
16:16,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
16:16,,,,,"SUB IN by GRIFFIN,MICHAEL",,,"SUB IN by GRIFFIN,MICHAEL",2
16:16,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
16:16,,,,,"SUB OUT by HORNE,BRANDON",,,"SUB OUT by HORNE,BRANDON",2
15:45,"GOOD JUMPER by GUMP,MATT",48 (+13),,35,,CENTREM 48-35 (+13),,"GOOD JUMPER by GUMP,MATT",2
15:24,,48 (+11),,37,"GOOD JUMPER by KING,DAMION",TMC 48-37 (+11),,"GOOD JUMPER by KING,DAMION",2
15:00,"GOOD JUMPER by GUMP,MATT",50 (+13),,37,,CENTREM 50-37 (+13),,"GOOD JUMPER by GUMP,MATT",2
14:46,,,,,"MISS LAYUP by CLIFFORD,SIMON",,,"MISS LAYUP by CLIFFORD,SIMON",2
--,,,,,"REBOUND OFF by PAULY,SAWYER",,,"REBOUND OFF by PAULY,SAWYER",2
14:44,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
14:44,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
14:44,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
14:44,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:44,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
14:44,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
14:44,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
14:44,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
14:44,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:44,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",2
14:44,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",2
14:37,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
14:37,,50 (+12),,38,"GOOD FT by STONE,RALPH",TMC 50-38 (+12),,"GOOD FT by STONE,RALPH",2
14:37,,50 (+11),,39,"GOOD FT by STONE,RALPH",TMC 50-39 (+11),,"GOOD FT by STONE,RALPH",2
14:11,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",2
--,,,,,"REBOUND DEF by STONE,RALPH",,,"REBOUND DEF by STONE,RALPH",2
14:05,,,,,"MISS 3PTR by GRIFFIN,MICHAEL",,,"MISS 3PTR by GRIFFIN,MICHAEL",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
13:42,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
13:42,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
13:42,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
13:42,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
13:35,,50 (+8),,42,"GOOD 3PTR by KING,DAMION",TMC 50-42 (+8),,"GOOD 3PTR by KING,DAMION",2
13:14,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by STONE,RALPH",,,"REBOUND DEF by STONE,RALPH",2
12:55,,,,,"MISS LAYUP by STOCKWELL,JUNIOR",,,"MISS LAYUP by STOCKWELL,JUNIOR",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
12:44,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by STOCKWELL,JUNIOR",,,"REBOUND DEF by STOCKWELL,JUNIOR",2
12:34,,50 (+6),,44,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",TMC 50-44 (+6),,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",2
--,,,,,"ASSIST  by PAULY,SAWYER",,,"ASSIST  by PAULY,SAWYER",2
12:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:22,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
12:22,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
12:22,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
12:22,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
12:22,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
12:22,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
12:06,"GOOD 3PTR by GRUBER,SAM",53 (+9),,44,,CENTREM 53-44 (+9),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
11:48,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
11:48,,53 (+8),,45,"GOOD FT by STOCKWELL,JUNIOR",TMC 53-45 (+8),,"GOOD FT by STOCKWELL,JUNIOR",2
11:48,,53 (+7),,46,"GOOD FT by STOCKWELL,JUNIOR",TMC 53-46 (+7),,"GOOD FT by STOCKWELL,JUNIOR",2
11:48,,,,,"SUB IN by HORNE,BRANDON",,,"SUB IN by HORNE,BRANDON",2
11:48,,,,,"SUB OUT by GRIFFIN,MICHAEL",,,"SUB OUT by GRIFFIN,MICHAEL",2
11:26,,,,,"FOUL  by STONE,RALPH",,,"FOUL  by STONE,RALPH",2
11:26,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
11:26,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
11:23,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",2
11:03,,,,,"MISS JUMPER by STONE,RALPH",,,"MISS JUMPER by STONE,RALPH",2
--,,,,,"REBOUND OFF by STOCKWELL,JUNIOR",,,"REBOUND OFF by STOCKWELL,JUNIOR",2
10:57,,,,,"MISS LAYUP by STOCKWELL,JUNIOR",,,"MISS LAYUP by STOCKWELL,JUNIOR",2
--,,,,,"REBOUND OFF by STONE,RALPH",,,"REBOUND OFF by STONE,RALPH",2
10:49,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
10:49,,53 (+6),,47,"GOOD FT by STONE,RALPH",TMC 53-47 (+6),,"GOOD FT by STONE,RALPH",2
10:49,,53 (+5),,48,"GOOD FT by STONE,RALPH",TMC 53-48 (+5),,"GOOD FT by STONE,RALPH",2
10:49,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
10:49,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
10:49,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
10:49,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
10:49,,,,,"SUB IN by CLIFFORD,SIMON",,,"SUB IN by CLIFFORD,SIMON",2
10:49,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",2
10:37,"GOOD 3PTR by SINE,TUCKER",56 (+8),,48,,CENTREM 56-48 (+8),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
10:26,,,,,"MISS 3PTR by CALLAHAN,RYNE",,,"MISS 3PTR by CALLAHAN,RYNE",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
10:12,"GOOD JUMPER by GUMP,MATT",58 (+10),,48,,CENTREM 58-48 (+10),,"GOOD JUMPER by GUMP,MATT",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
10:04,,58 (+8),,50,"GOOD LAYUP by HORNE,BRANDON(in the paint)",TMC 58-50 (+8),,"GOOD LAYUP by HORNE,BRANDON(in the paint)",2
09:45,"GOOD 3PTR by GRIFFIN,JAROD",61 (+11),,50,,CENTREM 61-50 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
09:29,,61 (+8),,53,"GOOD 3PTR by CALLAHAN,RYNE",TMC 61-53 (+8),,"GOOD 3PTR by CALLAHAN,RYNE",2
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",2
08:55,"GOOD LAYUP by GUMP,MATT(in the paint)",63 (+10),,53,,CENTREM 63-53 (+10),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
08:55,,,,,"FOUL  by STONE,RALPH",,,"FOUL  by STONE,RALPH",2
08:55,"GOOD FT by GUMP,MATT",64 (+11),,53,,CENTREM 64-53 (+11),,"GOOD FT by GUMP,MATT",2
08:55,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
08:55,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
08:55,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
08:55,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
08:55,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
08:55,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
08:55,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
08:55,,,,,"SUB OUT by STONE,RALPH",,,"SUB OUT by STONE,RALPH",2
08:27,,64 (+9),,55,"GOOD JUMPER by CLIFFORD,SIMON",TMC 64-55 (+9),,"GOOD JUMPER by CLIFFORD,SIMON",2
08:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:11,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
08:11,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",2
08:03,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
07:52,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
07:52,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
07:52,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
07:43,,,,,"FOUL  by KING,DAMION",,,"FOUL  by KING,DAMION",2
07:43,,,,,"TURNOVER  by KING,DAMION",,,"TURNOVER  by KING,DAMION",2
07:29,"GOOD JUMPER by RAKES,BAILEY",66 (+11),,55,,CENTREM 66-55 (+11),,"GOOD JUMPER by RAKES,BAILEY",2
07:21,,66 (+9),,57,"GOOD LAYUP by WILLIAMS,DANIEL(in the paint)",TMC 66-57 (+9),,"GOOD LAYUP by WILLIAMS,DANIEL(in the paint)",2
06:51,"GOOD 3PTR by AYERS,PERRY",69 (+12),,57,,CENTREM 69-57 (+12),,"GOOD 3PTR by AYERS,PERRY",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
06:32,,69 (+10),,59,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 69-59 (+10),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,DANIEL",,,"ASSIST  by WILLIAMS,DANIEL",2
06:32,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
06:32,,,,,"MISS FT by CLIFFORD,SIMON",,,"MISS FT by CLIFFORD,SIMON",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
06:32,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
06:32,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
06:32,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
06:32,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
06:32,,,,,"SUB IN by GRIFFIN,MICHAEL",,,"SUB IN by GRIFFIN,MICHAEL",2
06:32,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
06:15,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
06:12,,,,,"STEAL  by GRIFFIN,MICHAEL",,,"STEAL  by GRIFFIN,MICHAEL",2
06:02,,69 (+8),,61,"GOOD JUMPER by CLIFFORD,SIMON(in the paint)",TMC 69-61 (+8),,"GOOD JUMPER by CLIFFORD,SIMON(in the paint)",2
05:32,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
05:32,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
05:32,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
05:17,"GOOD LAYUP by AYERS,PERRY(in the paint)",71 (+10),,61,,CENTREM 71-61 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
05:04,,71 (+8),,63,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 71-63 (+8),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",2
05:04,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
05:04,,71 (+7),,64,"GOOD FT by CLIFFORD,SIMON",TMC 71-64 (+7),,"GOOD FT by CLIFFORD,SIMON",2
04:49,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
04:45,,,,,"STEAL  by GRIFFIN,MICHAEL",,,"STEAL  by GRIFFIN,MICHAEL",2
04:44,,71 (+5),,66,"GOOD LAYUP by PAULY,SAWYER(fastbreak)(in the paint)",TMC 71-66 (+5),,"GOOD LAYUP by PAULY,SAWYER(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",2
04:44,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
04:44,,71 (+4),,67,"GOOD FT by PAULY,SAWYER",TMC 71-67 (+4),,"GOOD FT by PAULY,SAWYER",2
04:44,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
04:44,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
04:26,,,,,"FOUL  by GRIFFIN,MICHAEL",,,"FOUL  by GRIFFIN,MICHAEL",2
04:08,"GOOD 3PTR by SINE,TUCKER",74 (+7),,67,,CENTREM 74-67 (+7),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
04:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:40,,,,,"MISS 3PTR by KING,DAMION",,,"MISS 3PTR by KING,DAMION",2
--,,,,,"REBOUND OFF by CLIFFORD,SIMON",,,"REBOUND OFF by CLIFFORD,SIMON",2
03:35,,,,,"MISS LAYUP by CLIFFORD,SIMON",,,"MISS LAYUP by CLIFFORD,SIMON",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
03:10,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
02:49,,,,,"FOUL  by GRIFFIN,MICHAEL",,,"FOUL  by GRIFFIN,MICHAEL",2
02:49,"GOOD FT by GUMP,MATT",75 (+8),,67,,CENTREM 75-67 (+8),,"GOOD FT by GUMP,MATT",2
02:49,"GOOD FT by GUMP,MATT",76 (+9),,67,,CENTREM 76-67 (+9),,"GOOD FT by GUMP,MATT",2
02:28,,76 (+7),,69,"GOOD JUMPER by HORNE,BRANDON",TMC 76-69 (+7),,"GOOD JUMPER by HORNE,BRANDON",2
02:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:28,,,,,"FOUL  by STONE,RALPH",,,"FOUL  by STONE,RALPH",2
02:28,"GOOD FT by SINE,TUCKER",77 (+8),,69,,CENTREM 77-69 (+8),,"GOOD FT by SINE,TUCKER",2
02:28,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",2
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",2
02:28,,,,,"SUB IN by CLIFFORD,SIMON",,,"SUB IN by CLIFFORD,SIMON",2
02:28,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
02:28,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",2
02:28,,,,,"SUB IN by STONE,RALPH",,,"SUB IN by STONE,RALPH",2
02:28,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",2
02:28,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
02:28,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",2
02:28,,,,,"SUB OUT by GRIFFIN,MICHAEL",,,"SUB OUT by GRIFFIN,MICHAEL",2
02:13,,77 (+6),,71,"GOOD JUMPER by CALLAHAN,RYNE",TMC 77-71 (+6),,"GOOD JUMPER by CALLAHAN,RYNE",2
02:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:41,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",2
01:25,,,,,"MISS JUMPER by PAULY,SAWYER",,,"MISS JUMPER by PAULY,SAWYER",2
--,,,,,"REBOUND OFF by HORNE,BRANDON",,,"REBOUND OFF by HORNE,BRANDON",2
01:20,,,,,"MISS LAYUP by HORNE,BRANDON",,,"MISS LAYUP by HORNE,BRANDON",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
01:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:16,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
01:16,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
01:16,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
01:16,,,,,"SUB IN by HALL,JACOB",,,"SUB IN by HALL,JACOB",2
01:16,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",2
01:16,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",2
00:53,,,,,"FOUL  by HORNE,BRANDON",,,"FOUL  by HORNE,BRANDON",2
00:53,"GOOD FT by GUMP,MATT",78 (+7),,71,,CENTREM 78-71 (+7),,"GOOD FT by GUMP,MATT",2
00:53,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,,,,,"REBOUND DEF by CLIFFORD,SIMON",,,"REBOUND DEF by CLIFFORD,SIMON",2
00:43,,,,,"MISS 3PTR by YOUNG,AUSTIN",,,"MISS 3PTR by YOUNG,AUSTIN",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
00:38,,,,,"FOUL  by WILLIAMS,DANIEL",,,"FOUL  by WILLIAMS,DANIEL",2
00:38,"GOOD FT by SINE,TUCKER",79 (+8),,71,,CENTREM 79-71 (+8),,"GOOD FT by SINE,TUCKER",2
00:38,"GOOD FT by SINE,TUCKER",80 (+9),,71,,CENTREM 80-71 (+9),,"GOOD FT by SINE,TUCKER",2
00:32,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,,,,,"REBOUND OFF by CALLAHAN,RYNE",,,"REBOUND OFF by CALLAHAN,RYNE",2
00:27,,,,,"MISS LAYUP by CALLAHAN,RYNE",,,"MISS LAYUP by CALLAHAN,RYNE",2
--,,,,,"REBOUND OFF by CLIFFORD,SIMON",,,"REBOUND OFF by CLIFFORD,SIMON",2
00:26,,80 (+7),,73,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 80-73 (+7),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",2
00:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:23,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
00:23,"GOOD FT by RAKES,BAILEY",81 (+8),,73,,CENTREM 81-73 (+8),,"GOOD FT by RAKES,BAILEY",2
00:23,"GOOD FT by RAKES,BAILEY",82 (+9),,73,,CENTREM 82-73 (+9),,"GOOD FT by RAKES,BAILEY",2
00:23,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
00:23,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
00:20,,,,,"MISS LAYUP by KING,DAMION",,,"MISS LAYUP by KING,DAMION",2
--,,,,,"REBOUND OFF by KING,DAMION",,,"REBOUND OFF by KING,DAMION",2
00:16,,,,,"MISS LAYUP by KING,DAMION",,,"MISS LAYUP by KING,DAMION",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
