Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
08:28,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
08:28,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
08:28,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:28,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
08:28,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
08:28,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
08:28,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
08:28,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
08:28,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
08:28,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
08:28,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
08:28,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
08:10,,,,,"MISS LAYUP by MOORE,KADEN",,,"MISS LAYUP by MOORE,KADEN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:58,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
07:58,,,,,"BLOCK  by MOORE,KADEN",,,"BLOCK  by MOORE,KADEN",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
07:49,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
07:34,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
07:19,,35 (+10),,25,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 35-25 (+10),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
06:59,"GOOD JUMPER by SINE,TUCKER",37 (+12),,25,,CENTRE-M 37-25 (+12),,"GOOD JUMPER by SINE,TUCKER",1
06:28,,37 (+10),,27,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 37-27 (+10),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
06:13,"GOOD JUMPER by GRIFFIN,JAROD",39 (+12),,27,,CENTRE-M 39-27 (+12),,"GOOD JUMPER by GRIFFIN,JAROD",1
05:58,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
05:51,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
05:30,,39 (+10),,29,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 39-29 (+10),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
