Time Remaining,FCMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
15:35,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:35,"MISS JUMPER by MCCORY,BRETT",,,,,,,"MISS JUMPER by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
15:35,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:35,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
15:35,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
15:35,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
15:28,"FOUL  by OAKLEY,BLAKE",,,,,,,"FOUL  by OAKLEY,BLAKE",2
15:28,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
15:28,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
15:12,,41,,45 (+4),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 41-45 (+4),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
14:59,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
14:59,"GOOD FT by MCCORY,BRETT",42,,45 (+3),,FCMBB 42-45 (+3),,"GOOD FT by MCCORY,BRETT",2
14:59,"GOOD FT by MCCORY,BRETT",43,,45 (+2),,FCMBB 43-45 (+2),,"GOOD FT by MCCORY,BRETT",2
14:59,"SUB IN by MORRIS,KALE",,,,,,,"SUB IN by MORRIS,KALE",2
14:59,"SUB OUT by OAKLEY,BLAKE",,,,,,,"SUB OUT by OAKLEY,BLAKE",2
14:38,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
14:32,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
14:32,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
14:32,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
14:32,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
14:09,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
14:09,"MISS FT by MCCORY,BRETT",,,,,,,"MISS FT by MCCORY,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:09,"MISS FT by MCCORY,BRETT",,,,,,,"MISS FT by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
14:09,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
14:09,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
14:04,"FOUL  by MEYER,KYLE",,,,,,,"FOUL  by MEYER,KYLE",2
13:44,,43,,47 (+4),"GOOD JUMPER by GRUBER,SAM",CENTRE-M 43-47 (+4),,"GOOD JUMPER by GRUBER,SAM",2
13:29,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:26,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
13:26,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
13:10,"MISS JUMPER by MEYER,KYLE",,,,,,,"MISS JUMPER by MEYER,KYLE",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
12:53,,43,,49 (+6),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 43-49 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
12:40,"TURNOVER  by MEYER,KYLE",,,,,,,"TURNOVER  by MEYER,KYLE",2
12:40,"FOUL  by MEYER,KYLE",,,,,,,"FOUL  by MEYER,KYLE",2
12:40,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",2
12:40,"SUB OUT by MEYER,KYLE",,,,,,,"SUB OUT by MEYER,KYLE",2
12:28,,43,,51 (+8),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 43-51 (+8),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
12:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:16,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
12:16,"GOOD FT by BEINEKE,JOHN",44,,51 (+7),,FCMBB 44-51 (+7),,"GOOD FT by BEINEKE,JOHN",2
12:16,"GOOD FT by BEINEKE,JOHN",45,,51 (+6),,FCMBB 45-51 (+6),,"GOOD FT by BEINEKE,JOHN",2
12:16,"SUB IN by OAKLEY,BLAKE",,,,,,,"SUB IN by OAKLEY,BLAKE",2
12:16,"SUB OUT by MORRIS,KALE",,,,,,,"SUB OUT by MORRIS,KALE",2
12:16,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
12:16,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
12:03,,45,,53 (+8),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 45-53 (+8),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
11:48,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",2
--,"REBOUND OFF by BEINEKE,JOHN",,,,,,,"REBOUND OFF by BEINEKE,JOHN",2
11:45,"MISS 3PTR by MCCORY,BRETT",,,,,,,"MISS 3PTR by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
11:40,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
11:40,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:29,,45,,55 (+10),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 45-55 (+10),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
11:16,"MISS JUMPER by PRATHER,ROBBIE",,,,,,,"MISS JUMPER by PRATHER,ROBBIE",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
10:59,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",2
10:59,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",2
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",2
10:59,"SUB IN by MORRIS,KALE",,,,,,,"SUB IN by MORRIS,KALE",2
10:59,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",2
10:55,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",2
10:55,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
10:55,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
10:55,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
10:55,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
10:49,"GOOD JUMPER by MANN,AARON(in the paint)",47,,55 (+8),,FCMBB 47-55 (+8),,"GOOD JUMPER by MANN,AARON(in the paint)",2
10:23,,47,,57 (+10),"GOOD JUMPER by GUMP,MATT",CENTRE-M 47-57 (+10),,"GOOD JUMPER by GUMP,MATT",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
09:57,"MISS JUMPER by MCCORY,BRETT",,,,,,,"MISS JUMPER by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
09:29,"FOUL  by MANN,AARON",,,,,,,"FOUL  by MANN,AARON",2
09:29,,47,,58 (+11),"GOOD FT by SINE,TUCKER",CENTRE-M 47-58 (+11),,"GOOD FT by SINE,TUCKER",2
09:29,,47,,59 (+12),"GOOD FT by SINE,TUCKER",CENTRE-M 47-59 (+12),,"GOOD FT by SINE,TUCKER",2
09:29,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
09:29,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
09:29,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
09:29,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
09:20,"GOOD JUMPER by PRATHER,ROBBIE",49,,59 (+10),,FCMBB 49-59 (+10),,"GOOD JUMPER by PRATHER,ROBBIE",2
08:51,,49,,62 (+13),"GOOD 3PTR by WALKER,ART",CENTRE-M 49-62 (+13),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
08:37,"TURNOVER  by MANN,AARON",,,,,,,"TURNOVER  by MANN,AARON",2
08:25,,49,,65 (+16),"GOOD 3PTR by WALKER,ART",CENTRE-M 49-65 (+16),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
08:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:59,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",51,,65 (+14),,FCMBB 51-65 (+14),,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",2
07:46,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",2
07:46,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
07:46,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
07:46,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
07:32,"MISS LAYUP by MCCORY,BRETT",,,,,,,"MISS LAYUP by MCCORY,BRETT",2
--,"REBOUND OFF by MCCORY,BRETT",,,,,,,"REBOUND OFF by MCCORY,BRETT",2
07:29,"GOOD LAYUP by MCCORY,BRETT(in the paint)",53,,65 (+12),,FCMBB 53-65 (+12),,"GOOD LAYUP by MCCORY,BRETT(in the paint)",2
07:10,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
06:56,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
06:56,"GOOD FT by PRATHER,ROBBIE",54,,65 (+11),,FCMBB 54-65 (+11),,"GOOD FT by PRATHER,ROBBIE",2
06:56,"GOOD FT by PRATHER,ROBBIE",55,,65 (+10),,FCMBB 55-65 (+10),,"GOOD FT by PRATHER,ROBBIE",2
06:56,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
06:56,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
06:34,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND DEF by MORRIS,KALE",,,,,,,"REBOUND DEF by MORRIS,KALE",2
06:23,"TURNOVER  by PRATHER,ROBBIE",,,,,,,"TURNOVER  by PRATHER,ROBBIE",2
06:07,,55,,68 (+13),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 55-68 (+13),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
06:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:52,"MISS LAYUP by MCCORY,BRETT",,,,,,,"MISS LAYUP by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
05:28,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
05:20,"MISS LAYUP by OAKLEY,BLAKE",,,,,,,"MISS LAYUP by OAKLEY,BLAKE",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
04:53,,55,,70 (+15),"GOOD JUMPER by GUMP,MATT",CENTRE-M 55-70 (+15),,"GOOD JUMPER by GUMP,MATT",2
04:33,"GOOD JUMPER by OAKLEY,BLAKE(in the paint)",57,,70 (+13),,FCMBB 57-70 (+13),,"GOOD JUMPER by OAKLEY,BLAKE(in the paint)",2
04:03,"FOUL  by MORRIS,KALE",,,,,,,"FOUL  by MORRIS,KALE",2
04:03,,57,,71 (+14),"GOOD FT by BATES,JACOB",CENTRE-M 57-71 (+14),,"GOOD FT by BATES,JACOB",2
04:03,,57,,72 (+15),"GOOD FT by BATES,JACOB",CENTRE-M 57-72 (+15),,"GOOD FT by BATES,JACOB",2
04:03,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
04:03,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
03:53,"GOOD JUMPER by PRATHER,ROBBIE",59,,72 (+13),,FCMBB 59-72 (+13),,"GOOD JUMPER by PRATHER,ROBBIE",2
03:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:51,"SUB IN by DAY,BRAXTON",,,,,,,"SUB IN by DAY,BRAXTON",2
03:51,"SUB OUT by MCCORY,BRETT",,,,,,,"SUB OUT by MCCORY,BRETT",2
03:23,,59,,74 (+15),"GOOD JUMPER by SINE,TUCKER",CENTRE-M 59-74 (+15),,"GOOD JUMPER by SINE,TUCKER",2
03:03,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
03:03,"GOOD FT by OAKLEY,BLAKE",60,,74 (+14),,FCMBB 60-74 (+14),,"GOOD FT by OAKLEY,BLAKE",2
03:03,"GOOD FT by OAKLEY,BLAKE",61,,74 (+13),,FCMBB 61-74 (+13),,"GOOD FT by OAKLEY,BLAKE",2
02:39,"FOUL  by OAKLEY,BLAKE",,,,,,,"FOUL  by OAKLEY,BLAKE",2
02:39,,,,,"MISS FT by SINE,TUCKER",,,"MISS FT by SINE,TUCKER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:39,,61,,75 (+14),"GOOD FT by SINE,TUCKER",CENTRE-M 61-75 (+14),,"GOOD FT by SINE,TUCKER",2
02:35,"GOOD LAYUP by OAKLEY,BLAKE(in the paint)",63,,75 (+12),,FCMBB 63-75 (+12),,"GOOD LAYUP by OAKLEY,BLAKE(in the paint)",2
02:02,,63,,77 (+14),"GOOD JUMPER by SINE,TUCKER",CENTRE-M 63-77 (+14),,"GOOD JUMPER by SINE,TUCKER",2
01:53,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
01:53,"GOOD FT by DAY,BRAXTON",64,,77 (+13),,FCMBB 64-77 (+13),,"GOOD FT by DAY,BRAXTON",2
01:53,"GOOD FT by DAY,BRAXTON",65,,77 (+12),,FCMBB 65-77 (+12),,"GOOD FT by DAY,BRAXTON",2
01:50,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
01:50,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:50,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",2
01:42,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",2
01:42,,,,,"BLOCK  by AYERS,PERRY",,,"BLOCK  by AYERS,PERRY",2
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",2
01:37,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",2
--,"REBOUND OFF by DAY,BRAXTON",,,,,,,"REBOUND OFF by DAY,BRAXTON",2
01:32,"GOOD LAYUP by DAY,BRAXTON(in the paint)",67,,77 (+10),,FCMBB 67-77 (+10),,"GOOD LAYUP by DAY,BRAXTON(in the paint)",2
01:07,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
01:01,"GOOD 3PTR by PRATHER,ROBBIE",70,,77 (+7),,FCMBB 70-77 (+7),,"GOOD 3PTR by PRATHER,ROBBIE",2
--,"ASSIST  by OAKLEY,BLAKE",,,,,,,"ASSIST  by OAKLEY,BLAKE",2
00:48,"FOUL  by DAY,BRAXTON",,,,,,,"FOUL  by DAY,BRAXTON",2
00:48,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:48,,70,,78 (+8),"GOOD FT by GRIFFIN,JAROD",CENTRE-M 70-78 (+8),,"GOOD FT by GRIFFIN,JAROD",2
00:48,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
00:48,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:43,"GOOD 3PTR by MORRIS,KALE",73,,78 (+5),,FCMBB 73-78 (+5),,"GOOD 3PTR by MORRIS,KALE",2
--,"ASSIST  by OAKLEY,BLAKE",,,,,,,"ASSIST  by OAKLEY,BLAKE",2
00:39,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
00:39,,73,,79 (+6),"GOOD FT by GRUBER,SAM",CENTRE-M 73-79 (+6),,"GOOD FT by GRUBER,SAM",2
00:39,,73,,80 (+7),"GOOD FT by GRUBER,SAM",CENTRE-M 73-80 (+7),,"GOOD FT by GRUBER,SAM",2
00:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:34,"MISS 3PTR by PRATHER,ROBBIE",,,,,,,"MISS 3PTR by PRATHER,ROBBIE",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
00:28,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
00:28,,73,,81 (+8),"GOOD FT by SINE,TUCKER",CENTRE-M 73-81 (+8),,"GOOD FT by SINE,TUCKER",2
00:28,,73,,82 (+9),"GOOD FT by SINE,TUCKER",CENTRE-M 73-82 (+9),,"GOOD FT by SINE,TUCKER",2
00:28,"SUB IN by BOLES,TREY",,,,,,,"SUB IN by BOLES,TREY",2
00:28,"SUB OUT by PRATHER,ROBBIE",,,,,,,"SUB OUT by PRATHER,ROBBIE",2
00:23,"GOOD 3PTR by DAY,BRAXTON",76,,82 (+6),,FCMBB 76-82 (+6),,"GOOD 3PTR by DAY,BRAXTON",2
--,"ASSIST  by OAKLEY,BLAKE",,,,,,,"ASSIST  by OAKLEY,BLAKE",2
00:20,"FOUL  by OAKLEY,BLAKE",,,,,,,"FOUL  by OAKLEY,BLAKE",2
00:20,,76,,83 (+7),"GOOD FT by GRUBER,SAM",CENTRE-M 76-83 (+7),,"GOOD FT by GRUBER,SAM",2
00:20,,76,,84 (+8),"GOOD FT by GRUBER,SAM",CENTRE-M 76-84 (+8),,"GOOD FT by GRUBER,SAM",2
00:15,"GOOD LAYUP by OAKLEY,BLAKE(in the paint)",78,,84 (+6),,FCMBB 78-84 (+6),,"GOOD LAYUP by OAKLEY,BLAKE(in the paint)",2
