Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
00:21,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
00:21,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:21,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",1
00:21,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
00:03,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
00:03,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:03,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
00:03,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
00:03,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:03,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
00:03,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",1
00:01,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
20:00,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
19:41,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
19:38,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",2
19:37,"GOOD LAYUP by BATES,JACOB(in the paint)",34,,36 (+2),,CENTRE-M 34-36 (-2),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
19:34,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",2
19:25,"GOOD FT by BATES,JACOB",35,,36 (+1),,CENTRE-M 35-36 (-1),,"GOOD FT by BATES,JACOB",2
19:19,,35,,38 (+3),"GOOD JUMPER by SONGSTER,CALVIN",MVCM 35-38 (-3),,"GOOD JUMPER by SONGSTER,CALVIN",2
--,,,,,"ASSIST  by GARCIA,EMANUELLE",,,"ASSIST  by GARCIA,EMANUELLE",2
18:58,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",2
18:43,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",2
18:43,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
18:43,,,,,"FOUL  by GARCIA,EMANUELLE",,,"FOUL  by GARCIA,EMANUELLE",2
18:43,"GOOD FT by SINE,TUCKER",36,,38 (+2),,CENTRE-M 36-38 (-2),,"GOOD FT by SINE,TUCKER",2
18:43,"GOOD FT by SINE,TUCKER",37,,38 (+1),,CENTRE-M 37-38 (-1),,"GOOD FT by SINE,TUCKER",2
18:28,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
18:16,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",2
18:16,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
18:05,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by GARCIA,EMANUELLE",,,"REBOUND DEF by GARCIA,EMANUELLE",2
17:55,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
17:32,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",2
17:16,,,,,"MISS LAYUP by GARCIA,EMANUELLE",,,"MISS LAYUP by GARCIA,EMANUELLE",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
17:08,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
17:08,,,,,"BLOCK  by NOKES,COLT",,,"BLOCK  by NOKES,COLT",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
17:05,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",2
16:53,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",2
16:53,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
16:53,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
16:53,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
16:53,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
16:53,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
16:53,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
16:53,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",2
16:53,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",2
16:46,"GOOD 3PTR by GRUBER,SAM",40 (+2),,38,,CENTRE-M 40-38 (+2),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
16:31,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
16:22,,,,,"FOUL  by BROOKS,JOSHUA",,,"FOUL  by BROOKS,JOSHUA",2
16:22,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:22,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,,,,,"REBOUND DEF by SPICER,TYLER",,,"REBOUND DEF by SPICER,TYLER",2
16:22,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",2
16:22,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",2
16:22,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",2
16:22,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",2
16:21,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
16:21,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
16:21,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
16:02,,,,,"MISS JUMPER by SONGSTER,CALVIN",,,"MISS JUMPER by SONGSTER,CALVIN",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
15:34,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
15:22,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
15:22,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:22,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
15:22,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
15:22,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
15:22,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
15:22,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",2
15:22,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",2
15:22,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",2
15:22,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",2
15:18,,,,,"MISS 3PTR by ESTES,KALEB",,,"MISS 3PTR by ESTES,KALEB",2
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",2
15:12,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
15:12,,40 (+1),,39,"GOOD FT by WATSON,CHRIS",MVCM 40-39 (+1),,"GOOD FT by WATSON,CHRIS",2
15:12,,40,,40,"GOOD FT by WATSON,CHRIS",MVCM 40-40 (0),,"GOOD FT by WATSON,CHRIS",2
14:43,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
14:32,,40,,42 (+2),"GOOD JUMPER by WATSON,CHRIS(in the paint)",MVCM 40-42 (-2),,"GOOD JUMPER by WATSON,CHRIS(in the paint)",2
--,,,,,"ASSIST  by BROOKS,JOSHUA",,,"ASSIST  by BROOKS,JOSHUA",2
14:09,,,,,"FOUL  by WATSON,CHRIS",,,"FOUL  by WATSON,CHRIS",2
14:09,"GOOD FT by SCHMUCKER,ZACH",41,,42 (+1),,CENTRE-M 41-42 (-1),,"GOOD FT by SCHMUCKER,ZACH",2
14:09,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",2
14:09,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:09,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
13:56,,,,,"MISS LAYUP by BROOKS,JOSHUA",,,"MISS LAYUP by BROOKS,JOSHUA",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
13:38,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
13:38,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
13:38,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
13:27,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
13:27,,,,,"MISS FT by BOWMAN,EMIER",,,"MISS FT by BOWMAN,EMIER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:27,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",2
13:27,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",2
13:23,,,,,"TURNOVER  by WATSON,CHRIS",,,"TURNOVER  by WATSON,CHRIS",2
13:03,"GOOD LAYUP by BATES,JACOB(in the paint)",43 (+1),,42,,CENTRE-M 43-42 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
12:55,,43,,44 (+1),"GOOD LAYUP by WATSON,CHRIS(in the paint)",MVCM 43-44 (-1),,"GOOD LAYUP by WATSON,CHRIS(in the paint)",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
12:52,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
12:52,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
12:52,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",2
12:52,,,,,"SUB OUT by ESTES,KALEB",,,"SUB OUT by ESTES,KALEB",2
12:43,"GOOD 3PTR by RAKES,BAILEY",46 (+2),,44,,CENTRE-M 46-44 (+2),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
12:27,,46,,46,"GOOD JUMPER by BOWMAN,EMIER",MVCM 46-46 (0),,"GOOD JUMPER by BOWMAN,EMIER",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
12:10,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
12:00,,46,,49 (+3),"GOOD 3PTR by BOWMAN,EMIER",MVCM 46-49 (-3),,"GOOD 3PTR by BOWMAN,EMIER",2
--,,,,,"ASSIST  by HOPPA,DANTE",,,"ASSIST  by HOPPA,DANTE",2
11:40,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
11:18,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",2
11:16,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
11:13,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
11:13,,,,,"BLOCK  by BOWMAN,EMIER",,,"BLOCK  by BOWMAN,EMIER",2
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",2
11:07,,46,,51 (+5),"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",MVCM 46-51 (-5),,"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
10:49,"GOOD JUMPER by SINE,TUCKER",48,,51 (+3),,CENTRE-M 48-51 (-3),,"GOOD JUMPER by SINE,TUCKER",2
10:31,,48,,54 (+6),"GOOD 3PTR by BOWYER,JAY",MVCM 48-54 (-6),,"GOOD 3PTR by BOWYER,JAY",2
--,,,,,"ASSIST  by HOPPA,DANTE",,,"ASSIST  by HOPPA,DANTE",2
10:03,"GOOD 3PTR by RAKES,BAILEY",51,,54 (+3),,CENTRE-M 51-54 (-3),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
09:53,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
09:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
09:50,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
09:50,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
09:50,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
09:50,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
09:50,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
09:50,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
09:50,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
09:50,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
09:50,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
09:50,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
09:50,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",2
09:50,,,,,"SUB IN by SPICER,TYLER",,,"SUB IN by SPICER,TYLER",2
09:50,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",2
09:50,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",2
09:49,,,,,"MISS 3PTR by HOPPA,DANTE",,,"MISS 3PTR by HOPPA,DANTE",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
09:47,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",2
09:18,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by BOWYER,JAY",,,"REBOUND DEF by BOWYER,JAY",2
09:11,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
09:11,,,,,"MISS FT by SONGSTER,CALVIN",,,"MISS FT by SONGSTER,CALVIN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
09:11,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
09:11,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
09:11,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",2
09:11,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",2
08:45,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",2
08:42,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
08:40,,,,,"STEAL  by SPICER,TYLER",,,"STEAL  by SPICER,TYLER",2
08:33,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
08:12,"GOOD JUMPER by AYERS,PERRY(in the paint)",53,,54 (+1),,CENTRE-M 53-54 (-1),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
08:06,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",2
--,,,,,"REBOUND OFF by SONGSTER,CALVIN",,,"REBOUND OFF by SONGSTER,CALVIN",2
08:00,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
07:51,"GOOD JUMPER by AYERS,PERRY(fastbreak)",55 (+1),,54,,CENTRE-M 55-54 (+1),,"GOOD JUMPER by AYERS,PERRY(fastbreak)",2
07:34,,,,,"MISS LAYUP by BOWYER,JAY",,,"MISS LAYUP by BOWYER,JAY",2
07:34,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:34,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:34,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
07:34,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
07:34,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",2
07:34,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",2
07:28,,,,,"MISS JUMPER by BOWYER,JAY",,,"MISS JUMPER by BOWYER,JAY",2
--,,,,,"REBOUND OFF by BOWYER,JAY",,,"REBOUND OFF by BOWYER,JAY",2
07:26,,,,,"MISS JUMPER by BOWYER,JAY",,,"MISS JUMPER by BOWYER,JAY",2
--,,,,,"REBOUND OFF by SONGSTER,CALVIN",,,"REBOUND OFF by SONGSTER,CALVIN",2
07:22,,55,,57 (+2),"GOOD 3PTR by GARCIA,EMANUELLE",MVCM 55-57 (-2),,"GOOD 3PTR by GARCIA,EMANUELLE",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
07:12,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by GARCIA,EMANUELLE",,,"REBOUND DEF by GARCIA,EMANUELLE",2
07:06,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
06:43,"TURNOVER  by GRUBER,SAM",,,,,,,"TURNOVER  by GRUBER,SAM",2
06:41,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",2
06:31,,55,,60 (+5),"GOOD 3PTR by SPICER,TYLER",MVCM 55-60 (-5),,"GOOD 3PTR by SPICER,TYLER",2
--,,,,,"ASSIST  by GARCIA,EMANUELLE",,,"ASSIST  by GARCIA,EMANUELLE",2
06:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
06:15,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
06:15,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
06:15,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
06:15,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
06:15,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:15,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
06:15,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",2
06:15,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",2
05:54,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
05:54,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
05:54,,,,,"STEAL  by BROOKS,JOSHUA",,,"STEAL  by BROOKS,JOSHUA",2
05:54,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
05:54,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
05:39,,,,,"MISS LAYUP by SONGSTER,CALVIN",,,"MISS LAYUP by SONGSTER,CALVIN",2
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",2
05:30,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
05:09,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",2
05:08,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
05:08,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
05:03,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
05:03,,,,,"BLOCK  by GARCIA,EMANUELLE",,,"BLOCK  by GARCIA,EMANUELLE",2
--,,,,,"REBOUND DEF by SPICER,TYLER",,,"REBOUND DEF by SPICER,TYLER",2
04:55,,,,,"TURNOVER  by BROOKS,JOSHUA",,,"TURNOVER  by BROOKS,JOSHUA",2
04:54,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
04:49,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",57,,60 (+3),,CENTRE-M 57-60 (-3),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",2
04:35,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
04:28,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
04:27,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",2
04:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:18,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
04:18,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
04:18,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
04:18,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
04:18,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",2
04:18,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",2
04:02,,57,,62 (+5),"GOOD JUMPER by BOWYER,JAY(in the paint)",MVCM 57-62 (-5),,"GOOD JUMPER by BOWYER,JAY(in the paint)",2
04:02,,,,,"FOUL  by BOWYER,JAY",,,"FOUL  by BOWYER,JAY",2
04:02,,57,,63 (+6),"GOOD FT by BOWYER,JAY",MVCM 57-63 (-6),,"GOOD FT by BOWYER,JAY",2
03:48,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",2
03:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:40,"GOOD FT by AYERS,PERRY",58,,63 (+5),,CENTRE-M 58-63 (-5),,"GOOD FT by AYERS,PERRY",2
03:40,"GOOD FT by AYERS,PERRY",59,,63 (+4),,CENTRE-M 59-63 (-4),,"GOOD FT by AYERS,PERRY",2
03:29,,59,,66 (+7),"GOOD 3PTR by SPICER,TYLER",MVCM 59-66 (-7),,"GOOD 3PTR by SPICER,TYLER",2
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",2
03:10,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",61,,66 (+5),,CENTRE-M 61-66 (-5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
02:50,,61,,69 (+8),"GOOD 3PTR by SONGSTER,CALVIN",MVCM 61-69 (-8),,"GOOD 3PTR by SONGSTER,CALVIN",2
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",2
02:35,"GOOD 3PTR by SINE,TUCKER",64,,69 (+5),,CENTRE-M 64-69 (-5),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
02:18,,,,,"MISS LAYUP by BOWYER,JAY",,,"MISS LAYUP by BOWYER,JAY",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
02:14,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by BOWYER,JAY",,,"REBOUND DEF by BOWYER,JAY",2
