Time Remaining,SUMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",2
13:32,"MISS 3PTR by RAINEY,WILL",,,,,,,"MISS 3PTR by RAINEY,WILL",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
13:28,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
13:26,"STEAL  by ELLIS,DOMINIQUE",,,,,,,"STEAL  by ELLIS,DOMINIQUE",2
13:08,"GOOD 3PTR by RAINEY,WILL",52 (+24),,28,,SUMB 52-28 (-24),,"GOOD 3PTR by RAINEY,WILL",2
--,"ASSIST  by TRISKO,NICK",,,,,,,"ASSIST  by TRISKO,NICK",2
12:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:59,"SUB IN by ABRAMS,JAMES",,,,,,,"SUB IN by ABRAMS,JAMES",2
12:59,"SUB OUT by TRISKO,NICK",,,,,,,"SUB OUT by TRISKO,NICK",2
12:59,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
12:59,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
12:50,,52 (+22),,30,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 52-30 (-22),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",2
12:50,"FOUL  by KENNEDY,DEMARCUS",,,,,,,"FOUL  by KENNEDY,DEMARCUS",2
12:50,,,,,"MISS FT by SCHMUCKER,ZACH",,,"MISS FT by SCHMUCKER,ZACH",2
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",2
12:42,"FOUL  by MUMPHREY,OWEN",,,,,,,"FOUL  by MUMPHREY,OWEN",2
12:42,,52 (+21),,31,"GOOD FT by BATES,JACOB",CENTRE-M 52-31 (-21),,"GOOD FT by BATES,JACOB",2
12:42,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",2
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",2
12:42,"SUB IN by WALLACE,KEITH",,,,,,,"SUB IN by WALLACE,KEITH",2
12:42,"SUB IN by TRISKO,NICK",,,,,,,"SUB IN by TRISKO,NICK",2
12:42,"SUB OUT by KENNEDY,DEMARCUS",,,,,,,"SUB OUT by KENNEDY,DEMARCUS",2
12:42,"SUB OUT by ABRAMS,JAMES",,,,,,,"SUB OUT by ABRAMS,JAMES",2
12:14,"GOOD JUMPER by ELLIS,DOMINIQUE",54 (+23),,31,,SUMB 54-31 (-23),,"GOOD JUMPER by ELLIS,DOMINIQUE",2
12:03,,54 (+21),,33,"GOOD JUMPER by SCHMUCKER,ZACH",CENTRE-M 54-33 (-21),,"GOOD JUMPER by SCHMUCKER,ZACH",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
11:51,"TURNOVER  by ELLIS,DOMINIQUE",,,,,,,"TURNOVER  by ELLIS,DOMINIQUE",2
11:51,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:51,"SUB IN by ROWE,RYLAN",,,,,,,"SUB IN by ROWE,RYLAN",2
11:51,"SUB OUT by MUMPHREY,OWEN",,,,,,,"SUB OUT by MUMPHREY,OWEN",2
11:44,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",2
--,"REBOUND DEF by WALLACE,KEITH",,,,,,,"REBOUND DEF by WALLACE,KEITH",2
11:26,"MISS LAYUP by ROWE,RYLAN",,,,,,,"MISS LAYUP by ROWE,RYLAN",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
11:20,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",2
11:11,"TURNOVER  by WALLACE,KEITH",,,,,,,"TURNOVER  by WALLACE,KEITH",2
11:11,"FOUL  by WALLACE,KEITH",,,,,,,"FOUL  by WALLACE,KEITH",2
11:11,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
11:11,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
11:11,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
11:11,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
10:58,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:38,"MISS JUMPER by TRISKO,NICK",,,,,,,"MISS JUMPER by TRISKO,NICK",2
10:38,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
10:29,,54 (+18),,36,"GOOD 3PTR by GRUBER,SAM",CENTRE-M 54-36 (-18),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
10:10,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
10:10,"MISS FT by TRISKO,NICK",,,,,,,"MISS FT by TRISKO,NICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:10,"GOOD FT by TRISKO,NICK",55 (+19),,36,,SUMB 55-36 (-19),,"GOOD FT by TRISKO,NICK",2
10:10,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
10:10,"SUB OUT by RAINEY,WILL",,,,,,,"SUB OUT by RAINEY,WILL",2
09:55,"FOUL  by WALLACE,KEITH",,,,,,,"FOUL  by WALLACE,KEITH",2
09:55,,55 (+18),,37,"GOOD FT by BATES,JACOB",CENTRE-M 55-37 (-18),,"GOOD FT by BATES,JACOB",2
09:55,,55 (+17),,38,"GOOD FT by BATES,JACOB",CENTRE-M 55-38 (-17),,"GOOD FT by BATES,JACOB",2
09:42,"TURNOVER  by ROWE,RYLAN",,,,,,,"TURNOVER  by ROWE,RYLAN",2
09:28,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",2
09:27,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",2
09:27,"SUB IN by KENNEDY,DEMARCUS",,,,,,,"SUB IN by KENNEDY,DEMARCUS",2
09:27,"SUB OUT by WALLACE,KEITH",,,,,,,"SUB OUT by WALLACE,KEITH",2
09:05,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
08:59,,55 (+15),,40,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 55-40 (-15),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
08:28,"GOOD 3PTR by ROWE,RYLAN",58 (+18),,40,,SUMB 58-40 (-18),,"GOOD 3PTR by ROWE,RYLAN",2
08:17,,58 (+15),,43,"GOOD 3PTR by GRUBER,SAM",CENTRE-M 58-43 (-15),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
08:04,"TURNOVER  by KENNEDY,DEMARCUS",,,,,,,"TURNOVER  by KENNEDY,DEMARCUS",2
08:04,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
08:04,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
08:04,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
08:04,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
07:45,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
07:44,"STEAL  by ELLIS,DOMINIQUE",,,,,,,"STEAL  by ELLIS,DOMINIQUE",2
07:38,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",60 (+17),,43,,SUMB 60-43 (-17),,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
07:38,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
07:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:38,"GOOD FT by ELLIS,DOMINIQUE",61 (+18),,43,,SUMB 61-43 (-18),,"GOOD FT by ELLIS,DOMINIQUE",2
07:38,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
07:38,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
07:20,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",2
07:17,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",2
07:12,"TURNOVER  by ELLIS,DOMINIQUE",,,,,,,"TURNOVER  by ELLIS,DOMINIQUE",2
07:10,,,,,"STEAL  by GRUBER,SAM",,,"STEAL  by GRUBER,SAM",2
07:08,,61 (+16),,45,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",CENTRE-M 61-45 (-16),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",2
07:01,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
07:01,"GOOD FT by TRISKO,NICK",62 (+17),,45,,SUMB 62-45 (-17),,"GOOD FT by TRISKO,NICK",2
07:01,"GOOD FT by TRISKO,NICK",63 (+18),,45,,SUMB 63-45 (-18),,"GOOD FT by TRISKO,NICK",2
06:49,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",2
06:48,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
06:23,"GOOD LAYUP by TURNER,JAMES(in the paint)",65 (+20),,45,,SUMB 65-45 (-20),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",2
06:16,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
06:16,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
06:15,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",2
06:07,,65 (+18),,47,"GOOD LAYUP by GRUBER,SAM(in the paint)",CENTRE-M 65-47 (-18),,"GOOD LAYUP by GRUBER,SAM(in the paint)",2
06:07,"FOUL  by TRISKO,NICK",,,,,,,"FOUL  by TRISKO,NICK",2
06:07,,65 (+17),,48,"GOOD FT by GRUBER,SAM",CENTRE-M 65-48 (-17),,"GOOD FT by GRUBER,SAM",2
06:07,"SUB IN by MCKENZIE,JOSH",,,,,,,"SUB IN by MCKENZIE,JOSH",2
06:07,"SUB OUT by ELLIS,DOMINIQUE",,,,,,,"SUB OUT by ELLIS,DOMINIQUE",2
06:07,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
06:07,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
05:51,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
05:51,"GOOD FT by KENNEDY,DEMARCUS",66 (+18),,48,,SUMB 66-48 (-18),,"GOOD FT by KENNEDY,DEMARCUS",2
05:51,"MISS FT by KENNEDY,DEMARCUS",,,,,,,"MISS FT by KENNEDY,DEMARCUS",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
05:51,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
05:51,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
05:39,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
05:28,"FOUL  by TRISKO,NICK",,,,,,,"FOUL  by TRISKO,NICK",2
05:28,,66 (+17),,49,"GOOD FT by GUMP,MATT",CENTRE-M 66-49 (-17),,"GOOD FT by GUMP,MATT",2
05:28,,66 (+16),,50,"GOOD FT by GUMP,MATT",CENTRE-M 66-50 (-16),,"GOOD FT by GUMP,MATT",2
05:28,"SUB IN by WALLACE,KEITH",,,,,,,"SUB IN by WALLACE,KEITH",2
05:28,"SUB OUT by KENNEDY,DEMARCUS",,,,,,,"SUB OUT by KENNEDY,DEMARCUS",2
05:11,"GOOD JUMPER by ROWE,RYLAN(in the paint)",68 (+18),,50,,SUMB 68-50 (-18),,"GOOD JUMPER by ROWE,RYLAN(in the paint)",2
04:59,"FOUL  by MCKENZIE,JOSH",,,,,,,"FOUL  by MCKENZIE,JOSH",2
04:59,,68 (+17),,51,"GOOD FT by SINE,TUCKER",CENTRE-M 68-51 (-17),,"GOOD FT by SINE,TUCKER",2
04:59,,68 (+16),,52,"GOOD FT by SINE,TUCKER",CENTRE-M 68-52 (-16),,"GOOD FT by SINE,TUCKER",2
04:59,"SUB IN by ELLIS,DOMINIQUE",,,,,,,"SUB IN by ELLIS,DOMINIQUE",2
04:59,"SUB OUT by MCKENZIE,JOSH",,,,,,,"SUB OUT by MCKENZIE,JOSH",2
04:55,"TURNOVER  by ELLIS,DOMINIQUE",,,,,,,"TURNOVER  by ELLIS,DOMINIQUE",2
04:47,,68 (+13),,55,"GOOD 3PTR by SINE,TUCKER",CENTRE-M 68-55 (-13),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
04:31,"MISS JUMPER by ELLIS,DOMINIQUE",,,,,,,"MISS JUMPER by ELLIS,DOMINIQUE",2
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",2
04:29,"GOOD LAYUP by TURNER,JAMES(in the paint)",70 (+15),,55,,SUMB 70-55 (-15),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
04:29,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
04:29,"GOOD FT by TURNER,JAMES",71 (+16),,55,,SUMB 71-55 (-16),,"GOOD FT by TURNER,JAMES",2
04:26,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by ROWE,RYLAN",,,,,,,"REBOUND DEF by ROWE,RYLAN",2
04:20,"GOOD LAYUP by ROWE,RYLAN(fastbreak)(in the paint)",73 (+18),,55,,SUMB 73-55 (-18),,"GOOD LAYUP by ROWE,RYLAN(fastbreak)(in the paint)",2
04:05,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",2
03:56,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
03:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:56,"GOOD FT by TRISKO,NICK",74 (+19),,55,,SUMB 74-55 (-19),,"GOOD FT by TRISKO,NICK",2
03:56,"GOOD FT by TRISKO,NICK",75 (+20),,55,,SUMB 75-55 (-20),,"GOOD FT by TRISKO,NICK",2
03:56,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
03:56,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
03:44,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
03:39,,75 (+17),,58,"GOOD 3PTR by JONES,BRETT",CENTRE-M 75-58 (-17),,"GOOD 3PTR by JONES,BRETT",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
03:28,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
03:28,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
03:26,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
03:23,"FOUL  by WALLACE,KEITH",,,,,,,"FOUL  by WALLACE,KEITH",2
03:23,,75 (+16),,59,"GOOD FT by WALKER,ART",CENTRE-M 75-59 (-16),,"GOOD FT by WALKER,ART",2
03:23,,75 (+15),,60,"GOOD FT by WALKER,ART",CENTRE-M 75-60 (-15),,"GOOD FT by WALKER,ART",2
03:23,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
03:23,"GOOD FT by ELLIS,DOMINIQUE",76 (+16),,60,,SUMB 76-60 (-16),,"GOOD FT by ELLIS,DOMINIQUE",2
03:23,"MISS FT by ELLIS,DOMINIQUE",,,,,,,"MISS FT by ELLIS,DOMINIQUE",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
03:23,"SUB IN by RAINEY,WILL",,,,,,,"SUB IN by RAINEY,WILL",2
03:23,"SUB OUT by TRISKO,NICK",,,,,,,"SUB OUT by TRISKO,NICK",2
03:15,,76 (+14),,62,"GOOD JUMPER by WALKER,ART",CENTRE-M 76-62 (-14),,"GOOD JUMPER by WALKER,ART",2
03:02,"GOOD DUNK by TURNER,JAMES(in the paint)",78 (+16),,62,,SUMB 78-62 (-16),,"GOOD DUNK by TURNER,JAMES(in the paint)",2
--,"ASSIST  by WALLACE,KEITH",,,,,,,"ASSIST  by WALLACE,KEITH",2
02:54,,78 (+13),,65,"GOOD 3PTR by WALKER,ART",CENTRE-M 78-65 (-13),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
02:31,,,,,"FOUL  by JONES,BRETT",,,"FOUL  by JONES,BRETT",2
02:31,"GOOD FT by ROWE,RYLAN",79 (+14),,65,,SUMB 79-65 (-14),,"GOOD FT by ROWE,RYLAN",2
02:31,"GOOD FT by ROWE,RYLAN",80 (+15),,65,,SUMB 80-65 (-15),,"GOOD FT by ROWE,RYLAN",2
02:31,"SUB IN by MUMPHREY,OWEN",,,,,,,"SUB IN by MUMPHREY,OWEN",2
02:31,"SUB IN by KENNEDY,DEMARCUS",,,,,,,"SUB IN by KENNEDY,DEMARCUS",2
02:31,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
02:31,"SUB OUT by RAINEY,WILL",,,,,,,"SUB OUT by RAINEY,WILL",2
02:26,"FOUL  by ROWE,RYLAN",,,,,,,"FOUL  by ROWE,RYLAN",2
02:26,,80 (+14),,66,"GOOD FT by RAKES,BAILEY",CENTRE-M 80-66 (-14),,"GOOD FT by RAKES,BAILEY",2
02:26,,80 (+13),,67,"GOOD FT by RAKES,BAILEY",CENTRE-M 80-67 (-13),,"GOOD FT by RAKES,BAILEY",2
02:22,"TURNOVER  by MUMPHREY,OWEN",,,,,,,"TURNOVER  by MUMPHREY,OWEN",2
02:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:22,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
02:22,"SUB OUT by MUMPHREY,OWEN",,,,,,,"SUB OUT by MUMPHREY,OWEN",2
02:08,,80 (+11),,69,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 80-69 (-11),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
02:00,"TURNOVER  by ROWE,RYLAN",,,,,,,"TURNOVER  by ROWE,RYLAN",2
01:46,,80 (+9),,71,"GOOD JUMPER by SINE,TUCKER",CENTRE-M 80-71 (-9),,"GOOD JUMPER by SINE,TUCKER",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
01:39,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
01:39,"SUB IN by STOVALL,CLAYTON",,,,,,,"SUB IN by STOVALL,CLAYTON",2
01:39,"SUB IN by TRISKO,NICK",,,,,,,"SUB IN by TRISKO,NICK",2
01:39,"SUB OUT by WALLACE,KEITH",,,,,,,"SUB OUT by WALLACE,KEITH",2
01:28,,80 (+7),,73,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 80-73 (-7),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
01:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:28,"SUB IN by WALLACE,KEITH",,,,,,,"SUB IN by WALLACE,KEITH",2
01:28,"SUB OUT by STOVALL,CLAYTON",,,,,,,"SUB OUT by STOVALL,CLAYTON",2
01:28,"SUB OUT by KENNEDY,DEMARCUS",,,,,,,"SUB OUT by KENNEDY,DEMARCUS",2
01:17,"MISS LAYUP by ELLIS,DOMINIQUE",,,,,,,"MISS LAYUP by ELLIS,DOMINIQUE",2
--,"REBOUND OFF by TRISKO,NICK",,,,,,,"REBOUND OFF by TRISKO,NICK",2
01:14,"GOOD TIPIN by TRISKO,NICK(in the paint)",82 (+9),,73,,SUMB 82-73 (-9),,"GOOD TIPIN by TRISKO,NICK(in the paint)",2
01:08,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
01:05,,82 (+7),,75,"GOOD TIPIN by SCHMUCKER,ZACH(in the paint)",CENTRE-M 82-75 (-7),,"GOOD TIPIN by SCHMUCKER,ZACH(in the paint)",2
00:59,,,,,"FOUL  by JONES,BRETT",,,"FOUL  by JONES,BRETT",2
00:59,"GOOD FT by ELLIS,DOMINIQUE",83 (+8),,75,,SUMB 83-75 (-8),,"GOOD FT by ELLIS,DOMINIQUE",2
00:59,"GOOD FT by ELLIS,DOMINIQUE",84 (+9),,75,,SUMB 84-75 (-9),,"GOOD FT by ELLIS,DOMINIQUE",2
00:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:54,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
00:54,,84 (+8),,76,"GOOD FT by SINE,TUCKER",CENTRE-M 84-76 (-8),,"GOOD FT by SINE,TUCKER",2
00:54,,84 (+7),,77,"GOOD FT by SINE,TUCKER",CENTRE-M 84-77 (-7),,"GOOD FT by SINE,TUCKER",2
00:53,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
00:53,"GOOD FT by ELLIS,DOMINIQUE",85 (+8),,77,,SUMB 85-77 (-8),,"GOOD FT by ELLIS,DOMINIQUE",2
00:53,"MISS FT by ELLIS,DOMINIQUE",,,,,,,"MISS FT by ELLIS,DOMINIQUE",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
00:53,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
00:53,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
00:45,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",2
00:41,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
00:41,"GOOD FT by TRISKO,NICK",86 (+9),,77,,SUMB 86-77 (-9),,"GOOD FT by TRISKO,NICK",2
00:41,"MISS FT by TRISKO,NICK",,,,,,,"MISS FT by TRISKO,NICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:34,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
00:28,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
00:28,"GOOD FT by TURNER,JAMES",87 (+10),,77,,SUMB 87-77 (-10),,"GOOD FT by TURNER,JAMES",2
00:28,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,"REBOUND OFF by ELLIS,DOMINIQUE",,,,,,,"REBOUND OFF by ELLIS,DOMINIQUE",2
00:28,,,,,"SUB IN by CAVANAUGH,CHASE",,,"SUB IN by CAVANAUGH,CHASE",2
00:28,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
00:28,,,,,"SUB IN by DUNAWAY,MICHAEL",,,"SUB IN by DUNAWAY,MICHAEL",2
00:28,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
00:28,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
00:28,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
