Time Remaining,BER,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
03:58,"STEAL  by JOHNSON,CORY",,,,,,,"STEAL  by JOHNSON,CORY",1
03:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:48,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
03:48,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
03:48,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
03:48,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
03:48,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
03:48,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
03:48,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
03:48,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
03:48,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
03:48,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
03:48,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
03:48,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
03:48,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
03:48,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
03:48,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
03:48,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
03:48,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
03:48,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
