Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
16:25,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",2
16:23,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
16:22,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
16:20,,46 (+3),,43,"GOOD LAYUP by JAMES,JORDAN(fastbreak)(in the paint)",OGL-M 46-43 (+3),,"GOOD LAYUP by JAMES,JORDAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
15:48,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:42,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:42,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",2
15:42,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",2
15:42,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
15:42,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
15:42,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",2
15:42,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",2
15:42,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",2
15:42,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",2
15:42,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",2
15:42,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",2
15:27,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:03,"GOOD 3PTR by BAUGHMAN,CARTER",49 (+6),,43,,CENTREM 49-43 (+6),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",2
14:46,,,,,"MISS 3PTR by KEMP,MASON",,,"MISS 3PTR by KEMP,MASON",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
14:31,"TURNOVER  by COLEMAN,HUNTER",,,,,,,"TURNOVER  by COLEMAN,HUNTER",2
14:30,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
14:27,,49 (+4),,45,"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",OGL-M 49-45 (+4),,"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",2
14:04,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
13:55,,,,,"MISS LAYUP by DOOLEY,MALACHI",,,"MISS LAYUP by DOOLEY,MALACHI",2
13:55,"BLOCK  by STINNETT,CADE",,,,,,,"BLOCK  by STINNETT,CADE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:47,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",2
13:32,"GOOD 3PTR by COLEMAN,HUNTER",52 (+7),,45,,CENTREM 52-45 (+7),,"GOOD 3PTR by COLEMAN,HUNTER",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
13:17,,52 (+4),,48,"GOOD 3PTR by JENEI,RYAN",OGL-M 52-48 (+4),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by KEMP,MASON",,,"ASSIST  by KEMP,MASON",2
12:49,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:45,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
12:45,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
12:45,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
12:45,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",2
12:45,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",2
12:45,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
12:45,,,,,"SUB IN by SMITH,BRENT",,,"SUB IN by SMITH,BRENT",2
12:45,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
12:32,"MISS LAYUP by BAUGHMAN,CARTER",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER",2
12:32,,,,,"BLOCK  by JENEI,RYAN",,,"BLOCK  by JENEI,RYAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:16,,52 (+1),,51,"GOOD 3PTR by HARRIS,TREY",OGL-M 52-51 (+1),,"GOOD 3PTR by HARRIS,TREY",2
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",2
11:45,"GOOD LAYUP by WILSON,DREW(in the paint)",54 (+3),,51,,CENTREM 54-51 (+3),,"GOOD LAYUP by WILSON,DREW(in the paint)",2
11:35,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
11:15,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",56 (+5),,51,,CENTREM 56-51 (+5),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
11:01,,,,,"MISS LAYUP by DOOLEY,MALACHI",,,"MISS LAYUP by DOOLEY,MALACHI",2
--,,,,,"REBOUND OFF by SMITH,BRENT",,,"REBOUND OFF by SMITH,BRENT",2
10:58,,,,,"MISS LAYUP by SMITH,BRENT",,,"MISS LAYUP by SMITH,BRENT",2
--,"REBOUND DEF by COLEMAN,HUNTER",,,,,,,"REBOUND DEF by COLEMAN,HUNTER",2
10:55,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",2
10:55,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
10:55,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",2
10:55,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
10:55,,,,,"SUB IN by KEMP,JACKSON",,,"SUB IN by KEMP,JACKSON",2
10:55,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
10:41,"MISS JUMPER by COLEMAN,HUNTER",,,,,,,"MISS JUMPER by COLEMAN,HUNTER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:34,"GOOD LAYUP by RING,NOAH(in the paint)",58 (+7),,51,,CENTREM 58-51 (+7),,"GOOD LAYUP by RING,NOAH(in the paint)",2
10:20,,58 (+5),,53,"GOOD LAYUP by SMITH,BRENT(in the paint)",OGL-M 58-53 (+5),,"GOOD LAYUP by SMITH,BRENT(in the paint)",2
--,,,,,"ASSIST  by KEMP,JACKSON",,,"ASSIST  by KEMP,JACKSON",2
09:53,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",2
09:53,"GOOD FT by STINNETT,CADE",59 (+6),,53,,CENTREM 59-53 (+6),,"GOOD FT by STINNETT,CADE",2
09:53,"GOOD FT by STINNETT,CADE",60 (+7),,53,,CENTREM 60-53 (+7),,"GOOD FT by STINNETT,CADE",2
09:38,,60 (+5),,55,"GOOD LAYUP by SMITH,BRENT(in the paint)",OGL-M 60-55 (+5),,"GOOD LAYUP by SMITH,BRENT(in the paint)",2
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",2
09:15,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",2
08:59,,60 (+2),,58,"GOOD 3PTR by KEMP,MASON",OGL-M 60-58 (+2),,"GOOD 3PTR by KEMP,MASON",2
--,,,,,"ASSIST  by HARRIS,TREY",,,"ASSIST  by HARRIS,TREY",2
08:44,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",2
08:44,,,,,"STEAL  by KEMP,MASON",,,"STEAL  by KEMP,MASON",2
08:41,,,,,"MISS LAYUP by DOOLEY,MALACHI",,,"MISS LAYUP by DOOLEY,MALACHI",2
--,"REBOUND DEF by COLEMAN,HUNTER",,,,,,,"REBOUND DEF by COLEMAN,HUNTER",2
08:35,"MISS LAYUP by STINNETT,CADE",,,,,,,"MISS LAYUP by STINNETT,CADE",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
08:32,"MISS LAYUP by RING,NOAH",,,,,,,"MISS LAYUP by RING,NOAH",2
08:32,,,,,"BLOCK  by DOOLEY,MALACHI",,,"BLOCK  by DOOLEY,MALACHI",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:32,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
08:32,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
08:32,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
08:32,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
08:32,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
08:32,,,,,"SUB IN by JAMES,JORDAN",,,"SUB IN by JAMES,JORDAN",2
08:32,,,,,"SUB OUT by SMITH,BRENT",,,"SUB OUT by SMITH,BRENT",2
08:32,,,,,"SUB OUT by KEMP,MASON",,,"SUB OUT by KEMP,MASON",2
08:27,"GOOD LAYUP by STINNETT,CADE(in the paint)",62 (+4),,58,,CENTREM 62-58 (+4),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
08:20,,62 (+2),,60,"GOOD JUMPER by EZIGBO,UBA",OGL-M 62-60 (+2),,"GOOD JUMPER by EZIGBO,UBA",2
07:53,"GOOD 3PTR by BAUGHMAN,CARTER",65 (+5),,60,,CENTREM 65-60 (+5),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",2
07:36,,65 (+2),,63,"GOOD 3PTR by HARRIS,TREY",OGL-M 65-63 (+2),,"GOOD 3PTR by HARRIS,TREY",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
07:11,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
07:11,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
07:11,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
07:11,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
07:02,"GOOD 3PTR by BAUGHMAN,CARTER",68 (+5),,63,,CENTREM 68-63 (+5),,"GOOD 3PTR by BAUGHMAN,CARTER",2
06:37,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",2
06:37,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",2
06:35,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",2
06:22,"GOOD LAYUP by MOORE,CHEZ(in the paint)",70 (+7),,63,,CENTREM 70-63 (+7),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",2
06:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:12,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:12,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
06:12,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",2
06:12,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",2
06:12,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",2
06:04,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
05:49,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",2
05:49,,70 (+6),,64,"GOOD FT by KEMP,JACKSON",OGL-M 70-64 (+6),,"GOOD FT by KEMP,JACKSON",2
05:49,,70 (+5),,65,"GOOD FT by KEMP,JACKSON",OGL-M 70-65 (+5),,"GOOD FT by KEMP,JACKSON",2
05:28,"GOOD LAYUP by MOORE,CHEZ(in the paint)",72 (+7),,65,,CENTREM 72-65 (+7),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",2
05:14,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
04:51,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by KEMP,MASON",,,"REBOUND DEF by KEMP,MASON",2
04:41,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
04:41,,72 (+6),,66,"GOOD FT by JENEI,RYAN",OGL-M 72-66 (+6),,"GOOD FT by JENEI,RYAN",2
04:41,,72 (+5),,67,"GOOD FT by JENEI,RYAN",OGL-M 72-67 (+5),,"GOOD FT by JENEI,RYAN",2
04:16,"TURNOVER  by COLEMAN,HUNTER",,,,,,,"TURNOVER  by COLEMAN,HUNTER",2
04:15,,,,,"STEAL  by KEMP,MASON",,,"STEAL  by KEMP,MASON",2
04:11,,72 (+3),,69,"GOOD DUNK by HARRIS,TREY(fastbreak)(in the paint)",OGL-M 72-69 (+3),,"GOOD DUNK by HARRIS,TREY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KEMP,MASON",,,"ASSIST  by KEMP,MASON",2
03:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:57,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
03:47,"MISS LAYUP by STINNETT,CADE",,,,,,,"MISS LAYUP by STINNETT,CADE",2
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",2
03:36,"GOOD 3PTR by BAUGHMAN,CARTER",75 (+6),,69,,CENTREM 75-69 (+6),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",2
03:23,,75 (+3),,72,"GOOD 3PTR by KEMP,MASON",OGL-M 75-72 (+3),,"GOOD 3PTR by KEMP,MASON",2
--,,,,,"ASSIST  by KEMP,JACKSON",,,"ASSIST  by KEMP,JACKSON",2
02:50,"MISS LAYUP by MOORE,CHEZ",,,,,,,"MISS LAYUP by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
02:43,,,,,"MISS 3PTR by KEMP,MASON",,,"MISS 3PTR by KEMP,MASON",2
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",2
02:37,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
02:11,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:00,,,,,"MISS LAYUP by EZIGBO,UBA",,,"MISS LAYUP by EZIGBO,UBA",2
02:00,"BLOCK  by MOORE,CHEZ",,,,,,,"BLOCK  by MOORE,CHEZ",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
01:58,,75 (+1),,74,"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGL-M 75-74 (+1),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
01:37,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
01:37,"GOOD FT by WILSON,DREW",76 (+2),,74,,CENTREM 76-74 (+2),,"GOOD FT by WILSON,DREW",2
01:37,"GOOD FT by WILSON,DREW",77 (+3),,74,,CENTREM 77-74 (+3),,"GOOD FT by WILSON,DREW",2
01:31,,77 (+1),,76,"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGL-M 77-76 (+1),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
01:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:57,"MISS LAYUP by WILSON,DREW",,,,,,,"MISS LAYUP by WILSON,DREW",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
00:49,,77,,79 (+2),"GOOD 3PTR by JENEI,RYAN",OGL-M 77-79 (-2),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
00:22,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",2
00:21,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
00:18,,77,,81 (+4),"GOOD DUNK by EZIGBO,UBA(fastbreak)(in the paint)",OGL-M 77-81 (-4),,"GOOD DUNK by EZIGBO,UBA(fastbreak)(in the paint)",2
00:13,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
--,,,,,"REBOUND DEF by KEMP,MASON",,,"REBOUND DEF by KEMP,MASON",2
00:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:07,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",2
00:07,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",2
00:07,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
00:07,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
00:05,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",2
00:04,"FOUL  by MARKHAM,DRU",,,,,,,"FOUL  by MARKHAM,DRU",2
00:04,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
00:04,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",2
00:04,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
00:04,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",2
00:03,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
