Time Remaining,WPU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
20:00,"SUB OUT by PARTON,TYLER",,,,,,,"SUB OUT by PARTON,TYLER",2
20:00,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
20:00,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",2
19:19,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",2
19:19,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:59,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",36,,36,,WPU 36-36 (0),,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",2
18:51,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
18:51,"STEAL  by PETTIFORD,TIMOTHY",,,,,,,"STEAL  by PETTIFORD,TIMOTHY",2
18:42,"MISS JUMPER by BORDERS,MALACHI(in the paint)",,,,,,,"MISS JUMPER by BORDERS,MALACHI(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
18:42,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
18:25,"MISS 3PTR by PETTIFORD,TIMOTHY",,,,,,,"MISS 3PTR by PETTIFORD,TIMOTHY",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
18:22,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",2
18:22,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
17:50,"MISS 3PTR by DULIN,MICHAEL",,,,,,,"MISS 3PTR by DULIN,MICHAEL",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
17:50,"FOUL  by BRYANT,BEAU",,,,,,,"FOUL  by BRYANT,BEAU",2
17:43,,36,,38 (+2),"GOOD JUMPER by RING,NOAH(in the paint)",Centre 36-38 (+2),,"GOOD JUMPER by RING,NOAH(in the paint)",2
17:19,"MISS 3PTR by BORDERS,MALACHI",,,,,,,"MISS 3PTR by BORDERS,MALACHI",2
17:19,,,,,"BLOCK  by COLEMAN,HUNTER",,,"BLOCK  by COLEMAN,HUNTER",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
17:11,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
17:11,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",2
17:11,"SUB OUT by BRYANT,BEAU",,,,,,,"SUB OUT by BRYANT,BEAU",2
17:11,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
17:11,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",2
17:11,"SUB IN by PARTON,TYLER",,,,,,,"SUB IN by PARTON,TYLER",2
17:11,"FOUL  by BORDERS,MALACHI",,,,,,,"FOUL  by BORDERS,MALACHI",2
17:08,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
17:08,"STEAL  by TYRELL,DONOLIQUE",,,,,,,"STEAL  by TYRELL,DONOLIQUE",2
16:31,"FOUL  by PETTIFORD,TIMOTHY",,,,,,,"FOUL  by PETTIFORD,TIMOTHY",2
16:31,"TURNOVER  by PETTIFORD,TIMOTHY",,,,,,,"TURNOVER  by PETTIFORD,TIMOTHY",2
16:13,,36,,40 (+4),"GOOD JUMPER by COLEMAN,HUNTER",Centre 36-40 (+4),,"GOOD JUMPER by COLEMAN,HUNTER",2
15:50,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",38,,40 (+2),,WPU 38-40 (+2),,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",2
15:41,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
15:41,,,,,"SUB IN by BUSH,TYLER",,,"SUB IN by BUSH,TYLER",2
15:41,"SUB OUT by DULIN,MICHAEL",,,,,,,"SUB OUT by DULIN,MICHAEL",2
15:41,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",2
15:41,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",2
15:41,"SUB IN by BRYANT,BEAU",,,,,,,"SUB IN by BRYANT,BEAU",2
15:41,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",2
15:41,"BLOCK  by BRYANT,BEAU",,,,,,,"BLOCK  by BRYANT,BEAU",2
--,"REBOUND DEF by BRYANT,BEAU",,,,,,,"REBOUND DEF by BRYANT,BEAU",2
15:41,"MISS 3PTR by VAN STAALDUINEN,MATT",,,,,,,"MISS 3PTR by VAN STAALDUINEN,MATT",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
15:41,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",2
15:41,,,,,"TURNOVER  by COLEMAN,HUNTER",,,"TURNOVER  by COLEMAN,HUNTER",2
15:41,"STEAL  by BRYANT,BEAU",,,,,,,"STEAL  by BRYANT,BEAU",2
15:41,"MISS LAYUP by JONES,SHAWN(in the paint)",,,,,,,"MISS LAYUP by JONES,SHAWN(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:30,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
15:30,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
15:08,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
15:08,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
14:45,"MISS JUMPER by PARTON,TYLER",,,,,,,"MISS JUMPER by PARTON,TYLER",2
--,"REBOUND OFF by TYRELL,DONOLIQUE",,,,,,,"REBOUND OFF by TYRELL,DONOLIQUE",2
14:38,"MISS JUMPER by BRYANT,BEAU(in the paint)",,,,,,,"MISS JUMPER by BRYANT,BEAU(in the paint)",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
14:30,,,,,"MISS 3PTR by BUSH,TYLER",,,"MISS 3PTR by BUSH,TYLER",2
--,"REBOUND DEF by TYRELL,DONOLIQUE",,,,,,,"REBOUND DEF by TYRELL,DONOLIQUE",2
14:14,"MISS 3PTR by TYRELL,DONOLIQUE",,,,,,,"MISS 3PTR by TYRELL,DONOLIQUE",2
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",2
13:50,,38,,42 (+4),"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",Centre 38-42 (+4),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
13:39,"TURNOVER  by BRYANT,BEAU",,,,,,,"TURNOVER  by BRYANT,BEAU",2
13:39,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",2
13:19,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",2
--,"REBOUND DEF by VAN STAALDUINEN,MATT",,,,,,,"REBOUND DEF by VAN STAALDUINEN,MATT",2
12:57,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",2
--,"REBOUND OFF by TYRELL,DONOLIQUE",,,,,,,"REBOUND OFF by TYRELL,DONOLIQUE",2
12:51,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",2
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",2
12:25,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",2
--,"REBOUND DEF by PARTON,TYLER",,,,,,,"REBOUND DEF by PARTON,TYLER",2
12:14,"MISS 3PTR by VAN STAALDUINEN,MATT",,,,,,,"MISS 3PTR by VAN STAALDUINEN,MATT",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
12:06,"FOUL  by JONES,SHAWN",,,,,,,"FOUL  by JONES,SHAWN",2
11:07,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
11:07,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",2
11:07,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
11:07,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
11:07,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",2
11:07,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",2
11:07,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",2
11:07,"SUB IN by DULIN,MICHAEL",,,,,,,"SUB IN by DULIN,MICHAEL",2
11:07,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
11:07,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",2
11:07,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",2
--,"REBOUND DEF by BRYANT,BEAU",,,,,,,"REBOUND DEF by BRYANT,BEAU",2
11:07,"GOOD JUMPER by PARTON,TYLER(fastbreak)(in the paint)",40,,42 (+2),,WPU 40-42 (+2),,"GOOD JUMPER by PARTON,TYLER(fastbreak)(in the paint)",2
11:02,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",2
11:02,"STEAL  by PARTON,TYLER",,,,,,,"STEAL  by PARTON,TYLER",2
10:52,"GOOD LAYUP by PARTON,TYLER(in the paint)",42,,42,,WPU 42-42 (0),,"GOOD LAYUP by PARTON,TYLER(in the paint)",2
10:46,,,,,"FOUL  by BUSH,TYLER",,,"FOUL  by BUSH,TYLER",2
10:35,"MISS FT by PARTON,TYLER",,,,,,,"MISS FT by PARTON,TYLER",2
--,"REBOUND OFF by DULIN,MICHAEL",,,,,,,"REBOUND OFF by DULIN,MICHAEL",2
10:27,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",44 (+2),,42,,WPU 44-42 (-2),,"GOOD LAYUP by PETTIFORD,TIMOTHY(in the paint)",2
10:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:17,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
10:17,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
10:17,,,,,"SUB OUT by BUSH,TYLER",,,"SUB OUT by BUSH,TYLER",2
10:17,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
10:17,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
10:17,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
10:17,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
10:17,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",2
10:17,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",2
10:17,"MISS 3PTR by BORDERS,MALACHI",,,,,,,"MISS 3PTR by BORDERS,MALACHI",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
10:17,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
10:17,"STEAL  by PETTIFORD,TIMOTHY",,,,,,,"STEAL  by PETTIFORD,TIMOTHY",2
10:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:14,"GOOD LAYUP by BRYANT,BEAU(in the paint)",46 (+4),,42,,WPU 46-42 (-4),,"GOOD LAYUP by BRYANT,BEAU(in the paint)",2
10:02,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
10:02,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
09:53,,46 (+1),,45,"GOOD 3PTR by RING,NOAH",Centre 46-45 (-1),,"GOOD 3PTR by RING,NOAH",2
09:34,"GOOD 3PTR by PETTIFORD,TIMOTHY",49 (+4),,45,,WPU 49-45 (-4),,"GOOD 3PTR by PETTIFORD,TIMOTHY",2
09:13,,,,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",2
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",2
09:05,"MISS 3PTR by PARTON,TYLER",,,,,,,"MISS 3PTR by PARTON,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:03,"FOUL  by BRYANT,BEAU",,,,,,,"FOUL  by BRYANT,BEAU",2
08:37,"SUB OUT by BRYANT,BEAU",,,,,,,"SUB OUT by BRYANT,BEAU",2
08:37,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",2
08:28,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
08:28,"STEAL  by PARTON,TYLER",,,,,,,"STEAL  by PARTON,TYLER",2
08:19,"GOOD JUMPER by PETTIFORD,TIMOTHY(in the paint)",51 (+6),,45,,WPU 51-45 (-6),,"GOOD JUMPER by PETTIFORD,TIMOTHY(in the paint)",2
08:19,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",2
08:19,"GOOD FT by PETTIFORD,TIMOTHY",52 (+7),,45,,WPU 52-45 (-7),,"GOOD FT by PETTIFORD,TIMOTHY",2
08:19,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
08:19,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
08:19,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
08:19,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
08:07,"FOUL  by DULIN,MICHAEL",,,,,,,"FOUL  by DULIN,MICHAEL",2
08:07,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:07,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
08:07,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
08:07,"SUB OUT by DULIN,MICHAEL",,,,,,,"SUB OUT by DULIN,MICHAEL",2
08:07,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",2
08:07,,52 (+6),,46,"GOOD FT by STINNETT,CADE",Centre 52-46 (-6),,"GOOD FT by STINNETT,CADE",2
07:41,"MISS JUMPER by PETTIFORD,TIMOTHY(in the paint)",,,,,,,"MISS JUMPER by PETTIFORD,TIMOTHY(in the paint)",2
--,"REBOUND OFF by JONES,SHAWN",,,,,,,"REBOUND OFF by JONES,SHAWN",2
07:23,"MISS 3PTR by PARTON,TYLER",,,,,,,"MISS 3PTR by PARTON,TYLER",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
07:14,,52 (+4),,48,"GOOD JUMPER by RING,NOAH(in the paint)",Centre 52-48 (-4),,"GOOD JUMPER by RING,NOAH(in the paint)",2
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",2
06:52,"MISS JUMPER by PETTIFORD,TIMOTHY",,,,,,,"MISS JUMPER by PETTIFORD,TIMOTHY",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
06:24,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND OFF by WILSON,DREW",,,"REBOUND OFF by WILSON,DREW",2
06:05,,52 (+1),,51,"GOOD 3PTR by RING,NOAH",Centre 52-51 (-1),,"GOOD 3PTR by RING,NOAH",2
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",2
06:02,,52,,53 (+1),"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 52-53 (+1),,"GOOD JUMPER by STINNETT,CADE(in the paint)",2
06:02,"FOUL  by BORDERS,MALACHI",,,,,,,"FOUL  by BORDERS,MALACHI",2
06:02,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
06:02,"TURNOVER  by VAN STAALDUINEN,MATT",,,,,,,"TURNOVER  by VAN STAALDUINEN,MATT",2
--,"REBOUND DEF by VAN STAALDUINEN,MATT",,,,,,,"REBOUND DEF by VAN STAALDUINEN,MATT",2
05:48,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",2
05:48,"SUB IN by BRYANT,BEAU",,,,,,,"SUB IN by BRYANT,BEAU",2
05:41,"MISS 3PTR by BRYANT,BEAU",,,,,,,"MISS 3PTR by BRYANT,BEAU",2
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",2
05:32,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
05:32,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
05:32,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
05:32,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
05:32,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
05:32,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",2
05:32,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
05:32,"SUB IN by DULIN,MICHAEL",,,,,,,"SUB IN by DULIN,MICHAEL",2
05:29,"FOUL  by TYRELL,DONOLIQUE",,,,,,,"FOUL  by TYRELL,DONOLIQUE",2
05:29,,52,,54 (+2),"GOOD FT by STINNETT,CADE",Centre 52-54 (+2),,"GOOD FT by STINNETT,CADE",2
05:29,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",2
05:29,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",2
05:29,,52,,55 (+3),"GOOD FT by STINNETT,CADE",Centre 52-55 (+3),,"GOOD FT by STINNETT,CADE",2
05:12,"GOOD LAYUP by TYRELL,DONOLIQUE(in the paint)",54,,55 (+1),,WPU 54-55 (+1),,"GOOD LAYUP by TYRELL,DONOLIQUE(in the paint)",2
--,"ASSIST  by PETTIFORD,TIMOTHY",,,,,,,"ASSIST  by PETTIFORD,TIMOTHY",2
04:58,"FOUL  by PARTON,TYLER",,,,,,,"FOUL  by PARTON,TYLER",2
04:58,"SUB OUT by DULIN,MICHAEL",,,,,,,"SUB OUT by DULIN,MICHAEL",2
04:58,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
04:58,,54,,56 (+2),"GOOD FT by BAUGHMAN,CARTER",Centre 54-56 (+2),,"GOOD FT by BAUGHMAN,CARTER",2
04:58,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",2
04:58,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",2
04:58,,54,,57 (+3),"GOOD FT by BAUGHMAN,CARTER",Centre 54-57 (+3),,"GOOD FT by BAUGHMAN,CARTER",2
04:47,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",2
04:47,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
04:47,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
04:45,"TURNOVER  by PARTON,TYLER",,,,,,,"TURNOVER  by PARTON,TYLER",2
04:15,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
04:09,,54,,59 (+5),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 54-59 (+5),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
03:53,"GOOD JUMPER by BRYANT,BEAU(in the paint)",56,,59 (+3),,WPU 56-59 (+3),,"GOOD JUMPER by BRYANT,BEAU(in the paint)",2
03:53,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
03:53,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",2
03:53,"SUB IN by DULIN,MICHAEL",,,,,,,"SUB IN by DULIN,MICHAEL",2
03:53,"GOOD FT by BRYANT,BEAU",57,,59 (+2),,WPU 57-59 (+2),,"GOOD FT by BRYANT,BEAU",2
03:33,,57,,61 (+4),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 57-61 (+4),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
03:07,"MISS JUMPER by BRYANT,BEAU(in the paint)",,,,,,,"MISS JUMPER by BRYANT,BEAU(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:53,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
02:35,,57,,63 (+6),"GOOD LAYUP by COLEMAN,HUNTER(in the paint)",Centre 57-63 (+6),,"GOOD LAYUP by COLEMAN,HUNTER(in the paint)",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
02:17,"MISS 3PTR by PETTIFORD,TIMOTHY",,,,,,,"MISS 3PTR by PETTIFORD,TIMOTHY",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
02:08,"FOUL  by PETTIFORD,TIMOTHY",,,,,,,"FOUL  by PETTIFORD,TIMOTHY",2
02:05,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:05,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",2
--,"REBOUND DEF by DULIN,MICHAEL",,,,,,,"REBOUND DEF by DULIN,MICHAEL",2
01:58,"GOOD 3PTR by BRYANT,BEAU",60,,63 (+3),,WPU 60-63 (+3),,"GOOD 3PTR by BRYANT,BEAU",2
--,"ASSIST  by BORDERS,MALACHI",,,,,,,"ASSIST  by BORDERS,MALACHI",2
01:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:58,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
01:58,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
01:44,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",2
01:36,"GOOD JUMPER by BRYANT,BEAU(in the paint)",62,,63 (+1),,WPU 62-63 (+1),,"GOOD JUMPER by BRYANT,BEAU(in the paint)",2
01:16,,62,,66 (+4),"GOOD 3PTR by RING,NOAH",Centre 62-66 (+4),,"GOOD 3PTR by RING,NOAH",2
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",2
00:59,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
00:53,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
00:53,"STEAL  by PETTIFORD,TIMOTHY",,,,,,,"STEAL  by PETTIFORD,TIMOTHY",2
00:53,"GOOD DUNK by PETTIFORD,TIMOTHY(in the paint)",64,,66 (+2),,WPU 64-66 (+2),,"GOOD DUNK by PETTIFORD,TIMOTHY(in the paint)",2
00:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:53,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",2
00:53,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
00:50,"FOUL  by PETTIFORD,TIMOTHY",,,,,,,"FOUL  by PETTIFORD,TIMOTHY",2
00:44,,64,,67 (+3),"GOOD FT by MOORE,CHEZ(fastbreak)",Centre 64-67 (+3),,"GOOD FT by MOORE,CHEZ(fastbreak)",2
00:44,,,,,"MISS FT by MOORE,CHEZ(fastbreak)",,,"MISS FT by MOORE,CHEZ(fastbreak)",2
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",2
00:32,"MISS 3PTR by PARTON,TYLER",,,,,,,"MISS 3PTR by PARTON,TYLER",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
00:24,"FOUL  by DULIN,MICHAEL",,,,,,,"FOUL  by DULIN,MICHAEL",2
00:19,,64,,68 (+4),"GOOD FT by STINNETT,CADE(fastbreak)",Centre 64-68 (+4),,"GOOD FT by STINNETT,CADE(fastbreak)",2
00:19,,64,,69 (+5),"GOOD FT by STINNETT,CADE(fastbreak)",Centre 64-69 (+5),,"GOOD FT by STINNETT,CADE(fastbreak)",2
00:19,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
00:19,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
00:13,"TURNOVER  by BRYANT,BEAU",,,,,,,"TURNOVER  by BRYANT,BEAU",2
00:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
00:11,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
