Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
00:23,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",2
--,,,,,"REBOUND OFF by BAUGHMAN,CARTER",,,"REBOUND OFF by BAUGHMAN,CARTER",2
00:15,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND OFF by STINNETT,CADE",,,"REBOUND OFF by STINNETT,CADE",2
00:15,,64 (+6),,58,"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 64-58 (-6),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
00:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:11,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
00:11,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
00:11,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",2
00:11,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",2
00:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
00:04,,,,,"MISS 3PTR by MOORE,CHEZ",,,"MISS 3PTR by MOORE,CHEZ",2
--,,,,,"REBOUND OFF by MARKHAM,DRU",,,"REBOUND OFF by MARKHAM,DRU",2
00:04,,,,,"MISS 3PTR by MOORE,CHEZ",,,"MISS 3PTR by MOORE,CHEZ",2
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",2
