Time Remaining,GBORO,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
01:43,,73 (+8),,65,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 73-65 (-8),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
01:40,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",2
01:40,"GOOD FT by PRUETT,ISAIAH",74 (+9),,65,,GBORO 74-65 (-9),,"GOOD FT by PRUETT,ISAIAH",2
01:40,"GOOD FT by PRUETT,ISAIAH",75 (+10),,65,,GBORO 75-65 (-10),,"GOOD FT by PRUETT,ISAIAH",2
01:28,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
01:28,"STEAL  by BROWN,MATTHEW",,,,,,,"STEAL  by BROWN,MATTHEW",2
01:23,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",2
01:23,"GOOD FT by BROWN,MATTHEW",76 (+11),,65,,GBORO 76-65 (-11),,"GOOD FT by BROWN,MATTHEW",2
01:22,"GOOD FT by BROWN,MATTHEW",77 (+12),,65,,GBORO 77-65 (-12),,"GOOD FT by BROWN,MATTHEW",2
01:17,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
00:52,"GOOD LAYUP by PRUETT,ISAIAH(in the paint)",79 (+14),,65,,GBORO 79-65 (-14),,"GOOD LAYUP by PRUETT,ISAIAH(in the paint)",2
00:46,"FOUL  by SERGI,MASON",,,,,,,"FOUL  by SERGI,MASON",2
00:46,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
00:46,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
00:46,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",2
00:46,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",2
00:46,,,,,"SUB IN by LOVELL,TREY",,,"SUB IN by LOVELL,TREY",2
00:46,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",2
00:46,"SUB OUT by SERGI,MASON",,,,,,,"SUB OUT by SERGI,MASON",2
00:46,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",2
00:46,,79 (+13),,66,"GOOD FT by MOORE,CHEZ",Centre 79-66 (-13),,"GOOD FT by MOORE,CHEZ",2
00:46,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
00:46,,,,,"SUB IN by STEWART,BLAKE",,,"SUB IN by STEWART,BLAKE",2
00:46,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",2
--,"REBOUND DEF by ALVEY,ERIK",,,,,,,"REBOUND DEF by ALVEY,ERIK",2
00:25,,,,,"FOUL  by LOVELL,TREY",,,"FOUL  by LOVELL,TREY",2
00:25,"GOOD FT by PRUETT,ISAIAH",80 (+14),,66,,GBORO 80-66 (-14),,"GOOD FT by PRUETT,ISAIAH",2
00:25,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
00:25,,,,,"SUB IN by MAUL,CALEB",,,"SUB IN by MAUL,CALEB",2
00:25,"GOOD FT by PRUETT,ISAIAH",81 (+15),,66,,GBORO 81-66 (-15),,"GOOD FT by PRUETT,ISAIAH",2
00:17,,,,,"MISS 3PTR by WOOLDRIDGE,CARSON",,,"MISS 3PTR by WOOLDRIDGE,CARSON",2
--,"REBOUND DEF by HILL,TY",,,,,,,"REBOUND DEF by HILL,TY",2
