Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
18:04,"GOOD LAYUP by MOORE,CHEZ(in the paint)",29 (+5),,24,,Centre 29-24 (+5),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
17:45,,,,,"MISS 3PTR by CRAWFORD,ANDRE",,,"MISS 3PTR by CRAWFORD,ANDRE",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
17:33,,,,,"FOUL  by CAMPBELL,MAXTON",,,"FOUL  by CAMPBELL,MAXTON",2
17:33,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:33,,,,,"SUB OUT by CRAWFORD,ANDRE",,,"SUB OUT by CRAWFORD,ANDRE",2
17:33,,,,,"SUB IN by BRADFORD,CADEN",,,"SUB IN by BRADFORD,CADEN",2
17:33,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
17:31,,,,,"FOUL  by CAMPBELL,MAXTON",,,"FOUL  by CAMPBELL,MAXTON",2
17:31,"GOOD FT by RING,NOAH",30 (+6),,24,,Centre 30-24 (+6),,"GOOD FT by RING,NOAH",2
17:31,"GOOD FT by RING,NOAH",31 (+7),,24,,Centre 31-24 (+7),,"GOOD FT by RING,NOAH",2
17:31,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",2
17:31,,,,,"SUB IN by MCCAMPBELL,DEVONTE",,,"SUB IN by MCCAMPBELL,DEVONTE",2
17:19,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
17:19,,31 (+6),,25,"GOOD FT by DILLARD,ANTHONY",SU 31-25 (+6),,"GOOD FT by DILLARD,ANTHONY",2
17:19,,31 (+5),,26,"GOOD FT by DILLARD,ANTHONY",SU 31-26 (+5),,"GOOD FT by DILLARD,ANTHONY",2
16:59,,,,,"FOUL  by MCCAMPBELL,DEVONTE",,,"FOUL  by MCCAMPBELL,DEVONTE",2
16:59,"GOOD FT by STINNETT,CADE",32 (+6),,26,,Centre 32-26 (+6),,"GOOD FT by STINNETT,CADE",2
16:59,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,,,,,"REBOUND DEF by MCCAMPBELL,DEVONTE",,,"REBOUND DEF by MCCAMPBELL,DEVONTE",2
16:36,,32 (+3),,29,"GOOD 3PTR by BRADFORD,CADEN",SU 32-29 (+3),,"GOOD 3PTR by BRADFORD,CADEN",2
--,,,,,"ASSIST  by DILLARD,ANTHONY",,,"ASSIST  by DILLARD,ANTHONY",2
16:14,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",2
16:07,"GOOD LAYUP by STINNETT,CADE(in the paint)",34 (+5),,29,,Centre 34-29 (+5),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
15:52,,,,,"MISS JUMPER by HENSON,JONATHAN",,,"MISS JUMPER by HENSON,JONATHAN",2
15:49,"FOUL  by COLEMAN,HUNTER",,,,,,,"FOUL  by COLEMAN,HUNTER",2
15:49,,34 (+4),,30,"GOOD FT by DILLARD,ANTHONY",SU 34-30 (+4),,"GOOD FT by DILLARD,ANTHONY",2
15:49,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",2
15:49,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
15:49,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",2
15:49,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
15:49,,34 (+3),,31,"GOOD FT by DILLARD,ANTHONY",SU 34-31 (+3),,"GOOD FT by DILLARD,ANTHONY",2
--,,,,,"REBOUND OFF by DILLARD,ANTHONY",,,"REBOUND OFF by DILLARD,ANTHONY",2
15:28,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
15:28,,,,,"STEAL  by DILLARD,ANTHONY",,,"STEAL  by DILLARD,ANTHONY",2
15:24,,34 (+1),,33,"GOOD JUMPER by BRADFORD,CADEN(fastbreak)(in the paint)",SU 34-33 (+1),,"GOOD JUMPER by BRADFORD,CADEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DILLARD,ANTHONY",,,"ASSIST  by DILLARD,ANTHONY",2
15:22,,,,,"SUB OUT by MCCAMPBELL,DEVONTE",,,"SUB OUT by MCCAMPBELL,DEVONTE",2
15:22,,,,,"SUB IN by HARGROVE,KOBE",,,"SUB IN by HARGROVE,KOBE",2
15:11,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",2
--,,,,,"REBOUND DEF by HENSON,JONATHAN",,,"REBOUND DEF by HENSON,JONATHAN",2
15:00,,,,,"TURNOVER  by BRADFORD,CADEN",,,"TURNOVER  by BRADFORD,CADEN",2
15:00,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",2
15:00,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
15:00,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
14:46,"MISS JUMPER by MARKHAM,DRU(in the paint)",,,,,,,"MISS JUMPER by MARKHAM,DRU(in the paint)",2
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",2
14:38,,34,,35 (+1),"GOOD JUMPER by JOHNSON,JACOBY(in the paint)",SU 34-35 (-1),,"GOOD JUMPER by JOHNSON,JACOBY(in the paint)",2
14:21,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
14:13,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:10,,,,,"SUB OUT by HENSON,JONATHAN",,,"SUB OUT by HENSON,JONATHAN",2
14:10,,,,,"SUB IN by STORM,CHARLIE",,,"SUB IN by STORM,CHARLIE",2
14:10,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
14:10,"SUB IN by LOVELL,TREY",,,,,,,"SUB IN by LOVELL,TREY",2
13:52,,,,,"MISS LAYUP by DILLARD,ANTHONY(in the paint)",,,"MISS LAYUP by DILLARD,ANTHONY(in the paint)",2
--,,,,,"REBOUND OFF by HARGROVE,KOBE",,,"REBOUND OFF by HARGROVE,KOBE",2
13:46,,,,,"TURNOVER  by HARGROVE,KOBE",,,"TURNOVER  by HARGROVE,KOBE",2
13:46,"STEAL  by MARKHAM,DRU",,,,,,,"STEAL  by MARKHAM,DRU",2
13:42,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",2
13:40,,,,,"SUB OUT by HARGROVE,KOBE",,,"SUB OUT by HARGROVE,KOBE",2
13:40,,,,,"SUB IN by HOLT,JACKSON",,,"SUB IN by HOLT,JACKSON",2
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",2
13:25,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",2
13:07,"GOOD JUMPER by STINNETT,CADE(in the paint)",36 (+1),,35,,Centre 36-35 (+1),,"GOOD JUMPER by STINNETT,CADE(in the paint)",2
--,"ASSIST  by KNOCHELMANN,PETE",,,,,,,"ASSIST  by KNOCHELMANN,PETE",2
12:55,,,,,"FOUL  by DILLARD,ANTHONY",,,"FOUL  by DILLARD,ANTHONY",2
12:55,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",2
12:55,,,,,"SUB OUT by HOLT,JACKSON",,,"SUB OUT by HOLT,JACKSON",2
12:55,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",2
12:35,"MISS LAYUP by MARKHAM,DRU(in the paint)",,,,,,,"MISS LAYUP by MARKHAM,DRU(in the paint)",2
12:35,,,,,"BLOCK  by DILLARD,ANTHONY",,,"BLOCK  by DILLARD,ANTHONY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:25,"MISS JUMPER by STINNETT,CADE(in the paint)",,,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
12:25,,,,,"BLOCK  by CAMPBELL,MAXTON",,,"BLOCK  by CAMPBELL,MAXTON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
12:24,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",2
12:24,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
12:24,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
12:24,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
12:09,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
12:09,,,,,"MISS FT by JOHNSON,JACOBY",,,"MISS FT by JOHNSON,JACOBY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:09,,36,,36,"GOOD FT by JOHNSON,JACOBY",SU 36-36 (0),,"GOOD FT by JOHNSON,JACOBY",2
12:09,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",2
12:09,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",2
11:47,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",2
11:47,,,,,"STEAL  by BYRON,MARLIN",,,"STEAL  by BYRON,MARLIN",2
11:38,,,,,"TURNOVER  by BRADFORD,CADEN",,,"TURNOVER  by BRADFORD,CADEN",2
11:28,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by BRADFORD,CADEN",,,"REBOUND DEF by BRADFORD,CADEN",2
11:15,,,,,"MISS JUMPER by CAMPBELL,MAXTON",,,"MISS JUMPER by CAMPBELL,MAXTON",2
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",2
11:04,"MISS JUMPER by WILSON,DREW(in the paint)",,,,,,,"MISS JUMPER by WILSON,DREW(in the paint)",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
10:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:57,"SUB OUT by LOVELL,TREY",,,,,,,"SUB OUT by LOVELL,TREY",2
10:57,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
10:43,,,,,"MISS 3PTR by STORM,CHARLIE",,,"MISS 3PTR by STORM,CHARLIE",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
10:16,"MISS JUMPER by MARKHAM,DRU(in the paint)",,,,,,,"MISS JUMPER by MARKHAM,DRU(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:12,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",2
09:50,,,,,"FOUL  by DILLARD,ANTHONY",,,"FOUL  by DILLARD,ANTHONY",2
09:50,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",2
09:50,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
09:50,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",2
09:50,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
09:50,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",2
09:35,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",2
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",2
09:24,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
09:24,,,,,"MISS FT by DILLARD,ANTHONY",,,"MISS FT by DILLARD,ANTHONY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:24,,,,,"MISS FT by DILLARD,ANTHONY",,,"MISS FT by DILLARD,ANTHONY",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
09:10,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",2
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",2
08:57,,36,,38 (+2),"GOOD LAYUP by DILLARD,ANTHONY(in the paint)",SU 36-38 (-2),,"GOOD LAYUP by DILLARD,ANTHONY(in the paint)",2
--,,,,,"ASSIST  by STORM,CHARLIE",,,"ASSIST  by STORM,CHARLIE",2
08:57,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
08:57,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
08:57,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",2
08:57,,36,,39 (+3),"GOOD FT by DILLARD,ANTHONY",SU 36-39 (-3),,"GOOD FT by DILLARD,ANTHONY",2
08:37,,,,,"FOUL  by BYRON,MARLIN",,,"FOUL  by BYRON,MARLIN",2
08:31,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",2
08:28,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
08:07,,,,,"FOUL  by DILLARD,ANTHONY",,,"FOUL  by DILLARD,ANTHONY",2
08:07,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",2
08:07,,,,,"SUB OUT by DILLARD,ANTHONY",,,"SUB OUT by DILLARD,ANTHONY",2
08:07,,,,,"SUB IN by HARGROVE,KOBE",,,"SUB IN by HARGROVE,KOBE",2
07:46,,,,,"FOUL  by BYRON,MARLIN",,,"FOUL  by BYRON,MARLIN",2
07:46,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:46,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",2
07:46,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",2
07:44,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
07:29,,36,,42 (+6),"GOOD 3PTR by STORM,CHARLIE",SU 36-42 (-6),,"GOOD 3PTR by STORM,CHARLIE",2
07:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:18,,,,,"SUB OUT by STORM,CHARLIE",,,"SUB OUT by STORM,CHARLIE",2
07:18,,,,,"SUB OUT by BYRON,MARLIN",,,"SUB OUT by BYRON,MARLIN",2
07:18,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",2
07:18,,,,,"SUB IN by HENSON,JONATHAN",,,"SUB IN by HENSON,JONATHAN",2
07:09,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",2
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",2
06:47,,,,,"MISS 3PTR by BRADFORD,CADEN",,,"MISS 3PTR by BRADFORD,CADEN",2
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",2
06:27,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
06:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:21,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",2
06:21,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",2
05:58,,,,,"TURNOVER  by BRADFORD,CADEN",,,"TURNOVER  by BRADFORD,CADEN",2
05:58,"STEAL  by RING,NOAH",,,,,,,"STEAL  by RING,NOAH",2
05:48,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
05:27,,,,,"MISS LAYUP by HARGROVE,KOBE(in the paint)",,,"MISS LAYUP by HARGROVE,KOBE(in the paint)",2
05:25,,,,,"SUB OUT by HARGROVE,KOBE",,,"SUB OUT by HARGROVE,KOBE",2
05:25,,,,,"SUB IN by HOLT,JACKSON",,,"SUB IN by HOLT,JACKSON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:17,,,,,"FOUL  by BYRON,MARLIN",,,"FOUL  by BYRON,MARLIN",2
05:17,"MISS FT by STINNETT,CADE",,,,,,,"MISS FT by STINNETT,CADE",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
05:13,,,,,"TURNOVER  by CAMPBELL,MAXTON",,,"TURNOVER  by CAMPBELL,MAXTON",2
05:13,"STEAL  by RING,NOAH",,,,,,,"STEAL  by RING,NOAH",2
05:13,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
05:13,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",2
04:52,,36,,44 (+8),"GOOD JUMPER by HOLT,JACKSON(in the paint)",SU 36-44 (-8),,"GOOD JUMPER by HOLT,JACKSON(in the paint)",2
--,,,,,"ASSIST  by BYRON,MARLIN",,,"ASSIST  by BYRON,MARLIN",2
04:22,"MISS JUMPER by STINNETT,CADE",,,,,,,"MISS JUMPER by STINNETT,CADE",2
--,,,,,"REBOUND DEF by BYRON,MARLIN",,,"REBOUND DEF by BYRON,MARLIN",2
04:12,,36,,46 (+10),"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",SU 36-46 (-10),,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",2
--,,,,,"ASSIST  by BRADFORD,CADEN",,,"ASSIST  by BRADFORD,CADEN",2
04:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:09,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
04:09,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
04:09,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
04:09,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
03:54,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
03:34,,36,,49 (+13),"GOOD 3PTR by HOLT,JACKSON",SU 36-49 (-13),,"GOOD 3PTR by HOLT,JACKSON",2
--,,,,,"ASSIST  by BRADFORD,CADEN",,,"ASSIST  by BRADFORD,CADEN",2
03:02,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",2
--,"REBOUND OFF by KNOCHELMANN,PETE",,,,,,,"REBOUND OFF by KNOCHELMANN,PETE",2
02:57,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",2
--,"REBOUND OFF by MARKHAM,DRU",,,,,,,"REBOUND OFF by MARKHAM,DRU",2
02:55,,,,,"FOUL  by HENSON,JONATHAN",,,"FOUL  by HENSON,JONATHAN",2
02:55,"MISS FT by MARKHAM,DRU",,,,,,,"MISS FT by MARKHAM,DRU",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:55,"GOOD FT by MARKHAM,DRU",37,,49 (+12),,Centre 37-49 (-12),,"GOOD FT by MARKHAM,DRU",2
02:55,,,,,"SUB OUT by HOLT,JACKSON",,,"SUB OUT by HOLT,JACKSON",2
02:55,,,,,"SUB IN by DILLARD,ANTHONY",,,"SUB IN by DILLARD,ANTHONY",2
02:55,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
02:55,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
02:28,,,,,"MISS 3PTR by BRADFORD,CADEN",,,"MISS 3PTR by BRADFORD,CADEN",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
02:16,"GOOD JUMPER by RING,NOAH(in the paint)",39,,49 (+10),,Centre 39-49 (-10),,"GOOD JUMPER by RING,NOAH(in the paint)",2
02:00,,39,,51 (+12),"GOOD JUMPER by BYRON,MARLIN(in the paint)",SU 39-51 (-12),,"GOOD JUMPER by BYRON,MARLIN(in the paint)",2
01:47,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
--,,,,,"REBOUND DEF by HENSON,JONATHAN",,,"REBOUND DEF by HENSON,JONATHAN",2
01:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:26,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
01:26,,,,,"MISS FT by BYRON,MARLIN",,,"MISS FT by BYRON,MARLIN",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
01:18,"GOOD 3PTR by BAUGHMAN,CARTER(fastbreak)",42,,51 (+9),,Centre 42-51 (-9),,"GOOD 3PTR by BAUGHMAN,CARTER(fastbreak)",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
01:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:16,,,,,"SUB OUT by BYRON,MARLIN",,,"SUB OUT by BYRON,MARLIN",2
01:16,,,,,"SUB IN by STORM,CHARLIE",,,"SUB IN by STORM,CHARLIE",2
01:13,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
01:13,,42,,52 (+10),"GOOD FT by BRADFORD,CADEN(fastbreak)",SU 42-52 (-10),,"GOOD FT by BRADFORD,CADEN(fastbreak)",2
01:13,,,,,"MISS FT by BRADFORD,CADEN(fastbreak)",,,"MISS FT by BRADFORD,CADEN(fastbreak)",2
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",2
01:04,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,"REBOUND OFF by MARKHAM,DRU",,,,,,,"REBOUND OFF by MARKHAM,DRU",2
00:58,"GOOD JUMPER by WILSON,DREW(in the paint)",44,,52 (+8),,Centre 44-52 (-8),,"GOOD JUMPER by WILSON,DREW(in the paint)",2
00:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:54,,,,,"TURNOVER  by STORM,CHARLIE",,,"TURNOVER  by STORM,CHARLIE",2
00:54,"STEAL  by STINNETT,CADE",,,,,,,"STEAL  by STINNETT,CADE",2
00:52,"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",46,,52 (+6),,Centre 46-52 (-6),,"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",2
00:51,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",2
00:51,,,,,"MISS FT by HENSON,JONATHAN(fastbreak)",,,"MISS FT by HENSON,JONATHAN(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:51,,,,,"SUB OUT by STORM,CHARLIE",,,"SUB OUT by STORM,CHARLIE",2
00:51,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",2
00:51,,46,,53 (+7),"GOOD FT by HENSON,JONATHAN(fastbreak)",SU 46-53 (-7),,"GOOD FT by HENSON,JONATHAN(fastbreak)",2
00:45,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND DEF by BRADFORD,CADEN",,,"REBOUND DEF by BRADFORD,CADEN",2
00:34,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
00:34,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
00:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:33,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
00:33,,,,,"MISS FT by BYRON,MARLIN",,,"MISS FT by BYRON,MARLIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:33,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
00:33,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
00:33,,46,,54 (+8),"GOOD FT by BYRON,MARLIN",SU 46-54 (-8),,"GOOD FT by BYRON,MARLIN",2
00:26,,,,,"FOUL  by DILLARD,ANTHONY",,,"FOUL  by DILLARD,ANTHONY",2
00:26,,,,,"SUB OUT by DILLARD,ANTHONY",,,"SUB OUT by DILLARD,ANTHONY",2
00:26,,,,,"SUB IN by STORM,CHARLIE",,,"SUB IN by STORM,CHARLIE",2
00:26,"GOOD FT by WILSON,DREW(fastbreak)",47,,54 (+7),,Centre 47-54 (-7),,"GOOD FT by WILSON,DREW(fastbreak)",2
00:26,"MISS FT by WILSON,DREW(fastbreak)",,,,,,,"MISS FT by WILSON,DREW(fastbreak)",2
--,"REBOUND OFF by MARKHAM,DRU",,,,,,,"REBOUND OFF by MARKHAM,DRU",2
00:25,,,,,"FOUL  by BRADFORD,CADEN",,,"FOUL  by BRADFORD,CADEN",2
00:25,"MISS FT by MARKHAM,DRU",,,,,,,"MISS FT by MARKHAM,DRU",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:25,,,,,"SUB OUT by BYRON,MARLIN",,,"SUB OUT by BYRON,MARLIN",2
