Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
20:00,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
20:00,"SUB OUT by MAYBRUN,KYLE",,,,,,,"SUB OUT by MAYBRUN,KYLE",2
20:00,"SUB OUT by LARSEN,COOPER",,,,,,,"SUB OUT by LARSEN,COOPER",2
20:00,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",2
20:00,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",2
19:35,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",2
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",2
19:23,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",2
--,"REBOUND OFF by CIURLIK,DECLAN",,,,,,,"REBOUND OFF by CIURLIK,DECLAN",2
19:16,"MISS JUMPER by BASS,TYLER(in the paint)",,,,,,,"MISS JUMPER by BASS,TYLER(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
19:08,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
18:40,"MISS LAYUP by SABET,ALI(in the paint)",,,,,,,"MISS LAYUP by SABET,ALI(in the paint)",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
18:25,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",2
18:24,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",2
18:03,"TURNOVER  by CIURLIK,DECLAN",,,,,,,"TURNOVER  by CIURLIK,DECLAN",2
17:42,,25,,30 (+5),"GOOD JUMPER by BAUGHMAN,CARTER",Centre 25-30 (+5),,"GOOD JUMPER by BAUGHMAN,CARTER",2
17:33,"MISS LAYUP by BASS,TYLER(in the paint)",,,,,,,"MISS LAYUP by BASS,TYLER(in the paint)",2
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",2
17:30,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",27,,30 (+3),,LOR 27-30 (+3),,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",2
17:04,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",2
16:56,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",2
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",2
16:52,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",29,,30 (+1),,LOR 29-30 (+1),,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",2
16:25,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",2
16:12,"MISS JUMPER by BARRY,MYLES(in the paint)",,,,,,,"MISS JUMPER by BARRY,MYLES(in the paint)",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
16:03,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
15:56,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
15:41,,29,,33 (+4),"GOOD 3PTR by RING,NOAH",Centre 29-33 (+4),,"GOOD 3PTR by RING,NOAH",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
15:26,"MISS LAYUP by BASS,TYLER(in the paint)",,,,,,,"MISS LAYUP by BASS,TYLER(in the paint)",2
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",2
15:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:24,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
15:24,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
15:24,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
15:24,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
15:24,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",2
15:24,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
15:24,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",2
15:24,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",2
15:15,"MISS 3PTR by CIURLIK,DECLAN",,,,,,,"MISS 3PTR by CIURLIK,DECLAN",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
14:58,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,"REBOUND DEF by CIURLIK,DECLAN",,,,,,,"REBOUND DEF by CIURLIK,DECLAN",2
14:49,"MISS LAYUP by PEARSON,JARED(in the paint)",,,,,,,"MISS LAYUP by PEARSON,JARED(in the paint)",2
14:49,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",2
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",2
14:39,,,,,"TURNOVER  by MARKHAM,DRU",,,"TURNOVER  by MARKHAM,DRU",2
14:39,"STEAL  by CIURLIK,DECLAN",,,,,,,"STEAL  by CIURLIK,DECLAN",2
14:33,"MISS LAYUP by PEARSON,JARED(in the paint)",,,,,,,"MISS LAYUP by PEARSON,JARED(in the paint)",2
14:33,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",2
--,"REBOUND OFF by PEARSON,JARED",,,,,,,"REBOUND OFF by PEARSON,JARED",2
14:33,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",2
14:33,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",2
14:22,"FOUL  by SARVIS,GAVIN",,,,,,,"FOUL  by SARVIS,GAVIN",2
14:22,"TURNOVER  by SARVIS,GAVIN",,,,,,,"TURNOVER  by SARVIS,GAVIN",2
14:05,"FOUL  by SARVIS,GAVIN",,,,,,,"FOUL  by SARVIS,GAVIN",2
14:05,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:05,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",2
14:05,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",2
14:05,,29,,34 (+5),"GOOD FT by STINNETT,CADE",Centre 29-34 (+5),,"GOOD FT by STINNETT,CADE",2
13:45,"MISS 3PTR by PEARSON,JARED",,,,,,,"MISS 3PTR by PEARSON,JARED",2
--,"REBOUND OFF by DEERING,ZACH",,,,,,,"REBOUND OFF by DEERING,ZACH",2
13:44,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
13:44,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
13:44,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",2
13:44,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",2
13:41,"MISS 3PTR by BARRY,MYLES",,,,,,,"MISS 3PTR by BARRY,MYLES",2
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",2
13:39,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",2
13:39,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
13:39,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
13:26,"MISS 3PTR by PEARSON,JARED",,,,,,,"MISS 3PTR by PEARSON,JARED",2
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",2
13:04,"FOUL  by SARVIS,GAVIN",,,,,,,"FOUL  by SARVIS,GAVIN",2
13:04,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",2
13:04,"SUB IN by MAYBRUN,KYLE",,,,,,,"SUB IN by MAYBRUN,KYLE",2
12:58,,,,,"MISS JUMPER by STINNETT,CADE",,,"MISS JUMPER by STINNETT,CADE",2
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",2
12:52,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
12:45,"MISS JUMPER by SINGLETON,ALEX(in the paint)",,,,,,,"MISS JUMPER by SINGLETON,ALEX(in the paint)",2
--,"REBOUND OFF by DEERING,ZACH",,,,,,,"REBOUND OFF by DEERING,ZACH",2
12:45,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
12:45,"MISS FT by DEERING,ZACH",,,,,,,"MISS FT by DEERING,ZACH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:45,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
12:45,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
12:45,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
12:45,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
12:43,"MISS FT by DEERING,ZACH",,,,,,,"MISS FT by DEERING,ZACH",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
12:43,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",2
12:43,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
12:43,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",2
12:43,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",2
12:37,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
12:29,"TURNOVER  by PEARSON,JARED",,,,,,,"TURNOVER  by PEARSON,JARED",2
12:16,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",2
11:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:49,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
11:49,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
11:49,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",2
11:49,"SUB OUT by MAYBRUN,KYLE",,,,,,,"SUB OUT by MAYBRUN,KYLE",2
11:49,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",2
11:49,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",2
11:46,"GOOD LAYUP by CIURLIK,DECLAN(in the paint)",31,,34 (+3),,LOR 31-34 (+3),,"GOOD LAYUP by CIURLIK,DECLAN(in the paint)",2
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",2
11:14,,31,,37 (+6),"GOOD 3PTR by COLEMAN,HUNTER",Centre 31-37 (+6),,"GOOD 3PTR by COLEMAN,HUNTER",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
10:50,"GOOD JUMPER by BARRY,MYLES(in the paint)",33,,37 (+4),,LOR 33-37 (+4),,"GOOD JUMPER by BARRY,MYLES(in the paint)",2
10:33,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
10:33,"STEAL  by BARRY,MYLES",,,,,,,"STEAL  by BARRY,MYLES",2
10:18,"MISS LAYUP by BASS,TYLER(in the paint)",,,,,,,"MISS LAYUP by BASS,TYLER(in the paint)",2
10:18,,,,,"BLOCK  by KNOCHELMANN,PETE",,,"BLOCK  by KNOCHELMANN,PETE",2
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",2
10:11,,,,,"MISS 3PTR by MARKHAM,DRU",,,"MISS 3PTR by MARKHAM,DRU",2
--,"REBOUND DEF by CIURLIK,DECLAN",,,,,,,"REBOUND DEF by CIURLIK,DECLAN",2
10:01,"MISS 3PTR by BARRY,MYLES",,,,,,,"MISS 3PTR by BARRY,MYLES",2
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",2
09:52,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",2
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",2
09:50,"FOUL  by SINGLETON,ALEX",,,,,,,"FOUL  by SINGLETON,ALEX",2
09:50,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
09:50,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
09:50,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
09:50,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",2
09:35,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by CIURLIK,DECLAN",,,,,,,"REBOUND DEF by CIURLIK,DECLAN",2
09:27,"GOOD 3PTR by BARRY,MYLES",36,,37 (+1),,LOR 36-37 (+1),,"GOOD 3PTR by BARRY,MYLES",2
09:08,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
08:54,"MISS 3PTR by CIURLIK,DECLAN",,,,,,,"MISS 3PTR by CIURLIK,DECLAN",2
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",2
08:52,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
08:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:52,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
08:52,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
08:52,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",2
08:52,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",2
08:35,"TURNOVER  by PEARSON,JARED",,,,,,,"TURNOVER  by PEARSON,JARED",2
08:35,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",2
08:17,,36,,40 (+4),"GOOD 3PTR by TAYLOR,MARSHALL",Centre 36-40 (+4),,"GOOD 3PTR by TAYLOR,MARSHALL",2
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",2
07:55,"GOOD 3PTR by PEARSON,JARED",39,,40 (+1),,LOR 39-40 (+1),,"GOOD 3PTR by PEARSON,JARED",2
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",2
07:38,,39,,42 (+3),"GOOD LAYUP by RING,NOAH(in the paint)",Centre 39-42 (+3),,"GOOD LAYUP by RING,NOAH(in the paint)",2
--,,,,,"ASSIST  by COLEMAN,HUNTER",,,"ASSIST  by COLEMAN,HUNTER",2
07:20,"GOOD JUMPER by BASS,TYLER(in the paint)",41,,42 (+1),,LOR 41-42 (+1),,"GOOD JUMPER by BASS,TYLER(in the paint)",2
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",2
07:01,,,,,"MISS DUNK by RING,NOAH(in the paint)",,,"MISS DUNK by RING,NOAH(in the paint)",2
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",2
06:58,,41,,44 (+3),"GOOD LAYUP by RING,NOAH(in the paint)",Centre 41-44 (+3),,"GOOD LAYUP by RING,NOAH(in the paint)",2
06:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:43,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
06:43,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
06:43,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",2
06:43,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",2
06:38,"GOOD JUMPER by BASS,TYLER",43,,44 (+1),,LOR 43-44 (+1),,"GOOD JUMPER by BASS,TYLER",2
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",2
06:20,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
06:20,"STEAL  by BASS,TYLER",,,,,,,"STEAL  by BASS,TYLER",2
06:16,"TURNOVER  by BASS,TYLER",,,,,,,"TURNOVER  by BASS,TYLER",2
06:16,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",2
05:59,,43,,47 (+4),"GOOD 3PTR by TAYLOR,MARSHALL",Centre 43-47 (+4),,"GOOD 3PTR by TAYLOR,MARSHALL",2
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",2
05:34,"MISS LAYUP by SABET,ALI(in the paint)",,,,,,,"MISS LAYUP by SABET,ALI(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
05:13,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",2
05:13,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",2
05:13,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",2
05:04,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",2
05:04,,,,,"MISS FT by TAYLOR,MARSHALL",,,"MISS FT by TAYLOR,MARSHALL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:04,,43,,48 (+5),"GOOD FT by TAYLOR,MARSHALL",Centre 43-48 (+5),,"GOOD FT by TAYLOR,MARSHALL",2
04:37,"GOOD 3PTR by CIURLIK,DECLAN",46,,48 (+2),,LOR 46-48 (+2),,"GOOD 3PTR by CIURLIK,DECLAN",2
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",2
04:23,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",2
04:13,"GOOD 3PTR by PEARSON,JARED",49 (+1),,48,,LOR 49-48 (-1),,"GOOD 3PTR by PEARSON,JARED",2
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",2
03:46,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",2
03:38,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
03:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:38,"GOOD FT by SINGLETON,ALEX",50 (+2),,48,,LOR 50-48 (-2),,"GOOD FT by SINGLETON,ALEX",2
03:38,"MISS FT by SINGLETON,ALEX",,,,,,,"MISS FT by SINGLETON,ALEX",2
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",2
03:36,"MISS LAYUP by BASS,TYLER(in the paint)",,,,,,,"MISS LAYUP by BASS,TYLER(in the paint)",2
03:36,,,,,"BLOCK  by MOORE,CHEZ",,,"BLOCK  by MOORE,CHEZ",2
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",2
03:33,"GOOD 3PTR by PEARSON,JARED",53 (+5),,48,,LOR 53-48 (-5),,"GOOD 3PTR by PEARSON,JARED",2
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",2
03:08,,53 (+3),,50,"GOOD JUMPER by TAYLOR,MARSHALL",Centre 53-50 (-3),,"GOOD JUMPER by TAYLOR,MARSHALL",2
02:51,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",2
02:51,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
02:46,,53 (+1),,52,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 53-52 (-1),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",2
02:27,"GOOD 3PTR by PEARSON,JARED",56 (+4),,52,,LOR 56-52 (-4),,"GOOD 3PTR by PEARSON,JARED",2
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",2
02:01,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
01:51,"MISS 3PTR by PEARSON,JARED",,,,,,,"MISS 3PTR by PEARSON,JARED",2
--,"REBOUND OFF by BARRY,MYLES",,,,,,,"REBOUND OFF by BARRY,MYLES",2
01:43,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
01:33,"FOUL TECH by SINGLETON,ALEX",,,,,,,"FOUL TECH by SINGLETON,ALEX",2
01:33,,56 (+3),,53,"GOOD FT by BAUGHMAN,CARTER",Centre 56-53 (-3),,"GOOD FT by BAUGHMAN,CARTER",2
01:16,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",2
01:15,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",2
01:15,"GOOD FT by SINGLETON,ALEX",57 (+4),,53,,LOR 57-53 (-4),,"GOOD FT by SINGLETON,ALEX",2
01:15,"GOOD FT by SINGLETON,ALEX",58 (+5),,53,,LOR 58-53 (-5),,"GOOD FT by SINGLETON,ALEX",2
01:02,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",2
00:37,"GOOD LAYUP by BASS,TYLER(in the paint)",60 (+7),,53,,LOR 60-53 (-7),,"GOOD LAYUP by BASS,TYLER(in the paint)",2
--,"ASSIST  by PEARSON,JARED",,,,,,,"ASSIST  by PEARSON,JARED",2
00:26,,60 (+5),,55,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",Centre 60-55 (-5),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
00:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:26,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
00:26,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
00:26,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
00:26,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
00:26,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
00:26,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",2
00:24,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",2
00:24,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
00:24,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
00:24,"GOOD FT by SABET,ALI",61 (+6),,55,,LOR 61-55 (-6),,"GOOD FT by SABET,ALI",2
00:24,"GOOD FT by SABET,ALI",62 (+7),,55,,LOR 62-55 (-7),,"GOOD FT by SABET,ALI",2
00:24,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",2
00:24,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",2
00:14,,62 (+5),,57,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",Centre 62-57 (-5),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
00:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:14,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
00:14,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
00:14,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
00:14,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",2
00:10,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
00:10,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
00:10,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
00:10,"GOOD FT by SABET,ALI",63 (+6),,57,,LOR 63-57 (-6),,"GOOD FT by SABET,ALI",2
00:10,"MISS FT by SABET,ALI",,,,,,,"MISS FT by SABET,ALI",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
