Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
17:31,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",2
17:31,,,,,"STEAL  by AUSTIN,DENZEL",,,"STEAL  by AUSTIN,DENZEL",2
17:23,,30,,42 (+12),"GOOD JUMPER by BILBO,KJ(in the paint)",LC 30-42 (-12),,"GOOD JUMPER by BILBO,KJ(in the paint)",2
--,,,,,"ASSIST  by RHONE,JAYLEN",,,"ASSIST  by RHONE,JAYLEN",2
17:08,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",2
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",2
16:55,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",2
16:55,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",2
16:55,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",2
16:38,,30,,44 (+14),"GOOD JUMPER by RHONE,JAYLEN(in the paint)",LC 30-44 (-14),,"GOOD JUMPER by RHONE,JAYLEN(in the paint)",2
--,,,,,"ASSIST  by BLAKES,LOUIS",,,"ASSIST  by BLAKES,LOUIS",2
16:22,"MISS JUMPER by BERRY,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BERRY,BRYCE(in the paint)",2
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",2
16:14,,30,,46 (+16),"GOOD JUMPER by RHONE,JAYLEN(fastbreak)(in the paint)",LC 30-46 (-16),,"GOOD JUMPER by RHONE,JAYLEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BLAKES,LOUIS",,,"ASSIST  by BLAKES,LOUIS",2
16:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
16:10,,,,,"SUB OUT by RHONE,JAYLEN",,,"SUB OUT by RHONE,JAYLEN",2
16:10,,,,,"SUB IN by BAKER,KAE'RON",,,"SUB IN by BAKER,KAE'RON",2
15:52,,,,,"FOUL  by BLAKES,LOUIS",,,"FOUL  by BLAKES,LOUIS",2
15:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:52,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
15:52,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
15:52,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",2
15:52,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
15:52,"MISS FT by BERRY,BRYCE",,,,,,,"MISS FT by BERRY,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:52,"GOOD FT by BERRY,BRYCE",31,,46 (+15),,Rhodes 31-46 (-15),,"GOOD FT by BERRY,BRYCE",2
15:32,,,,,"TURNOVER  by WALLACE,K.D.",,,"TURNOVER  by WALLACE,K.D.",2
15:32,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",2
15:32,,,,,"SUB IN by CALAIS,DONALD",,,"SUB IN by CALAIS,DONALD",2
15:23,"GOOD 3PTR by WILEY,KOKI",34,,46 (+12),,Rhodes 34-46 (-12),,"GOOD 3PTR by WILEY,KOKI",2
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",2
15:03,,,,,"SUB OUT by CALAIS,DONALD",,,"SUB OUT by CALAIS,DONALD",2
15:03,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",2
14:58,,,,,"TURNOVER  by AUSTIN,DENZEL",,,"TURNOVER  by AUSTIN,DENZEL",2
14:58,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",2
14:46,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",2
14:46,,,,,"BLOCK  by BLAKES,LOUIS",,,"BLOCK  by BLAKES,LOUIS",2
14:41,,,,,"FOUL  by AUSTIN,DENZEL",,,"FOUL  by AUSTIN,DENZEL",2
14:41,,,,,"TURNOVER  by AUSTIN,DENZEL",,,"TURNOVER  by AUSTIN,DENZEL",2
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",2
14:25,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",2
14:25,"GOOD FT by WILEY,KOKI",35,,46 (+11),,Rhodes 35-46 (-11),,"GOOD FT by WILEY,KOKI",2
14:25,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",2
14:25,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",2
14:25,"GOOD FT by WILEY,KOKI",36,,46 (+10),,Rhodes 36-46 (-10),,"GOOD FT by WILEY,KOKI",2
14:25,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
14:25,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
13:53,,36,,48 (+12),"GOOD LAYUP by BILBO,KJ(in the paint)",LC 36-48 (-12),,"GOOD LAYUP by BILBO,KJ(in the paint)",2
13:35,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",2
--,"REBOUND OFF by PIPPENGER,WILEY",,,,,,,"REBOUND OFF by PIPPENGER,WILEY",2
13:25,"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",38,,48 (+10),,Rhodes 38-48 (-10),,"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",2
13:19,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
13:19,,38,,49 (+11),"GOOD FT by BAKER,KAE'RON(fastbreak)",LC 38-49 (-11),,"GOOD FT by BAKER,KAE'RON(fastbreak)",2
13:19,,,,,"SUB OUT by BLAKES,LOUIS",,,"SUB OUT by BLAKES,LOUIS",2
13:19,,,,,"SUB IN by RHONE,JAYLEN",,,"SUB IN by RHONE,JAYLEN",2
13:19,"SUB OUT by PIPPENGER,WILEY",,,,,,,"SUB OUT by PIPPENGER,WILEY",2
13:19,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",2
13:19,,38,,50 (+12),"GOOD FT by BAKER,KAE'RON(fastbreak)",LC 38-50 (-12),,"GOOD FT by BAKER,KAE'RON(fastbreak)",2
13:06,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",2
13:06,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",2
13:06,,,,,"SUB IN by BROUSSARD,KEANDRE",,,"SUB IN by BROUSSARD,KEANDRE",2
13:06,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
13:06,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
12:57,,38,,52 (+14),"GOOD JUMPER by AUSTIN,DENZEL",LC 38-52 (-14),,"GOOD JUMPER by AUSTIN,DENZEL",2
--,,,,,"ASSIST  by RHONE,JAYLEN",,,"ASSIST  by RHONE,JAYLEN",2
12:45,"GOOD JUMPER by WILEY,KOKI",40,,52 (+12),,Rhodes 40-52 (-12),,"GOOD JUMPER by WILEY,KOKI",2
12:21,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
12:04,,40,,54 (+14),"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",LC 40-54 (-14),,"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",2
--,,,,,"ASSIST  by RHONE,JAYLEN",,,"ASSIST  by RHONE,JAYLEN",2
11:51,,,,,"FOUL  by BAKER,KAE'RON",,,"FOUL  by BAKER,KAE'RON",2
11:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:51,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:51,"GOOD FT by ESSICK,JALEN",41,,54 (+13),,Rhodes 41-54 (-13),,"GOOD FT by ESSICK,JALEN",2
11:51,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
11:51,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
11:51,"GOOD FT by ESSICK,JALEN",42,,54 (+12),,Rhodes 42-54 (-12),,"GOOD FT by ESSICK,JALEN",2
11:36,,,,,"MISS 3PTR by AUSTIN,DENZEL",,,"MISS 3PTR by AUSTIN,DENZEL",2
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",2
11:26,"MISS 3PTR by GIROUX,PRESTON",,,,,,,"MISS 3PTR by GIROUX,PRESTON",2
--,,,,,"REBOUND DEF by BILBO,KJ",,,"REBOUND DEF by BILBO,KJ",2
11:13,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",2
11:13,,42,,55 (+13),"GOOD FT by AUSTIN,DENZEL",LC 42-55 (-13),,"GOOD FT by AUSTIN,DENZEL",2
11:13,,,,,"SUB OUT by BROUSSARD,KEANDRE",,,"SUB OUT by BROUSSARD,KEANDRE",2
11:13,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",2
11:13,,42,,56 (+14),"GOOD FT by AUSTIN,DENZEL",LC 42-56 (-14),,"GOOD FT by AUSTIN,DENZEL",2
11:13,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",2
11:13,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",2
11:01,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",2
--,,,,,"REBOUND DEF by RHONE,JAYLEN",,,"REBOUND DEF by RHONE,JAYLEN",2
10:56,,42,,58 (+16),"GOOD LAYUP by RHONE,JAYLEN(fastbreak)(in the paint)",LC 42-58 (-16),,"GOOD LAYUP by RHONE,JAYLEN(fastbreak)(in the paint)",2
10:41,"GOOD LAYUP by SHEN,KEVIN(in the paint)",44,,58 (+14),,Rhodes 44-58 (-14),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",2
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",2
10:17,,,,,"MISS LAYUP by AUSTIN,DENZEL(in the paint)",,,"MISS LAYUP by AUSTIN,DENZEL(in the paint)",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
10:11,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",46,,58 (+12),,Rhodes 46-58 (-12),,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
10:11,,,,,"FOUL  by BILBO,KJ",,,"FOUL  by BILBO,KJ",2
10:11,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
10:11,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
10:11,"GOOD FT by GIROUX,PRESTON(fastbreak)",47,,58 (+11),,Rhodes 47-58 (-11),,"GOOD FT by GIROUX,PRESTON(fastbreak)",2
09:46,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",2
09:46,,47,,59 (+12),"GOOD FT by BILBO,KJ",LC 47-59 (-12),,"GOOD FT by BILBO,KJ",2
09:46,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",2
09:46,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
09:46,,,,,"MISS FT by BILBO,KJ",,,"MISS FT by BILBO,KJ",2
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",2
09:38,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",2
09:38,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",2
09:38,,,,,"SUB IN by BAKER,KAE'RON",,,"SUB IN by BAKER,KAE'RON",2
09:20,,,,,"TURNOVER  by BLAKES,LOUIS",,,"TURNOVER  by BLAKES,LOUIS",2
09:13,"GOOD JUMPER by ESSICK,JALEN(in the paint)",49,,59 (+10),,Rhodes 49-59 (-10),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",2
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",2
08:56,,,,,"MISS LAYUP by BLAKES,LOUIS(in the paint)",,,"MISS LAYUP by BLAKES,LOUIS(in the paint)",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
08:46,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",2
--,,,,,"REBOUND DEF by BAKER,KAE'RON",,,"REBOUND DEF by BAKER,KAE'RON",2
08:29,,49,,62 (+13),"GOOD 3PTR by RHONE,JAYLEN",LC 49-62 (-13),,"GOOD 3PTR by RHONE,JAYLEN",2
--,,,,,"ASSIST  by BAKER,KAE'RON",,,"ASSIST  by BAKER,KAE'RON",2
08:13,"GOOD 3PTR by NESTLEHUTT,JAKE",52,,62 (+10),,Rhodes 52-62 (-10),,"GOOD 3PTR by NESTLEHUTT,JAKE",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
07:49,,52,,64 (+12),"GOOD JUMPER by BAKER,KAE'RON(in the paint)",LC 52-64 (-12),,"GOOD JUMPER by BAKER,KAE'RON(in the paint)",2
07:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:40,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",2
07:40,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",2
07:30,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by BAKER,KAE'RON",,,"REBOUND DEF by BAKER,KAE'RON",2
07:08,,52,,66 (+14),"GOOD JUMPER by RHONE,JAYLEN(in the paint)",LC 52-66 (-14),,"GOOD JUMPER by RHONE,JAYLEN(in the paint)",2
06:50,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",2
--,,,,,"REBOUND DEF by RHONE,JAYLEN",,,"REBOUND DEF by RHONE,JAYLEN",2
06:22,,,,,"MISS JUMPER by BAKER,KAE'RON",,,"MISS JUMPER by BAKER,KAE'RON",2
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",2
06:06,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",2
06:01,,52,,68 (+16),"GOOD LAYUP by BLAKES,LOUIS(fastbreak)(in the paint)",LC 52-68 (-16),,"GOOD LAYUP by BLAKES,LOUIS(fastbreak)(in the paint)",2
06:01,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",2
06:01,,52,,69 (+17),"GOOD FT by BLAKES,LOUIS(fastbreak)",LC 52-69 (-17),,"GOOD FT by BLAKES,LOUIS(fastbreak)",2
06:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:01,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",2
06:01,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",2
06:01,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
06:01,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
06:01,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
06:01,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",2
05:40,"GOOD LAYUP by BERRY,BRYCE(in the paint)",54,,69 (+15),,Rhodes 54-69 (-15),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",2
05:07,,,,,"MISS JUMPER by RHONE,JAYLEN(in the paint)",,,"MISS JUMPER by RHONE,JAYLEN(in the paint)",2
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",2
04:49,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",2
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",2
04:22,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",2
04:22,,,,,"MISS FT by RHONE,JAYLEN",,,"MISS FT by RHONE,JAYLEN",2
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",2
04:14,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",56,,69 (+13),,Rhodes 56-69 (-13),,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",2
03:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:45,,,,,"TURNOVER  by AMES,TREY",,,"TURNOVER  by AMES,TREY",2
03:45,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",2
03:45,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",2
03:45,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
03:45,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
03:37,,,,,"FOUL  by BILBO,KJ",,,"FOUL  by BILBO,KJ",2
03:37,"GOOD FT by GIROUX,PRESTON(fastbreak)",57,,69 (+12),,Rhodes 57-69 (-12),,"GOOD FT by GIROUX,PRESTON(fastbreak)",2
03:37,"GOOD FT by GIROUX,PRESTON(fastbreak)",58,,69 (+11),,Rhodes 58-69 (-11),,"GOOD FT by GIROUX,PRESTON(fastbreak)",2
03:20,,,,,"MISS LAYUP by BILBO,KJ(in the paint)",,,"MISS LAYUP by BILBO,KJ(in the paint)",2
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",2
03:12,"GOOD JUMPER by WEATHERFORD,MITCH(fastbreak)",60,,69 (+9),,Rhodes 60-69 (-9),,"GOOD JUMPER by WEATHERFORD,MITCH(fastbreak)",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
02:51,,60,,71 (+11),"GOOD LAYUP by BLAKES,LOUIS(in the paint)",LC 60-71 (-11),,"GOOD LAYUP by BLAKES,LOUIS(in the paint)",2
02:38,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by BILBO,KJ",,,"REBOUND DEF by BILBO,KJ",2
02:28,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
02:28,,,,,"SUB OUT by BLAKES,LOUIS",,,"SUB OUT by BLAKES,LOUIS",2
02:28,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",2
02:28,,60,,72 (+12),"GOOD FT by BAKER,KAE'RON",LC 60-72 (-12),,"GOOD FT by BAKER,KAE'RON",2
02:28,,,,,"MISS FT by BAKER,KAE'RON",,,"MISS FT by BAKER,KAE'RON",2
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",2
02:28,,,,,"FOUL  by BILBO,KJ",,,"FOUL  by BILBO,KJ",2
02:28,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",2
02:28,,,,,"SUB IN by MURPHY,C.J.",,,"SUB IN by MURPHY,C.J.",2
02:28,"GOOD FT by GIROUX,PRESTON",61,,72 (+11),,Rhodes 61-72 (-11),,"GOOD FT by GIROUX,PRESTON",2
02:27,"GOOD FT by GIROUX,PRESTON",62,,72 (+10),,Rhodes 62-72 (-10),,"GOOD FT by GIROUX,PRESTON",2
02:27,,,,,"SUB OUT by RHONE,JAYLEN",,,"SUB OUT by RHONE,JAYLEN",2
02:27,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",2
01:55,,,,,"MISS 3PTR by BAKER,KAE'RON",,,"MISS 3PTR by BAKER,KAE'RON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:55,,,,,"SUB OUT by BLAKES,LOUIS",,,"SUB OUT by BLAKES,LOUIS",2
01:55,,,,,"SUB IN by RHONE,JAYLEN",,,"SUB IN by RHONE,JAYLEN",2
01:46,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",64,,72 (+8),,Rhodes 64-72 (-8),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",2
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",2
01:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:46,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",2
01:46,,,,,"SUB OUT by RHONE,JAYLEN",,,"SUB OUT by RHONE,JAYLEN",2
01:46,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",2
01:46,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",2
01:46,,,,,"SUB IN by BAKER,KAE'RON",,,"SUB IN by BAKER,KAE'RON",2
01:46,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",2
01:46,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
01:46,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",2
01:46,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",2
01:46,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",2
01:23,,64,,74 (+10),"GOOD LAYUP by BAKER,KAE'RON(in the paint)",LC 64-74 (-10),,"GOOD LAYUP by BAKER,KAE'RON(in the paint)",2
01:15,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:58,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",2
00:58,,64,,75 (+11),"GOOD FT by BLAKES,LOUIS",LC 64-75 (-11),,"GOOD FT by BLAKES,LOUIS",2
00:58,,,,,"SUB OUT by MURPHY,C.J.",,,"SUB OUT by MURPHY,C.J.",2
00:58,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",2
00:58,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",2
00:58,,,,,"SUB IN by RHONE,JAYLEN",,,"SUB IN by RHONE,JAYLEN",2
00:58,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",2
00:58,"SUB OUT by PIPPENGER,WILEY",,,,,,,"SUB OUT by PIPPENGER,WILEY",2
00:58,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
00:58,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",2
00:58,,,,,"MISS FT by BLAKES,LOUIS",,,"MISS FT by BLAKES,LOUIS",2
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",2
00:47,"GOOD LAYUP by SHEN,KEVIN(in the paint)",66,,75 (+9),,Rhodes 66-75 (-9),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",2
00:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:41,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
00:41,,66,,76 (+10),"GOOD FT by BLAKES,LOUIS",LC 66-76 (-10),,"GOOD FT by BLAKES,LOUIS",2
00:41,,,,,"MISS FT by BLAKES,LOUIS",,,"MISS FT by BLAKES,LOUIS",2
--,,,,,"REBOUND OFF by MURPHY,C.J.",,,"REBOUND OFF by MURPHY,C.J.",2
00:41,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
00:41,,66,,77 (+11),"GOOD FT by AUSTIN,DENZEL(fastbreak)",LC 66-77 (-11),,"GOOD FT by AUSTIN,DENZEL(fastbreak)",2
00:41,,66,,78 (+12),"GOOD FT by AUSTIN,DENZEL(fastbreak)",LC 66-78 (-12),,"GOOD FT by AUSTIN,DENZEL(fastbreak)",2
00:36,"MISS 3PTR by GIROUX,PRESTON",,,,,,,"MISS 3PTR by GIROUX,PRESTON",2
--,,,,,"REBOUND DEF by AMES,TREY",,,"REBOUND DEF by AMES,TREY",2
