Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
05:37,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",2
05:19,,,,,"TURNOVER  by BRUMBAUGH,LUKE",,,"TURNOVER  by BRUMBAUGH,LUKE",2
05:05,"GOOD JUMPER by SHEN,KEVIN(in the paint)",53,,66 (+13),,RHODES 53-66 (-13),,"GOOD JUMPER by SHEN,KEVIN(in the paint)",2
04:49,,53,,69 (+16),"GOOD 3PTR by HILL,KAMERON",AC 53-69 (-16),,"GOOD 3PTR by HILL,KAMERON",2
--,,,,,"ASSIST  by ROLAND,DEVIN",,,"ASSIST  by ROLAND,DEVIN",2
04:33,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",2
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",2
04:25,,53,,71 (+18),"GOOD DUNK by HOLLAND,MICHAEL(in the paint)",AC 53-71 (-18),,"GOOD DUNK by HOLLAND,MICHAEL(in the paint)",2
04:15,"MISS 3PTR by GRUBBS,COBY",,,,,,,"MISS 3PTR by GRUBBS,COBY",2
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",2
04:11,"GOOD TIPIN by ESSICK,JALEN(in the paint)",55,,71 (+16),,RHODES 55-71 (-16),,"GOOD TIPIN by ESSICK,JALEN(in the paint)",2
03:54,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:52,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",2
03:52,"MISS FT by WEATHERFORD,MITCH",,,,,,,"MISS FT by WEATHERFORD,MITCH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:52,"MISS FT by WEATHERFORD,MITCH",,,,,,,"MISS FT by WEATHERFORD,MITCH",2
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",2
03:52,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
03:52,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",2
03:52,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",2
03:52,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",2
03:52,,,,,"SUB IN by PATIN,JAKE",,,"SUB IN by PATIN,JAKE",2
03:52,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",2
03:52,,,,,"SUB IN by STRICKLAND,ROMAN",,,"SUB IN by STRICKLAND,ROMAN",2
03:52,,,,,"SUB OUT by BRUMBAUGH,LUKE",,,"SUB OUT by BRUMBAUGH,LUKE",2
03:52,,,,,"SUB OUT by MERCADEL,JUSTICE",,,"SUB OUT by MERCADEL,JUSTICE",2
03:52,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",2
03:39,,,,,"MISS JUMPER by PATIN,JAKE",,,"MISS JUMPER by PATIN,JAKE",2
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",2
03:31,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by PATIN,JAKE",,,"REBOUND DEF by PATIN,JAKE",2
03:28,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",2
03:28,,55,,72 (+17),"GOOD FT by PATIN,JAKE",AC 55-72 (-17),,"GOOD FT by PATIN,JAKE",2
03:28,,,,,"MISS FT by PATIN,JAKE",,,"MISS FT by PATIN,JAKE",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
03:28,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",2
03:28,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
03:13,"GOOD LAYUP by ESSICK,JALEN(in the paint)",57,,72 (+15),,RHODES 57-72 (-15),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
02:53,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",2
02:53,,,,,"MISS FT by HOGAN,KAM",,,"MISS FT by HOGAN,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:53,,57,,73 (+16),"GOOD FT by HOGAN,KAM",AC 57-73 (-16),,"GOOD FT by HOGAN,KAM",2
02:53,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
02:53,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",2
02:53,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",2
02:53,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",2
02:41,,,,,"FOUL  by PATIN,JAKE",,,"FOUL  by PATIN,JAKE",2
02:41,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:41,"GOOD FT by ESSICK,JALEN",58,,73 (+15),,RHODES 58-73 (-15),,"GOOD FT by ESSICK,JALEN",2
02:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:41,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",2
02:41,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
02:34,,58,,75 (+17),"GOOD LAYUP by STRICKLAND,ROMAN(fastbreak)(in the paint)",AC 58-75 (-17),,"GOOD LAYUP by STRICKLAND,ROMAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by PATIN,JAKE",,,"ASSIST  by PATIN,JAKE",2
02:23,,,,,"FOUL  by PATIN,JAKE",,,"FOUL  by PATIN,JAKE",2
02:23,"GOOD FT by ESSICK,JALEN",59,,75 (+16),,RHODES 59-75 (-16),,"GOOD FT by ESSICK,JALEN",2
02:23,"GOOD FT by ESSICK,JALEN",60,,75 (+15),,RHODES 60-75 (-15),,"GOOD FT by ESSICK,JALEN",2
02:23,,,,,"SUB IN by BRUMBAUGH,LUKE",,,"SUB IN by BRUMBAUGH,LUKE",2
02:23,,,,,"SUB OUT by PATIN,JAKE",,,"SUB OUT by PATIN,JAKE",2
01:56,,60,,78 (+18),"GOOD 3PTR by STRICKLAND,ROMAN",AC 60-78 (-18),,"GOOD 3PTR by STRICKLAND,ROMAN",2
01:43,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",2
01:41,,,,,"STEAL  by HILL,KAMERON",,,"STEAL  by HILL,KAMERON",2
01:39,,60,,80 (+20),"GOOD LAYUP by HILL,KAMERON(fastbreak)(in the paint)",AC 60-80 (-20),,"GOOD LAYUP by HILL,KAMERON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by STRICKLAND,ROMAN",,,"ASSIST  by STRICKLAND,ROMAN",2
01:27,"GOOD LAYUP by GALVIN,OWEN(in the paint)",62,,80 (+18),,RHODES 62-80 (-18),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",2
01:26,,,,,"FOUL  by STRICKLAND,ROMAN",,,"FOUL  by STRICKLAND,ROMAN",2
01:26,"GOOD FT by GALVIN,OWEN",63,,80 (+17),,RHODES 63-80 (-17),,"GOOD FT by GALVIN,OWEN",2
00:47,,,,,"MISS LAYUP by HOLLAND,MICHAEL",,,"MISS LAYUP by HOLLAND,MICHAEL",2
--,,,,,"REBOUND OFF by STRICKLAND,ROMAN",,,"REBOUND OFF by STRICKLAND,ROMAN",2
00:44,,63,,82 (+19),"GOOD TIPIN by STRICKLAND,ROMAN(in the paint)",AC 63-82 (-19),,"GOOD TIPIN by STRICKLAND,ROMAN(in the paint)",2
00:18,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
00:17,,,,,"MISS JUMPER by HOGAN,KAM",,,"MISS JUMPER by HOGAN,KAM",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
00:12,"GOOD 3PTR by WALKER,JEFFERSON",66,,82 (+16),,RHODES 66-82 (-16),,"GOOD 3PTR by WALKER,JEFFERSON",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
