Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
08:17,"SUB IN by TABE,SEPHFAN",,,,,,,"SUB IN by TABE,SEPHFAN",1
08:17,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
08:17,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
08:17,"TURNOVER  by CHEATER,DILLON",,,,,,,"TURNOVER  by CHEATER,DILLON",1
08:14,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
07:54,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",1
07:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:54,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
07:54,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
07:37,,,,,"FOUL  by GORTON,MACK",,,"FOUL  by GORTON,MACK",1
07:37,,,,,"TURNOVER  by GORTON,MACK",,,"TURNOVER  by GORTON,MACK",1
07:37,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
07:37,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
07:21,"GOOD 3PTR by ELDRIDGE,TIM",24 (+10),,14,,UO 24-14 (-10),,"GOOD 3PTR by ELDRIDGE,TIM",1
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",1
07:07,"FOUL  by LOPEZ,ADAM",,,,,,,"FOUL  by LOPEZ,ADAM",1
07:07,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
07:07,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
07:07,"SUB OUT by ELDRIDGE,TIM",,,,,,,"SUB OUT by ELDRIDGE,TIM",1
07:07,"SUB IN by UKPE,JOSH",,,,,,,"SUB IN by UKPE,JOSH",1
07:02,,,,,"TURNOVER  by BONNECAZE,STEWART",,,"TURNOVER  by BONNECAZE,STEWART",1
07:02,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
07:02,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
06:56,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
06:56,"GOOD FT by NIX,GRAYSON(fastbreak)",25 (+11),,14,,UO 25-14 (-11),,"GOOD FT by NIX,GRAYSON(fastbreak)",1
06:56,"GOOD FT by NIX,GRAYSON(fastbreak)",26 (+12),,14,,UO 26-14 (-12),,"GOOD FT by NIX,GRAYSON(fastbreak)",1
06:56,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
06:56,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
06:36,,26 (+10),,16,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",Mill 26-16 (-10),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
06:11,"GOOD LAYUP by TABE,SEPHFAN(in the paint)",28 (+12),,16,,UO 28-16 (-12),,"GOOD LAYUP by TABE,SEPHFAN(in the paint)",1
06:01,,28 (+9),,19,"GOOD 3PTR by PHILLIPS JR,RODNEY",Mill 28-19 (-9),,"GOOD 3PTR by PHILLIPS JR,RODNEY",1
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",1
05:30,"TURNOVER  by TABE,SEPHFAN",,,,,,,"TURNOVER  by TABE,SEPHFAN",1
05:30,,,,,"STEAL  by PHILLIPS JR,RODNEY",,,"STEAL  by PHILLIPS JR,RODNEY",1
05:22,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
05:15,"MISS 3PTR by UKPE,JOSH",,,,,,,"MISS 3PTR by UKPE,JOSH",1
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",1
