Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",1
01:06,"GOOD DUNK by LITTLE,JAMES(in the paint)",30,,45 (+15),,Mill 30-45 (-15),,"GOOD DUNK by LITTLE,JAMES(in the paint)",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
00:47,,30,,48 (+18),"GOOD 3PTR by JAMES,JORDAN",OGL-M 30-48 (-18),,"GOOD 3PTR by JAMES,JORDAN",1
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",1
00:34,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by KEMP,MASON",,,"REBOUND DEF by KEMP,MASON",1
00:28,,,,,"MISS LAYUP by DOOLEY,MALACHI",,,"MISS LAYUP by DOOLEY,MALACHI",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
00:21,,,,,"FOUL  by KEMP,MASON",,,"FOUL  by KEMP,MASON",1
00:21,"GOOD FT by WATSON,DOUG",31,,48 (+17),,Mill 31-48 (-17),,"GOOD FT by WATSON,DOUG",1
00:21,"GOOD FT by WATSON,DOUG",32,,48 (+16),,Mill 32-48 (-16),,"GOOD FT by WATSON,DOUG",1
00:21,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
00:21,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
00:05,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,,,,,"REBOUND OFF by DOOLEY,MALACHI",,,"REBOUND OFF by DOOLEY,MALACHI",1
19:41,,32,,51 (+19),"GOOD 3PTR by JENEI,RYAN",OGL-M 32-51 (-19),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
19:25,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",2
19:23,,,,,"STEAL  by JAMES,JORDAN",,,"STEAL  by JAMES,JORDAN",2
19:19,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
19:19,,32,,52 (+20),"GOOD FT by EZIGBO,UBA",OGL-M 32-52 (-20),,"GOOD FT by EZIGBO,UBA",2
19:19,,32,,53 (+21),"GOOD FT by EZIGBO,UBA",OGL-M 32-53 (-21),,"GOOD FT by EZIGBO,UBA",2
19:09,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",2
18:55,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
18:35,,,,,"MISS 3PTR by BENNIFIELD,DYLAN",,,"MISS 3PTR by BENNIFIELD,DYLAN",2
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",2
18:27,"MISS LAYUP by URSIN,AARON",,,,,,,"MISS LAYUP by URSIN,AARON",2
--,,,,,"REBOUND DEF by JAMES,JORDAN",,,"REBOUND DEF by JAMES,JORDAN",2
18:25,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",2
18:10,,32,,56 (+24),"GOOD 3PTR by EZIGBO,UBA",OGL-M 32-56 (-24),,"GOOD 3PTR by EZIGBO,UBA",2
17:59,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",2
17:54,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",2
17:54,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:54,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
17:54,"SUB IN by LITTLE,JAMES",,,,,,,"SUB IN by LITTLE,JAMES",2
17:54,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
17:54,,,,,"SUB IN by CHERRY,GRIFFIN",,,"SUB IN by CHERRY,GRIFFIN",2
17:54,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",2
17:38,,,,,"MISS JUMPER by KEMP,JACKSON",,,"MISS JUMPER by KEMP,JACKSON",2
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",2
17:15,"GOOD 3PTR by LITTLE,JAMES",35,,56 (+21),,Mill 35-56 (-21),,"GOOD 3PTR by LITTLE,JAMES",2
17:04,,,,,"MISS 3PTR by JAMES,JORDAN",,,"MISS 3PTR by JAMES,JORDAN",2
--,"REBOUND DEF by LITTLE,JAMES",,,,,,,"REBOUND DEF by LITTLE,JAMES",2
16:52,"MISS JUMPER by BONNECAZE,STEWART",,,,,,,"MISS JUMPER by BONNECAZE,STEWART",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
16:42,,35,,59 (+24),"GOOD 3PTR by EZIGBO,UBA",OGL-M 35-59 (-24),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by JAMES,JORDAN",,,"ASSIST  by JAMES,JORDAN",2
16:19,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
16:19,"GOOD FT by GASCA,DAKOTA",36,,59 (+23),,Mill 36-59 (-23),,"GOOD FT by GASCA,DAKOTA",2
16:19,"GOOD FT by GASCA,DAKOTA",37,,59 (+22),,Mill 37-59 (-22),,"GOOD FT by GASCA,DAKOTA",2
16:19,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
16:19,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
15:52,,,,,"MISS LAYUP by JAMES,JORDAN",,,"MISS LAYUP by JAMES,JORDAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:47,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
15:47,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
15:22,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",2
15:22,"GOOD FT by STEPHEN,SETH",38,,59 (+21),,Mill 38-59 (-21),,"GOOD FT by STEPHEN,SETH",2
15:22,"GOOD FT by STEPHEN,SETH",39,,59 (+20),,Mill 39-59 (-20),,"GOOD FT by STEPHEN,SETH",2
15:07,,,,,"MISS 3PTR by JAMES,JORDAN",,,"MISS 3PTR by JAMES,JORDAN",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
15:00,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",41,,59 (+18),,Mill 41-59 (-18),,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",2
14:48,,41,,61 (+20),"GOOD LAYUP by JAMES,JORDAN(in the paint)",OGL-M 41-61 (-20),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
14:46,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
14:46,,41,,62 (+21),"GOOD FT by JAMES,JORDAN",OGL-M 41-62 (-21),,"GOOD FT by JAMES,JORDAN",2
14:46,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",2
14:46,,,,,"SUB IN by AWOLEYE,JONATHAN",,,"SUB IN by AWOLEYE,JONATHAN",2
14:46,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",2
14:46,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",2
14:46,,,,,"SUB IN by REISMAN,ROBERT",,,"SUB IN by REISMAN,ROBERT",2
14:46,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
14:46,,,,,"SUB OUT by CHERRY,GRIFFIN",,,"SUB OUT by CHERRY,GRIFFIN",2
14:46,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",2
14:46,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",2
14:46,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
14:38,"MISS LAYUP by LITTLE,JAMES",,,,,,,"MISS LAYUP by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
14:27,,41,,64 (+23),"GOOD LAYUP by REISMAN,ROBERT(in the paint)",OGL-M 41-64 (-23),,"GOOD LAYUP by REISMAN,ROBERT(in the paint)",2
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",2
14:24,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",2
14:24,,,,,"MISS FT by DOOLEY,MALACHI",,,"MISS FT by DOOLEY,MALACHI",2
--,"REBOUND DEF by LITTLE,JAMES",,,,,,,"REBOUND DEF by LITTLE,JAMES",2
14:24,,,,,"SUB IN by SMITH,BRENT",,,"SUB IN by SMITH,BRENT",2
14:24,,,,,"SUB OUT by REISMAN,ROBERT",,,"SUB OUT by REISMAN,ROBERT",2
14:07,"MISS 3PTR by HOGAN,TJ",,,,,,,"MISS 3PTR by HOGAN,TJ",2
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",2
14:00,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",2
--,"REBOUND OFF by JR,RODNEY PHILLIPS",,,,,,,"REBOUND OFF by JR,RODNEY PHILLIPS",2
13:54,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",43,,64 (+21),,Mill 43-64 (-21),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",2
13:43,,,,,"MISS JUMPER by SMITH,BRENT",,,"MISS JUMPER by SMITH,BRENT",2
--,"REBOUND DEF by LITTLE,JAMES",,,,,,,"REBOUND DEF by LITTLE,JAMES",2
13:34,"GOOD LAYUP by LITTLE,JAMES(fastbreak)(in the paint)",45,,64 (+19),,Mill 45-64 (-19),,"GOOD LAYUP by LITTLE,JAMES(fastbreak)(in the paint)",2
13:24,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",2
--,,,,,"REBOUND OFF by KEMP,MASON",,,"REBOUND OFF by KEMP,MASON",2
13:18,,,,,"MISS JUMPER by KEMP,MASON",,,"MISS JUMPER by KEMP,MASON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:15,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
13:15,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
13:04,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
13:04,,,,,"STEAL  by KEMP,MASON",,,"STEAL  by KEMP,MASON",2
12:49,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",2
12:49,,45,,65 (+20),"GOOD FT by AWOLEYE,JONATHAN",OGL-M 45-65 (-20),,"GOOD FT by AWOLEYE,JONATHAN",2
12:49,,45,,66 (+21),"GOOD FT by AWOLEYE,JONATHAN",OGL-M 45-66 (-21),,"GOOD FT by AWOLEYE,JONATHAN",2
12:49,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
12:49,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
12:49,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
12:49,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
12:49,"SUB OUT by LITTLE,JAMES",,,,,,,"SUB OUT by LITTLE,JAMES",2
12:49,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
12:43,"MISS 3PTR by ROTH,DREW",,,,,,,"MISS 3PTR by ROTH,DREW",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
12:26,,,,,"MISS LAYUP by AWOLEYE,JONATHAN",,,"MISS LAYUP by AWOLEYE,JONATHAN",2
12:26,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",2
12:13,"MISS 3PTR by ROTH,DREW",,,,,,,"MISS 3PTR by ROTH,DREW",2
--,"REBOUND OFF by JR,RODNEY PHILLIPS",,,,,,,"REBOUND OFF by JR,RODNEY PHILLIPS",2
12:09,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",47,,66 (+19),,Mill 47-66 (-19),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",2
11:47,,,,,"MISS 3PTR by KEMP,MASON",,,"MISS 3PTR by KEMP,MASON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:41,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:41,"SUB IN by JR,RODNEY PHILLIPS",,,,,,,"SUB IN by JR,RODNEY PHILLIPS",2
11:41,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
11:27,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",49,,66 (+17),,Mill 49-66 (-17),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",2
11:13,,49,,68 (+19),"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",OGL-M 49-68 (-19),,"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",2
10:49,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
10:48,,,,,"STEAL  by KEMP,MASON",,,"STEAL  by KEMP,MASON",2
10:45,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",2
10:45,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
10:45,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
10:36,,49,,70 (+21),"GOOD LAYUP by SMITH,BRENT(in the paint)",OGL-M 49-70 (-21),,"GOOD LAYUP by SMITH,BRENT(in the paint)",2
10:15,"MISS LAYUP by JR,RODNEY PHILLIPS",,,,,,,"MISS LAYUP by JR,RODNEY PHILLIPS",2
--,,,,,"REBOUND DEF by SMITH,BRENT",,,"REBOUND DEF by SMITH,BRENT",2
10:09,,,,,"TURNOVER  by SMITH,BRENT",,,"TURNOVER  by SMITH,BRENT",2
10:09,"STEAL  by JR,RODNEY PHILLIPS",,,,,,,"STEAL  by JR,RODNEY PHILLIPS",2
10:08,"GOOD 3PTR by JR,RODNEY PHILLIPS",52,,70 (+18),,Mill 52-70 (-18),,"GOOD 3PTR by JR,RODNEY PHILLIPS",2
--,"ASSIST  by HAUPT,KYLE",,,,,,,"ASSIST  by HAUPT,KYLE",2
09:54,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",2
09:54,,,,,"MISS FT by KEMP,MASON",,,"MISS FT by KEMP,MASON",2
--,"REBOUND DEF by STEPHEN,SETH",,,,,,,"REBOUND DEF by STEPHEN,SETH",2
09:54,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
09:54,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
09:54,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
09:54,,,,,"SUB IN by BENNIFIELD,DYLAN",,,"SUB IN by BENNIFIELD,DYLAN",2
09:54,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
09:54,,,,,"SUB IN by JAMES,JORDAN",,,"SUB IN by JAMES,JORDAN",2
09:54,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",2
09:54,,,,,"SUB OUT by AWOLEYE,JONATHAN",,,"SUB OUT by AWOLEYE,JONATHAN",2
09:54,,,,,"SUB OUT by HARRIS,TREY",,,"SUB OUT by HARRIS,TREY",2
09:54,,,,,"SUB OUT by SMITH,BRENT",,,"SUB OUT by SMITH,BRENT",2
09:33,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
09:33,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
09:33,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
09:33,,,,,"SUB IN by KEMP,JACKSON",,,"SUB IN by KEMP,JACKSON",2
09:33,,,,,"SUB OUT by KEMP,MASON",,,"SUB OUT by KEMP,MASON",2
09:21,,52,,73 (+21),"GOOD 3PTR by EZIGBO,UBA",OGL-M 52-73 (-21),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by KEMP,JACKSON",,,"ASSIST  by KEMP,JACKSON",2
09:04,"MISS 3PTR by JR,RODNEY PHILLIPS",,,,,,,"MISS 3PTR by JR,RODNEY PHILLIPS",2
--,,,,,"REBOUND DEF by BENNIFIELD,DYLAN",,,"REBOUND DEF by BENNIFIELD,DYLAN",2
08:55,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",2
--,"REBOUND DEF by JR,RODNEY PHILLIPS",,,,,,,"REBOUND DEF by JR,RODNEY PHILLIPS",2
08:46,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
08:45,,,,,"STEAL  by KEMP,JACKSON",,,"STEAL  by KEMP,JACKSON",2
08:41,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",2
08:41,,,,,"TURNOVER  by JAMES,JORDAN",,,"TURNOVER  by JAMES,JORDAN",2
08:41,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
08:41,"SUB IN by LITTLE,JAMES",,,,,,,"SUB IN by LITTLE,JAMES",2
08:41,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",2
08:41,"SUB OUT by JR,RODNEY PHILLIPS",,,,,,,"SUB OUT by JR,RODNEY PHILLIPS",2
08:41,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",2
08:41,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",2
08:35,"MISS JUMPER by LITTLE,JAMES",,,,,,,"MISS JUMPER by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
08:28,,52,,75 (+23),"GOOD LAYUP by HARRIS,TREY(fastbreak)(in the paint)",OGL-M 52-75 (-23),,"GOOD LAYUP by HARRIS,TREY(fastbreak)(in the paint)",2
08:25,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
08:25,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
08:12,"MISS LAYUP by LITTLE,JAMES",,,,,,,"MISS LAYUP by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
07:56,,52,,77 (+25),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OGL-M 52-77 (-25),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
07:45,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
07:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:44,"MISS 3PTR by LITTLE,JAMES",,,,,,,"MISS 3PTR by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by BENNIFIELD,DYLAN",,,"REBOUND DEF by BENNIFIELD,DYLAN",2
07:34,,52,,80 (+28),"GOOD 3PTR by EZIGBO,UBA",OGL-M 52-80 (-28),,"GOOD 3PTR by EZIGBO,UBA",2
07:09,"GOOD LAYUP by WATSON,DOUG(in the paint)",54,,80 (+26),,Mill 54-80 (-26),,"GOOD LAYUP by WATSON,DOUG(in the paint)",2
06:51,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",2
--,"REBOUND DEF by LITTLE,JAMES",,,,,,,"REBOUND DEF by LITTLE,JAMES",2
06:43,"MISS JUMPER by LITTLE,JAMES",,,,,,,"MISS JUMPER by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by BENNIFIELD,DYLAN",,,"REBOUND DEF by BENNIFIELD,DYLAN",2
06:29,,,,,"TURNOVER  by BENNIFIELD,DYLAN",,,"TURNOVER  by BENNIFIELD,DYLAN",2
06:28,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",2
06:23,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",2
06:23,"GOOD FT by LITTLE,JAMES",55,,80 (+25),,Mill 55-80 (-25),,"GOOD FT by LITTLE,JAMES",2
06:23,"MISS FT by LITTLE,JAMES",,,,,,,"MISS FT by LITTLE,JAMES",2
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",2
06:23,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
06:23,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
06:23,,,,,"SUB IN by SMITH,BRENT",,,"SUB IN by SMITH,BRENT",2
06:23,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",2
06:23,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",2
06:23,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
05:54,,,,,"MISS 3PTR by DOOLEY,MALACHI",,,"MISS 3PTR by DOOLEY,MALACHI",2
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",2
05:45,,,,,"TURNOVER  by DOOLEY,MALACHI",,,"TURNOVER  by DOOLEY,MALACHI",2
05:33,"MISS LAYUP by GASCA,DAKOTA",,,,,,,"MISS LAYUP by GASCA,DAKOTA",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
05:23,,55,,83 (+28),"GOOD 3PTR by JENEI,RYAN",OGL-M 55-83 (-28),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",2
05:07,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
05:07,,,,,"STEAL  by SMITH,BRENT",,,"STEAL  by SMITH,BRENT",2
05:05,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
05:05,,,,,"MISS FT by DOOLEY,MALACHI",,,"MISS FT by DOOLEY,MALACHI",2
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",2
05:05,"SUB IN by JR,RODNEY PHILLIPS",,,,,,,"SUB IN by JR,RODNEY PHILLIPS",2
05:05,"SUB OUT by LITTLE,JAMES",,,,,,,"SUB OUT by LITTLE,JAMES",2
04:59,"MISS LAYUP by GASCA,DAKOTA",,,,,,,"MISS LAYUP by GASCA,DAKOTA",2
04:59,,,,,"BLOCK  by SMITH,BRENT",,,"BLOCK  by SMITH,BRENT",2
--,"REBOUND OFF by GASCA,DAKOTA",,,,,,,"REBOUND OFF by GASCA,DAKOTA",2
04:45,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",2
04:32,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
04:32,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
04:22,,,,,"MISS 3PTR by SMITH,BRENT",,,"MISS 3PTR by SMITH,BRENT",2
--,"REBOUND DEF by JR,RODNEY PHILLIPS",,,,,,,"REBOUND DEF by JR,RODNEY PHILLIPS",2
04:11,"MISS LAYUP by HAUPT,KYLE",,,,,,,"MISS LAYUP by HAUPT,KYLE",2
--,"REBOUND OFF by GORTON,MACK",,,,,,,"REBOUND OFF by GORTON,MACK",2
04:09,"GOOD LAYUP by GORTON,MACK(in the paint)",57,,83 (+26),,Mill 57-83 (-26),,"GOOD LAYUP by GORTON,MACK(in the paint)",2
03:51,,57,,85 (+28),"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",OGL-M 57-85 (-28),,"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",2
03:38,"MISS 3PTR by HAUPT,KYLE",,,,,,,"MISS 3PTR by HAUPT,KYLE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:30,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
03:30,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
03:30,"SUB OUT by JR,RODNEY PHILLIPS",,,,,,,"SUB OUT by JR,RODNEY PHILLIPS",2
03:30,,,,,"SUB IN by O'DONOGHUE,TYLER",,,"SUB IN by O'DONOGHUE,TYLER",2
03:30,,,,,"SUB IN by CHERRY,GRIFFIN",,,"SUB IN by CHERRY,GRIFFIN",2
03:30,,,,,"SUB OUT by SMITH,BRENT",,,"SUB OUT by SMITH,BRENT",2
03:30,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",2
03:18,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",2
03:03,"GOOD LAYUP by GORTON,MACK(in the paint)",59,,85 (+26),,Mill 59-85 (-26),,"GOOD LAYUP by GORTON,MACK(in the paint)",2
02:45,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",2
02:37,,,,,"FOUL  by CHERRY,GRIFFIN",,,"FOUL  by CHERRY,GRIFFIN",2
02:37,"GOOD FT by BUSH,RODREEKAS",60,,85 (+25),,Mill 60-85 (-25),,"GOOD FT by BUSH,RODREEKAS",2
02:37,"GOOD FT by BUSH,RODREEKAS",61,,85 (+24),,Mill 61-85 (-24),,"GOOD FT by BUSH,RODREEKAS",2
