Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Whitm,Game Score,Team Indicator,Play,Period
20:00,,,,,"SUB OUT by CRUMP,WESTON",,,"SUB OUT by CRUMP,WESTON",2
20:00,,,,,"SUB OUT by EFE ISIK,ALI",,,"SUB OUT by EFE ISIK,ALI",2
20:00,,,,,"SUB IN by PAPE,ALEX",,,"SUB IN by PAPE,ALEX",2
20:00,,,,,"SUB IN by LINO,XZAVIER",,,"SUB IN by LINO,XZAVIER",2
20:00,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
20:00,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
20:00,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
20:00,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
20:00,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
20:00,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
19:45,"FOUL  by PHILLIPS JR,RODNEY",,,,,,,"FOUL  by PHILLIPS JR,RODNEY",2
19:25,,,,,"MISS 3PTR by PAPE,ALEX",,,"MISS 3PTR by PAPE,ALEX",2
--,,,,,"REBOUND OFF by VON BUCHWALDT,AIDAN",,,"REBOUND OFF by VON BUCHWALDT,AIDAN",2
19:13,,,,,"MISS 3PTR by VON BUCHWALDT,AIDAN",,,"MISS 3PTR by VON BUCHWALDT,AIDAN",2
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",2
19:00,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",2
--,,,,,"REBOUND DEF by LINO,XZAVIER",,,"REBOUND DEF by LINO,XZAVIER",2
18:42,,,,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",2
--,,,,,"REBOUND OFF by VON BUCHWALDT,AIDAN",,,"REBOUND OFF by VON BUCHWALDT,AIDAN",2
18:38,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",2
18:38,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
18:38,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
18:24,,20,,35 (+15),"GOOD 3PTR by CLINE,JANDER",Whitm 20-35 (-15),,"GOOD 3PTR by CLINE,JANDER",2
--,,,,,"ASSIST  by LINO,XZAVIER",,,"ASSIST  by LINO,XZAVIER",2
18:05,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND DEF by CLINE,JANDER",,,"REBOUND DEF by CLINE,JANDER",2
17:54,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
17:42,"GOOD JUMPER by URSIN,AARON(in the paint)",22,,35 (+13),,Mill 22-35 (-13),,"GOOD JUMPER by URSIN,AARON(in the paint)",2
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",2
17:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:42,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
17:42,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
17:19,"FOUL  by GORTON,MACK",,,,,,,"FOUL  by GORTON,MACK",2
17:19,,,,,"MISS FT by CLINE,JANDER",,,"MISS FT by CLINE,JANDER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:19,,,,,"MISS FT by CLINE,JANDER",,,"MISS FT by CLINE,JANDER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:05,"GOOD JUMPER by WATSON,DOUG(in the paint)",24,,35 (+11),,Mill 24-35 (-11),,"GOOD JUMPER by WATSON,DOUG(in the paint)",2
16:57,,,,,"TURNOVER  by TRIFUNOVIC,NIKOLA",,,"TURNOVER  by TRIFUNOVIC,NIKOLA",2
16:57,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",2
16:42,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
16:42,,,,,"STEAL  by PAPE,ALEX",,,"STEAL  by PAPE,ALEX",2
16:36,,,,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",2
--,,,,,"REBOUND OFF by CLINE,JANDER",,,"REBOUND OFF by CLINE,JANDER",2
16:25,,,,,"MISS 3PTR by VON BUCHWALDT,AIDAN",,,"MISS 3PTR by VON BUCHWALDT,AIDAN",2
--,,,,,"REBOUND OFF by LINO,XZAVIER",,,"REBOUND OFF by LINO,XZAVIER",2
16:23,,,,,"TURNOVER  by LINO,XZAVIER",,,"TURNOVER  by LINO,XZAVIER",2
16:23,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",2
16:23,,,,,"SUB OUT by PAPE,ALEX",,,"SUB OUT by PAPE,ALEX",2
16:23,,,,,"SUB OUT by CLINE,JANDER",,,"SUB OUT by CLINE,JANDER",2
16:23,,,,,"SUB IN by LUM,WALTER",,,"SUB IN by LUM,WALTER",2
16:23,,,,,"SUB IN by CAFFO,MURPHY",,,"SUB IN by CAFFO,MURPHY",2
16:23,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
16:23,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
16:23,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
16:23,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
16:23,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
16:23,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
16:20,"MISS 3PTR by GORTON,MACK",,,,,,,"MISS 3PTR by GORTON,MACK",2
--,,,,,"REBOUND DEF by LUM,WALTER",,,"REBOUND DEF by LUM,WALTER",2
16:10,,24,,37 (+13),"GOOD LAYUP by CAFFO,MURPHY(in the paint)",Whitm 24-37 (-13),,"GOOD LAYUP by CAFFO,MURPHY(in the paint)",2
--,,,,,"ASSIST  by LUM,WALTER",,,"ASSIST  by LUM,WALTER",2
15:59,,,,,"FOUL  by VON BUCHWALDT,AIDAN",,,"FOUL  by VON BUCHWALDT,AIDAN",2
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:59,"GOOD FT by LITTLE ,JAMES",25,,37 (+12),,Mill 25-37 (-12),,"GOOD FT by LITTLE ,JAMES",2
15:59,,,,,"SUB OUT by VON BUCHWALDT,AIDAN",,,"SUB OUT by VON BUCHWALDT,AIDAN",2
15:59,,,,,"SUB IN by EFE ISIK,ALI",,,"SUB IN by EFE ISIK,ALI",2
15:59,"MISS FT by LITTLE ,JAMES",,,,,,,"MISS FT by LITTLE ,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:58,"MISS FT by LITTLE ,JAMES",,,,,,,"MISS FT by LITTLE ,JAMES",2
--,,,,,"REBOUND DEF by EFE ISIK,ALI",,,"REBOUND DEF by EFE ISIK,ALI",2
15:37,,25,,39 (+14),"GOOD LAYUP by CAFFO,MURPHY(in the paint)",Whitm 25-39 (-14),,"GOOD LAYUP by CAFFO,MURPHY(in the paint)",2
15:10,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",2
--,,,,,"REBOUND DEF by LINO,XZAVIER",,,"REBOUND DEF by LINO,XZAVIER",2
15:03,,25,,42 (+17),"GOOD 3PTR by LINO,XZAVIER(fastbreak)",Whitm 25-42 (-17),,"GOOD 3PTR by LINO,XZAVIER(fastbreak)",2
--,,,,,"ASSIST  by TRIFUNOVIC,NIKOLA",,,"ASSIST  by TRIFUNOVIC,NIKOLA",2
14:48,"MISS JUMPER by HOGAN,TJ",,,,,,,"MISS JUMPER by HOGAN,TJ",2
--,,,,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",2
14:28,,,,,"MISS LAYUP by CAFFO,MURPHY(in the paint)",,,"MISS LAYUP by CAFFO,MURPHY(in the paint)",2
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",2
14:22,"TURNOVER  by LITTLE ,JAMES",,,,,,,"TURNOVER  by LITTLE ,JAMES",2
14:22,,,,,"SUB OUT by TRIFUNOVIC,NIKOLA",,,"SUB OUT by TRIFUNOVIC,NIKOLA",2
14:22,,,,,"SUB IN by DESHPANDE,JAI",,,"SUB IN by DESHPANDE,JAI",2
14:22,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
14:22,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
14:22,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
14:22,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
14:22,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
14:22,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
14:22,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
14:22,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
14:15,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:43,"GOOD JUMPER by GASCA,DAKOTA",27,,42 (+15),,Mill 27-42 (-15),,"GOOD JUMPER by GASCA,DAKOTA",2
13:24,,,,,"MISS 3PTR by LUM,WALTER",,,"MISS 3PTR by LUM,WALTER",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
13:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:13,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
13:13,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
13:01,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
13:01,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
12:57,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",2
--,,,,,"REBOUND DEF by EFE ISIK,ALI",,,"REBOUND DEF by EFE ISIK,ALI",2
12:57,,27,,45 (+18),"GOOD 3PTR by LINO,XZAVIER(fastbreak)",Whitm 27-45 (-18),,"GOOD 3PTR by LINO,XZAVIER(fastbreak)",2
--,,,,,"ASSIST  by LUM,WALTER",,,"ASSIST  by LUM,WALTER",2
12:47,"GOOD 3PTR by ROTH,DREW",30,,45 (+15),,Mill 30-45 (-15),,"GOOD 3PTR by ROTH,DREW",2
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",2
12:31,,,,,"TURNOVER  by CAFFO,MURPHY",,,"TURNOVER  by CAFFO,MURPHY",2
12:31,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",2
12:25,"GOOD LAYUP by GASCA,DAKOTA(fastbreak)(in the paint)",32,,45 (+13),,Mill 32-45 (-13),,"GOOD LAYUP by GASCA,DAKOTA(fastbreak)(in the paint)",2
12:12,,32,,47 (+15),"GOOD LAYUP by CAFFO,MURPHY(in the paint)",Whitm 32-47 (-15),,"GOOD LAYUP by CAFFO,MURPHY(in the paint)",2
12:12,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
12:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:12,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",2
12:12,,,,,"SUB IN by TRIFUNOVIC,NIKOLA",,,"SUB IN by TRIFUNOVIC,NIKOLA",2
12:12,,,,,"MISS FT by CAFFO,MURPHY",,,"MISS FT by CAFFO,MURPHY",2
--,"REBOUND DEF by STEPHEN,SETH",,,,,,,"REBOUND DEF by STEPHEN,SETH",2
11:58,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",2
--,,,,,"REBOUND DEF by CAFFO,MURPHY",,,"REBOUND DEF by CAFFO,MURPHY",2
11:36,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
11:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:24,,,,,"MISS FT by CAFFO,MURPHY",,,"MISS FT by CAFFO,MURPHY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:24,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
11:24,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
11:24,,32,,48 (+16),"GOOD FT by CAFFO,MURPHY",Whitm 32-48 (-16),,"GOOD FT by CAFFO,MURPHY",2
11:08,"GOOD LAYUP by URSIN,AARON(in the paint)",34,,48 (+14),,Mill 34-48 (-14),,"GOOD LAYUP by URSIN,AARON(in the paint)",2
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",2
10:50,,34,,50 (+16),"GOOD JUMPER by DESHPANDE,JAI(in the paint)",Whitm 34-50 (-16),,"GOOD JUMPER by DESHPANDE,JAI(in the paint)",2
10:23,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
10:23,,,,,"STEAL  by LUM,WALTER",,,"STEAL  by LUM,WALTER",2
10:21,"FOUL TECH by RUCKER,CAM",,,,,,,"FOUL TECH by RUCKER,CAM",2
10:21,,34,,51 (+17),"GOOD FT by DESHPANDE,JAI(fastbreak)",Whitm 34-51 (-17),,"GOOD FT by DESHPANDE,JAI(fastbreak)",2
10:21,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
10:21,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
10:21,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
10:21,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
10:21,,34,,52 (+18),"GOOD FT by DESHPANDE,JAI(fastbreak)",Whitm 34-52 (-18),,"GOOD FT by DESHPANDE,JAI(fastbreak)",2
10:21,,,,,"SUB OUT by EFE ISIK,ALI",,,"SUB OUT by EFE ISIK,ALI",2
10:21,,,,,"SUB IN by LINO,XZAVIER",,,"SUB IN by LINO,XZAVIER",2
10:18,,34,,54 (+20),"GOOD JUMPER by DESHPANDE,JAI(in the paint)",Whitm 34-54 (-20),,"GOOD JUMPER by DESHPANDE,JAI(in the paint)",2
--,,,,,"ASSIST  by LUM,WALTER",,,"ASSIST  by LUM,WALTER",2
09:45,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",2
--,,,,,"REBOUND DEF by LUM,WALTER",,,"REBOUND DEF by LUM,WALTER",2
09:34,,34,,57 (+23),"GOOD 3PTR by TRIFUNOVIC,NIKOLA",Whitm 34-57 (-23),,"GOOD 3PTR by TRIFUNOVIC,NIKOLA",2
--,,,,,"ASSIST  by CAFFO,MURPHY",,,"ASSIST  by CAFFO,MURPHY",2
09:20,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",2
--,,,,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",2
09:12,,,,,"MISS 3PTR by DESHPANDE,JAI",,,"MISS 3PTR by DESHPANDE,JAI",2
--,,,,,"REBOUND OFF by LUM,WALTER",,,"REBOUND OFF by LUM,WALTER",2
09:08,,,,,"MISS LAYUP by LUM,WALTER(in the paint)",,,"MISS LAYUP by LUM,WALTER(in the paint)",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
09:02,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",36,,57 (+21),,Mill 36-57 (-21),,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",2
08:50,,36,,59 (+23),"GOOD LAYUP by DESHPANDE,JAI(in the paint)",Whitm 36-59 (-23),,"GOOD LAYUP by DESHPANDE,JAI(in the paint)",2
--,,,,,"ASSIST  by TRIFUNOVIC,NIKOLA",,,"ASSIST  by TRIFUNOVIC,NIKOLA",2
08:35,"GOOD JUMPER by URSIN,AARON",38,,59 (+21),,Mill 38-59 (-21),,"GOOD JUMPER by URSIN,AARON",2
08:24,"FOUL  by LITTLE ,JAMES",,,,,,,"FOUL  by LITTLE ,JAMES",2
08:24,,38,,60 (+22),"GOOD FT by LINO,XZAVIER",Whitm 38-60 (-22),,"GOOD FT by LINO,XZAVIER",2
08:24,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",2
08:24,,,,,"SUB IN by CLINE,JANDER",,,"SUB IN by CLINE,JANDER",2
08:24,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
08:24,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
08:24,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
08:24,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
08:24,,38,,61 (+23),"GOOD FT by LINO,XZAVIER",Whitm 38-61 (-23),,"GOOD FT by LINO,XZAVIER",2
08:03,"MISS JUMPER by HOGAN,TJ(in the paint)",,,,,,,"MISS JUMPER by HOGAN,TJ(in the paint)",2
--,,,,,"REBOUND DEF by LINO,XZAVIER",,,"REBOUND DEF by LINO,XZAVIER",2
07:56,,,,,"TURNOVER  by LUM,WALTER",,,"TURNOVER  by LUM,WALTER",2
07:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:53,"TURNOVER  by LITTLE ,JAMES",,,,,,,"TURNOVER  by LITTLE ,JAMES",2
07:53,,,,,"STEAL  by LINO,XZAVIER",,,"STEAL  by LINO,XZAVIER",2
07:40,,,,,"MISS LAYUP by CLINE,JANDER(in the paint)",,,"MISS LAYUP by CLINE,JANDER(in the paint)",2
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",2
07:31,"GOOD LAYUP by LITTLE ,JAMES(in the paint)",40,,61 (+21),,Mill 40-61 (-21),,"GOOD LAYUP by LITTLE ,JAMES(in the paint)",2
07:08,,40,,64 (+24),"GOOD 3PTR by LINO,XZAVIER",Whitm 40-64 (-24),,"GOOD 3PTR by LINO,XZAVIER",2
--,,,,,"ASSIST  by LUM,WALTER",,,"ASSIST  by LUM,WALTER",2
06:49,"TURNOVER  by STEPHEN,SETH",,,,,,,"TURNOVER  by STEPHEN,SETH",2
06:49,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
06:49,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
06:37,,40,,67 (+27),"GOOD 3PTR by LUM,WALTER",Whitm 40-67 (-27),,"GOOD 3PTR by LUM,WALTER",2
--,,,,,"ASSIST  by DESHPANDE,JAI",,,"ASSIST  by DESHPANDE,JAI",2
06:23,"MISS LAYUP by LITTLE ,JAMES(in the paint)",,,,,,,"MISS LAYUP by LITTLE ,JAMES(in the paint)",2
--,,,,,"REBOUND DEF by CLINE,JANDER",,,"REBOUND DEF by CLINE,JANDER",2
06:17,,40,,69 (+29),"GOOD LAYUP by DESHPANDE,JAI(fastbreak)(in the paint)",Whitm 40-69 (-29),,"GOOD LAYUP by DESHPANDE,JAI(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LUM,WALTER",,,"ASSIST  by LUM,WALTER",2
06:06,,,,,"FOUL  by DESHPANDE,JAI",,,"FOUL  by DESHPANDE,JAI",2
05:46,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:45,"MISS 3PTR by HOGAN,TJ",,,,,,,"MISS 3PTR by HOGAN,TJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:41,,,,,"SUB OUT by CLINE,JANDER",,,"SUB OUT by CLINE,JANDER",2
05:41,,,,,"SUB IN by CAFFO,MURPHY",,,"SUB IN by CAFFO,MURPHY",2
05:18,,,,,"MISS 3PTR by LUM,WALTER",,,"MISS 3PTR by LUM,WALTER",2
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",2
04:59,,40,,72 (+32),"GOOD 3PTR by DESHPANDE,JAI",Whitm 40-72 (-32),,"GOOD 3PTR by DESHPANDE,JAI",2
04:59,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",2
04:59,"TURNOVER  by HOGAN,TJ",,,,,,,"TURNOVER  by HOGAN,TJ",2
04:34,,,,,"FOUL  by LUM,WALTER",,,"FOUL  by LUM,WALTER",2
04:34,"MISS FT by LITTLE ,JAMES",,,,,,,"MISS FT by LITTLE ,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:34,"GOOD FT by LITTLE ,JAMES",41,,72 (+31),,Mill 41-72 (-31),,"GOOD FT by LITTLE ,JAMES",2
04:17,,41,,75 (+34),"GOOD 3PTR by TRIFUNOVIC,NIKOLA",Whitm 41-75 (-34),,"GOOD 3PTR by TRIFUNOVIC,NIKOLA",2
--,,,,,"ASSIST  by CAFFO,MURPHY",,,"ASSIST  by CAFFO,MURPHY",2
03:54,,,,,"FOUL  by DESHPANDE,JAI",,,"FOUL  by DESHPANDE,JAI",2
03:51,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
03:51,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
03:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:51,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
03:51,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",2
03:51,"SUB IN by VANBEBER ,RJ",,,,,,,"SUB IN by VANBEBER ,RJ",2
03:51,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
03:43,"MISS 3PTR by PHILLIPS JR,RODNEY",,,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",2
--,,,,,"REBOUND DEF by CAFFO,MURPHY",,,"REBOUND DEF by CAFFO,MURPHY",2
03:41,"FOUL  by FORBES,TRACE",,,,,,,"FOUL  by FORBES,TRACE",2
03:40,,,,,"MISS FT by CAFFO,MURPHY(fastbreak)",,,"MISS FT by CAFFO,MURPHY(fastbreak)",2
--,,,,,"REBOUND OFF by LINO,XZAVIER",,,"REBOUND OFF by LINO,XZAVIER",2
03:36,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",2
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",2
03:24,"GOOD 3PTR by LITTLE ,JAMES",44,,75 (+31),,Mill 44-75 (-31),,"GOOD 3PTR by LITTLE ,JAMES",2
03:07,,44,,77 (+33),"GOOD LAYUP by CAFFO,MURPHY(in the paint)",Whitm 44-77 (-33),,"GOOD LAYUP by CAFFO,MURPHY(in the paint)",2
--,,,,,"ASSIST  by DESHPANDE,JAI",,,"ASSIST  by DESHPANDE,JAI",2
02:59,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",2
--,,,,,"REBOUND DEF by LINO,XZAVIER",,,"REBOUND DEF by LINO,XZAVIER",2
02:51,,,,,"TURNOVER  by DESHPANDE,JAI",,,"TURNOVER  by DESHPANDE,JAI",2
02:51,"STEAL  by HOGAN,TJ",,,,,,,"STEAL  by HOGAN,TJ",2
02:44,"GOOD JUMPER by HOGAN,TJ(fastbreak)",46,,77 (+31),,Mill 46-77 (-31),,"GOOD JUMPER by HOGAN,TJ(fastbreak)",2
02:23,,,,,"MISS 3PTR by LUM,WALTER",,,"MISS 3PTR by LUM,WALTER",2
--,"REBOUND DEF by PHILLIPS JR,RODNEY",,,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",2
01:52,,,,,"TURNOVER  by LUM,WALTER",,,"TURNOVER  by LUM,WALTER",2
01:52,"FOUL  by PHILLIPS JR,RODNEY",,,,,,,"FOUL  by PHILLIPS JR,RODNEY",2
01:51,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
01:51,"SUB IN by MCNEES,ANDREW",,,,,,,"SUB IN by MCNEES,ANDREW",2
01:51,,,,,"SUB OUT by LUM,WALTER",,,"SUB OUT by LUM,WALTER",2
01:51,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",2
01:51,,,,,"SUB OUT by DESHPANDE,JAI",,,"SUB OUT by DESHPANDE,JAI",2
01:51,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",2
01:51,,,,,"SUB OUT by TRIFUNOVIC,NIKOLA",,,"SUB OUT by TRIFUNOVIC,NIKOLA",2
01:51,,,,,"SUB IN by CRUMP,WESTON",,,"SUB IN by CRUMP,WESTON",2
01:51,,,,,"SUB IN by PAPE,ALEX",,,"SUB IN by PAPE,ALEX",2
01:51,,,,,"SUB IN by JOHNSON,SEAN",,,"SUB IN by JOHNSON,SEAN",2
01:51,,,,,"SUB IN by EFE ISIK,ALI",,,"SUB IN by EFE ISIK,ALI",2
01:51,,,,,"SUB IN by MIHAJLOVIC,MARKO",,,"SUB IN by MIHAJLOVIC,MARKO",2
01:51,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
01:51,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
01:51,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
01:51,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
01:51,"SUB IN by WATSON,EVAN",,,,,,,"SUB IN by WATSON,EVAN",2
01:51,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
01:40,"GOOD 3PTR by VANBEBER ,RJ",49,,77 (+28),,Mill 49-77 (-28),,"GOOD 3PTR by VANBEBER ,RJ",2
--,"ASSIST  by WATSON,EVAN",,,,,,,"ASSIST  by WATSON,EVAN",2
