Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
02:30,,24,,38 (+14),"GOOD FT by CLAUS,ZAC",PS 24-38 (-14),,"GOOD FT by CLAUS,ZAC",1
02:30,,,,,"SUB OUT by CLAUS,ZAC",,,"SUB OUT by CLAUS,ZAC",1
02:30,,,,,"SUB IN by POHLAND,WILL",,,"SUB IN by POHLAND,WILL",1
02:28,"GOOD LAYUP by GORTON,MACK(in the paint)",26,,38 (+12),,Mill 26-38 (-12),,"GOOD LAYUP by GORTON,MACK(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
02:22,,,,,"FOUL  by DEBOER,CHARLIE",,,"FOUL  by DEBOER,CHARLIE",1
02:22,,,,,"TURNOVER  by DEBOER,CHARLIE",,,"TURNOVER  by DEBOER,CHARLIE",1
02:10,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",28,,38 (+10),,Mill 28-38 (-10),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
02:02,,,,,"TURNOVER  by POHLAND,WILL",,,"TURNOVER  by POHLAND,WILL",1
01:48,"GOOD JUMPER by LITTLE ,JAMES(in the paint)",30,,38 (+8),,Mill 30-38 (-8),,"GOOD JUMPER by LITTLE ,JAMES(in the paint)",1
01:47,"FOUL TECH by LITTLE ,JAMES",,,,,,,"FOUL TECH by LITTLE ,JAMES",1
01:47,,30,,39 (+9),"GOOD FT by POHLAND,WILL",PS 30-39 (-9),,"GOOD FT by POHLAND,WILL",1
01:47,,30,,40 (+10),"GOOD FT by POHLAND,WILL",PS 30-40 (-10),,"GOOD FT by POHLAND,WILL",1
01:47,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
01:47,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
01:37,,,,,"TURNOVER  by DEBOER,CHARLIE",,,"TURNOVER  by DEBOER,CHARLIE",1
01:37,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",1
01:32,,,,,"FOUL  by RUTTLEDGE,LIAM",,,"FOUL  by RUTTLEDGE,LIAM",1
01:32,"GOOD FT by GASCA,DAKOTA(fastbreak)",31,,40 (+9),,Mill 31-40 (-9),,"GOOD FT by GASCA,DAKOTA(fastbreak)",1
01:32,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
01:32,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
01:32,"GOOD FT by GASCA,DAKOTA(fastbreak)",32,,40 (+8),,Mill 32-40 (-8),,"GOOD FT by GASCA,DAKOTA(fastbreak)",1
01:20,,32,,42 (+10),"GOOD LAYUP by PHILLIPS,TAJ(in the paint)",PS 32-42 (-10),,"GOOD LAYUP by PHILLIPS,TAJ(in the paint)",1
--,,,,,"ASSIST  by POHLAND,WILL",,,"ASSIST  by POHLAND,WILL",1
