Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:14,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
05:14,,,,,"SUB IN by GARWOOD,MACKIE",,,"SUB IN by GARWOOD,MACKIE",1
05:14,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
05:08,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
05:06,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
05:06,,35 (+4),,31,"GOOD FT by WARLICK,JORDAN",SEWANEE 35-31 (-4),,"GOOD FT by WARLICK,JORDAN",1
05:06,,35 (+3),,32,"GOOD FT by WARLICK,JORDAN",SEWANEE 35-32 (-3),,"GOOD FT by WARLICK,JORDAN",1
05:06,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
05:06,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
04:54,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
04:54,,,,,"BLOCK  by KNOX,JOEY",,,"BLOCK  by KNOX,JOEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:35,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
04:15,"GOOD 3PTR by BURNETT,DREW",38 (+6),,32,,MIL 38-32 (-6),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
03:50,,38 (+4),,34,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",SEWANEE 38-34 (-4),,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",1
03:30,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",1
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",1
03:26,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
03:20,,38 (+1),,37,"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 38-37 (-1),,"GOOD 3PTR by WARLICK,JORDAN",1
