Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
08:23,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
08:23,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
08:23,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
08:23,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
08:12,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
08:12,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",1
08:12,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
08:12,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
07:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:45,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
07:45,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
07:23,,16,,21 (+5),"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 16-21 (-5),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
07:00,"GOOD 3PTR by STARR,RYAN",19,,21 (+2),,Sewan 19-21 (-2),,"GOOD 3PTR by STARR,RYAN",1
06:39,,19,,23 (+4),"GOOD LAYUP by PURVIS,KC(in the paint)",Centre 19-23 (-4),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
06:20,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
06:20,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
06:14,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
06:14,"MISS FT by WARLICK,JORDAN",,,,,,,"MISS FT by WARLICK,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:14,"GOOD FT by WARLICK,JORDAN",20,,23 (+3),,Sewan 20-23 (-3),,"GOOD FT by WARLICK,JORDAN",1
06:14,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
06:14,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
06:02,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
05:44,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",22,,23 (+1),,Sewan 22-23 (-1),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
05:15,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
05:02,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",24 (+1),,23,,Sewan 24-23 (+1),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",1
04:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:54,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",1
04:54,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
04:54,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
