Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
11:38,"TURNOVER  by JENNINGS,SAM",,,,,,,"TURNOVER  by JENNINGS,SAM",1
11:38,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
11:38,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",1
11:38,,,,,"SUB IN by BOYD,CAM",,,"SUB IN by BOYD,CAM",1
11:38,,,,,"SUB OUT by SCHMITT,LUCAS",,,"SUB OUT by SCHMITT,LUCAS",1
11:16,,,,,"TURNOVER  by HARRIS,JAMES",,,"TURNOVER  by HARRIS,JAMES",1
11:12,"GOOD LAYUP by MCDONOUGH,SEAN(fastbreak)(in the paint)",18 (+4),,14,,Sewan 18-14 (+4),,"GOOD LAYUP by MCDONOUGH,SEAN(fastbreak)(in the paint)",1
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",1
10:53,,18 (+2),,16,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",Hunt 18-16 (+2),,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",1
--,,,,,"ASSIST  by CHAMPION,JACOB",,,"ASSIST  by CHAMPION,JACOB",1
10:27,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
10:27,,,,,"STEAL  by HARRIS,JAMES",,,"STEAL  by HARRIS,JAMES",1
10:20,,18,,18,"GOOD LAYUP by HARRIS,JAMES(fastbreak)(in the paint)",Hunt 18-18 (0),,"GOOD LAYUP by HARRIS,JAMES(fastbreak)(in the paint)",1
10:09,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",20 (+2),,18,,Sewan 20-18 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
10:09,,,,,"FOUL  by WOODS,MYKEL",,,"FOUL  by WOODS,MYKEL",1
10:09,"GOOD FT by THOMAS,ADRIAN",21 (+3),,18,,Sewan 21-18 (+3),,"GOOD FT by THOMAS,ADRIAN",1
10:09,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",1
10:09,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
10:09,,,,,"SUB IN by WOODS,MYKEL",,,"SUB IN by WOODS,MYKEL",1
10:09,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",1
10:09,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
10:09,,,,,"SUB IN by WASHINGTON,AARON",,,"SUB IN by WASHINGTON,AARON",1
10:09,,,,,"SUB IN by GREEN,THOMAS",,,"SUB IN by GREEN,THOMAS",1
10:09,,,,,"SUB OUT by CHAMPION,JACOB",,,"SUB OUT by CHAMPION,JACOB",1
10:09,,,,,"SUB OUT by BOYD,CAM",,,"SUB OUT by BOYD,CAM",1
10:09,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
