Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
00:22,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",1
00:05,"GOOD 3PTR by CHAMBERS,DIMETRI",40 (+6),,34,,OUM 40-34 (-6),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
19:43,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
19:43,"GOOD FT by CAMMON,JOSH",41 (+7),,34,,OUM 41-34 (-7),,"GOOD FT by CAMMON,JOSH",2
19:43,"GOOD FT by CAMMON,JOSH",42 (+8),,34,,OUM 42-34 (-8),,"GOOD FT by CAMMON,JOSH",2
19:29,,42 (+6),,36,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 42-36 (-6),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by KNOX,JOEY",,,"ASSIST  by KNOX,JOEY",2
19:12,"MISS JUMPER by CAMMON,JOSH",,,,,,,"MISS JUMPER by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",2
18:54,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by STARR,RYAN",,,"REBOUND OFF by STARR,RYAN",2
18:44,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",2
18:39,,42 (+3),,39,"GOOD 3PTR by BARRY,MICHAEL",SEWANEE 42-39 (-3),,"GOOD 3PTR by BARRY,MICHAEL",2
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",2
18:16,,,,,"FOUL  by STARR,RYAN",,,"FOUL  by STARR,RYAN",2
18:16,"MISS FT by JENEI,RYAN",,,,,,,"MISS FT by JENEI,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:16,"GOOD FT by JENEI,RYAN",43 (+4),,39,,OUM 43-39 (-4),,"GOOD FT by JENEI,RYAN",2
17:56,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",2
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",2
17:49,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
17:40,,43 (+2),,41,"GOOD JUMPER by KNOX,JOEY(in the paint)",SEWANEE 43-41 (-2),,"GOOD JUMPER by KNOX,JOEY(in the paint)",2
17:25,"GOOD 3PTR by CHAMBERS,DIMETRI",46 (+5),,41,,OUM 46-41 (-5),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
16:57,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",2
