Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
00:36,,45 (+16),,29,"GOOD FT by PRATER,DALLAS",MILLSAPS 45-29 (-16),,"GOOD FT by PRATER,DALLAS",1
00:36,"SUB IN by OLSON,JUSTYN",,,,,,,"SUB IN by OLSON,JUSTYN",1
00:36,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",1
00:26,"GOOD LAYUP by OLSON,JUSTYN(in the paint)",47 (+18),,29,,LCM 47-29 (-18),,"GOOD LAYUP by OLSON,JUSTYN(in the paint)",1
00:12,,47 (+16),,31,"GOOD JUMPER by MCSWAIN,JOSH",MILLSAPS 47-31 (-16),,"GOOD JUMPER by MCSWAIN,JOSH",1
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",1
00:02,"MISS 3PTR by FLOYD,NAFIS",,,,,,,"MISS 3PTR by FLOYD,NAFIS",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",1
19:48,"MISS LAYUP by WHITE,MIKE",,,,,,,"MISS LAYUP by WHITE,MIKE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:34,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
19:18,"GOOD JUMPER by FORD,BRAXTON",49 (+18),,31,,LCM 49-31 (-18),,"GOOD JUMPER by FORD,BRAXTON",2
18:44,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",2
18:44,,49 (+17),,32,"GOOD FT by MCELVEEN,MAC",MILLSAPS 49-32 (-17),,"GOOD FT by MCELVEEN,MAC",2
18:44,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",2
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",2
18:37,"MISS JUMPER by FORD,BRAXTON",,,,,,,"MISS JUMPER by FORD,BRAXTON",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
18:20,,49 (+15),,34,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 49-34 (-15),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
17:54,"GOOD JUMPER by JOHNSON,JORDAN",51 (+17),,34,,LCM 51-34 (-17),,"GOOD JUMPER by JOHNSON,JORDAN",2
--,"ASSIST  by FORD,BRAXTON",,,,,,,"ASSIST  by FORD,BRAXTON",2
17:18,,51 (+14),,37,"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 51-37 (-14),,"GOOD 3PTR by MCELVEEN,MAC",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
17:02,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
16:54,"MISS JUMPER by WHITE,MIKE",,,,,,,"MISS JUMPER by WHITE,MIKE",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
16:48,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",2
16:48,"BLOCK  by MITCHELL,NICK",,,,,,,"BLOCK  by MITCHELL,NICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:44,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",2
16:40,,51 (+12),,39,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 51-39 (-12),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",2
16:22,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",2
16:21,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
16:18,"FOUL  by FORD,BRAXTON",,,,,,,"FOUL  by FORD,BRAXTON",2
16:18,,51 (+11),,40,"GOOD FT by ROBERTSON,MARC",MILLSAPS 51-40 (-11),,"GOOD FT by ROBERTSON,MARC",2
16:18,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",2
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",2
16:12,"GOOD LAYUP by WHITE,MIKE(in the paint)",53 (+13),,40,,LCM 53-40 (-13),,"GOOD LAYUP by WHITE,MIKE(in the paint)",2
--,"ASSIST  by WAGNER,MARK",,,,,,,"ASSIST  by WAGNER,MARK",2
15:47,,53 (+10),,43,"GOOD 3PTR by AUBERT,DUSTIN",MILLSAPS 53-43 (-10),,"GOOD 3PTR by AUBERT,DUSTIN",2
--,,,,,"ASSIST  by FREBIS,RONNIE",,,"ASSIST  by FREBIS,RONNIE",2
15:28,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
15:28,"SUB IN by OLSON,JUSTYN",,,,,,,"SUB IN by OLSON,JUSTYN",2
15:28,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",2
15:25,"TURNOVER  by FLOYD,NAFIS",,,,,,,"TURNOVER  by FLOYD,NAFIS",2
15:22,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",2
15:20,,53 (+8),,45,"GOOD DUNK by MCELVEEN,MAC(fastbreak)(in the paint)",MILLSAPS 53-45 (-8),,"GOOD DUNK by MCELVEEN,MAC(fastbreak)(in the paint)",2
15:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:14,"SUB IN by FLOYD,NAFIS",,,,,,,"SUB IN by FLOYD,NAFIS",2
15:14,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",2
14:42,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
14:26,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",2
14:24,"FOUL  by OLSON,JUSTYN",,,,,,,"FOUL  by OLSON,JUSTYN",2
14:24,,53 (+7),,46,"GOOD FT by FREBIS,RONNIE",MILLSAPS 53-46 (-7),,"GOOD FT by FREBIS,RONNIE",2
14:24,,53 (+6),,47,"GOOD FT by FREBIS,RONNIE",MILLSAPS 53-47 (-6),,"GOOD FT by FREBIS,RONNIE",2
14:24,,,,,"SUB IN by DOUGLASS,PARKS",,,"SUB IN by DOUGLASS,PARKS",2
14:24,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
14:24,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
14:24,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
14:10,,,,,"FOUL  by DOUGLASS,PARKS",,,"FOUL  by DOUGLASS,PARKS",2
13:56,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",2
13:55,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
13:52,"FOUL  by FLOYD,NAFIS",,,,,,,"FOUL  by FLOYD,NAFIS",2
13:52,,53 (+5),,48,"GOOD FT by MCELVEEN,MAC",MILLSAPS 53-48 (-5),,"GOOD FT by MCELVEEN,MAC",2
13:52,,53 (+4),,49,"GOOD FT by MCELVEEN,MAC",MILLSAPS 53-49 (-4),,"GOOD FT by MCELVEEN,MAC",2
13:52,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
13:52,"SUB IN by FORD,ADOLPHUS",,,,,,,"SUB IN by FORD,ADOLPHUS",2
13:52,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
13:52,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",2
13:52,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
13:52,"SUB OUT by FLOYD,NAFIS",,,,,,,"SUB OUT by FLOYD,NAFIS",2
13:52,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",2
13:52,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
13:52,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
13:52,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
13:36,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
13:32,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",2
13:26,"MISS LAYUP by OLSON,JUSTYN",,,,,,,"MISS LAYUP by OLSON,JUSTYN",2
--,"REBOUND OFF by OLSON,JUSTYN",,,,,,,"REBOUND OFF by OLSON,JUSTYN",2
13:22,"MISS LAYUP by OLSON,JUSTYN",,,,,,,"MISS LAYUP by OLSON,JUSTYN",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",2
13:16,,53 (+2),,51,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",MILLSAPS 53-51 (-2),,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",2
--,,,,,"ASSIST  by MCSWAIN,JOSH",,,"ASSIST  by MCSWAIN,JOSH",2
12:47,"MISS JUMPER by OLSON,JUSTYN",,,,,,,"MISS JUMPER by OLSON,JUSTYN",2
--,"REBOUND OFF by DANIEL,DONTA",,,,,,,"REBOUND OFF by DANIEL,DONTA",2
12:34,"GOOD JUMPER by FORD,ADOLPHUS(in the paint)",55 (+4),,51,,LCM 55-51 (-4),,"GOOD JUMPER by FORD,ADOLPHUS(in the paint)",2
12:10,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",2
12:05,"SUB IN by ENWEREAMA,TYMON",,,,,,,"SUB IN by ENWEREAMA,TYMON",2
12:05,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",2
12:05,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
12:05,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
12:05,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",2
12:05,"SUB OUT by FORD,ADOLPHUS",,,,,,,"SUB OUT by FORD,ADOLPHUS",2
12:05,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",2
12:05,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
12:03,,,,,"MISS LAYUP by MCSWAIN,JOSH",,,"MISS LAYUP by MCSWAIN,JOSH",2
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",2
11:57,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",2
11:52,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,"REBOUND OFF by OLSON,JUSTYN",,,,,,,"REBOUND OFF by OLSON,JUSTYN",2
11:46,"TURNOVER  by DANIEL,DONTA",,,,,,,"TURNOVER  by DANIEL,DONTA",2
11:37,,55 (+2),,53,"GOOD JUMPER by MCSWAIN,JOSH",MILLSAPS 55-53 (-2),,"GOOD JUMPER by MCSWAIN,JOSH",2
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",2
11:22,,,,,"FOUL  by DOUGLASS,PARKS",,,"FOUL  by DOUGLASS,PARKS",2
11:22,"GOOD FT by ENWEREAMA,TYMON",56 (+3),,53,,LCM 56-53 (-3),,"GOOD FT by ENWEREAMA,TYMON",2
11:22,"GOOD FT by ENWEREAMA,TYMON",57 (+4),,53,,LCM 57-53 (-4),,"GOOD FT by ENWEREAMA,TYMON",2
11:22,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
11:22,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",2
11:22,"SUB OUT by ENWEREAMA,TYMON",,,,,,,"SUB OUT by ENWEREAMA,TYMON",2
11:22,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",2
11:22,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
11:22,,,,,"SUB OUT by DOUGLASS,PARKS",,,"SUB OUT by DOUGLASS,PARKS",2
11:01,,57 (+2),,55,"GOOD JUMPER by DETILLIEU,RYAN",MILLSAPS 57-55 (-2),,"GOOD JUMPER by DETILLIEU,RYAN",2
10:50,"GOOD LAYUP by JOHNSON,JORDAN(in the paint)",59 (+4),,55,,LCM 59-55 (-4),,"GOOD LAYUP by JOHNSON,JORDAN(in the paint)",2
--,"ASSIST  by WAGNER,MARK",,,,,,,"ASSIST  by WAGNER,MARK",2
10:18,,,,,"MISS 3PTR by DETILLIEU,RYAN",,,"MISS 3PTR by DETILLIEU,RYAN",2
--,"REBOUND DEF by JOHNSON,JORDAN",,,,,,,"REBOUND DEF by JOHNSON,JORDAN",2
10:07,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",2
10:02,"FOUL  by OLSON,JUSTYN",,,,,,,"FOUL  by OLSON,JUSTYN",2
10:02,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:02,,59 (+3),,56,"GOOD FT by MOORE,MYLES",MILLSAPS 59-56 (-3),,"GOOD FT by MOORE,MYLES",2
10:02,"SUB IN by FORD,ADOLPHUS",,,,,,,"SUB IN by FORD,ADOLPHUS",2
10:02,"SUB OUT by OLSON,JUSTYN",,,,,,,"SUB OUT by OLSON,JUSTYN",2
10:02,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
10:02,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",2
09:51,"TURNOVER  by FORD,ADOLPHUS",,,,,,,"TURNOVER  by FORD,ADOLPHUS",2
09:40,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by FORD,ADOLPHUS",,,,,,,"REBOUND DEF by FORD,ADOLPHUS",2
09:35,,,,,"FOUL  by PRATER,DALLAS",,,"FOUL  by PRATER,DALLAS",2
09:27,"GOOD FT by FORD,ADOLPHUS",60 (+4),,56,,LCM 60-56 (-4),,"GOOD FT by FORD,ADOLPHUS",2
09:27,"GOOD FT by FORD,ADOLPHUS",61 (+5),,56,,LCM 61-56 (-5),,"GOOD FT by FORD,ADOLPHUS",2
09:13,,61 (+3),,58,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 61-58 (-3),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",2
08:58,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",2
08:41,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
08:41,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",2
08:41,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",2
08:16,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",2
08:15,"STEAL  by FORD,ADOLPHUS",,,,,,,"STEAL  by FORD,ADOLPHUS",2
08:12,"GOOD LAYUP by WAGNER,MARK(fastbreak)(in the paint)",63 (+5),,58,,LCM 63-58 (-5),,"GOOD LAYUP by WAGNER,MARK(fastbreak)(in the paint)",2
--,"ASSIST  by FORD,ADOLPHUS",,,,,,,"ASSIST  by FORD,ADOLPHUS",2
07:43,,63 (+2),,61,"GOOD 3PTR by MOORE,MYLES",MILLSAPS 63-61 (-2),,"GOOD 3PTR by MOORE,MYLES",2
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",2
07:20,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",2
07:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:46,"FOUL  by WHITE,MIKE",,,,,,,"FOUL  by WHITE,MIKE",2
06:46,,63 (+1),,62,"GOOD FT by MOORE,MYLES",MILLSAPS 63-62 (-1),,"GOOD FT by MOORE,MYLES",2
06:46,,63,,63,"GOOD FT by MOORE,MYLES",MILLSAPS 63-63 (0),,"GOOD FT by MOORE,MYLES",2
06:25,,,,,"FOUL  by DETILLIEU,RYAN",,,"FOUL  by DETILLIEU,RYAN",2
06:25,"GOOD FT by FORD,BRAXTON",64 (+1),,63,,LCM 64-63 (-1),,"GOOD FT by FORD,BRAXTON",2
06:25,"MISS FT by FORD,BRAXTON",,,,,,,"MISS FT by FORD,BRAXTON",2
--,,,,,"REBOUND OFF by PRATER,DALLAS",,,"REBOUND OFF by PRATER,DALLAS",2
06:25,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
06:25,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
06:25,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
06:25,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
06:13,,64,,65 (+1),"GOOD JUMPER by DETILLIEU,RYAN",MILLSAPS 64-65 (+1),,"GOOD JUMPER by DETILLIEU,RYAN",2
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",2
05:53,,,,,"FOUL  by PRATER,DALLAS",,,"FOUL  by PRATER,DALLAS",2
05:53,"GOOD FT by WAGNER,MARK",65,,65,,LCM 65-65 (0),,"GOOD FT by WAGNER,MARK",2
05:53,"GOOD FT by WAGNER,MARK",66 (+1),,65,,LCM 66-65 (-1),,"GOOD FT by WAGNER,MARK",2
05:21,,66,,67 (+1),"GOOD JUMPER by DETILLIEU,RYAN",MILLSAPS 66-67 (+1),,"GOOD JUMPER by DETILLIEU,RYAN",2
05:02,"GOOD LAYUP by WHITE,MIKE(in the paint)",68 (+1),,67,,LCM 68-67 (-1),,"GOOD LAYUP by WHITE,MIKE(in the paint)",2
--,"ASSIST  by WAGNER,MARK",,,,,,,"ASSIST  by WAGNER,MARK",2
04:34,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by FORD,ADOLPHUS",,,,,,,"REBOUND DEF by FORD,ADOLPHUS",2
04:21,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
04:05,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",2
04:05,,68,,68,"GOOD FT by PRATER,DALLAS",MILLSAPS 68-68 (0),,"GOOD FT by PRATER,DALLAS",2
04:05,,,,,"MISS FT by PRATER,DALLAS",,,"MISS FT by PRATER,DALLAS",2
--,"REBOUND DEF by OLSON,JUSTYN",,,,,,,"REBOUND DEF by OLSON,JUSTYN",2
04:05,"SUB IN by OLSON,JUSTYN",,,,,,,"SUB IN by OLSON,JUSTYN",2
04:05,"SUB OUT by FORD,ADOLPHUS",,,,,,,"SUB OUT by FORD,ADOLPHUS",2
04:05,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
04:05,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",2
03:53,"TURNOVER  by OLSON,JUSTYN",,,,,,,"TURNOVER  by OLSON,JUSTYN",2
03:53,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
03:53,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",2
03:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:08,,,,,"MISS 3PTR by AUBERT,DUSTIN",,,"MISS 3PTR by AUBERT,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:02,"FOUL  by OLSON,JUSTYN",,,,,,,"FOUL  by OLSON,JUSTYN",2
03:02,,68,,69 (+1),"GOOD FT by FREBIS,RONNIE",MILLSAPS 68-69 (+1),,"GOOD FT by FREBIS,RONNIE",2
03:02,,68,,70 (+2),"GOOD FT by FREBIS,RONNIE",MILLSAPS 68-70 (+2),,"GOOD FT by FREBIS,RONNIE",2
02:54,"GOOD LAYUP by MITCHELL,NICK(in the paint)",70,,70,,LCM 70-70 (0),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2
02:27,,,,,"MISS LAYUP by MOORE,MYLES",,,"MISS LAYUP by MOORE,MYLES",2
--,,,,,"REBOUND OFF by MOORE,MYLES",,,"REBOUND OFF by MOORE,MYLES",2
02:27,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
02:27,,70,,71 (+1),"GOOD FT by MOORE,MYLES",MILLSAPS 70-71 (+1),,"GOOD FT by MOORE,MYLES",2
02:27,,70,,72 (+2),"GOOD FT by MOORE,MYLES",MILLSAPS 70-72 (+2),,"GOOD FT by MOORE,MYLES",2
02:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:55,"MISS LAYUP by FORD,BRAXTON",,,,,,,"MISS LAYUP by FORD,BRAXTON",2
01:55,,,,,"BLOCK  by AUBERT,DUSTIN",,,"BLOCK  by AUBERT,DUSTIN",2
--,"REBOUND OFF by FORD,BRAXTON",,,,,,,"REBOUND OFF by FORD,BRAXTON",2
01:55,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
01:55,"GOOD FT by FORD,BRAXTON",71,,72 (+1),,LCM 71-72 (+1),,"GOOD FT by FORD,BRAXTON",2
01:55,"GOOD FT by FORD,BRAXTON",72,,72,,LCM 72-72 (0),,"GOOD FT by FORD,BRAXTON",2
01:55,"SUB IN by FORD,ADOLPHUS",,,,,,,"SUB IN by FORD,ADOLPHUS",2
01:55,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",2
01:55,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
01:55,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
01:38,,72,,74 (+2),"GOOD LAYUP by MOORE,MYLES(in the paint)",MILLSAPS 72-74 (+2),,"GOOD LAYUP by MOORE,MYLES(in the paint)",2
01:19,"MISS JUMPER by WAGNER,MARK",,,,,,,"MISS JUMPER by WAGNER,MARK",2
--,"REBOUND OFF by FORD,ADOLPHUS",,,,,,,"REBOUND OFF by FORD,ADOLPHUS",2
01:13,"MISS LAYUP by FORD,ADOLPHUS",,,,,,,"MISS LAYUP by FORD,ADOLPHUS",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
00:52,,72,,76 (+4),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 72-76 (+4),,"GOOD JUMPER by MCELVEEN,MAC",2
--,,,,,"ASSIST  by FREBIS,RONNIE",,,"ASSIST  by FREBIS,RONNIE",2
00:39,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",2
00:39,"GOOD FT by WAGNER,MARK",73,,76 (+3),,LCM 73-76 (+3),,"GOOD FT by WAGNER,MARK",2
00:39,"GOOD FT by WAGNER,MARK",74,,76 (+2),,LCM 74-76 (+2),,"GOOD FT by WAGNER,MARK",2
00:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:39,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
00:39,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
00:28,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",2
00:28,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:28,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",2
--,"REBOUND DEF by OLSON,JUSTYN",,,,,,,"REBOUND DEF by OLSON,JUSTYN",2
00:28,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
00:28,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",2
00:28,"SUB OUT by FORD,ADOLPHUS",,,,,,,"SUB OUT by FORD,ADOLPHUS",2
00:28,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",2
00:20,"GOOD 3PTR by WAGNER,MARK",77 (+1),,76,,LCM 77-76 (-1),,"GOOD 3PTR by WAGNER,MARK",2
--,"ASSIST  by FORD,BRAXTON",,,,,,,"ASSIST  by FORD,BRAXTON",2
00:08,,,,,"MISS LAYUP by DETILLIEU,RYAN",,,"MISS LAYUP by DETILLIEU,RYAN",2
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",2
00:05,,77,,78 (+1),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 77-78 (+1),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",2
00:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"SUB IN by FLOYD,NAFIS",,,,,,,"SUB IN by FLOYD,NAFIS",2
00:02,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
00:00,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
