Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
06:19,,,,,"STEAL  by MITCHELL,NICK",,,"STEAL  by MITCHELL,NICK",1
06:17,,18,,32 (+14),"GOOD LAYUP by MITCHELL,NICK(in the paint)",LC 18-32 (-14),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
06:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:38,"TURNOVER  by WARRICK,JOHN",,,,,,,"TURNOVER  by WARRICK,JOHN",1
05:38,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:38,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
05:38,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
05:38,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
05:38,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
05:28,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:28,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
05:28,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:28,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
05:28,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
05:28,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
05:15,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by ANDERSON,KYRON",,,"REBOUND DEF by ANDERSON,KYRON",1
05:06,,,,,"TURNOVER  by ANDERSON,KYRON",,,"TURNOVER  by ANDERSON,KYRON",1
05:04,"GOOD 3PTR by HOLLAND,JASON",21,,32 (+11),,BSC 21-32 (-11),,"GOOD 3PTR by HOLLAND,JASON",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
04:45,,,,,"MISS JUMPER by BAXTER,DUSTIN",,,"MISS JUMPER by BAXTER,DUSTIN",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
04:45,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
04:45,"GOOD FT by FREEMAN,SCHYLAR",22,,32 (+10),,BSC 22-32 (-10),,"GOOD FT by FREEMAN,SCHYLAR",1
04:45,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:45,,,,,"SUB IN by SMITH,IRA",,,"SUB IN by SMITH,IRA",1
04:45,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",1
04:44,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:25,,22,,35 (+13),"GOOD 3PTR by BAXTER,DUSTIN",LC 22-35 (-13),,"GOOD 3PTR by BAXTER,DUSTIN",1
--,,,,,"ASSIST  by SMITH,IRA",,,"ASSIST  by SMITH,IRA",1
04:04,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
04:02,,,,,"STEAL  by VAUGHN,MARCUS",,,"STEAL  by VAUGHN,MARCUS",1
03:59,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
03:59,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
