Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
03:29,"GOOD LAYUP by THOMAS,LARRY(in the paint)",14,,25 (+11),,BSCM 14-25 (-11),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
03:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:57,,,,,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
02:39,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
02:36,"GOOD LAYUP by THOMAS,LARRY(in the paint)",16,,25 (+9),,BSCM 16-25 (-9),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
02:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:14,,,,,"MISS JUMPER by MCCLOUD,LEE",,,"MISS JUMPER by MCCLOUD,LEE",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
01:59,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:58,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
01:58,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
01:45,,16,,28 (+12),"GOOD 3PTR by BRUCE,DEVAN",BCM 16-28 (-12),,"GOOD 3PTR by BRUCE,DEVAN",1
--,,,,,"ASSIST  by ABRAMS,JONATHAN",,,"ASSIST  by ABRAMS,JONATHAN",1
01:27,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:20,,,,,"FOUL  by ABRAMS,JONATHAN",,,"FOUL  by ABRAMS,JONATHAN",1
01:20,"GOOD FT by HOLLAND,JASON",17,,28 (+11),,BSCM 17-28 (-11),,"GOOD FT by HOLLAND,JASON",1
01:20,"GOOD FT by HOLLAND,JASON",18,,28 (+10),,BSCM 18-28 (-10),,"GOOD FT by HOLLAND,JASON",1
01:20,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
01:20,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
01:20,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
