Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:14,"SUB IN by GAMBLE,CHRIS",,,,,,,"SUB IN by GAMBLE,CHRIS",1
08:14,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
08:14,"SUB OUT by BURKS,TEVIN",,,,,,,"SUB OUT by BURKS,TEVIN",1
08:14,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
08:14,"SUB OUT by BIRK,ANDREW",,,,,,,"SUB OUT by BIRK,ANDREW",1
07:49,"MISS 3PTR by GREDIC,KWAHMERE",,,,,,,"MISS 3PTR by GREDIC,KWAHMERE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
07:49,"FOUL  by GAMBLE,CHRIS",,,,,,,"FOUL  by GAMBLE,CHRIS",1
07:29,"FOUL  by SCOTT,JEREMY",,,,,,,"FOUL  by SCOTT,JEREMY",1
07:29,,25,,33 (+8),"GOOD FT by HENRY,COLIN",BSC 25-33 (+8),,"GOOD FT by HENRY,COLIN",1
07:29,,25,,34 (+9),"GOOD FT by HENRY,COLIN",BSC 25-34 (+9),,"GOOD FT by HENRY,COLIN",1
07:08,"MISS JUMPER by BARNS,KELSEY",,,,,,,"MISS JUMPER by BARNS,KELSEY",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
07:05,"FOUL  by MCCOLLUM,RICKEY",,,,,,,"FOUL  by MCCOLLUM,RICKEY",1
06:52,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by GREDIC,KWAHMERE",,,,,,,"REBOUND DEF by GREDIC,KWAHMERE",1
06:30,"MISS JUMPER by SCOTT,JEREMY",,,,,,,"MISS JUMPER by SCOTT,JEREMY",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
06:20,,25,,37 (+12),"GOOD 3PTR by WHITE,BLAISE",BSC 25-37 (+12),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
06:09,"SUB IN by VEASLEY,LARRY",,,,,,,"SUB IN by VEASLEY,LARRY",1
06:09,"SUB OUT by SCOTT,JEREMY",,,,,,,"SUB OUT by SCOTT,JEREMY",1
06:09,,,,,"SUB IN by WARRICK,JOHN",,,"SUB IN by WARRICK,JOHN",1
06:09,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
06:09,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
06:09,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
06:09,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
06:09,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
06:09,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
06:09,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
06:09,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
06:09,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
05:50,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",27,,37 (+10),,RUST 27-37 (+10),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
05:50,,,,,"FOUL  by WARRICK,JOHN",,,"FOUL  by WARRICK,JOHN",1
05:50,"GOOD FT by VEASLEY,LARRY",28,,37 (+9),,RUST 28-37 (+9),,"GOOD FT by VEASLEY,LARRY",1
05:50,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
05:50,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",1
05:39,,28,,40 (+12),"GOOD 3PTR by MARSCHNER,BRENDAN",BSC 28-40 (+12),,"GOOD 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
05:30,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",1
05:20,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
