Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EMORY,Game Score,Team Indicator,Play,Period
18:38,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
18:38,,,,,"SUB IN by OH, NASH",,,"SUB IN by OH, NASH",2
18:38,,,,,"SUB OUT by MOORE, MCPHERSON",,,"SUB OUT by MOORE, MCPHERSON",2
18:29,,,,,"TURNOVER  by OH, NASH",,,"TURNOVER  by OH, NASH",2
18:27,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
18:22,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",53 (+19),,34,,BSC 53-34 (+19),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
18:15,,53 (+17),,36,"GOOD LAYUP by FRIEDBERG, MICHAEL(fastbreak)(in the paint)",EMORY 53-36 (+17),,"GOOD LAYUP by FRIEDBERG, MICHAEL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by OH, NASH",,,"ASSIST  by OH, NASH",2
17:54,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by DAVIS, JAKE",,,"REBOUND DEF by DAVIS, JAKE",2
17:33,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
17:33,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
17:33,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
17:33,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",2
17:33,,,,,"SUB OUT by OH, NASH",,,"SUB OUT by OH, NASH",2
17:31,,53 (+15),,38,"GOOD JUMPER by GREVEN, ALEX",EMORY 53-38 (+15),,"GOOD JUMPER by GREVEN, ALEX",2
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",2
17:26,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
17:12,,,,,"MISS 3PTR by DAVIS, JAKE",,,"MISS 3PTR by DAVIS, JAKE",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
17:05,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
16:41,,,,,"MISS JUMPER by GREVEN, ALEX",,,"MISS JUMPER by GREVEN, ALEX",2
--,,,,,"REBOUND OFF by FRIEDBERG, MICHAEL",,,"REBOUND OFF by FRIEDBERG, MICHAEL",2
16:38,,53 (+13),,40,"GOOD TIPIN by FRIEDBERG, MICHAEL(in the paint)",EMORY 53-40 (+13),,"GOOD TIPIN by FRIEDBERG, MICHAEL(in the paint)",2
16:21,,,,,"FOUL  by DAVIS, JAKE",,,"FOUL  by DAVIS, JAKE",2
16:21,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:21,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by DAVIS, JAKE",,,"REBOUND DEF by DAVIS, JAKE",2
16:15,,,,,"MISS 3PTR by GREVEN, ALEX",,,"MISS 3PTR by GREVEN, ALEX",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
15:53,"GOOD 3PTR by THOMAS,LARRY",56 (+16),,40,,BSC 56-40 (+16),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
15:40,,,,,"MISS 3PTR by DAVIS, JAKE",,,"MISS 3PTR by DAVIS, JAKE",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
15:28,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by FLORIN, MICHAEL",,,"REBOUND DEF by FLORIN, MICHAEL",2
15:22,,,,,"MISS JUMPER by GREVEN, ALEX",,,"MISS JUMPER by GREVEN, ALEX",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
14:53,,,,,"FOUL  by SCHATTIE, JOSH",,,"FOUL  by SCHATTIE, JOSH",2
14:53,"GOOD FT by WHITE,BLAISE",57 (+17),,40,,BSC 57-40 (+17),,"GOOD FT by WHITE,BLAISE",2
14:53,"GOOD FT by WHITE,BLAISE",58 (+18),,40,,BSC 58-40 (+18),,"GOOD FT by WHITE,BLAISE",2
14:53,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by FOSTER, ALEX",,,"REBOUND DEF by FOSTER, ALEX",2
14:53,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
14:53,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
14:53,,,,,"SUB IN by TRAWICK, WILL",,,"SUB IN by TRAWICK, WILL",2
14:53,,,,,"SUB IN by FOSTER, ALEX",,,"SUB IN by FOSTER, ALEX",2
14:53,,,,,"SUB IN by MOORE, MCPHERSON",,,"SUB IN by MOORE, MCPHERSON",2
14:53,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",2
14:53,,,,,"SUB OUT by DAVIS, JAKE",,,"SUB OUT by DAVIS, JAKE",2
14:53,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",2
14:39,,,,,"MISS JUMPER by FOSTER, ALEX",,,"MISS JUMPER by FOSTER, ALEX",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
14:28,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",2
14:28,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
14:28,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
14:15,,58 (+16),,42,"GOOD LAYUP by TRAWICK, WILL(in the paint)",EMORY 58-42 (+16),,"GOOD LAYUP by TRAWICK, WILL(in the paint)",2
--,,,,,"ASSIST  by GREVEN, ALEX",,,"ASSIST  by GREVEN, ALEX",2
13:56,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
13:56,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",2
13:56,,,,,"SUB OUT by FOSTER, ALEX",,,"SUB OUT by FOSTER, ALEX",2
13:46,,,,,"MISS JUMPER by FLORIN, MICHAEL",,,"MISS JUMPER by FLORIN, MICHAEL",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
13:40,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",2
13:33,,58 (+13),,45,"GOOD 3PTR by GREVEN, ALEX(fastbreak)",EMORY 58-45 (+13),,"GOOD 3PTR by GREVEN, ALEX(fastbreak)",2
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",2
13:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:23,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
13:23,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
13:23,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
13:23,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
13:13,"GOOD 3PTR by KEGARISE,KEVIN",61 (+16),,45,,BSC 61-45 (+16),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
13:01,,61 (+14),,47,"GOOD JUMPER by GREVEN, ALEX",EMORY 61-47 (+14),,"GOOD JUMPER by GREVEN, ALEX",2
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",2
12:46,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",2
12:22,,61 (+12),,49,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",EMORY 61-49 (+12),,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",2
12:21,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
12:21,,61 (+11),,50,"GOOD FT by FRIEDBERG, MICHAEL",EMORY 61-50 (+11),,"GOOD FT by FRIEDBERG, MICHAEL",2
11:48,"GOOD JUMPER by HOLLAND,JASON(in the paint)",63 (+13),,50,,BSC 63-50 (+13),,"GOOD JUMPER by HOLLAND,JASON(in the paint)",2
11:39,,,,,"MISS 3PTR by FRIEDBERG, MICHAEL",,,"MISS 3PTR by FRIEDBERG, MICHAEL",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
11:32,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
11:32,,,,,"STEAL  by MOORE, MCPHERSON",,,"STEAL  by MOORE, MCPHERSON",2
11:32,,,,,"MISS JUMPER by MOORE, MCPHERSON",,,"MISS JUMPER by MOORE, MCPHERSON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:32,,,,,"SUB IN by DAVIS, JAKE",,,"SUB IN by DAVIS, JAKE",2
11:32,,,,,"SUB OUT by TRAWICK, WILL",,,"SUB OUT by TRAWICK, WILL",2
11:03,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",2
11:02,,,,,"STEAL  by FRIEDBERG, MICHAEL",,,"STEAL  by FRIEDBERG, MICHAEL",2
10:54,,63 (+11),,52,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",EMORY 63-52 (+11),,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",2
10:40,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
10:40,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
10:40,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",2
10:40,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",2
10:39,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by FLORIN, MICHAEL",,,"REBOUND DEF by FLORIN, MICHAEL",2
10:32,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
10:32,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
10:29,,,,,"TURNOVER  by MOORE, MCPHERSON",,,"TURNOVER  by MOORE, MCPHERSON",2
10:28,"STEAL  by MARSCHNER,BRENDAN",,,,,,,"STEAL  by MARSCHNER,BRENDAN",2
10:23,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",65 (+13),,52,,BSC 65-52 (+13),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",2
10:10,,65 (+11),,54,"GOOD JUMPER by FLORIN, MICHAEL(in the paint)",EMORY 65-54 (+11),,"GOOD JUMPER by FLORIN, MICHAEL(in the paint)",2
10:00,,,,,"FOUL  by SCHATTIE, JOSH",,,"FOUL  by SCHATTIE, JOSH",2
10:00,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",2
10:00,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",2
09:57,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",2
09:48,,,,,"MISS LAYUP by FLORIN, MICHAEL",,,"MISS LAYUP by FLORIN, MICHAEL",2
--,"REBOUND DEF by MARSCHNER,BRENDAN",,,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",2
09:44,,,,,"FOUL  by DAVIS, JAKE",,,"FOUL  by DAVIS, JAKE",2
09:44,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
09:44,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
09:44,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
09:44,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
09:17,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:15,,,,,"FOUL  by DAVIS, JAKE",,,"FOUL  by DAVIS, JAKE",2
09:15,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",2
09:15,,,,,"SUB OUT by DAVIS, JAKE",,,"SUB OUT by DAVIS, JAKE",2
08:58,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
08:58,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
08:58,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
08:58,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
08:50,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",2
08:33,,,,,"MISS 3PTR by GREVEN, ALEX",,,"MISS 3PTR by GREVEN, ALEX",2
--,"REBOUND DEF by MARSCHNER,BRENDAN",,,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",2
08:18,,,,,"FOUL  by SCHATTIE, JOSH",,,"FOUL  by SCHATTIE, JOSH",2
08:18,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
08:18,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
08:18,,,,,"SUB IN by OH, NASH",,,"SUB IN by OH, NASH",2
08:18,,,,,"SUB IN by FOSTER, ALEX",,,"SUB IN by FOSTER, ALEX",2
08:18,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",2
08:18,,,,,"SUB OUT by GREVEN, ALEX",,,"SUB OUT by GREVEN, ALEX",2
08:17,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
08:17,,,,,"STEAL  by OH, NASH",,,"STEAL  by OH, NASH",2
08:17,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
08:02,"FOUL  by FREEMAN,SCHYLAR",,,,,,,"FOUL  by FREEMAN,SCHYLAR",2
08:02,,65 (+10),,55,"GOOD FT by FRIEDBERG, MICHAEL",EMORY 65-55 (+10),,"GOOD FT by FRIEDBERG, MICHAEL",2
08:02,,65 (+9),,56,"GOOD FT by FRIEDBERG, MICHAEL",EMORY 65-56 (+9),,"GOOD FT by FRIEDBERG, MICHAEL",2
08:02,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",2
08:02,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
07:39,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
07:39,,,,,"BLOCK  by FOSTER, ALEX",,,"BLOCK  by FOSTER, ALEX",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
07:29,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
07:29,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
07:29,"SUB OUT by WARRICK,JOHN",,,,,,,"SUB OUT by WARRICK,JOHN",2
07:29,,,,,"SUB IN by DAVIS, JAKE",,,"SUB IN by DAVIS, JAKE",2
07:29,,,,,"SUB IN by GREVEN, ALEX",,,"SUB IN by GREVEN, ALEX",2
07:29,,,,,"SUB OUT by OH, NASH",,,"SUB OUT by OH, NASH",2
07:29,,,,,"SUB OUT by FOSTER, ALEX",,,"SUB OUT by FOSTER, ALEX",2
07:02,,65 (+7),,58,"GOOD JUMPER by GREVEN, ALEX",EMORY 65-58 (+7),,"GOOD JUMPER by GREVEN, ALEX",2
06:48,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
06:48,,,,,"BLOCK  by FRIEDBERG, MICHAEL",,,"BLOCK  by FRIEDBERG, MICHAEL",2
--,,,,,"REBOUND DEF by FLORIN, MICHAEL",,,"REBOUND DEF by FLORIN, MICHAEL",2
06:22,,65 (+5),,60,"GOOD LAYUP by MOORE, MCPHERSON(in the paint)",EMORY 65-60 (+5),,"GOOD LAYUP by MOORE, MCPHERSON(in the paint)",2
--,,,,,"ASSIST  by FRIEDBERG, MICHAEL",,,"ASSIST  by FRIEDBERG, MICHAEL",2
06:13,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
06:13,,,,,"BLOCK  by FRIEDBERG, MICHAEL",,,"BLOCK  by FRIEDBERG, MICHAEL",2
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",2
06:02,,65 (+2),,63,"GOOD 3PTR by DAVIS, JAKE",EMORY 65-63 (+2),,"GOOD 3PTR by DAVIS, JAKE",2
--,,,,,"ASSIST  by FRIEDBERG, MICHAEL",,,"ASSIST  by FRIEDBERG, MICHAEL",2
05:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:48,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",2
05:48,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",2
05:46,"GOOD TIPIN by RICHARDS,ZAC(in the paint)",67 (+4),,63,,BSC 67-63 (+4),,"GOOD TIPIN by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
05:31,,,,,"MISS 3PTR by GREVEN, ALEX",,,"MISS 3PTR by GREVEN, ALEX",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
05:01,"GOOD LAYUP by HENRY,COLIN(in the paint)",69 (+6),,63,,BSC 69-63 (+6),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
04:47,,,,,"MISS 3PTR by FLORIN, MICHAEL",,,"MISS 3PTR by FLORIN, MICHAEL",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
04:27,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",71 (+8),,63,,BSC 71-63 (+8),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
04:16,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",2
04:16,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",2
04:08,,71 (+6),,65,"GOOD JUMPER by DAVIS, JAKE",EMORY 71-65 (+6),,"GOOD JUMPER by DAVIS, JAKE",2
04:08,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
04:08,,71 (+5),,66,"GOOD FT by DAVIS, JAKE",EMORY 71-66 (+5),,"GOOD FT by DAVIS, JAKE",2
03:56,"GOOD 3PTR by KEGARISE,KEVIN",74 (+8),,66,,BSC 74-66 (+8),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
03:36,,74 (+6),,68,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",EMORY 74-68 (+6),,"GOOD LAYUP by FRIEDBERG, MICHAEL(in the paint)",2
03:26,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
03:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:55,,74 (+4),,70,"GOOD JUMPER by DAVIS, JAKE(in the paint)",EMORY 74-70 (+4),,"GOOD JUMPER by DAVIS, JAKE(in the paint)",2
02:32,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
02:32,,,,,"BLOCK  by FRIEDBERG, MICHAEL",,,"BLOCK  by FRIEDBERG, MICHAEL",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
02:14,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by MOORE, MCPHERSON",,,"REBOUND DEF by MOORE, MCPHERSON",2
01:55,,,,,"TURNOVER  by MOORE, MCPHERSON",,,"TURNOVER  by MOORE, MCPHERSON",2
01:54,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
01:21,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:05,,,,,"MISS 3PTR by DAVIS, JAKE",,,"MISS 3PTR by DAVIS, JAKE",2
--,,,,,"REBOUND OFF by MOORE, MCPHERSON",,,"REBOUND OFF by MOORE, MCPHERSON",2
01:00,,,,,"MISS JUMPER by GREVEN, ALEX",,,"MISS JUMPER by GREVEN, ALEX",2
--,,,,,"REBOUND OFF by DAVIS, JAKE",,,"REBOUND OFF by DAVIS, JAKE",2
00:42,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
00:42,,74 (+3),,71,"GOOD FT by FRIEDBERG, MICHAEL",EMORY 74-71 (+3),,"GOOD FT by FRIEDBERG, MICHAEL",2
00:42,,74 (+2),,72,"GOOD FT by FRIEDBERG, MICHAEL",EMORY 74-72 (+2),,"GOOD FT by FRIEDBERG, MICHAEL",2
00:32,,,,,"FOUL  by FLORIN, MICHAEL",,,"FOUL  by FLORIN, MICHAEL",2
00:32,"GOOD FT by WHITE,BLAISE",75 (+3),,72,,BSC 75-72 (+3),,"GOOD FT by WHITE,BLAISE",2
00:32,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",2
00:32,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:32,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:08,,,,,"MISS 3PTR by DAVIS, JAKE",,,"MISS 3PTR by DAVIS, JAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:04,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
00:04,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
00:04,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:04,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
00:04,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:04,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
00:04,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:02,,,,,"MISS 3PTR by DAVIS, JAKE",,,"MISS 3PTR by DAVIS, JAKE",2
--,,,,,"REBOUND OFF by FLORIN, MICHAEL",,,"REBOUND OFF by FLORIN, MICHAEL",2
