Time Remaining,WITT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:23,,49 (+10),,39,"GOOD FT by RUDAK,MATEUSZ",BSC 49-39 (-10),,"GOOD FT by RUDAK,MATEUSZ",2
19:05,"GOOD 3PTR by BALSER,MITCHELL",52 (+13),,39,,WITT 52-39 (-13),,"GOOD 3PTR by BALSER,MITCHELL",2
--,"ASSIST  by BERTEMES,JACOB",,,,,,,"ASSIST  by BERTEMES,JACOB",2
18:48,,,,,"MISS LAYUP by MOORE,KADEN",,,"MISS LAYUP by MOORE,KADEN",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
18:44,,52 (+11),,41,"GOOD LAYUP by MOORE,KADEN(in the paint)",BSC 52-41 (-11),,"GOOD LAYUP by MOORE,KADEN(in the paint)",2
18:28,"MISS JUMPER by BALSER,MITCHELL",,,,,,,"MISS JUMPER by BALSER,MITCHELL",2
18:28,,,,,"BLOCK  by RUDAK,MATEUSZ",,,"BLOCK  by RUDAK,MATEUSZ",2
--,,,,,"REBOUND DEF by ALLISON,ZACH",,,"REBOUND DEF by ALLISON,ZACH",2
18:08,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",2
17:57,"MISS 3PTR by JOHNSON,JAMES",,,,,,,"MISS 3PTR by JOHNSON,JAMES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:53,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",2
17:53,"SUB OUT by JOHNSON,JAMES",,,,,,,"SUB OUT by JOHNSON,JAMES",2
17:53,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",2
17:53,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
17:35,"FOUL  by ROY,CHAD",,,,,,,"FOUL  by ROY,CHAD",2
17:35,,52 (+10),,42,"GOOD FT by SPENCE,BEN",BSC 52-42 (-10),,"GOOD FT by SPENCE,BEN",2
17:35,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",2
--,"REBOUND DEF by MORGAN,MICHAEL",,,,,,,"REBOUND DEF by MORGAN,MICHAEL",2
17:23,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",54 (+12),,42,,WITT 54-42 (-12),,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",2
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",2
16:56,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",2
16:55,"STEAL  by BERTEMES,JACOB",,,,,,,"STEAL  by BERTEMES,JACOB",2
16:52,"GOOD LAYUP by BALSER,MITCHELL(fastbreak)(in the paint)",56 (+14),,42,,WITT 56-42 (-14),,"GOOD LAYUP by BALSER,MITCHELL(fastbreak)(in the paint)",2
--,"ASSIST  by BERTEMES,JACOB",,,,,,,"ASSIST  by BERTEMES,JACOB",2
16:39,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",2
--,"REBOUND DEF by BALSER,MITCHELL",,,,,,,"REBOUND DEF by BALSER,MITCHELL",2
16:34,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
16:34,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
16:34,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",2
16:34,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
16:34,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
16:30,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
16:26,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",2
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",2
16:01,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",2
--,,,,,"REBOUND OFF by RUDAK,MATEUSZ",,,"REBOUND OFF by RUDAK,MATEUSZ",2
16:00,"FOUL  by SEIPEL,CONNOR",,,,,,,"FOUL  by SEIPEL,CONNOR",2
16:00,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",2
16:00,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",2
15:48,,,,,"FOUL  by RUDAK,MATEUSZ",,,"FOUL  by RUDAK,MATEUSZ",2
15:48,,,,,"TURNOVER  by RUDAK,MATEUSZ",,,"TURNOVER  by RUDAK,MATEUSZ",2
15:37,,,,,"FOUL  by RUDAK,MATEUSZ",,,"FOUL  by RUDAK,MATEUSZ",2
15:37,"MISS FT by SLONEKER,CHRIS",,,,,,,"MISS FT by SLONEKER,CHRIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:37,"MISS FT by SLONEKER,CHRIS",,,,,,,"MISS FT by SLONEKER,CHRIS",2
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",2
15:37,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",2
15:37,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",2
15:09,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",2
--,"REBOUND DEF by BERTEMES,JACOB",,,,,,,"REBOUND DEF by BERTEMES,JACOB",2
14:57,"MISS LAYUP by SEIPEL,CONNOR",,,,,,,"MISS LAYUP by SEIPEL,CONNOR",2
14:57,,,,,"BLOCK  by LOVING,JIBRI",,,"BLOCK  by LOVING,JIBRI",2
--,"REBOUND OFF by SLONEKER,CHRIS",,,,,,,"REBOUND OFF by SLONEKER,CHRIS",2
14:37,"MISS 3PTR by SEIPEL,CONNOR",,,,,,,"MISS 3PTR by SEIPEL,CONNOR",2
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",2
14:16,,,,,"MISS LAYUP by ALLISON,ZACH",,,"MISS LAYUP by ALLISON,ZACH",2
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",2
14:07,"GOOD JUMPER by SLONEKER,CHRIS",58 (+16),,42,,WITT 58-42 (-16),,"GOOD JUMPER by SLONEKER,CHRIS",2
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",2
13:52,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:49,"SUB IN by ALI-SHAKIR,RASHAAD",,,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",2
13:49,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",2
13:49,"SUB IN by ROY,CHAD",,,,,,,"SUB IN by ROY,CHAD",2
13:49,"SUB IN by MARTIN,LANDON",,,,,,,"SUB IN by MARTIN,LANDON",2
13:49,"SUB OUT by BALSER,MITCHELL",,,,,,,"SUB OUT by BALSER,MITCHELL",2
13:49,"SUB OUT by BERTEMES,JACOB",,,,,,,"SUB OUT by BERTEMES,JACOB",2
13:49,"SUB OUT by MORGAN,MICHAEL",,,,,,,"SUB OUT by MORGAN,MICHAEL",2
13:49,"SUB OUT by SEIPEL,CONNOR",,,,,,,"SUB OUT by SEIPEL,CONNOR",2
13:49,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
13:49,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
13:49,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
13:49,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",2
13:42,,,,,"SUB IN by BUTLER,TERENCE",,,"SUB IN by BUTLER,TERENCE",2
13:42,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
13:35,"GOOD LAYUP by ROY,CHAD(in the paint)",60 (+18),,42,,WITT 60-42 (-18),,"GOOD LAYUP by ROY,CHAD(in the paint)",2
--,"ASSIST  by SLONEKER,CHRIS",,,,,,,"ASSIST  by SLONEKER,CHRIS",2
13:33,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
13:33,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",2
13:33,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",2
13:33,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",2
13:32,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",2
13:32,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",2
13:09,"FOUL  by PUMROY,JORDAN",,,,,,,"FOUL  by PUMROY,JORDAN",2
13:09,,60 (+17),,43,"GOOD FT by GONDA,MATT",BSC 60-43 (-17),,"GOOD FT by GONDA,MATT",2
13:09,,,,,"MISS FT by GONDA,MATT",,,"MISS FT by GONDA,MATT",2
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",2
12:55,"MISS 3PTR by ALI-SHAKIR,RASHAAD",,,,,,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",2
--,"REBOUND OFF by PUMROY,JORDAN",,,,,,,"REBOUND OFF by PUMROY,JORDAN",2
12:39,"MISS 3PTR by PUMROY,JORDAN",,,,,,,"MISS 3PTR by PUMROY,JORDAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:33,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",63 (+20),,43,,WITT 63-43 (-20),,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",2
--,"ASSIST  by PUMROY,JORDAN",,,,,,,"ASSIST  by PUMROY,JORDAN",2
12:12,,63 (+17),,46,"GOOD 3PTR by DENBESTIN,COLE",BSC 63-46 (-17),,"GOOD 3PTR by DENBESTIN,COLE",2
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",2
11:54,"MISS 3PTR by MARTIN,LANDON",,,,,,,"MISS 3PTR by MARTIN,LANDON",2
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",2
11:45,"FOUL  by SLONEKER,CHRIS",,,,,,,"FOUL  by SLONEKER,CHRIS",2
11:45,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:45,,63 (+16),,47,"GOOD FT by DENEKA,HARRISON",BSC 63-47 (-16),,"GOOD FT by DENEKA,HARRISON",2
11:45,"SUB IN by JOHNSON,JAMES",,,,,,,"SUB IN by JOHNSON,JAMES",2
11:45,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",2
11:45,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
11:45,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",2
11:45,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
11:45,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",2
11:18,"MISS LAYUP by MARTIN,LANDON",,,,,,,"MISS LAYUP by MARTIN,LANDON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:59,"FOUL  by ALI-SHAKIR,RASHAAD",,,,,,,"FOUL  by ALI-SHAKIR,RASHAAD",2
10:59,,63 (+15),,48,"GOOD FT by BUTLER,TERENCE",BSC 63-48 (-15),,"GOOD FT by BUTLER,TERENCE",2
10:59,,,,,"MISS FT by BUTLER,TERENCE",,,"MISS FT by BUTLER,TERENCE",2
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",2
10:41,"MISS 3PTR by MARTIN,LANDON",,,,,,,"MISS 3PTR by MARTIN,LANDON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:37,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",2
10:37,"SUB OUT by JOHNSON,JAMES",,,,,,,"SUB OUT by JOHNSON,JAMES",2
10:27,"GOOD LAYUP by MARTIN,LANDON(in the paint)",65 (+17),,48,,WITT 65-48 (-17),,"GOOD LAYUP by MARTIN,LANDON(in the paint)",2
10:10,"FOUL  by ROY,CHAD",,,,,,,"FOUL  by ROY,CHAD",2
10:10,,65 (+16),,49,"GOOD FT by RUDAK,MATEUSZ",BSC 65-49 (-16),,"GOOD FT by RUDAK,MATEUSZ",2
10:10,,65 (+15),,50,"GOOD FT by RUDAK,MATEUSZ",BSC 65-50 (-15),,"GOOD FT by RUDAK,MATEUSZ",2
10:10,"SUB IN by BALSER,MITCHELL",,,,,,,"SUB IN by BALSER,MITCHELL",2
10:10,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",2
10:10,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",2
10:10,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",2
10:02,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",68 (+18),,50,,WITT 68-50 (-18),,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",2
--,"ASSIST  by MARTIN,LANDON",,,,,,,"ASSIST  by MARTIN,LANDON",2
09:51,"FOUL  by MARTIN,LANDON",,,,,,,"FOUL  by MARTIN,LANDON",2
09:51,,68 (+17),,51,"GOOD FT by BUTLER,TERENCE",BSC 68-51 (-17),,"GOOD FT by BUTLER,TERENCE",2
09:51,,68 (+16),,52,"GOOD FT by BUTLER,TERENCE",BSC 68-52 (-16),,"GOOD FT by BUTLER,TERENCE",2
09:33,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",2
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",2
09:26,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",2
09:26,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",2
09:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:26,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
09:26,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",2
09:26,,,,,"SUB IN by ,BRUCE BRIGHT JR",,,"SUB IN by ,BRUCE BRIGHT JR",2
09:26,,,,,"SUB IN by LOVING,TAU",,,"SUB IN by LOVING,TAU",2
09:26,,,,,"SUB IN by MCCURRY,CONAL",,,"SUB IN by MCCURRY,CONAL",2
09:26,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
09:26,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",2
09:26,,,,,"SUB OUT by BUTLER,TERENCE",,,"SUB OUT by BUTLER,TERENCE",2
09:26,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",2
09:26,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
09:22,,,,,"FOUL  by ZHOU,ANDY",,,"FOUL  by ZHOU,ANDY",2
09:22,"SUB IN by BERTEMES,JACOB",,,,,,,"SUB IN by BERTEMES,JACOB",2
09:22,"SUB OUT by MARTIN,LANDON",,,,,,,"SUB OUT by MARTIN,LANDON",2
09:14,"GOOD LAYUP by SLONEKER,CHRIS(in the paint)",70 (+18),,52,,WITT 70-52 (-18),,"GOOD LAYUP by SLONEKER,CHRIS(in the paint)",2
--,"ASSIST  by ALI-SHAKIR,RASHAAD",,,,,,,"ASSIST  by ALI-SHAKIR,RASHAAD",2
09:05,,,,,"TURNOVER  by ZHOU,ANDY",,,"TURNOVER  by ZHOU,ANDY",2
09:05,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",2
09:05,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
09:05,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",2
09:05,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
09:05,,,,,"SUB IN by BUTLER,TERENCE",,,"SUB IN by BUTLER,TERENCE",2
09:05,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
09:05,,,,,"SUB OUT by ZHOU,ANDY",,,"SUB OUT by ZHOU,ANDY",2
09:05,,,,,"SUB OUT by ,BRUCE BRIGHT JR",,,"SUB OUT by ,BRUCE BRIGHT JR",2
09:05,,,,,"SUB OUT by LOVING,TAU",,,"SUB OUT by LOVING,TAU",2
09:05,,,,,"SUB OUT by MCCURRY,CONAL",,,"SUB OUT by MCCURRY,CONAL",2
08:42,"GOOD JUMPER by SEIPEL,CONNOR(in the paint)",72 (+20),,52,,WITT 72-52 (-20),,"GOOD JUMPER by SEIPEL,CONNOR(in the paint)",2
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",2
08:34,,,,,"MISS LAYUP by BUTLER,TERENCE",,,"MISS LAYUP by BUTLER,TERENCE",2
--,"REBOUND DEF by BERTEMES,JACOB",,,,,,,"REBOUND DEF by BERTEMES,JACOB",2
08:21,"MISS LAYUP by SLONEKER,CHRIS",,,,,,,"MISS LAYUP by SLONEKER,CHRIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:02,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",2
07:41,"MISS JUMPER by SEIPEL,CONNOR",,,,,,,"MISS JUMPER by SEIPEL,CONNOR",2
--,"REBOUND OFF by ALI-SHAKIR,RASHAAD",,,,,,,"REBOUND OFF by ALI-SHAKIR,RASHAAD",2
07:38,,,,,"FOUL  by DENBESTIN,COLE",,,"FOUL  by DENBESTIN,COLE",2
07:38,"GOOD FT by ALI-SHAKIR,RASHAAD",73 (+21),,52,,WITT 73-52 (-21),,"GOOD FT by ALI-SHAKIR,RASHAAD",2
07:38,"GOOD FT by ALI-SHAKIR,RASHAAD",74 (+22),,52,,WITT 74-52 (-22),,"GOOD FT by ALI-SHAKIR,RASHAAD",2
07:38,"SUB IN by MORGAN,MICHAEL",,,,,,,"SUB IN by MORGAN,MICHAEL",2
07:38,"SUB OUT by ALI-SHAKIR,RASHAAD",,,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",2
07:38,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",2
07:38,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
07:38,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",2
07:38,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",2
07:38,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
07:38,,,,,"SUB OUT by BUTLER,TERENCE",,,"SUB OUT by BUTLER,TERENCE",2
07:22,,,,,"MISS JUMPER by RUDAK,MATEUSZ",,,"MISS JUMPER by RUDAK,MATEUSZ",2
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",2
07:16,"GOOD LAYUP by BALSER,MITCHELL(in the paint)",76 (+24),,52,,WITT 76-52 (-24),,"GOOD LAYUP by BALSER,MITCHELL(in the paint)",2
06:58,"FOUL  by SLONEKER,CHRIS",,,,,,,"FOUL  by SLONEKER,CHRIS",2
06:58,,,,,"MISS FT by RUDAK,MATEUSZ",,,"MISS FT by RUDAK,MATEUSZ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:58,,76 (+23),,53,"GOOD FT by RUDAK,MATEUSZ",BSC 76-53 (-23),,"GOOD FT by RUDAK,MATEUSZ",2
06:58,"SUB IN by ROY,CHAD",,,,,,,"SUB IN by ROY,CHAD",2
06:58,"SUB OUT by SEIPEL,CONNOR",,,,,,,"SUB OUT by SEIPEL,CONNOR",2
06:58,,,,,"SUB IN by LOVING,JIBRI",,,"SUB IN by LOVING,JIBRI",2
06:58,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",2
06:47,"TURNOVER  by BERTEMES,JACOB",,,,,,,"TURNOVER  by BERTEMES,JACOB",2
06:46,,,,,"STEAL  by ALLISON,ZACH",,,"STEAL  by ALLISON,ZACH",2
06:42,,76 (+21),,55,"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC 76-55 (-21),,"GOOD LAYUP by YANCEY,RICH(in the paint)",2
06:33,,,,,"FOUL  by LOVING,JIBRI",,,"FOUL  by LOVING,JIBRI",2
06:33,"GOOD FT by ROY,CHAD",77 (+22),,55,,WITT 77-55 (-22),,"GOOD FT by ROY,CHAD",2
06:33,"GOOD FT by ROY,CHAD",78 (+23),,55,,WITT 78-55 (-23),,"GOOD FT by ROY,CHAD",2
06:33,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",2
06:33,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
06:09,,,,,"MISS 3PTR by YANCEY,RICH",,,"MISS 3PTR by YANCEY,RICH",2
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",2
06:03,,,,,"MISS 3PTR by DENBESTIN,COLE",,,"MISS 3PTR by DENBESTIN,COLE",2
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",2
06:02,"FOUL  by ROY,CHAD",,,,,,,"FOUL  by ROY,CHAD",2
06:02,,78 (+22),,56,"GOOD FT by SPENCE,BEN",BSC 78-56 (-22),,"GOOD FT by SPENCE,BEN",2
06:02,,78 (+21),,57,"GOOD FT by SPENCE,BEN",BSC 78-57 (-21),,"GOOD FT by SPENCE,BEN",2
06:02,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",2
06:02,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",2
06:02,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",2
06:02,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",2
05:52,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",80 (+23),,57,,WITT 80-57 (-23),,"GOOD LAYUP by SEIPEL,CONNOR(in the paint)",2
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",2
05:40,,80 (+21),,59,"GOOD LAYUP by ALLISON,ZACH(in the paint)",BSC 80-59 (-21),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",2
05:40,"FOUL  by PUMROY,JORDAN",,,,,,,"FOUL  by PUMROY,JORDAN",2
05:40,,,,,"MISS FT by ALLISON,ZACH",,,"MISS FT by ALLISON,ZACH",2
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",2
05:40,"SUB IN by ALI-SHAKIR,RASHAAD",,,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",2
05:40,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",2
05:40,"SUB OUT by MORGAN,MICHAEL",,,,,,,"SUB OUT by MORGAN,MICHAEL",2
05:40,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",2
05:40,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
05:40,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
05:25,"MISS LAYUP by SEIPEL,CONNOR",,,,,,,"MISS LAYUP by SEIPEL,CONNOR",2
--,,,,,"REBOUND DEF by LOVING,JIBRI",,,"REBOUND DEF by LOVING,JIBRI",2
05:09,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",2
05:09,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",2
05:09,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",2
05:00,"MISS LAYUP by BALSER,MITCHELL",,,,,,,"MISS LAYUP by BALSER,MITCHELL",2
--,"REBOUND OFF by SEIPEL,CONNOR",,,,,,,"REBOUND OFF by SEIPEL,CONNOR",2
05:00,,,,,"FOUL  by DENBESTIN,COLE",,,"FOUL  by DENBESTIN,COLE",2
05:00,"GOOD FT by SEIPEL,CONNOR",81 (+22),,59,,WITT 81-59 (-22),,"GOOD FT by SEIPEL,CONNOR",2
05:00,"GOOD FT by SEIPEL,CONNOR",82 (+23),,59,,WITT 82-59 (-23),,"GOOD FT by SEIPEL,CONNOR",2
05:00,"SUB IN by ROY,CHAD",,,,,,,"SUB IN by ROY,CHAD",2
05:00,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",2
05:00,,,,,"SUB IN by BUTLER,TERENCE",,,"SUB IN by BUTLER,TERENCE",2
05:00,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
05:00,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",2
05:00,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",2
04:45,,,,,"TURNOVER  by BUTLER,TERENCE",,,"TURNOVER  by BUTLER,TERENCE",2
04:43,"STEAL  by ROY,CHAD",,,,,,,"STEAL  by ROY,CHAD",2
04:36,"FOUL  by ROY,CHAD",,,,,,,"FOUL  by ROY,CHAD",2
04:36,"TURNOVER  by ROY,CHAD",,,,,,,"TURNOVER  by ROY,CHAD",2
04:36,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",2
04:36,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",2
04:36,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
04:36,,,,,"SUB IN by LOVING,TAU",,,"SUB IN by LOVING,TAU",2
04:36,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
04:36,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",2
04:27,,,,,"MISS 3PTR by BUTLER,TERENCE",,,"MISS 3PTR by BUTLER,TERENCE",2
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",2
