Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
12:08,,14,,19 (+5),"GOOD FT by MCLEAN,BRANDON",HCM 14-19 (-5),,"GOOD FT by MCLEAN,BRANDON",1
11:59,"GOOD LAYUP by BUTLER,TERENCE(in the paint)",16,,19 (+3),,17BSC-M 16-19 (-3),,"GOOD LAYUP by BUTLER,TERENCE(in the paint)",1
11:52,,16,,22 (+6),"GOOD 3PTR by PINES,KYANTE",HCM 16-22 (-6),,"GOOD 3PTR by PINES,KYANTE",1
--,,,,,"ASSIST  by ELMORE,TC",,,"ASSIST  by ELMORE,TC",1
11:36,"MISS LAYUP by BUTLER,TERENCE",,,,,,,"MISS LAYUP by BUTLER,TERENCE",1
--,"REBOUND OFF by BUTLER,TERENCE",,,,,,,"REBOUND OFF by BUTLER,TERENCE",1
11:28,"MISS LAYUP by MCCURRY,CONAL",,,,,,,"MISS LAYUP by MCCURRY,CONAL",1
11:28,,,,,"BLOCK  by JONES,RJ",,,"BLOCK  by JONES,RJ",1
--,,,,,"REBOUND DEF by JONES,RJ",,,"REBOUND DEF by JONES,RJ",1
11:14,,,,,"MISS 3PTR by PINES,KYANTE",,,"MISS 3PTR by PINES,KYANTE",1
11:14,"BLOCK  by LOVING,TAU",,,,,,,"BLOCK  by LOVING,TAU",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
11:07,"TURNOVER  by MCCURRY,CONAL",,,,,,,"TURNOVER  by MCCURRY,CONAL",1
11:07,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
10:55,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
10:42,,,,,"FOUL  by PINES,KYANTE",,,"FOUL  by PINES,KYANTE",1
10:42,"GOOD FT by ALLISON,ZACH",17,,22 (+5),,17BSC-M 17-22 (-5),,"GOOD FT by ALLISON,ZACH",1
10:42,"MISS FT by ALLISON,ZACH",,,,,,,"MISS FT by ALLISON,ZACH",1
--,,,,,"REBOUND DEF by JONES,RJ",,,"REBOUND DEF by JONES,RJ",1
10:42,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
10:42,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
10:42,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
10:42,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
10:42,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
10:42,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
10:42,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
10:42,"SUB OUT by LOVING,TAU",,,,,,,"SUB OUT by LOVING,TAU",1
10:42,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
10:42,"SUB OUT by MCCURRY,CONAL",,,,,,,"SUB OUT by MCCURRY,CONAL",1
10:32,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
10:09,"GOOD LAYUP by MOORE,KADEN(in the paint)",19,,22 (+3),,17BSC-M 19-22 (-3),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
09:42,,19,,24 (+5),"GOOD JUMPER by ELMORE,TC(in the paint)",HCM 19-24 (-5),,"GOOD JUMPER by ELMORE,TC(in the paint)",1
--,,,,,"ASSIST  by MCLEAN,BRANDON",,,"ASSIST  by MCLEAN,BRANDON",1
09:20,"MISS LAYUP by SPENCE,BEN",,,,,,,"MISS LAYUP by SPENCE,BEN",1
--,,,,,"REBOUND DEF by BEEMAN,JALEEL",,,"REBOUND DEF by BEEMAN,JALEEL",1
09:13,,,,,"MISS LAYUP by BEEMAN,JALEEL",,,"MISS LAYUP by BEEMAN,JALEEL",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
