Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
09:28,"MISS 3PTR by BROWN,ISAIAH",,,,,,,"MISS 3PTR by BROWN,ISAIAH",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
09:13,,14,,28 (+14),"GOOD LAYUP by MOORE,KADEN(in the paint)",17BSC-M 14-28 (+14),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
09:02,"MISS 3PTR by BROWN,ISAIAH",,,,,,,"MISS 3PTR by BROWN,ISAIAH",1
--,"REBOUND OFF by PRICE,VICTOR",,,,,,,"REBOUND OFF by PRICE,VICTOR",1
08:59,"MISS LAYUP by PRICE,VICTOR",,,,,,,"MISS LAYUP by PRICE,VICTOR",1
08:59,,,,,"BLOCK  by DENEKA,HARRISON",,,"BLOCK  by DENEKA,HARRISON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:59,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
08:59,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
08:59,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
08:59,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
08:59,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
08:59,,,,,"SUB OUT by ZHOU,ANDY",,,"SUB OUT by ZHOU,ANDY",1
08:42,,,,,"FOUL  by ALLISON,ZACH",,,"FOUL  by ALLISON,ZACH",1
08:42,"GOOD FT by PATTERSON,KYLE",15,,28 (+13),,BU-M 15-28 (+13),,"GOOD FT by PATTERSON,KYLE",1
08:42,"MISS FT by PATTERSON,KYLE",,,,,,,"MISS FT by PATTERSON,KYLE",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
